DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;0.95163;0.94853;0.95025;0.95069;25979
2015.04.27;16:00:00;0.95182;0.94743;0.95091;0.95023;36421
2015.04.27;20:00:00;0.95139;0.94859;0.94943;0.95092;18590
2015.04.28;00:00:00;0.95164;0.94744;0.95099;0.94943;11852
2015.04.28;04:00:00;0.95262;0.95063;0.95243;0.951;11837
2015.04.28;08:00:00;0.95556;0.95234;0.95521;0.95244;27945
2015.04.28;12:00:00;0.96052;0.95474;0.95943;0.95524;34042
2015.04.28;16:00:00;0.96422;0.95926;0.96277;0.95943;40772
2015.04.28;20:00:00;0.96542;0.96243;0.96522;0.96276;19837
2015.04.29;00:00:00;0.9652;0.96149;0.96414;0.9652;13401
2015.04.29;04:00:00;0.96425;0.96076;0.96127;0.96414;15397
2015.04.29;08:00:00;0.96237;0.95988;0.96003;0.9613;26835
2015.04.29;12:00:00;0.96545;0.96;0.96276;0.96005;36900
2015.04.29;16:00:00;0.96591;0.9622;0.96449;0.96276;52522
2015.04.29;20:00:00;0.96664;0.96175;0.96176;0.96448;33983
2015.04.30;00:00:00;0.96294;0.95855;0.96284;0.96188;15165
2015.04.30;04:00:00;0.96341;0.9601;0.96147;0.96286;17086
2015.04.30;08:00:00;0.96152;0.9536;0.95459;0.96147;39456
2015.04.30;12:00:00;0.95598;0.94916;0.95102;0.95457;40969
2015.04.30;16:00:00;0.95683;0.94905;0.9547;0.95101;48580
2015.04.30;20:00:00;0.95761;0.95336;0.95433;0.9547;24711
2015.05.01;00:00:00;0.95529;0.95296;0.9537;0.95434;9692
2015.05.01;04:00:00;0.95454;0.9525;0.95333;0.95366;9751
2015.05.01;08:00:00;0.95502;0.95062;0.95398;0.95333;20184
2015.05.01;12:00:00;0.95463;0.95114;0.95279;0.95399;25709
2015.05.01;16:00:00;0.95563;0.95055;0.95213;0.95281;43179
2015.05.01;20:00:00;0.95458;0.95157;0.95434;0.9521;16405
2015.05.04;00:00:00;0.95354;0.95039;0.95054;0.95127;10191
2015.05.04;04:00:00;0.95346;0.94983;0.95186;0.95055;11799
2015.05.04;08:00:00;0.95304;0.95079;0.95088;0.95185;21692
2015.05.04;12:00:00;0.95137;0.94753;0.94803;0.95088;22499
2015.05.04;16:00:00;0.95048;0.948;0.95013;0.94802;21903
2015.05.04;20:00:00;0.95051;0.9468;0.94749;0.95011;9723
2015.05.05;00:00:00;0.94921;0.94689;0.94848;0.94749;9314
2015.05.05;04:00:00;0.95779;0.94367;0.95708;0.94849;17803
2015.05.05;08:00:00;0.95873;0.95306;0.95379;0.95707;31832
2015.05.05;12:00:00;0.95548;0.95051;0.95298;0.95378;29039
2015.05.05;16:00:00;0.95701;0.95056;0.95635;0.95297;40265
2015.05.05;20:00:00;0.95887;0.95636;0.95816;0.95636;16081
2015.05.06;00:00:00;0.95935;0.9566;0.95894;0.95816;15620
2015.05.06;04:00:00;0.96011;0.95743;0.9588;0.95893;17412
2015.05.06;08:00:00;0.96104;0.9576;0.95938;0.95881;30459
2015.05.06;12:00:00;0.96238;0.95766;0.96167;0.95936;32378
2015.05.06;16:00:00;0.96244;0.95831;0.95926;0.96166;41931
2015.05.06;20:00:00;0.96061;0.95831;0.95941;0.95922;17949
2015.05.07;00:00:00;0.96023;0.9571;0.95929;0.95944;15121
2015.05.07;04:00:00;0.96367;0.95512;0.96075;0.95928;23696
2015.05.07;08:00:00;0.96234;0.95803;0.95887;0.96075;27713
2015.05.07;12:00:00;0.96211;0.9585;0.96093;0.95885;35089
2015.05.07;16:00:00;0.96299;0.95998;0.96048;0.96095;33094
2015.05.07;20:00:00;0.96108;0.95722;0.95873;0.96048;16839
2015.05.08;00:00:00;0.95948;0.955;0.95585;0.95873;13778
2015.05.08;04:00:00;0.95916;0.95205;0.95758;0.95585;20234
2015.05.08;08:00:00;0.9593;0.95592;0.95654;0.95758;27528
2015.05.08;12:00:00;0.95988;0.95449;0.95957;0.95653;33196
2015.05.08;16:00:00;0.96212;0.95528;0.95774;0.95963;39803
2015.05.08;20:00:00;0.95898;0.95642;0.9578;0.95773;15242
2015.05.11;00:00:00;0.95861;0.95632;0.95729;0.95709;10654
2015.05.11;04:00:00;0.95734;0.95512;0.95654;0.95728;16732
2015.05.11;08:00:00;0.95882;0.95599;0.95867;0.95655;24343
2015.05.11;12:00:00;0.95947;0.95521;0.95644;0.95869;22830
2015.05.11;16:00:00;0.9573;0.95411;0.95605;0.95646;28812
2015.05.11;20:00:00;0.95676;0.95417;0.95469;0.95606;12081
2015.05.12;00:00:00;0.95588;0.95393;0.95497;0.95473;10385
2015.05.12;04:00:00;0.95839;0.95461;0.95808;0.95497;13767
2015.05.12;08:00:00;0.96003;0.95779;0.9593;0.95811;28515
2015.05.12;12:00:00;0.96183;0.95805;0.95823;0.95929;30806
2015.05.12;16:00:00;0.95926;0.95617;0.95619;0.95823;29957
2015.05.12;20:00:00;0.95965;0.95598;0.95835;0.95618;14669
2015.05.13;00:00:00;0.96088;0.95465;0.95937;0.95839;12383
2015.05.13;04:00:00;0.96023;0.95713;0.95856;0.95939;15174
2015.05.13;08:00:00;0.95948;0.95736;0.95864;0.95856;23874
2015.05.13;12:00:00;0.96641;0.95805;0.96623;0.95864;33356
2015.05.13;16:00:00;0.97057;0.96621;0.9682;0.96623;35780
2015.05.13;20:00:00;0.97051;0.96783;0.96972;0.9682;14909
2015.05.14;00:00:00;0.97166;0.96826;0.97107;0.96966;12294
2015.05.14;04:00:00;0.97459;0.96902;0.96926;0.97109;17478
2015.05.14;08:00:00;0.97008;0.96428;0.96532;0.96926;27282
2015.05.14;12:00:00;0.97002;0.96493;0.96853;0.96532;26991
2015.05.14;16:00:00;0.97093;0.96582;0.97085;0.96852;30949
2015.05.14;20:00:00;0.97088;0.96677;0.96765;0.97086;14257
2015.05.15;00:00:00;0.96906;0.96467;0.96536;0.96752;11914
2015.05.15;04:00:00;0.96776;0.9651;0.9661;0.96537;11743
2015.05.15;08:00:00;0.96658;0.96284;0.96292;0.96609;26995
2015.05.15;12:00:00;0.96413;0.9624;0.96351;0.96294;23478
2015.05.15;16:00:00;0.96838;0.9635;0.96674;0.96351;35094
2015.05.15;20:00:00;0.96805;0.96492;0.96527;0.96677;14487
2015.05.18;00:00:00;0.96707;0.96304;0.96356;0.96442;9798
2015.05.18;04:00:00;0.96591;0.96349;0.96492;0.96356;11569
2015.05.18;08:00:00;0.96514;0.96218;0.96466;0.96491;22157
2015.05.18;12:00:00;0.96598;0.96345;0.96577;0.96468;22756
2015.05.18;16:00:00;0.97306;0.96573;0.971;0.96578;28650
2015.05.18;20:00:00;0.97201;0.96959;0.97126;0.971;14346
2015.05.19;00:00:00;0.97182;0.97031;0.97123;0.97126;11523
2015.05.19;04:00:00;0.97191;0.96806;0.96954;0.97123;17606
2015.05.19;08:00:00;0.97207;0.96898;0.97088;0.96953;31165
2015.05.19;12:00:00;0.97223;0.96676;0.96878;0.97088;26721
2015.05.19;16:00:00;0.97187;0.96625;0.96716;0.96876;33762
2015.05.19;20:00:00;0.9685;0.96688;0.9677;0.96717;14242
2015.05.20;00:00:00;0.96893;0.96686;0.96794;0.96774;11917
2015.05.20;04:00:00;0.96942;0.96742;0.96814;0.9679;12329
2015.05.20;08:00:00;0.96915;0.96459;0.9652;0.96815;29677
2015.05.20;12:00:00;0.96662;0.96383;0.96467;0.96517;26037
2015.05.20;16:00:00;0.96478;0.96155;0.96201;0.96467;31787
2015.05.20;20:00:00;0.96351;0.95973;0.96109;0.96202;29428
2015.05.21;00:00:00;0.9623;0.95724;0.96188;0.96097;9211
2015.05.21;04:00:00;0.96377;0.96081;0.96367;0.9619;13533
2015.05.21;08:00:00;0.96418;0.9613;0.96274;0.96365;25138
2015.05.21;12:00:00;0.96443;0.96172;0.96267;0.96274;24655
2015.05.21;16:00:00;0.96476;0.96135;0.96196;0.96266;33081
2015.05.21;20:00:00;0.96352;0.96175;0.96274;0.96195;16592
2015.05.22;00:00:00;0.9642;0.96234;0.9642;0.96274;10696
2015.05.22;04:00:00;0.96535;0.96309;0.96455;0.9642;14808
2015.05.22;08:00:00;0.96584;0.96287;0.96367;0.96453;22009
2015.05.22;12:00:00;0.96383;0.95947;0.9605;0.96368;29124
2015.05.22;16:00:00;0.96325;0.95992;0.96243;0.96049;31982
2015.05.22;20:00:00;0.96351;0.96086;0.96132;0.96242;16366
2015.05.25;00:00:00;0.96194;0.95969;0.96018;0.96099;9544
2015.05.25;04:00:00;0.96218;0.95991;0.9619;0.96018;12972
2015.05.25;08:00:00;0.96307;0.96038;0.96226;0.9619;17179
2015.05.25;12:00:00;0.96326;0.96166;0.96285;0.96227;11800
2015.05.25;16:00:00;0.96411;0.96191;0.96342;0.96282;12362
2015.05.25;20:00:00;0.96392;0.96289;0.96295;0.96343;14469
2015.05.26;00:00:00;0.96397;0.96267;0.96327;0.96282;10335
2015.05.26;04:00:00;0.96464;0.96284;0.96387;0.96328;11364
2015.05.26;08:00:00;0.96404;0.95929;0.96172;0.96388;32864
2015.05.26;12:00:00;0.96522;0.96163;0.96187;0.96168;31675
2015.05.26;16:00:00;0.96423;0.9607;0.9624;0.96187;38765
2015.05.26;20:00:00;0.96294;0.96031;0.96152;0.96241;15814
2015.05.27;00:00:00;0.96276;0.9601;0.96246;0.9616;6486
2015.05.27;04:00:00;0.96357;0.96092;0.96265;0.96243;13038
2015.05.27;08:00:00;0.96377;0.9604;0.96194;0.96262;27049
2015.05.27;12:00:00;0.96322;0.95877;0.9598;0.96194;32047
2015.05.27;16:00:00;0.96328;0.95863;0.96264;0.95981;37645
2015.05.27;20:00:00;0.96357;0.96163;0.9619;0.96263;17436
2015.05.28;00:00:00;0.96428;0.96128;0.96424;0.96128;9107
2015.05.28;04:00:00;0.96585;0.95647;0.9585;0.96426;23093
2015.05.28;08:00:00;0.96037;0.9557;0.9573;0.9585;33257
2015.05.28;12:00:00;0.95766;0.95257;0.95429;0.9573;33965
2015.05.28;16:00:00;0.95615;0.95114;0.95242;0.95431;38617
2015.05.28;20:00:00;0.95283;0.95043;0.95084;0.95242;20293
2015.05.29;00:00:00;0.95181;0.94857;0.95041;0.95081;10329
2015.05.29;04:00:00;0.95271;0.94952;0.95168;0.95037;13523
2015.05.29;08:00:00;0.95315;0.95085;0.95204;0.95168;26010
2015.05.29;12:00:00;0.95716;0.95049;0.95549;0.95204;31422
2015.05.29;16:00:00;0.95693;0.95351;0.95377;0.95544;35721
2015.05.29;20:00:00;0.95493;0.95033;0.95124;0.95376;12683
2015.06.01;00:00:00;0.95317;0.94972;0.9527;0.94973;8899
2015.06.01;04:00:00;0.95447;0.95111;0.95406;0.95274;13325
2015.06.01;08:00:00;0.95563;0.9526;0.9545;0.95405;22258
2015.06.01;12:00:00;0.9551;0.95178;0.95497;0.95448;24965
2015.06.01;16:00:00;0.95569;0.95356;0.95406;0.95498;33075
2015.06.01;20:00:00;0.95423;0.95166;0.95205;0.95407;14685
2015.06.02;00:00:00;0.95547;0.95189;0.95487;0.95202;11546
2015.06.02;04:00:00;0.96154;0.95378;0.96008;0.95487;17854
2015.06.02;08:00:00;0.96337;0.95984;0.9615;0.96009;29641
2015.06.02;12:00:00;0.96295;0.96004;0.96064;0.96149;34410
2015.06.02;16:00:00;0.96577;0.96035;0.96303;0.96068;45088
2015.06.02;20:00:00;0.96511;0.96301;0.96338;0.96302;20044
2015.06.03;00:00:00;0.96486;0.96307;0.96349;0.96341;13023
2015.06.03;04:00:00;0.96872;0.96341;0.96599;0.96345;17985
2015.06.03;08:00:00;0.96789;0.96585;0.96656;0.96597;27646
2015.06.03;12:00:00;0.97018;0.9659;0.96966;0.96656;29547
2015.06.03;16:00:00;0.97156;0.96892;0.96917;0.96965;39359
2015.06.03;20:00:00;0.96994;0.96767;0.96926;0.96919;15492
2015.06.04;00:00:00;0.96937;0.96719;0.96776;0.96922;11986
2015.06.04;04:00:00;0.96861;0.96096;0.96274;0.96778;17758
2015.06.04;08:00:00;0.96605;0.96115;0.96526;0.96275;35836
2015.06.04;12:00:00;0.96559;0.96211;0.96251;0.96521;29948
2015.06.04;16:00:00;0.96369;0.95627;0.95846;0.9625;33662
2015.06.04;20:00:00;0.96101;0.95795;0.96093;0.95846;17553
2015.06.05;00:00:00;0.96103;0.9592;0.96102;0.96085;13653
2015.06.05;04:00:00;0.96235;0.96061;0.96183;0.96101;11127
2015.06.05;08:00:00;0.96403;0.96071;0.96366;0.96181;24171
2015.06.05;12:00:00;0.96524;0.95186;0.95339;0.96366;29072
2015.06.05;16:00:00;0.95536;0.95056;0.95148;0.95339;41422
2015.06.05;20:00:00;0.95179;0.9463;0.94637;0.95147;15286
2015.06.08;00:00:00;0.95003;0.94696;0.9488;0.94721;7447
2015.06.08;04:00:00;0.9519;0.9479;0.94803;0.94883;12763
2015.06.08;08:00:00;0.95165;0.94769;0.95003;0.94803;28322
2015.06.08;12:00:00;0.9508;0.94704;0.94827;0.95002;21600
2015.06.08;16:00:00;0.95158;0.94816;0.95111;0.94828;27508
2015.06.08;20:00:00;0.9557;0.95107;0.95559;0.95113;19810
2015.06.09;00:00:00;0.95549;0.95318;0.95427;0.95549;9926
2015.06.09;04:00:00;0.95703;0.95245;0.95308;0.9543;16696
2015.06.09;08:00:00;0.95358;0.95024;0.95126;0.95308;31472
2015.06.09;12:00:00;0.95279;0.94828;0.94871;0.95129;33751
2015.06.09;16:00:00;0.9503;0.94478;0.94587;0.94873;34171
2015.06.09;20:00:00;0.94853;0.94571;0.94843;0.94588;14721
2015.06.10;00:00:00;0.95011;0.94712;0.94814;0.94843;13265
2015.06.10;04:00:00;0.94858;0.943;0.94726;0.94812;21383
2015.06.10;08:00:00;0.95364;0.94654;0.95013;0.94728;41276
2015.06.10;12:00:00;0.95084;0.94654;0.94704;0.95013;32116
2015.06.10;16:00:00;0.95227;0.94668;0.95202;0.94703;37602
2015.06.10;20:00:00;0.95339;0.95019;0.95019;0.95203;15977
2015.06.11;00:00:00;0.95049;0.94237;0.94765;0.94909;14779
2015.06.11;04:00:00;0.95568;0.94632;0.95332;0.94765;17010
2015.06.11;08:00:00;0.9537;0.95136;0.95319;0.95331;29966
2015.06.11;12:00:00;0.95319;0.94922;0.95197;0.95319;31510
2015.06.11;16:00:00;0.95227;0.94951;0.95208;0.95198;32293
2015.06.11;20:00:00;0.95346;0.95121;0.95282;0.95208;16309
2015.06.12;00:00:00;0.9537;0.95119;0.95256;0.95282;13961
2015.06.12;04:00:00;0.95288;0.95043;0.95053;0.95257;13314
2015.06.12;08:00:00;0.95122;0.94606;0.94709;0.95053;24576
2015.06.12;12:00:00;0.94932;0.94639;0.94846;0.94707;27484
2015.06.12;16:00:00;0.95387;0.94793;0.95301;0.94847;29916
2015.06.12;20:00:00;0.95421;0.95039;0.9513;0.95302;11743
2015.06.15;00:00:00;0.95452;0.94992;0.95037;0.95407;9599
2015.06.15;04:00:00;0.95206;0.95025;0.95088;0.95037;14529
2015.06.15;08:00:00;0.9524;0.95023;0.95203;0.95087;24135
2015.06.15;12:00:00;0.95903;0.95184;0.95851;0.95201;21683
2015.06.15;16:00:00;0.95922;0.95529;0.95604;0.95852;21045
2015.06.15;20:00:00;0.95689;0.95468;0.95676;0.95604;14797
2015.06.16;00:00:00;0.95681;0.95468;0.95525;0.95672;11242
2015.06.16;04:00:00;0.95814;0.9543;0.95526;0.95524;15180
2015.06.16;08:00:00;0.95542;0.95247;0.95301;0.95528;20304
2015.06.16;12:00:00;0.95628;0.95293;0.95576;0.953;17950
2015.06.16;16:00:00;0.95677;0.95486;0.95579;0.95575;18660
2015.06.16;20:00:00;0.95594;0.95193;0.95265;0.95581;12232
2015.06.17;00:00:00;0.95313;0.95156;0.95212;0.95261;9380
2015.06.17;04:00:00;0.95235;0.94882;0.94932;0.95212;12672
2015.06.17;08:00:00;0.95055;0.94671;0.94701;0.94931;21259
2015.06.17;12:00:00;0.94731;0.94436;0.94632;0.947;21027
2015.06.17;16:00:00;0.94777;0.94291;0.94399;0.94632;22532
2015.06.17;20:00:00;0.94941;0.9421;0.94703;0.94398;36865
2015.06.18;00:00:00;0.94856;0.94301;0.94548;0.94676;14586
2015.06.18;04:00:00;0.94654;0.94329;0.9442;0.94547;15584
2015.06.18;08:00:00;0.94902;0.94386;0.94819;0.9442;29115
2015.06.18;12:00:00;0.95299;0.94736;0.95101;0.94819;28374
2015.06.18;16:00:00;0.95605;0.95028;0.95506;0.95104;29074
2015.06.18;20:00:00;0.95561;0.95283;0.95284;0.95504;18332
2015.06.19;00:00:00;0.95452;0.95138;0.95317;0.95277;11507
2015.06.19;04:00:00;0.95374;0.94932;0.94997;0.95319;13948
2015.06.19;08:00:00;0.95029;0.94824;0.94916;0.94999;23790
2015.06.19;12:00:00;0.95227;0.94752;0.95158;0.94914;22394
