DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;1.02844;1.02668;1.02793;1.02788;24630
2015.04.27;16:00:00;1.02932;1.02675;1.02722;1.02794;32876
2015.04.27;20:00:00;1.02815;1.02675;1.02735;1.02721;18498
2015.04.28;00:00:00;1.03203;1.02597;1.0299;1.02758;11338
2015.04.28;04:00:00;1.03246;1.02979;1.03233;1.02991;13932
2015.04.28;08:00:00;1.03329;1.02946;1.02966;1.03231;27762
2015.04.28;12:00:00;1.0354;1.02932;1.03473;1.02966;31180
2015.04.28;16:00:00;1.03716;1.0333;1.03635;1.03474;38563
2015.04.28;20:00:00;1.03935;1.03611;1.03795;1.03638;20427
2015.04.29;00:00:00;1.03922;1.03461;1.03808;1.03861;14463
2015.04.29;04:00:00;1.03915;1.03682;1.03793;1.03808;19650
2015.04.29;08:00:00;1.03821;1.03602;1.03646;1.03794;28791
2015.04.29;12:00:00;1.04184;1.03638;1.041;1.03646;34507
2015.04.29;16:00:00;1.04391;1.04051;1.04204;1.041;52095
2015.04.29;20:00:00;1.04404;1.03868;1.04017;1.04204;32746
2015.04.30;00:00:00;1.05185;1.04129;1.05106;1.04133;17704
2015.04.30;04:00:00;1.05116;1.04808;1.0493;1.05108;22130
2015.04.30;08:00:00;1.05073;1.04264;1.04296;1.04929;40333
2015.04.30;12:00:00;1.04332;1.03852;1.03959;1.04295;36411
2015.04.30;16:00:00;1.04;1.03374;1.03707;1.03963;41473
2015.04.30;20:00:00;1.0381;1.03519;1.0371;1.03707;22547
2015.05.01;00:00:00;1.03957;1.03652;1.03788;1.03705;10657
2015.05.01;04:00:00;1.04088;1.03694;1.03955;1.0379;12067
2015.05.01;08:00:00;1.0411;1.03746;1.04022;1.03957;22583
2015.05.01;12:00:00;1.04041;1.03653;1.03763;1.04023;26054
2015.05.01;16:00:00;1.03943;1.03613;1.03877;1.03762;39733
2015.05.01;20:00:00;1.04048;1.03837;1.04016;1.03876;15012
2015.05.04;00:00:00;1.0413;1.03833;1.03978;1.03833;10593
2015.05.04;04:00:00;1.04102;1.03794;1.03912;1.03977;15059
2015.05.04;08:00:00;1.04085;1.03814;1.03874;1.03912;18513
2015.05.04;12:00:00;1.04071;1.0385;1.03996;1.03875;14930
2015.05.04;16:00:00;1.04225;1.03841;1.042;1.03995;15178
2015.05.04;20:00:00;1.04216;1.03937;1.03937;1.04199;9911
2015.05.05;00:00:00;1.04053;1.03905;1.03928;1.03922;10726
2015.05.05;04:00:00;1.04748;1.0337;1.04694;1.03928;17969
2015.05.05;08:00:00;1.04967;1.04541;1.04851;1.04694;32784
2015.05.05;12:00:00;1.05143;1.04746;1.05105;1.04851;29584
2015.05.05;16:00:00;1.0532;1.04881;1.04972;1.05104;37055
2015.05.05;20:00:00;1.05092;1.04907;1.05043;1.04968;15088
2015.05.06;00:00:00;1.06196;1.04879;1.06139;1.05043;17268
2015.05.06;04:00:00;1.06594;1.0607;1.06461;1.06138;20187
2015.05.06;08:00:00;1.06528;1.06175;1.06476;1.06464;33657
2015.05.06;12:00:00;1.06839;1.06457;1.0652;1.06473;33488
2015.05.06;16:00:00;1.06654;1.0627;1.06357;1.06521;38946
2015.05.06;20:00:00;1.06357;1.05996;1.0624;1.06357;20269
2015.05.07;00:00:00;1.06423;1.06132;1.06172;1.06244;15230
2015.05.07;04:00:00;1.06435;1.05742;1.06352;1.06172;25648
2015.05.07;08:00:00;1.06423;1.06085;1.06242;1.06349;30463
2015.05.07;12:00:00;1.06539;1.06168;1.0647;1.06239;30208
2015.05.07;16:00:00;1.06538;1.06217;1.06221;1.06473;31539
2015.05.07;20:00:00;1.06257;1.06048;1.06115;1.06223;16312
2015.05.08;00:00:00;1.06348;1.05966;1.06057;1.06115;14262
2015.05.08;04:00:00;1.06407;1.05802;1.06072;1.06057;20871
2015.05.08;08:00:00;1.06537;1.06013;1.06376;1.06073;23029
2015.05.08;12:00:00;1.06544;1.05968;1.06164;1.06376;30485
2015.05.08;16:00:00;1.06326;1.05625;1.05732;1.06169;38530
2015.05.08;20:00:00;1.06035;1.05712;1.05881;1.05732;15570
2015.05.11;00:00:00;1.06957;1.06002;1.06808;1.06004;13584
2015.05.11;04:00:00;1.06866;1.0658;1.06834;1.06808;19445
2015.05.11;08:00:00;1.06985;1.06743;1.06981;1.06834;25485
2015.05.11;12:00:00;1.07205;1.06817;1.07193;1.06981;23566
2015.05.11;16:00:00;1.0758;1.07154;1.07464;1.07197;28528
2015.05.11;20:00:00;1.07577;1.0742;1.07546;1.07464;12965
2015.05.12;00:00:00;1.07645;1.0742;1.07594;1.07543;11041
2015.05.12;04:00:00;1.07673;1.07451;1.07662;1.07593;17724
2015.05.12;08:00:00;1.08005;1.07602;1.07993;1.07663;32946
2015.05.12;12:00:00;1.08325;1.07853;1.08142;1.08004;33751
2015.05.12;16:00:00;1.08422;1.08047;1.0835;1.08137;30250
2015.05.12;20:00:00;1.08522;1.08245;1.08279;1.0835;16553
2015.05.13;00:00:00;1.08946;1.07673;1.0805;1.08283;17173
2015.05.13;04:00:00;1.0846;1.0782;1.07898;1.08048;22358
2015.05.13;08:00:00;1.08006;1.07493;1.07773;1.079;27273
2015.05.13;12:00:00;1.08112;1.0767;1.07975;1.0777;34779
2015.05.13;16:00:00;1.08486;1.07971;1.08412;1.07976;36024
2015.05.13;20:00:00;1.08451;1.08256;1.08363;1.08412;13191
2015.05.14;00:00:00;1.0839;1.07331;1.07655;1.08365;17153
2015.05.14;04:00:00;1.07989;1.07655;1.07846;1.07655;20432
2015.05.14;08:00:00;1.07934;1.0752;1.07774;1.07847;30262
2015.05.14;12:00:00;1.08004;1.07747;1.07858;1.07773;28427
2015.05.14;16:00:00;1.07903;1.07497;1.07789;1.07862;31115
2015.05.14;20:00:00;1.07826;1.07601;1.077;1.0779;13683
2015.05.15;00:00:00;1.07974;1.07651;1.07918;1.07708;15582
2015.05.15;04:00:00;1.07986;1.0771;1.07767;1.0792;18858
2015.05.15;08:00:00;1.0795;1.07623;1.07656;1.07766;30592
2015.05.15;12:00:00;1.07773;1.07497;1.0761;1.07658;24078
2015.05.15;16:00:00;1.07748;1.07412;1.07469;1.07612;32113
2015.05.15;20:00:00;1.07691;1.07344;1.07481;1.0747;12776
2015.05.18;00:00:00;1.07983;1.07618;1.07691;1.07748;10872
2015.05.18;04:00:00;1.08021;1.07687;1.07861;1.07692;14318
2015.05.18;08:00:00;1.07976;1.07683;1.07944;1.07861;24575
2015.05.18;12:00:00;1.08041;1.07771;1.08031;1.07943;24035
2015.05.18;16:00:00;1.08297;1.08026;1.08181;1.08032;27262
2015.05.18;20:00:00;1.08382;1.08042;1.08072;1.08181;14486
2015.05.19;00:00:00;1.08486;1.07944;1.08254;1.08074;13799
2015.05.19;04:00:00;1.08362;1.07534;1.07652;1.08256;21609
2015.05.19;08:00:00;1.07867;1.07444;1.07452;1.07653;32467
2015.05.19;12:00:00;1.07746;1.07451;1.07554;1.07452;28583
2015.05.19;16:00:00;1.07853;1.07523;1.07744;1.07556;31433
2015.05.19;20:00:00;1.07853;1.0763;1.07721;1.07743;12938
2015.05.20;00:00:00;1.07847;1.07462;1.07597;1.07721;17282
2015.05.20;04:00:00;1.07671;1.07512;1.07571;1.07598;17806
2015.05.20;08:00:00;1.07713;1.07428;1.07644;1.07573;33658
2015.05.20;12:00:00;1.07717;1.07502;1.07588;1.07643;26135
2015.05.20;16:00:00;1.07979;1.07555;1.07893;1.07587;31253
2015.05.20;20:00:00;1.08012;1.07682;1.07725;1.07894;28064
2015.05.21;00:00:00;1.07948;1.07654;1.07864;1.07726;11803
2015.05.21;04:00:00;1.07916;1.07688;1.0776;1.07864;22171
2015.05.21;08:00:00;1.08032;1.07691;1.07911;1.07761;31192
2015.05.21;12:00:00;1.07996;1.07748;1.07748;1.07911;27804
2015.05.21;16:00:00;1.07829;1.07642;1.07723;1.07751;32550
2015.05.21;20:00:00;1.07784;1.07344;1.07356;1.07722;16600
2015.05.22;00:00:00;1.07499;1.07164;1.07175;1.07385;20360
2015.05.22;04:00:00;1.07275;1.07031;1.07201;1.07173;23776
2015.05.22;08:00:00;1.07355;1.0712;1.07137;1.07139;23369
2015.05.22;12:00:00;1.07192;1.06962;1.07107;1.07138;30526
2015.05.22;16:00:00;1.0717;1.06922;1.06927;1.07106;35210
2015.05.22;20:00:00;1.07157;1.06876;1.06992;1.06927;14870
2015.05.25;00:00:00;1.07082;1.06817;1.07034;1.06899;14138
2015.05.25;04:00:00;1.07192;1.0695;1.07104;1.07034;25373
2015.05.25;08:00:00;1.07171;1.06955;1.07127;1.07104;25256
2015.05.25;12:00:00;1.07256;1.07079;1.07109;1.07127;14528
2015.05.25;16:00:00;1.07123;1.06988;1.0705;1.07105;10157
2015.05.25;20:00:00;1.07068;1.06964;1.06969;1.07046;18273
2015.05.26;00:00:00;1.07082;1.06929;1.06992;1.06969;11599
2015.05.26;04:00:00;1.07179;1.06938;1.07045;1.06992;16285
