DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;0.78235;0.7802;0.78111;0.78107;19659
2015.04.27;16:00:00;0.78714;0.78089;0.78578;0.78112;24003
2015.04.27;20:00:00;0.78658;0.78458;0.78568;0.78578;13420
2015.04.28;00:00:00;0.78688;0.78323;0.78626;0.78568;9329
2015.04.28;04:00:00;0.78735;0.7858;0.78663;0.78627;9513
2015.04.28;08:00:00;0.79007;0.78646;0.78973;0.78664;20734
2015.04.28;12:00:00;0.7971;0.78957;0.79532;0.78973;24372
2015.04.28;16:00:00;0.80172;0.79511;0.80072;0.79532;28021
2015.04.28;20:00:00;0.80264;0.80042;0.8023;0.80071;13033
2015.04.29;00:00:00;0.80246;0.79869;0.80117;0.80229;10239
2015.04.29;04:00:00;0.80116;0.79784;0.79857;0.80114;12149
2015.04.29;08:00:00;0.80054;0.79835;0.79866;0.79858;19201
2015.04.29;12:00:00;0.80375;0.79757;0.80113;0.79865;24831
2015.04.29;16:00:00;0.80748;0.8007;0.80557;0.80112;37092
2015.04.29;20:00:00;0.80659;0.80049;0.80058;0.80556;24147
2015.04.30;00:00:00;0.80161;0.7979;0.80146;0.8004;10982
2015.04.30;04:00:00;0.80214;0.79821;0.79951;0.80149;14077
2015.04.30;08:00:00;0.79962;0.79297;0.79386;0.79951;29184
2015.04.30;12:00:00;0.794;0.78903;0.78999;0.79385;28071
2015.04.30;16:00:00;0.79025;0.78622;0.78962;0.79002;31407
2015.04.30;20:00:00;0.79191;0.789;0.79047;0.7896;16025
2015.05.01;00:00:00;0.79172;0.78826;0.78912;0.7904;8395
2015.05.01;04:00:00;0.78983;0.78727;0.7888;0.78911;9642
2015.05.01;08:00:00;0.79042;0.78625;0.7888;0.78879;15886
2015.05.01;12:00:00;0.78997;0.78486;0.78568;0.7888;18236
2015.05.01;16:00:00;0.78722;0.78024;0.78175;0.78569;29600
2015.05.01;20:00:00;0.78467;0.78168;0.7846;0.78176;10630
2015.05.04;00:00:00;0.7844;0.78083;0.78107;0.78294;8877
2015.05.04;04:00:00;0.78353;0.78013;0.78223;0.78106;11162
2015.05.04;08:00:00;0.78429;0.78159;0.78306;0.78223;14566
2015.05.04;12:00:00;0.78435;0.78217;0.78404;0.78306;13558
2015.05.04;16:00:00;0.78508;0.78295;0.78461;0.78405;13294
2015.05.04;20:00:00;0.78475;0.78326;0.78349;0.7846;6382
2015.05.05;00:00:00;0.78457;0.78333;0.78357;0.78352;7536
2015.05.05;04:00:00;0.79084;0.77866;0.79;0.78357;16464
2015.05.05;08:00:00;0.79171;0.78598;0.78734;0.78996;24752
2015.05.05;12:00:00;0.79153;0.78624;0.79064;0.78735;19899
2015.05.05;16:00:00;0.79528;0.7889;0.79451;0.79064;26760
2015.05.05;20:00:00;0.79549;0.79319;0.79397;0.79455;10345
2015.05.06;00:00:00;0.7945;0.79177;0.79362;0.79402;12508
2015.05.06;04:00:00;0.79738;0.79226;0.79684;0.79361;14833
2015.05.06;08:00:00;0.79859;0.7952;0.79776;0.79683;22725
2015.05.06;12:00:00;0.80187;0.79651;0.80103;0.79778;23420
2015.05.06;16:00:00;0.80296;0.79712;0.79724;0.80102;26825
2015.05.06;20:00:00;0.79805;0.79622;0.79686;0.79724;12468
2015.05.07;00:00:00;0.79767;0.79492;0.79618;0.79686;11325
2015.05.07;04:00:00;0.80039;0.79223;0.79782;0.79616;18445
2015.05.07;08:00:00;0.79913;0.79328;0.7945;0.79782;21272
2015.05.07;12:00:00;0.79717;0.79349;0.79575;0.7945;24512
2015.05.07;16:00:00;0.79641;0.79047;0.79047;0.79571;20402
2015.05.07;20:00:00;0.79068;0.78896;0.79056;0.79048;11026
2015.05.08;00:00:00;0.79191;0.7887;0.78957;0.79048;10362
2015.05.08;04:00:00;0.79262;0.78625;0.79113;0.78956;17281
2015.05.08;08:00:00;0.7926;0.78913;0.7909;0.7911;19173
2015.05.08;12:00:00;0.79475;0.78749;0.79377;0.79089;23112
2015.05.08;16:00:00;0.79674;0.78836;0.79192;0.79379;26385
2015.05.08;20:00:00;0.79334;0.79113;0.79334;0.79192;10311
2015.05.11;00:00:00;0.79324;0.79094;0.79138;0.7925;9533
2015.05.11;04:00:00;0.79142;0.78754;0.78902;0.79139;13670
2015.05.11;08:00:00;0.79117;0.78813;0.79013;0.78903;17159
2015.05.11;12:00:00;0.79093;0.78874;0.79067;0.79013;15336
2015.05.11;16:00:00;0.79214;0.78888;0.78995;0.79069;18927
2015.05.11;20:00:00;0.79163;0.78887;0.78894;0.78994;8131
2015.05.12;00:00:00;0.79024;0.78853;0.78901;0.7889;8228
2015.05.12;04:00:00;0.79302;0.78872;0.79256;0.789;12118
2015.05.12;08:00:00;0.79564;0.79218;0.79564;0.79258;22180
2015.05.12;12:00:00;0.79923;0.79497;0.79658;0.79567;23090
2015.05.12;16:00:00;0.79904;0.79493;0.79825;0.7966;18990
2015.05.12;20:00:00;0.79991;0.79684;0.79751;0.79825;10475
2015.05.13;00:00:00;0.80092;0.79469;0.7991;0.79754;11331
2015.05.13;04:00:00;0.79947;0.79643;0.79754;0.79907;13495
2015.05.13;08:00:00;0.80101;0.79633;0.80005;0.79755;17775
2015.05.13;12:00:00;0.80962;0.79912;0.80862;0.80005;24813
2015.05.13;16:00:00;0.81233;0.80817;0.81116;0.80864;24961
2015.05.13;20:00:00;0.81176;0.80974;0.81117;0.81116;9477
2015.05.14;00:00:00;0.81279;0.80974;0.8121;0.81115;11426
2015.05.14;04:00:00;0.81625;0.81185;0.81227;0.81211;14329
2015.05.14;08:00:00;0.81367;0.80623;0.80746;0.81228;22239
2015.05.14;12:00:00;0.81244;0.80726;0.81157;0.80745;20488
2015.05.14;16:00:00;0.81344;0.80638;0.80901;0.81158;21064
2015.05.14;20:00:00;0.80903;0.80641;0.80782;0.80901;10107
2015.05.15;00:00:00;0.80884;0.80426;0.8052;0.80764;11617
2015.05.15;04:00:00;0.80667;0.80449;0.80553;0.8052;13517
2015.05.15;08:00:00;0.80637;0.80158;0.8017;0.80552;21333
2015.05.15;12:00:00;0.80222;0.79954;0.80008;0.80172;16426
2015.05.15;16:00:00;0.80613;0.79975;0.8039;0.80009;23453
2015.05.15;20:00:00;0.8049;0.80318;0.80365;0.80389;9097
2015.05.18;00:00:00;0.80512;0.80044;0.80087;0.80325;8958
2015.05.18;04:00:00;0.80231;0.80039;0.80203;0.80088;10572
2015.05.18;08:00:00;0.80285;0.79915;0.80107;0.80202;17445
2015.05.18;12:00:00;0.80152;0.79914;0.79942;0.80107;16390
2015.05.18;16:00:00;0.80095;0.79804;0.79966;0.79942;18400
2015.05.18;20:00:00;0.80065;0.79763;0.79874;0.79965;9577
2015.05.19;00:00:00;0.79986;0.79816;0.79869;0.79888;9395
2015.05.19;04:00:00;0.79996;0.79557;0.79897;0.79872;15409
2015.05.19;08:00:00;0.80098;0.79659;0.79713;0.79896;24134
2015.05.19;12:00:00;0.7977;0.79238;0.79301;0.79713;19408
2015.05.19;16:00:00;0.79432;0.79056;0.79114;0.79302;21602
2015.05.19;20:00:00;0.79184;0.79077;0.79124;0.79114;9446
2015.05.20;00:00:00;0.79226;0.78969;0.79107;0.79129;11758
2015.05.20;04:00:00;0.79338;0.7905;0.79179;0.79107;11899
2015.05.20;08:00:00;0.79284;0.78827;0.78948;0.7918;23867
2015.05.20;12:00:00;0.79114;0.78874;0.79058;0.78947;18129
2015.05.20;16:00:00;0.79058;0.78681;0.78825;0.79058;21326
2015.05.20;20:00:00;0.79141;0.78601;0.78736;0.78826;22017
2015.05.21;00:00:00;0.78922;0.78649;0.78877;0.78722;9048
2015.05.21;04:00:00;0.7908;0.78759;0.79073;0.78878;13388
2015.05.21;08:00:00;0.79126;0.78821;0.79095;0.79072;22016
2015.05.21;12:00:00;0.79095;0.78666;0.78676;0.79095;19074
2015.05.21;16:00:00;0.78917;0.78657;0.78861;0.78678;22422
2015.05.21;20:00:00;0.78947;0.78839;0.78925;0.7886;13047
2015.05.22;00:00:00;0.7909;0.78883;0.79086;0.78924;10232
2015.05.22;04:00:00;0.7927;0.79046;0.79172;0.79087;14428
2015.05.22;08:00:00;0.79299;0.78981;0.78988;0.79164;14950
2015.05.22;12:00:00;0.79034;0.78307;0.78383;0.78989;20997
2015.05.22;16:00:00;0.78381;0.78169;0.78227;0.7838;22591
2015.05.22;20:00:00;0.78338;0.78097;0.78294;0.78222;10751
2015.05.25;00:00:00;0.78309;0.78024;0.78074;0.78224;8060
2015.05.25;04:00:00;0.78294;0.78066;0.78274;0.78074;12524
2015.05.25;08:00:00;0.78316;0.78149;0.78273;0.78273;14459
2015.05.25;12:00:00;0.78387;0.78262;0.78285;0.78272;8444
2015.05.25;16:00:00;0.7834;0.78218;0.7826;0.78284;6720
2015.05.25;20:00:00;0.78287;0.78212;0.78221;0.78261;14379
2015.05.26;00:00:00;0.78304;0.78114;0.78178;0.78215;10403
2015.05.26;04:00:00;0.78388;0.78125;0.78298;0.78179;10137
2015.05.26;08:00:00;0.78318;0.77714;0.77824;0.78298;26071
2015.05.26;12:00:00;0.78066;0.77531;0.77547;0.77822;23116
2015.05.26;16:00:00;0.77647;0.77335;0.77426;0.77547;25354
2015.05.26;20:00:00;0.77485;0.77263;0.77339;0.77427;11863
2015.05.27;00:00:00;0.77491;0.77257;0.77447;0.77339;5176
2015.05.27;04:00:00;0.77529;0.77247;0.77478;0.77444;13066
2015.05.27;08:00:00;0.77679;0.7732;0.77434;0.77478;22565
2015.05.27;12:00:00;0.77464;0.7691;0.76951;0.77433;21679
2015.05.27;16:00:00;0.77327;0.76902;0.7709;0.76952;24501
2015.05.27;20:00:00;0.77343;0.77022;0.77267;0.77089;11381
2015.05.28;00:00:00;0.77454;0.77207;0.77444;0.7723;9945
2015.05.28;04:00:00;0.77602;0.76703;0.76874;0.77445;20331
2015.05.28;08:00:00;0.77116;0.76638;0.76751;0.76874;26317
2015.05.28;12:00:00;0.7675;0.76252;0.76379;0.7675;25226
2015.05.28;16:00:00;0.76466;0.76166;0.7643;0.76379;27162
2015.05.28;20:00:00;0.76553;0.76397;0.76471;0.76431;13256
