DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;5984.5;5952;5972;5969;1138
2015.04.27;16:00:00;5988.5;5965.5;5980.5;5971.5;971
2015.04.27;20:00:00;5994;5964;5991.5;5980;738
2015.04.28;00:00:00;6017.7;5991;6012.5;5992;505
2015.04.28;04:00:00;6017.5;5991.5;5997;6012;670
2015.04.28;08:00:00;5998;5981;5991;5997.5;526
2015.04.28;12:00:00;5994.5;5964.5;5965;5990.2;1150
2015.04.28;16:00:00;5972.5;5956;5963.5;5964;1105
2015.04.28;20:00:00;5964.5;5926.8;5929;5963;1316
2015.04.29;00:00:00;5936.5;5914;5931.5;5928.5;1392
2015.04.29;04:00:00;5950.5;5916.5;5944.5;5933;1346
2015.04.29;08:00:00;5953.5;5938.5;5942.2;5944;788
2015.04.29;12:00:00;5947.1;5915.5;5917.5;5941.9;1245
2015.04.29;16:00:00;5917.5;5850.5;5856.5;5916.5;2535
2015.04.29;20:00:00;5862.5;5818;5825;5855.5;1839
2015.04.30;00:00:00;5825;5785.5;5787;5824;795
2015.04.30;04:00:00;5799.6;5768.5;5779;5786;1606
2015.04.30;08:00:00;5815.6;5771;5796;5778.5;1756
2015.04.30;12:00:00;5795.5;5747;5768.5;5793.9;2223
2015.04.30;16:00:00;5798.5;5742.5;5762;5768;3003
2015.04.30;20:00:00;5790;5753;5767.5;5762.5;2532
2015.05.01;00:00:00;5771.5;5753.5;5760.5;5767;523
2015.05.01;04:00:00;5780;5745;5771.5;5761;1507
2015.05.01;08:00:00;5781;5747.5;5768;5771;1311
2015.05.01;12:00:00;5788.5;5760.5;5786.5;5768.8;1783
2015.05.01;16:00:00;5820.5;5783;5820.5;5786;1322
2015.05.01;20:00:00;5822.5;5803;5803;5821.5;1145
2015.05.04;00:00:00;5819.5;5801;5818;5804;260
2015.05.04;04:00:00;5841;5817.5;5840;5817.5;770
2015.05.04;08:00:00;5853.5;5836.5;5853;5839;453
2015.05.04;12:00:00;5849.5;5797.5;5813.5;5838;2064
2015.05.04;16:00:00;5836.5;5789.5;5824.5;5814;1031
2015.05.04;20:00:00;5835.5;5814.4;5825;5824;1227
