DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.10.23;19:15:00;2.27476;2.2732;2.27387;2.27423;523
2015.10.23;19:30:00;2.27408;2.27279;2.27307;2.27389;439
2015.10.23;19:45:00;2.27447;2.27228;2.27372;2.27308;479
2015.10.23;20:00:00;2.27478;2.27298;2.27361;2.27368;445
2015.10.23;20:15:00;2.27366;2.27197;2.27285;2.27362;269
2015.10.23;20:30:00;2.27339;2.27179;2.27242;2.27289;404
2015.10.23;20:45:00;2.27399;2.27137;2.27169;2.27217;679
2015.10.23;21:00:00;2.27197;2.26912;2.26992;2.27173;1696
2015.10.23;21:15:00;2.27065;2.26874;2.27042;2.26996;201
2015.10.23;21:30:00;2.27078;2.26861;2.26977;2.27047;234
2015.10.23;21:45:00;2.27135;2.26899;2.26955;2.26945;553
2015.10.23;22:00:00;2.27155;2.26976;2.27048;2.26988;336
2015.10.23;22:15:00;2.27099;2.26988;2.2703;2.27042;173
2015.10.23;22:30:00;2.2704;2.26825;2.2685;2.2704;286
2015.10.23;22:45:00;2.26856;2.26613;2.26681;2.26856;279
2015.10.23;23:00:00;2.26686;2.26579;2.26585;2.26675;240
2015.10.23;23:15:00;2.26594;2.26515;2.26552;2.26581;145
2015.10.23;23:30:00;2.26681;2.26204;2.26677;2.26547;590
2015.10.23;23:45:00;2.26784;2.26458;2.26545;2.26674;347
2015.10.25;23:00:00;2.27082;2.26873;2.27036;2.26931;51
2015.10.25;23:15:00;2.27055;2.26462;2.26608;2.27033;116
2015.10.25;23:30:00;2.26987;2.26328;2.26954;2.26613;124
2015.10.25;23:45:00;2.27072;2.26295;2.26797;2.26957;201
2015.10.26;00:00:00;2.27006;2.26787;2.26967;2.26797;288
2015.10.26;00:15:00;2.27024;2.26816;2.26862;2.26967;204
2015.10.26;00:30:00;2.27132;2.2676;2.26803;2.26862;377
2015.10.26;00:45:00;2.26883;2.26575;2.268;2.26803;232
2015.10.26;01:00:00;2.26869;2.26699;2.26699;2.26793;347
2015.10.26;01:15:00;2.26892;2.26699;2.26889;2.26704;269
2015.10.26;01:30:00;2.26924;2.26729;2.26737;2.26888;338
2015.10.26;01:45:00;2.26942;2.26734;2.26894;2.2674;210
2015.10.26;02:00:00;2.2696;2.26693;2.26874;2.26891;633
2015.10.26;02:15:00;2.26902;2.26707;2.2685;2.26877;492
2015.10.26;02:30:00;2.26924;2.26721;2.26841;2.26846;404
2015.10.26;02:45:00;2.26959;2.26633;2.26878;2.26845;555
2015.10.26;03:00:00;2.26875;2.26535;2.26678;2.26874;551
2015.10.26;03:15:00;2.26748;2.26593;2.26597;2.26674;518
2015.10.26;03:30:00;2.26621;2.26479;2.26594;2.26594;427
2015.10.26;03:45:00;2.2666;2.26455;2.26511;2.26594;584
2015.10.26;04:00:00;2.26529;2.26395;2.26455;2.26513;506
2015.10.26;04:15:00;2.26508;2.26314;2.26431;2.26452;511
2015.10.26;04:30:00;2.26485;2.26311;2.26413;2.26431;505
2015.10.26;04:45:00;2.26485;2.26345;2.2636;2.26416;546
2015.10.26;05:00:00;2.26393;2.26262;2.26262;2.2636;712
2015.10.26;05:15:00;2.26261;2.2599;2.26162;2.26261;582
2015.10.26;05:30:00;2.26182;2.25764;2.25973;2.26165;515
2015.10.26;05:45:00;2.26106;2.25888;2.26089;2.25967;311
2015.10.26;06:00:00;2.26156;2.25907;2.2608;2.26092;417
2015.10.26;06:15:00;2.26169;2.25994;2.26007;2.26077;231
2015.10.26;06:30:00;2.26112;2.25932;2.26003;2.26007;494
2015.10.26;06:45:00;2.26102;2.259;2.25985;2.26007;476
2015.10.26;07:00:00;2.26076;2.25933;2.26021;2.25968;408
2015.10.26;07:15:00;2.26073;2.25921;2.25979;2.26019;486
2015.10.26;07:30:00;2.26172;2.2597;2.26105;2.2598;434
2015.10.26;07:45:00;2.26106;2.25972;2.26019;2.26101;478
2015.10.26;08:00:00;2.26017;2.25882;2.25904;2.26017;322
2015.10.26;08:15:00;2.25994;2.25896;2.25927;2.25909;322
2015.10.26;08:30:00;2.2598;2.25783;2.25927;2.25934;361
2015.10.26;08:45:00;2.25974;2.25838;2.25952;2.25928;601
2015.10.26;09:00:00;2.26197;2.25928;2.26098;2.25955;697
2015.10.26;09:15:00;2.26299;2.26046;2.26284;2.26102;836
2015.10.26;09:30:00;2.26471;2.2626;2.26367;2.26284;888
2015.10.26;09:45:00;2.26432;2.26187;2.26259;2.26364;1067
2015.10.26;10:00:00;2.26794;2.26254;2.26706;2.26273;1191
2015.10.26;10:15:00;2.26808;2.26585;2.26674;2.26702;973
2015.10.26;10:30:00;2.2677;2.26284;2.26344;2.26677;966
2015.10.26;10:45:00;2.26572;2.26274;2.26528;2.26342;722
2015.10.26;11:00:00;2.26887;2.26493;2.26769;2.26531;1089
2015.10.26;11:15:00;2.26888;2.26712;2.26801;2.26771;955
2015.10.26;11:30:00;2.26976;2.26728;2.26915;2.26799;616
2015.10.26;11:45:00;2.2708;2.26915;2.26948;2.26918;697
2015.10.26;12:00:00;2.26964;2.26677;2.26707;2.2695;721
2015.10.26;12:15:00;2.26864;2.26575;2.26665;2.2671;669
2015.10.26;12:30:00;2.26717;2.26517;2.26596;2.26662;708
2015.10.26;12:45:00;2.26797;2.26556;2.26693;2.26593;642
2015.10.26;13:00:00;2.26731;2.26503;2.26629;2.2669;729
2015.10.26;13:15:00;2.26663;2.26426;2.26545;2.26625;757
2015.10.26;13:30:00;2.26615;2.26464;2.26501;2.26549;512
2015.10.26;13:45:00;2.26658;2.26503;2.26581;2.26503;675
2015.10.26;14:00:00;2.26606;2.264;2.26409;2.26589;280
