DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.09.03;16:00:00;1.528;1.52181;1.52541;1.52705;25390
2015.09.03;20:00:00;1.52682;1.52518;1.52557;1.52542;11349
2015.09.04;00:00:00;1.52582;1.52461;1.52495;1.52559;8650
2015.09.04;04:00:00;1.52525;1.52255;1.52318;1.52495;11319
2015.09.04;08:00:00;1.5255;1.52126;1.52373;1.52318;16897
2015.09.04;12:00:00;1.52728;1.51979;1.51979;1.52374;20085
2015.09.04;16:00:00;1.52082;1.51641;1.51983;1.51979;23150
2015.09.04;20:00:00;1.52114;1.51625;1.51684;1.51982;10857
2015.09.07;00:00:00;1.52015;1.51741;1.51868;1.51754;10461
2015.09.07;04:00:00;1.51955;1.51852;1.51879;1.51867;11581
2015.09.07;08:00:00;1.52611;1.51703;1.52589;1.51878;18284
2015.09.07;12:00:00;1.52781;1.5245;1.52506;1.52589;17535
2015.09.07;16:00:00;1.52873;1.52495;1.52827;1.52506;13634
2015.09.07;20:00:00;1.52873;1.52678;1.52708;1.52827;15522
2015.09.08;00:00:00;1.52791;1.52678;1.52752;1.52711;8275
2015.09.08;04:00:00;1.53143;1.5274;1.53131;1.52752;11342
2015.09.08;08:00:00;1.53878;1.53112;1.53774;1.53131;20408
2015.09.08;12:00:00;1.54115;1.53672;1.53945;1.53774;18556
2015.09.08;16:00:00;1.53971;1.53553;1.53711;1.53946;17377
2015.09.08;20:00:00;1.5402;1.53667;1.53942;1.53712;9225
2015.09.09;00:00:00;1.54001;1.53868;1.53996;1.53921;8380
2015.09.09;04:00:00;1.54035;1.53813;1.5383;1.53997;9914
2015.09.09;08:00:00;1.54003;1.53499;1.53547;1.5383;17922
2015.09.09;12:00:00;1.53772;1.53487;1.53647;1.53549;17295
2015.09.09;16:00:00;1.53897;1.53558;1.53629;1.53651;18412
2015.09.09;20:00:00;1.53724;1.53524;1.53655;1.53628;13957
2015.09.10;00:00:00;1.53672;1.53529;1.5356;1.53668;12900
2015.09.10;04:00:00;1.53602;1.53498;1.5351;1.53559;11739
2015.09.10;08:00:00;1.53877;1.53378;1.53873;1.5351;20678
2015.09.10;12:00:00;1.54477;1.53685;1.53942;1.53873;23424
2015.09.10;16:00:00;1.54751;1.53909;1.54373;1.53942;23970
2015.09.10;20:00:00;1.54725;1.54361;1.54409;1.54377;13333
2015.09.11;00:00:00;1.54489;1.5434;1.54399;1.54409;11822
2015.09.11;04:00:00;1.54607;1.54359;1.54572;1.544;9566
2015.09.11;08:00:00;1.54601;1.54225;1.54312;1.54573;16836
2015.09.11;12:00:00;1.54401;1.54044;1.54296;1.54312;17726
2015.09.11;16:00:00;1.54358;1.5399;1.54291;1.54296;18712
2015.09.11;20:00:00;1.54411;1.54212;1.54255;1.54292;9768
2015.09.14;00:00:00;1.54572;1.54249;1.54515;1.54281;6472
2015.09.14;04:00:00;1.54581;1.54357;1.54362;1.54516;9107
2015.09.14;08:00:00;1.54699;1.54324;1.54479;1.54361;15834
2015.09.14;12:00:00;1.54614;1.53965;1.5398;1.54479;16432
2015.09.14;16:00:00;1.5426;1.53719;1.54255;1.53979;14676
2015.09.14;20:00:00;1.54331;1.54187;1.54232;1.54255;7117
2015.09.15;00:00:00;1.54308;1.54178;1.54232;1.54234;7752
2015.09.15;04:00:00;1.54324;1.54163;1.54284;1.54234;7777
2015.09.15;08:00:00;1.54561;1.54011;1.54369;1.54285;16140
2015.09.15;12:00:00;1.54404;1.53902;1.5393;1.54367;16508
2015.09.15;16:00:00;1.53964;1.534;1.53541;1.53928;16465
2015.09.15;20:00:00;1.53565;1.53287;1.53417;1.53539;8017
2015.09.16;00:00:00;1.53474;1.53337;1.53399;1.53423;6032
2015.09.16;04:00:00;1.53556;1.5339;1.53521;1.53399;8232
2015.09.16;08:00:00;1.54171;1.53291;1.54008;1.53521;18121
2015.09.16;12:00:00;1.54592;1.53908;1.54491;1.54009;20393
2015.09.16;16:00:00;1.55277;1.54451;1.5482;1.54489;20186
2015.09.16;20:00:00;1.55029;1.54813;1.54877;1.54823;8228
2015.09.17;00:00:00;1.55191;1.54873;1.55053;1.54876;8001
2015.09.17;04:00:00;1.55198;1.55023;1.55041;1.55054;8978
2015.09.17;08:00:00;1.55245;1.54851;1.5502;1.55041;15047
2015.09.17;12:00:00;1.55479;1.55015;1.55375;1.55021;14309
2015.09.17;16:00:00;1.5548;1.5497;1.55179;1.55376;16727
2015.09.17;20:00:00;1.56269;1.55126;1.55881;1.55178;33996
2015.09.18;00:00:00;1.5589;1.55557;1.55656;1.55886;12812
2015.09.18;04:00:00;1.55796;1.55572;1.55698;1.55655;10969
2015.09.18;08:00:00;1.56323;1.5563;1.56311;1.55698;18493
2015.09.18;12:00:00;1.56577;1.56145;1.56478;1.56309;21503
2015.09.18;16:00:00;1.5656;1.55612;1.55795;1.56479;21854
2015.09.18;20:00:00;1.55804;1.55135;1.55234;1.558;14225
2015.09.21;00:00:00;1.55405;1.55143;1.55403;1.55225;7917
2015.09.21;04:00:00;1.55435;1.55304;1.55353;1.55403;8404
2015.09.21;08:00:00;1.5567;1.55207;1.5522;1.55352;16113
2015.09.21;12:00:00;1.55485;1.55042;1.55347;1.5522;18447
2015.09.21;16:00:00;1.55347;1.54798;1.55042;1.55347;20289
2015.09.21;20:00:00;1.55094;1.54916;1.5506;1.55042;10365
2015.09.22;00:00:00;1.55156;1.55029;1.55116;1.55074;7443
2015.09.22;04:00:00;1.55279;1.55104;1.55124;1.55115;10237
2015.09.22;08:00:00;1.5513;1.546;1.54781;1.55126;18223
2015.09.22;12:00:00;1.54868;1.54282;1.54318;1.54781;20887
2015.09.22;16:00:00;1.54329;1.53396;1.53714;1.54321;21781
2015.09.22;20:00:00;1.53816;1.53557;1.53719;1.53714;7270
