DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;98.233;97.864;98.096;97.888;12786
2015.04.27;16:00:00;98.673;98.095;98.25;98.095;19004
2015.04.27;20:00:00;98.512;98.215;98.464;98.25;10603
2015.04.28;00:00:00;98.537;98.383;98.474;98.446;9004
2015.04.28;04:00:00;98.515;98.343;98.343;98.472;6103
2015.04.28;08:00:00;98.464;98.263;98.377;98.341;14174
2015.04.28;12:00:00;98.678;98.333;98.64;98.376;16817
2015.04.28;16:00:00;98.888;98.374;98.883;98.643;24699
2015.04.28;20:00:00;98.916;98.717;98.752;98.883;11676
2015.04.29;00:00:00;98.841;98.616;98.676;98.764;5990
2015.04.29;04:00:00;98.73;98.635;98.707;98.675;3660
2015.04.29;08:00:00;99.128;98.704;99.118;98.707;12982
2015.04.29;12:00:00;99.243;98.62;99.156;99.113;20916
2015.04.29;16:00:00;99.475;99.055;99.122;99.155;33621
2015.04.29;20:00:00;99.154;98.671;98.994;99.122;21234
2015.04.30;00:00:00;99.147;98.89;99.014;98.993;12229
2015.04.30;04:00:00;99.025;98.524;98.618;99.014;12380
2015.04.30;08:00:00;99.062;98.443;98.833;98.617;20498
2015.04.30;12:00:00;99.145;98.62;99.068;98.83;20408
2015.04.30;16:00:00;99.142;98.612;98.921;99.067;31349
2015.04.30;20:00:00;99.007;98.519;98.801;98.921;14410
2015.05.01;00:00:00;99.04;98.831;98.975;98.85;7019
2015.05.01;04:00:00;98.996;98.88;98.955;98.981;5846
2015.05.01;08:00:00;99.16;98.923;99.012;98.959;12471
2015.05.01;12:00:00;99.111;98.677;98.853;99.011;12760
2015.05.01;16:00:00;99.023;98.389;98.71;98.851;20850
2015.05.01;20:00:00;98.895;98.6;98.752;98.713;7715
2015.05.04;00:00:00;98.873;98.631;98.705;98.861;5238
2015.05.04;04:00:00;98.716;98.532;98.646;98.705;4487
2015.05.04;08:00:00;98.889;98.621;98.88;98.648;9553
2015.05.04;12:00:00;99.332;98.879;99.291;98.879;9648
2015.05.04;16:00:00;99.318;99.049;99.187;99.293;14480
2015.05.04;20:00:00;99.351;99.098;99.263;99.188;6580
2015.05.05;00:00:00;99.356;99.209;99.227;99.271;4296
2015.05.05;04:00:00;99.256;99.059;99.078;99.226;5204
2015.05.05;08:00:00;99.335;99.011;99.256;99.077;14375
2015.05.05;12:00:00;99.741;99.228;99.615;99.255;16980
2015.05.05;16:00:00;99.983;99.459;99.541;99.617;27824
2015.05.05;20:00:00;99.544;99.208;99.268;99.539;10621
2015.05.06;00:00:00;99.34;99.205;99.251;99.28;7109
2015.05.06;04:00:00;99.687;99.239;99.625;99.252;6763
2015.05.06;08:00:00;99.628;99.32;99.553;99.627;17383
2015.05.06;12:00:00;99.762;99.426;99.57;99.552;19836
2015.05.06;16:00:00;99.899;99.212;99.374;99.57;29300
2015.05.06;20:00:00;99.389;98.941;99.101;99.373;13032
2015.05.07;00:00:00;99.234;99.013;99.066;99.118;9784
2015.05.07;04:00:00;99.261;99.049;99.172;99.067;7392
2015.05.07;08:00:00;99.265;98.699;98.836;99.169;17867
2015.05.07;12:00:00;98.872;98.496;98.782;98.836;23558
2015.05.07;16:00:00;98.811;98.212;98.565;98.778;22901
2015.05.07;20:00:00;98.861;98.465;98.684;98.567;9831
2015.05.08;00:00:00;99.003;98.614;98.952;98.686;9081
2015.05.08;04:00:00;99.106;98.909;98.999;98.951;10505
2015.05.08;08:00:00;99.253;98.923;99.251;99.001;16354
2015.05.08;12:00:00;99.417;98.864;99.024;99.254;21477
2015.05.08;16:00:00;99.123;98.627;98.969;99.026;25106
2015.05.08;20:00:00;99.206;98.922;99.102;98.968;8307
2015.05.11;00:00:00;99.103;98.933;98.955;99.005;6334
2015.05.11;04:00:00;99.032;98.791;98.862;98.957;8913
2015.05.11;08:00:00;98.976;98.79;98.816;98.867;13316
