DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;124.878;124.58;124.709;124.661;27215
2015.04.27;16:00:00;125.455;124.664;124.958;124.71;32629
2015.04.27;20:00:00;125.015;124.442;124.588;124.958;16267
2015.04.28;00:00:00;124.778;124.518;124.751;124.518;13082
2015.04.28;04:00:00;124.802;124.657;124.699;124.751;13448
2015.04.28;08:00:00;124.872;124.415;124.507;124.699;29724
2015.04.28;12:00:00;124.577;123.961;124.241;124.501;34191
2015.04.28;16:00:00;125.035;124.058;124.549;124.241;37765
2015.04.28;20:00:00;124.72;124.266;124.357;124.548;16009
2015.04.29;00:00:00;124.507;124.235;124.345;124.358;9251
2015.04.29;04:00:00;124.366;124.21;124.213;124.346;10207
2015.04.29;08:00:00;124.97;124.128;124.945;124.214;26117
2015.04.29;12:00:00;125.723;124.827;125.22;124.944;34787
2015.04.29;16:00:00;127.22;125.126;126.537;125.222;47745
2015.04.29;20:00:00;126.732;126.271;126.642;126.536;26886
2015.04.30;00:00:00;126.742;126.491;126.667;126.641;13500
2015.04.30;04:00:00;126.671;126.113;126.223;126.665;20504
2015.04.30;08:00:00;127.429;125.878;126.967;126.228;39531
2015.04.30;12:00:00;127.172;126.272;127.038;126.968;35476
2015.04.30;16:00:00;127.921;126.559;127.526;127.039;43757
2015.04.30;20:00:00;128.273;127.323;128.002;127.524;20677
2015.05.01;00:00:00;128.17;127.914;128.134;128;9558
2015.05.01;04:00:00;128.204;128.037;128.185;128.136;10650
2015.05.01;08:00:00;128.687;128.16;128.575;128.182;22588
2015.05.01;12:00:00;129.159;128.471;128.881;128.577;22488
2015.05.01;16:00:00;129.145;128.555;128.62;128.884;34904
2015.05.01;20:00:00;128.892;128.621;128.842;128.623;11662
2015.05.04;00:00:00;128.867;128.369;128.707;128.582;10144
2015.05.04;04:00:00;128.755;128.556;128.593;128.708;9303
2015.05.04;08:00:00;128.71;128.035;128.184;128.593;20746
2015.05.04;12:00:00;128.877;128.181;128.822;128.184;23341
2015.05.04;16:00:00;128.979;128.407;128.466;128.822;27907
2015.05.04;20:00:00;128.734;128.425;128.62;128.468;13288
2015.05.05;00:00:00;128.7;128.537;128.619;128.622;7507
2015.05.05;04:00:00;128.683;128.27;128.325;128.618;12014
2015.05.05;08:00:00;128.476;127.776;128.287;128.325;30494
2015.05.05;12:00:00;129.462;128.263;129.003;128.287;33775
2015.05.05;16:00:00;129.722;128.898;129.585;129.003;40383
2015.05.05;20:00:00;129.677;129.223;129.3;129.586;14385
2015.05.06;00:00:00;129.387;129.217;129.331;129.291;7982
2015.05.06;04:00:00;129.75;129.292;129.635;129.331;16114
2015.05.06;08:00:00;129.857;129.406;129.497;129.635;35284
2015.05.06;12:00:00;130.002;129.336;129.934;129.496;35777
2015.05.06;16:00:00;130.837;129.745;130.32;129.94;40852
2015.05.06;20:00:00;130.577;130.242;130.336;130.32;15382
2015.05.07;00:00:00;130.413;130.171;130.245;130.337;13277
2015.05.07;04:00:00;130.475;130.222;130.295;130.245;16153
2015.05.07;08:00:00;130.872;130.261;130.84;130.297;34067
2015.05.07;12:00:00;131.405;130.073;130.344;130.84;41788
2015.05.07;16:00:00;130.407;129.73;129.92;130.342;37110
2015.05.07;20:00:00;130.08;129.799;129.862;129.923;13290
2015.05.08;00:00:00;129.96;129.612;129.896;129.862;14918
2015.05.08;04:00:00;130.104;129.706;129.909;129.896;23071
2015.05.08;08:00:00;130.367;129.65;130.259;129.911;32014
2015.05.08;12:00:00;130.372;129.422;129.677;130.255;32185
2015.05.08;16:00:00;129.795;128.673;128.727;129.675;41241
2015.05.08;20:00:00;128.846;128.403;128.49;128.729;12488
2015.05.11;00:00:00;128.655;128.278;128.387;128.334;11986
2015.05.11;04:00:00;128.498;128.218;128.397;128.387;17917
2015.05.11;08:00:00;129.032;128.331;128.844;128.401;30268
2015.05.11;12:00:00;128.899;128.287;128.291;128.842;24125
2015.05.11;16:00:00;128.684;128.213;128.485;128.292;29671
2015.05.11;20:00:00;128.66;128.354;128.51;128.487;9542
2015.05.12;00:00:00;128.599;128.331;128.421;128.51;11441
2015.05.12;04:00:00;128.799;128.391;128.793;128.421;14140
2015.05.12;08:00:00;129.943;128.735;129.783;128.793;34136
2015.05.12;12:00:00;130.236;129.527;129.563;129.784;34410
2015.05.12;16:00:00;130.017;129.144;129.176;129.562;32972
2015.05.12;20:00:00;129.203;128.927;128.939;129.177;10861
2015.05.13;00:00:00;129.097;128.863;129.017;128.938;12715
2015.05.13;04:00:00;129.399;128.878;129.3;129.017;19113
2015.05.13;08:00:00;129.585;129.047;129.076;129.301;27962
2015.05.13;12:00:00;129.59;128.896;129.448;129.077;33878
2015.05.13;16:00:00;130.03;129.24;129.874;129.447;40633
2015.05.13;20:00:00;130.036;129.732;129.955;129.874;14126
2015.05.14;00:00:00;130.042;129.868;130.011;129.954;12585
2015.05.14;04:00:00;130.197;129.947;130.168;130.01;17576
2015.05.14;08:00:00;130.512;130.011;130.434;130.167;32861
2015.05.14;12:00:00;131.282;130.381;130.671;130.433;33646
2015.05.14;16:00:00;130.692;130.105;130.349;130.672;36264
2015.05.14;20:00:00;130.676;130.284;130.564;130.352;12640
2015.05.15;00:00:00;130.696;130.521;130.657;130.554;12218
2015.05.15;04:00:00;130.866;130.645;130.764;130.657;14774
2015.05.15;08:00:00;130.996;130.229;130.266;130.764;33074
2015.05.15;12:00:00;130.483;129.545;129.611;130.264;31075
2015.05.15;16:00:00;130.324;129.347;130.061;129.609;39391
2015.05.15;20:00:00;130.547;130.034;130.306;130.062;14745
2015.05.18;00:00:00;130.463;130.041;130.4;130.096;10133
