DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;1.39683;1.39068;1.39393;1.39378;9396
2015.04.27;16:00:00;1.39548;1.39108;1.39198;1.39388;7937
2015.04.27;20:00:00;1.39678;1.39148;1.39413;1.39203;10903
2015.04.28;00:00:00;1.39463;1.38773;1.38918;1.39408;4733
2015.04.28;04:00:00;1.39093;1.38588;1.39073;1.38913;2642
2015.04.28;08:00:00;1.39273;1.38993;1.39023;1.39068;3396
2015.04.28;12:00:00;1.39188;1.38688;1.38703;1.39028;9497
2015.04.28;16:00:00;1.38813;1.37803;1.37813;1.38698;11211
2015.04.28;20:00:00;1.38538;1.37533;1.38078;1.37808;12026
2015.04.29;00:00:00;1.38243;1.37623;1.37833;1.38073;4914
2015.04.29;04:00:00;1.38043;1.37563;1.37988;1.37843;2818
2015.04.29;08:00:00;1.38248;1.37958;1.38053;1.37983;3655
2015.04.29;12:00:00;1.38488;1.37938;1.38433;1.38048;8347
2015.04.29;16:00:00;1.39408;1.38293;1.38793;1.38438;11310
2015.04.29;20:00:00;1.40898;1.38573;1.40388;1.38788;16440
2015.04.30;00:00:00;1.40628;1.39768;1.40358;1.40393;9950
2015.04.30;04:00:00;1.40673;1.40283;1.40478;1.40408;2934
2015.04.30;08:00:00;1.40808;1.40343;1.40703;1.40483;4803
2015.04.30;12:00:00;1.41763;1.40563;1.41138;1.40708;12810
2015.04.30;16:00:00;1.41318;1.40228;1.40988;1.41153;13550
2015.04.30;20:00:00;1.41453;1.40408;1.41243;1.40993;15602
2015.05.01;00:00:00;1.42188;1.41123;1.41878;1.41243;7630
2015.05.01;04:00:00;1.41968;1.41643;1.41713;1.41883;2406
2015.05.01;08:00:00;1.41803;1.41608;1.41788;1.41718;2322
2015.05.01;12:00:00;1.42168;1.41718;1.42078;1.41783;7644
2015.05.01;16:00:00;1.42733;1.42028;1.42513;1.42083;8844
2015.05.01;20:00:00;1.42798;1.42158;1.42263;1.42518;12130
2015.05.04;00:00:00;1.42663;1.42253;1.42468;1.42268;4245
2015.05.04;04:00:00;1.42693;1.41978;1.42683;1.42093;3284
2015.05.04;08:00:00;1.42748;1.42488;1.42578;1.42678;3196
2015.05.04;12:00:00;1.42648;1.41913;1.42118;1.42573;8045
2015.05.04;16:00:00;1.42783;1.42083;1.42703;1.42128;8273
2015.05.04;20:00:00;1.42878;1.42258;1.42418;1.42698;9096
2015.05.05;00:00:00;1.42648;1.42368;1.42443;1.42413;3924
2015.05.05;04:00:00;1.42733;1.42413;1.42708;1.42433;2915
2015.05.05;08:00:00;1.42953;1.42478;1.42698;1.42703;4016
2015.05.05;12:00:00;1.42928;1.42053;1.42558;1.42693;10330
2015.05.05;16:00:00;1.43573;1.42508;1.43223;1.42563;11871
2015.05.05;20:00:00;1.44108;1.42963;1.43903;1.43218;13690
2015.05.06;00:00:00;1.44008;1.43548;1.43688;1.43908;4677
2015.05.06;04:00:00;1.43728;1.43498;1.43593;1.43683;2620
2015.05.06;08:00:00;1.43738;1.43323;1.43523;1.43588;5679
2015.05.06;12:00:00;1.43903;1.43433;1.43593;1.43528;11644
2015.05.06;16:00:00;1.44178;1.43418;1.44023;1.43598;12841
2015.05.06;20:00:00;1.45013;1.43788;1.44448;1.44033;14990
2015.05.07;00:00:00;1.44783;1.44253;1.44363;1.44458;5372
2015.05.07;04:00:00;1.44598;1.44248;1.44573;1.44368;3009
2015.05.07;08:00:00;1.44923;1.44578;1.44808;1.44578;4596
2015.05.07;12:00:00;1.45883;1.44783;1.45803;1.44803;11617
2015.05.07;16:00:00;1.46548;1.45038;1.45373;1.45798;14474
2015.05.07;20:00:00;1.45438;1.44563;1.44568;1.45368;12199
2015.05.08;00:00:00;1.44648;1.44418;1.44503;1.44573;4788
2015.05.08;04:00:00;1.44603;1.44258;1.44388;1.44523;4709
2015.05.08;08:00:00;1.44678;1.44073;1.44203;1.44383;6954
2015.05.08;12:00:00;1.44478;1.43763;1.44368;1.44198;11240
2015.05.08;16:00:00;1.44438;1.43283;1.43708;1.44363;12021
2015.05.08;20:00:00;1.43903;1.42833;1.42838;1.43713;13254
2015.05.11;00:00:00;1.42938;1.42278;1.42498;1.42843;4101
2015.05.11;04:00:00;1.42883;1.42263;1.42778;1.42263;2946
2015.05.11;08:00:00;1.42903;1.42523;1.42898;1.42768;4920
2015.05.11;12:00:00;1.43578;1.42848;1.43338;1.42893;9273
2015.05.11;16:00:00;1.43413;1.42788;1.42798;1.43328;9131
2015.05.11;20:00:00;1.43173;1.42733;1.42968;1.42793;10392
2015.05.12;00:00:00;1.43198;1.42858;1.43073;1.42963;3693
2015.05.12;04:00:00;1.43253;1.42928;1.43173;1.43073;2283
2015.05.12;08:00:00;1.43463;1.43113;1.43453;1.43168;3952
2015.05.12;12:00:00;1.44573;1.43313;1.44373;1.43443;10915
2015.05.12;16:00:00;1.44873;1.44088;1.44178;1.44378;11231
2015.05.12;20:00:00;1.44743;1.43648;1.43753;1.44183;10767
2015.05.13;00:00:00;1.43758;1.43483;1.43483;1.43748;4201
2015.05.13;04:00:00;1.43718;1.43328;1.43598;1.43483;2737
2015.05.13;08:00:00;1.43988;1.43538;1.43978;1.43603;4693
2015.05.13;12:00:00;1.44253;1.43318;1.43338;1.43973;9327
