DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.07.02;08:00:00;14167;13874;14149;14066;504
2015.07.02;12:00:00;14190;14042;14183;14154;268
2015.07.02;16:00:00;14208;14180;14205;14180;32
2015.07.02;20:00:00;14223;14193;14213;14205;53
2015.07.03;00:00:00;14193;13752;13754;14188;449
2015.07.03;04:00:00;13864;13502;13638;13752;611
2015.07.03;08:00:00;13670;13595;13628;13635;144
2015.07.03;12:00:00;13648;13520;13578;13625;210
2015.07.03;16:00:00;13988;13512;13927;13565;591
2015.07.03;20:00:00;13953;13379;13560;13924;785
2015.07.06;00:00:00;13568;13440;13450;13560;147
2015.07.06;04:00:00;13463;13430;13430;13450;47
2015.07.06;08:00:00;13579;13373;13446;13455;404
2015.07.06;12:00:00;13493;13180;13248;13444;431
2015.07.06;16:00:00;13303;13228;13298;13250;103
2015.07.06;20:00:00;13310;13290;13295;13298;38
2015.07.07;00:00:00;13497;13344;13357;13391;273
2015.07.07;04:00:00;13443;13104;13415;13354;618
2015.07.07;08:00:00;13565;13410;13535;13410;186
2015.07.07;12:00:00;13538;13503;13510;13535;46
2015.07.07;16:00:00;13638;13283;13417;13598;530
2015.07.07;20:00:00;13673;13426;13648;13426;273
2015.07.08;00:00:00;13688;13645;13668;13648;67
2015.07.08;04:00:00;13683;13665;13673;13668;32
2015.07.08;08:00:00;13722;13501;13624;13658;409
2015.07.08;12:00:00;13726;13485;13535;13627;391
2015.07.08;16:00:00;13623;13535;13605;13535;107
2015.07.08;20:00:00;13640;13605;13618;13605;58
2015.07.09;00:00:00;13718;13517;13532;13610;325
2015.07.09;04:00:00;13564;13247;13320;13533;422
2015.07.09;08:00:00;13350;13285;13310;13320;121
2015.07.09;12:00:00;13330;13300;13320;13308;49
2015.07.09;16:00:00;13489;13292;13347;13313;361
2015.07.09;20:00:00;13384;13222;13348;13349;324
2015.07.10;00:00:00;13395;13340;13380;13348;79
2015.07.10;04:00:00;13415;13380;13415;13383;39
2015.07.10;08:00:00;13389;12977;13137;13367;595
2015.07.10;12:00:00;13328;12957;13115;13138;720
2015.07.10;16:00:00;13200;13115;13185;13115;101
2015.07.10;20:00:00;13185;13173;13185;13185;25
2015.07.13;00:00:00;13170;13004;13074;13170;237
2015.07.13;04:00:00;13099;12822;12868;13083;340
2015.07.13;08:00:00;12875;12850;12860;12868;43
2015.07.13;12:00:00;12865;12850;12850;12860;21
2015.07.13;16:00:00;13479;12859;13464;12865;642
2015.07.13;20:00:00;13574;13293;13568;13466;461
2015.07.14;00:00:00;13580;13538;13578;13573;80
2015.07.14;04:00:00;13580;13558;13565;13578;32
2015.07.14;08:00:00;13634;13422;13577;13553;401
2015.07.14;12:00:00;13794;13398;13490;13578;705
2015.07.14;16:00:00;13528;13485;13515;13490;62
2015.07.14;20:00:00;13520;13480;13493;13515;59
2015.07.15;00:00:00;13632;13462;13598;13499;242
2015.07.15;04:00:00;13709;13459;13683;13599;417
2015.07.15;08:00:00;13695;13670;13695;13683;39
2015.07.15;12:00:00;13710;13690;13695;13695;41
2015.07.15;16:00:00;14008;13659;13981;13694;412
2015.07.15;20:00:00;14205;13916;14173;13983;389
2015.07.16;00:00:00;14230;14168;14223;14173;75
2015.07.16;04:00:00;14225;14208;14220;14220;35
2015.07.16;08:00:00;14462;14051;14399;14082;506
2015.07.16;12:00:00;14685;14332;14648;14404;463
2015.07.16;16:00:00;14685;14640;14685;14648;54
2015.07.16;20:00:00;14683;14660;14660;14680;27
2015.07.17;00:00:00;14749;14397;14627;14685;647
2015.07.17;04:00:00;14968;14484;14773;14628;824
2015.07.17;08:00:00;14800;14583;14585;14773;247
2015.07.17;12:00:00;14620;14575;14575;14585;81
2015.07.17;16:00:00;14707;14379;14427;14628;456
2015.07.17;20:00:00;14432;14247;14310;14423;258
2015.07.20;00:00:00;14330;14298;14328;14303;40
2015.07.20;04:00:00;14338;14310;14320;14328;49
2015.07.20;08:00:00;14414;14062;14068;14320;453
2015.07.20;12:00:00;14089;13184;13325;14063;1073
2015.07.20;16:00:00;13478;13323;13465;13323;169
2015.07.20;20:00:00;13520;13458;13473;13463;115
2015.07.21;00:00:00;13556;13154;13413;13490;728
2015.07.21;04:00:00;13534;13036;13358;13418;937
2015.07.21;08:00:00;13370;13283;13340;13358;157
2015.07.21;12:00:00;13340;13313;13315;13335;35
2015.07.21;16:00:00;13609;13152;13593;13338;660
2015.07.21;20:00:00;14063;13539;13958;13589;680
2015.07.22;00:00:00;13965;13908;13933;13955;93
2015.07.22;04:00:00;13938;13923;13928;13933;26
2015.07.22;08:00:00;13977;13697;13733;13933;361
2015.07.22;12:00:00;13934;13607;13795;13728;588
2015.07.22;16:00:00;13863;13788;13855;13795;91
2015.07.22;20:00:00;13878;13850;13875;13855;37
2015.07.23;00:00:00;13983;13681;13749;13864;490
2015.07.23;04:00:00;13943;13618;13803;13752;600
2015.07.23;08:00:00;13800;13783;13795;13800;30
2015.07.23;12:00:00;13833;13790;13833;13795;49
2015.07.23;16:00:00;14194;13501;13627;13796;1218
2015.07.23;20:00:00;14324;13067;14153;13628;1990
2015.07.24;00:00:00;14158;14080;14083;14153;87
2015.07.24;04:00:00;14083;14045;14048;14080;45
2015.07.24;08:00:00;14351;13709;13728;14087;926
2015.07.24;12:00:00;14159;13649;13975;13719;765
2015.07.24;16:00:00;13985;13940;13948;13968;71
2015.07.24;20:00:00;13963;13938;13955;13945;41
2015.07.27;00:00:00;14466;13904;14451;13965;639
2015.07.27;04:00:00;14888;14423;14843;14453;541
2015.07.27;08:00:00;14875;14798;14843;14843;155
2015.07.27;12:00:00;14843;14795;14815;14843;69
2015.07.27;16:00:00;14944;14368;14431;14813;771
2015.07.27;20:00:00;14634;14304;14338;14429;570
2015.07.28;00:00:00;14408;14315;14373;14340;154
2015.07.28;04:00:00;14370;14315;14320;14370;61
2015.07.28;08:00:00;14458;14223;14374;14300;397
2015.07.28;12:00:00;14574;14252;14275;14376;544
2015.07.28;16:00:00;14323;14273;14320;14278;59
2015.07.28;20:00:00;14338;14313;14325;14315;41
2015.07.29;00:00:00;14429;14102;14273;14312;616
2015.07.29;04:00:00;14303;14111;14280;14283;382
2015.07.29;08:00:00;14313;14273;14313;14275;43
2015.07.29;12:00:00;14333;14313;14328;14313;26
2015.07.29;16:00:00;14414;14123;14264;14285;562
2015.07.29;20:00:00;14538;14137;14435;14266;634
2015.07.30;00:00:00;14453;14393;14405;14445;81
2015.07.30;04:00:00;14440;14385;14423;14408;96
2015.07.30;08:00:00;14437;13867;13899;14363;677
2015.07.30;12:00:00;14116;13793;13823;13897;573
2015.07.30;16:00:00;13825;13738;13760;13820;115
2015.07.30;20:00:00;13793;13748;13785;13755;61
2015.07.31;00:00:00;13873;13616;13794;13788;509
2015.07.31;04:00:00;13796;13328;13385;13792;530
2015.07.31;08:00:00;13458;13375;13458;13390;99
2015.07.31;12:00:00;13535;13453;13468;13453;150
2015.07.31;16:00:00;13664;13363;13436;13512;527
2015.07.31;20:00:00;13719;13403;13548;13437;522
2015.08.03;00:00:00;13593;13543;13570;13550;81
2015.08.03;04:00:00;13575;13555;13558;13573;26
2015.08.03;08:00:00;13636;13302;13463;13547;585
2015.08.03;12:00:00;13464;13070;13108;13464;433
2015.08.03;16:00:00;13198;13108;13198;13108;91
2015.08.03;20:00:00;13208;13160;13163;13198;62
2015.08.04;00:00:00;13206;12973;13131;13188;410
2015.08.04;04:00:00;13147;12183;12600;13134;1395
2015.08.04;08:00:00;12620;12488;12595;12600;260
2015.08.04;12:00:00;12598;12565;12590;12593;64
2015.08.04;16:00:00;12748;12204;12577;12523;1035
2015.08.04;20:00:00;12944;12498;12865;12584;612
2015.08.05;00:00:00;12883;12853;12883;12865;43
2015.08.05;04:00:00;12890;12880;12885;12880;16
2015.08.05;08:00:00;12969;12803;12903;12863;293
2015.08.05;12:00:00;13290;12701;13235;12898;842
2015.08.05;16:00:00;13280;13168;13170;13235;160
2015.08.05;20:00:00;13175;13148;13155;13173;37
2015.08.06;00:00:00;13244;13026;13153;13140;424
2015.08.06;04:00:00;13166;12542;12630;13159;720
2015.08.06;08:00:00;12653;12585;12600;12620;117
2015.08.06;12:00:00;12605;12563;12568;12598;55
2015.08.06;16:00:00;12738;12328;12489;12637;673
2015.08.06;20:00:00;12507;11566;11633;12488;1028
2015.08.07;00:00:00;11643;11415;11493;11633;317
2015.08.07;04:00:00;11493;11425;11428;11493;72
2015.08.07;08:00:00;12252;11538;11559;11774;1214
2015.08.07;12:00:00;12048;10801;11665;11563;2393
2015.08.07;16:00:00;11780;11665;11765;11665;131
2015.08.07;20:00:00;11780;11700;11708;11765;104
2015.08.10;00:00:00;12272;11581;12258;11757;882
2015.08.10;04:00:00;12473;12157;12453;12257;437
2015.08.10;08:00:00;12453;12338;12380;12453;158
2015.08.10;12:00:00;12403;12378;12398;12380;33
2015.08.10;16:00:00;12476;12274;12302;12387;320
2015.08.10;20:00:00;12453;11583;11735;12298;1178
2015.08.11;00:00:00;12033;11695;11935;11733;475
2015.08.11;04:00:00;11968;11895;11943;11933;137
2015.08.11;08:00:00;12233;11826;11989;11982;808
2015.08.11;12:00:00;12108;11415;11783;11993;1177
2015.08.11;16:00:00;11800;11740;11743;11778;86
2015.08.11;20:00:00;11758;11733;11753;11738;36
2015.08.12;00:00:00;11939;11128;11839;11822;1606
2015.08.12;04:00:00;11984;11287;11355;11837;913
2015.08.12;08:00:00;11383;11268;11340;11350;221
2015.08.12;12:00:00;11330;11288;11290;11330;45
2015.08.12;16:00:00;12206;11693;11836;11963;900
2015.08.12;20:00:00;12099;11418;11968;11838;1233
2015.08.13;00:00:00;12078;11968;12030;11970;161
2015.08.13;04:00:00;12040;11970;11988;12030;99
2015.08.13;08:00:00;12052;11557;11693;11992;692
2015.08.13;12:00:00;12159;11576;11763;11707;1111
2015.08.13;16:00:00;11775;11405;11615;11760;596
2015.08.13;20:00:00;11753;11605;11703;11615;209
2015.08.14;00:00:00;11781;11184;11434;11637;992
2015.08.14;04:00:00;11496;9952;10470;11433;2126
