DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.09.29;16:00:00;9768;9597;9717;9730;8442
2015.09.29;20:00:00;9757;9568;9648;9714;7902
2015.09.30;00:00:00;9655;9595;9635;9650;862
2015.09.30;04:00:00;9635;9523;9523;9635;366
2015.09.30;08:00:00;9637;9522;9576;9553;6405
2015.09.30;12:00:00;9750;9547;9675;9579;7490
2015.09.30;16:00:00;9683;9578;9625;9673;1817
2015.09.30;20:00:00;9650;9600;9650;9628;303
2015.10.01;00:00:00;9737;9574;9618;9644;6196
2015.10.01;04:00:00;9654;9423;9480;9617;6900
2015.10.01;08:00:00;9615;9475;9608;9480;1318
2015.10.01;12:00:00;9628;9600;9600;9608;326
2015.10.01;16:00:00;9682;9254;9283;9604;7022
2015.10.01;20:00:00;9454;9207;9360;9282;10373
2015.10.02;00:00:00;9370;9315;9325;9360;952
2015.10.02;04:00:00;9340;9298;9308;9325;204
2015.10.02;08:00:00;9504;9351;9427;9359;6312
2015.10.02;12:00:00;9473;9306;9363;9428;7274
2015.10.02;16:00:00;9505;9360;9498;9368;1377
2015.10.02;20:00:00;9505;9475;9480;9498;248
2015.10.05;00:00:00;9496;9299;9332;9463;6304
2015.10.05;04:00:00;9832;9257;9728;9334;8224
2015.10.05;08:00:00;9833;9723;9820;9728;1014
2015.10.05;12:00:00;9825;9780;9783;9823;289
2015.10.05;16:00:00;9747;9554;9702;9745;7325
2015.10.05;20:00:00;9764;9499;9545;9703;6821
2015.10.06;00:00:00;9578;9530;9545;9538;671
2015.10.06;04:00:00;9573;9538;9565;9543;647
2015.10.06;08:00:00;9658;9512;9599;9589;6894
2015.10.06;12:00:00;9659;9455;9465;9596;6850
2015.10.06;16:00:00;9465;9400;9443;9465;1752
2015.10.06;20:00:00;9458;9398;9405;9443;544
2015.10.07;00:00:00;9571;9378;9557;9434;6855
2015.10.07;04:00:00;9690;9543;9668;9558;6667
2015.10.07;08:00:00;9725;9640;9660;9668;1074
2015.10.07;12:00:00;9663;9643;9643;9660;320
2015.10.07;16:00:00;9787;9611;9742;9644;4913
2015.10.07;20:00:00;9871;9515;9555;9743;6173
2015.10.08;00:00:00;9613;9533;9570;9555;1542
2015.10.08;04:00:00;9580;9535;9555;9575;665
2015.10.08;08:00:00;9677;9472;9484;9602;6564
2015.10.08;12:00:00;9574;9467;9543;9486;6715
2015.10.08;16:00:00;9570;9518;9525;9543;948
2015.10.08;20:00:00;9583;9520;9580;9523;283
2015.10.09;00:00:00;9583;9427;9471;9553;5742
2015.10.09;04:00:00;9534;9405;9418;9472;4691
2015.10.09;08:00:00;9465;9395;9465;9418;866
2015.10.09;12:00:00;9480;9440;9478;9465;140
2015.10.09;16:00:00;9533;9334;9359;9503;5052
2015.10.09;20:00:00;9468;9339;9453;9361;4768
2015.10.12;00:00:00;9483;9438;9438;9450;874
2015.10.12;04:00:00;9453;9435;9445;9443;48
2015.10.12;08:00:00;9337;9181;9297;9325;3169
2015.10.12;12:00:00;9368;9236;9280;9296;3234
2015.10.12;16:00:00;9293;9190;9203;9283;775
2015.10.12;20:00:00;9210;9183;9190;9203;180
2015.10.13;00:00:00;9204;9012;9032;9183;5461
2015.10.13;04:00:00;9190;8999;9178;9026;5071
2015.10.13;08:00:00;9228;9135;9188;9175;1270
2015.10.13;12:00:00;9190;9175;9180;9185;281
2015.10.13;16:00:00;9356;9174;9323;9203;4636
2015.10.13;20:00:00;9347;9186;9288;9324;4863
2015.10.14;00:00:00;9295;9220;9228;9288;679
2015.10.14;04:00:00;9270;9205;9270;9228;197
2015.10.14;08:00:00;9937;9599;9684;9850;6893
2015.10.14;12:00:00;9688;9486;9608;9686;5412
2015.10.14;16:00:00;9670;9598;9663;9610;708
2015.10.14;20:00:00;9678;9643;9655;9665;283
2015.10.15;00:00:00;9728;9581;9664;9667;6167
2015.10.15;04:00:00;9684;9558;9650;9666;5173
2015.10.15;08:00:00;9685;9628;9648;9650;499
2015.10.15;12:00:00;9663;9593;9615;9650;164
2015.10.15;16:00:00;10012;9649;10004;9655;6706
2015.10.15;20:00:00;10059;9901;10010;10002;6157
2015.10.16;00:00:00;10013;9960;9963;10010;526
2015.10.16;04:00:00;9978;9960;9960;9965;40
2015.10.16;08:00:00;10002;9842;9868;9983;5475
2015.10.16;12:00:00;9903;9765;9808;9869;3326
2015.10.16;16:00:00;9858;9800;9843;9805;832
2015.10.16;20:00:00;9855;9833;9848;9845;99
2015.10.19;00:00:00;9927;9762;9867;9816;5803
2015.10.19;04:00:00;9879;9697;9780;9869;3676
2015.10.19;08:00:00;9793;9725;9745;9775;502
2015.10.19;12:00:00;9788;9750;9785;9750;117
2015.10.19;16:00:00;9974;9782;9964;9788;4341
2015.10.19;20:00:00;10058;9917;10023;9968;4718
2015.10.20;00:00:00;10088;10018;10045;10018;977
2015.10.20;04:00:00;10123;10038;10123;10043;242
2015.10.20;08:00:00;10124;9999;10024;10090;4962
2015.10.20;12:00:00;10170;10002;10133;10023;3558
2015.10.20;16:00:00;10178;10123;10170;10130;586
2015.10.20;20:00:00;10205;10170;10175;10170;252
2015.10.21;00:00:00;10169;10037;10134;10164;3450
2015.10.21;04:00:00;10133;9969;10058;10133;3576
2015.10.21;08:00:00;10065;10045;10048;10053;316
2015.10.21;12:00:00;10058;10043;10050;10050;36
2015.10.21;16:00:00;10071;9983;10017;10062;2716
2015.10.21;20:00:00;10171;9964;10155;10016;3671
2015.10.22;00:00:00;10175;10138;10140;10155;287
2015.10.22;04:00:00;10138;10130;10133;10138;16
