DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.07.02;08:00:00;3012;2975;3011;2975;844
2015.07.02;12:00:00;3012;3000;3000;3012;115
2015.07.02;16:00:00;3002;2987;2992;3000;277
2015.07.02;20:00:00;3010;2966;2997;2993;873
2015.07.03;00:00:00;3005;2996;3002;2996;73
2015.07.03;04:00:00;3000;2979;2996;3000;311
2015.07.03;08:00:00;3031;2996;3027;2997;438
2015.07.03;12:00:00;3031;3023;3029;3027;145
2015.07.03;16:00:00;3015;2995;3001;3014;344
2015.07.03;20:00:00;3010;2992;2994;3000;573
2015.07.06;00:00:00;2998;2987;2991;2994;61
2015.07.06;04:00:00;2997;2982;2988;2989;312
2015.07.06;08:00:00;2999;2953;2985;2989;893
2015.07.06;12:00:00;2987;2978;2980;2984;92
2015.07.06;16:00:00;2980;2964;2965;2979;303
2015.07.06;20:00:00;2973;2928;2929;2966;825
2015.07.07;00:00:00;2934;2923;2924;2930;151
2015.07.07;04:00:00;2966;2912;2946;2924;681
2015.07.07;08:00:00;2942;2920;2920;2936;300
2015.07.07;12:00:00;2947;2928;2937;2946;120
2015.07.07;16:00:00;2932;2896;2919;2923;572
2015.07.07;20:00:00;2923;2898;2899;2920;527
2015.07.08;00:00:00;2893;2874;2889;2879;680
2015.07.08;04:00:00;2890;2837;2841;2890;715
2015.07.08;08:00:00;2848;2822;2823;2846;512
2015.07.08;12:00:00;2837;2810;2835;2822;804
2015.07.08;16:00:00;2856;2819;2821;2836;806
2015.07.08;20:00:00;2827;2801;2807;2820;721
2015.07.09;00:00:00;2830;2795;2807;2817;667
2015.07.09;04:00:00;2808;2781;2782;2807;591
2015.07.09;08:00:00;2789;2739;2744;2774;836
2015.07.09;12:00:00;2788;2720;2777;2744;880
2015.07.09;16:00:00;2778;2726;2736;2763;908
2015.07.09;20:00:00;2756;2721;2744;2736;777
2015.07.10;00:00:00;2783;2731;2734;2760;987
2015.07.10;04:00:00;2740;2699;2699;2732;800
2015.07.10;08:00:00;2738;2690;2727;2704;909
2015.07.10;12:00:00;2787;2724;2758;2727;1071
2015.07.10;16:00:00;2771;2743;2762;2760;844
2015.07.10;20:00:00;2769;2749;2750;2763;638
2015.07.13;00:00:00;2750;2708;2719;2748;783
2015.07.13;04:00:00;2783;2714;2766;2720;1063
2015.07.13;08:00:00;2813;2757;2805;2760;1084
2015.07.13;12:00:00;2807;2767;2768;2806;950
2015.07.13;16:00:00;2795;2770;2771;2783;686
2015.07.13;20:00:00;2777;2745;2747;2772;776
2015.07.14;00:00:00;2751;2720;2721;2743;781
2015.07.14;04:00:00;2745;2717;2733;2720;927
2015.07.14;08:00:00;2761;2718;2720;2720;514
2015.07.14;12:00:00;2737;2684;2694;2720;895
2015.07.14;16:00:00;2692;2675;2676;2689;254
2015.07.14;20:00:00;2687;2677;2683;2678;280
2015.07.15;00:00:00;2707;2682;2699;2682;923
2015.07.15;04:00:00;2702;2686;2697;2699;138
2015.07.15;08:00:00;2698;2683;2695;2684;355
2015.07.15;12:00:00;2751;2685;2741;2694;1258
2015.07.15;16:00:00;2747;2735;2737;2742;179
2015.07.15;20:00:00;2759;2741;2751;2743;423
2015.07.16;00:00:00;2781;2748;2762;2751;884
2015.07.16;04:00:00;2765;2748;2755;2763;239
2015.07.16;08:00:00;2768;2757;2759;2761;53
2015.07.16;12:00:00;2801;2756;2798;2759;502
2015.07.16;16:00:00;2799;2782;2782;2799;134
2015.07.16;20:00:00;2797;2776;2794;2781;351
2015.07.17;00:00:00;2799;2775;2780;2793;757
2015.07.17;04:00:00;2784;2778;2779;2780;136
2015.07.17;08:00:00;2799;2783;2797;2787;312
2015.07.17;12:00:00;2831;2791;2792;2797;1000
2015.07.17;16:00:00;2796;2780;2782;2793;210
2015.07.17;20:00:00;2782;2764;2781;2768;276
2015.07.20;00:00:00;2794;2766;2783;2782;745
2015.07.20;04:00:00;2788;2783;2787;2784;77
2015.07.20;08:00:00;2804;2774;2789;2782;552
2015.07.20;12:00:00;2800;2766;2769;2789;1089
2015.07.20;16:00:00;2779;2769;2777;2769;225
2015.07.20;20:00:00;2787;2772;2784;2773;233
2015.07.21;00:00:00;2800;2779;2797;2785;696
2015.07.21;04:00:00;2799;2789;2792;2798;68
2015.07.21;08:00:00;2812;2790;2812;2790;302
2015.07.21;12:00:00;2845;2803;2841;2811;841
2015.07.21;16:00:00;2846;2836;2836;2840;99
2015.07.21;20:00:00;2839;2821;2826;2833;502
2015.07.22;00:00:00;2842;2814;2816;2828;937
2015.07.22;04:00:00;2820;2803;2804;2817;200
2015.07.22;08:00:00;2876;2844;2856;2847;579
2015.07.22;12:00:00;2880;2856;2863;2858;1004
2015.07.22;16:00:00;2864;2848;2849;2863;200
2015.07.22;20:00:00;2876;2860;2864;2861;343
2015.07.23;00:00:00;2876;2830;2835;2863;702
2015.07.23;04:00:00;2844;2827;2837;2834;190
2015.07.23;08:00:00;2817;2788;2804;2815;376
2015.07.23;12:00:00;2805;2769;2776;2805;694
2015.07.23;16:00:00;2782;2774;2775;2777;123
2015.07.23;20:00:00;2781;2769;2771;2769;179
2015.07.24;00:00:00;2776;2749;2770;2769;530
2015.07.24;04:00:00;2772;2762;2762;2770;56
2015.07.24;08:00:00;2820;2773;2792;2775;566
2015.07.24;12:00:00;2816;2765;2775;2791;842
2015.07.24;16:00:00;2774;2768;2771;2774;76
2015.07.24;20:00:00;2777;2765;2772;2768;305
2015.07.27;00:00:00;2800;2763;2792;2772;719
2015.07.27;04:00:00;2798;2789;2792;2793;98
