DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.07.02;08:00:00;4.2315;4.199;4.224;4.224;194
2015.07.02;12:00:00;4.239;4.209;4.2115;4.214;227
2015.07.02;16:00:00;4.2165;4.184;4.189;4.2115;95
2015.07.02;20:00:00;4.2115;4.174;4.209;4.1865;332
2015.07.03;00:00:00;4.2215;4.2065;4.209;4.209;167
2015.07.03;04:00:00;4.2765;4.2115;4.239;4.214;922
2015.07.03;08:00:00;4.2415;4.2215;4.2365;4.2415;129
2015.07.03;12:00:00;4.2565;4.229;4.254;4.2315;277
2015.07.03;16:00:00;4.274;4.2465;4.2665;4.2565;230
2015.07.03;20:00:00;4.274;4.2465;4.2615;4.269;310
2015.07.06;00:00:00;4.274;4.2565;4.269;4.264;132
2015.07.06;04:00:00;4.3165;4.2515;4.2965;4.264;1020
2015.07.06;08:00:00;4.3065;4.2665;4.2665;4.299;116
2015.07.06;12:00:00;4.2715;4.259;4.264;4.269;133
2015.07.06;16:00:00;4.2765;4.2615;4.2715;4.2665;50
2015.07.06;20:00:00;4.304;4.259;4.2965;4.269;149
2015.07.07;00:00:00;4.3115;4.2965;4.3115;4.299;67
2015.07.07;04:00:00;4.379;4.2315;4.3515;4.309;2107
2015.07.07;08:00:00;4.354;4.329;4.329;4.349;244
2015.07.07;12:00:00;4.3615;4.314;4.3365;4.334;531
2015.07.07;16:00:00;4.3465;4.319;4.3415;4.339;163
2015.07.07;20:00:00;4.3565;4.339;4.3515;4.339;226
2015.07.08;00:00:00;4.3515;4.3215;4.324;4.349;160
2015.07.08;04:00:00;4.394;4.299;4.394;4.319;595
2015.07.08;08:00:00;4.4065;4.379;4.399;4.394;130
2015.07.08;12:00:00;4.419;4.3865;4.409;4.389;307
2015.07.08;16:00:00;4.419;4.409;4.409;4.4115;232
2015.07.08;20:00:00;4.414;4.3615;4.364;4.4115;314
2015.07.09;00:00:00;4.3815;4.364;4.374;4.364;90
2015.07.09;04:00:00;4.374;4.289;4.294;4.374;1084
2015.07.09;08:00:00;4.3165;4.2615;4.2665;4.2915;162
2015.07.09;12:00:00;4.289;4.249;4.2665;4.2565;296
2015.07.09;16:00:00;4.2665;4.254;4.2565;4.264;122
2015.07.09;20:00:00;4.289;4.234;4.2415;4.254;397
2015.07.10;00:00:00;4.249;4.234;4.239;4.239;167
2015.07.10;04:00:00;4.3065;4.2015;4.279;4.2415;1525
2015.07.10;08:00:00;4.2915;4.259;4.2865;4.2765;169
2015.07.10;12:00:00;4.324;4.289;4.3165;4.2915;238
2015.07.10;16:00:00;4.319;4.2915;4.294;4.319;46
2015.07.10;20:00:00;4.3265;4.2815;4.3265;4.2965;233
2015.07.13;00:00:00;4.3565;4.329;4.349;4.329;119
2015.07.13;04:00:00;4.374;4.2815;4.319;4.3515;974
2015.07.13;08:00:00;4.319;4.284;4.284;4.314;122
2015.07.13;12:00:00;4.2765;4.2365;4.2415;4.264;307
2015.07.13;16:00:00;4.274;4.234;4.259;4.239;211
2015.07.13;20:00:00;4.284;4.2565;4.2615;4.2615;224
2015.07.14;00:00:00;4.259;4.2315;4.234;4.259;108
2015.07.14;04:00:00;4.239;4.174;4.209;4.2315;1097
2015.07.14;08:00:00;4.2115;4.1865;4.194;4.2065;208
2015.07.14;12:00:00;4.159;4.099;4.129;4.149;599
2015.07.14;16:00:00;4.1415;4.1215;4.139;4.129;198
2015.07.14;20:00:00;4.144;4.1215;4.144;4.1365;224
2015.07.15;00:00:00;4.1465;4.094;4.1015;4.1415;129
2015.07.15;04:00:00;4.1365;4.089;4.099;4.109;739
2015.07.15;08:00:00;4.1015;4.034;4.044;4.1015;307
2015.07.15;12:00:00;4.0515;4.029;4.0315;4.0515;276
2015.07.15;16:00:00;4.0565;4.0315;4.0515;4.0315;169
2015.07.15;20:00:00;4.064;4.0265;4.044;4.054;295
2015.07.16;00:00:00;4.044;4.019;4.019;4.0415;62
2015.07.16;04:00:00;4.0915;4.014;4.0665;4.0215;815
2015.07.16;08:00:00;4.0715;4.049;4.0515;4.064;82
2015.07.16;12:00:00;4.059;4.0315;4.0465;4.059;296
2015.07.16;16:00:00;4.049;4.0165;4.0165;4.0465;115
2015.07.16;20:00:00;4.0165;3.9865;3.994;4.014;241
2015.07.17;00:00:00;4.0015;3.994;3.994;3.9965;58
2015.07.17;04:00:00;4.059;3.9865;4.0215;3.9965;825
2015.07.17;08:00:00;4.0265;4.009;4.0165;4.019;144
2015.07.17;12:00:00;4.024;4.0065;4.0115;4.0215;143
2015.07.17;16:00:00;4.0215;3.999;4.0165;4.009;262
2015.07.17;20:00:00;4.039;4.014;4.0265;4.019;205
2015.07.20;00:00:00;4.0365;4.019;4.019;4.024;162
2015.07.20;04:00:00;4.0315;3.9715;3.9765;4.019;976
2015.07.20;08:00:00;4.0265;3.974;4.0265;3.979;177
2015.07.20;12:00:00;4.0215;3.9865;3.9965;4.0215;248
2015.07.20;16:00:00;4.014;3.994;4.0015;3.9965;119
2015.07.20;20:00:00;4.004;3.979;3.979;4.0015;121
2015.07.21;00:00:00;3.9815;3.974;3.9765;3.9815;110
2015.07.21;04:00:00;3.9765;3.9115;3.9315;3.9765;766
2015.07.21;08:00:00;3.944;3.909;3.909;3.929;110
2015.07.21;12:00:00;3.8765;3.794;3.7965;3.8765;640
2015.07.21;16:00:00;3.814;3.789;3.8015;3.794;207
2015.07.21;20:00:00;3.8215;3.794;3.8015;3.799;315
