DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.07.02;08:00:00;0.6363;0.6337;0.6349;0.6359;160
2015.07.02;12:00:00;0.6353;0.6331;0.6332;0.6349;145
2015.07.02;16:00:00;0.6368;0.633;0.6368;0.6332;255
2015.07.02;20:00:00;0.6471;0.6357;0.6406;0.6369;1544
2015.07.03;00:00:00;0.6434;0.6376;0.6415;0.6411;598
2015.07.03;04:00:00;0.6408;0.6385;0.639;0.6408;183
2015.07.03;08:00:00;0.64;0.6365;0.6376;0.639;756
2015.07.03;12:00:00;0.6392;0.6352;0.6358;0.6376;1352
2015.07.03;16:00:00;0.6363;0.6238;0.6284;0.6359;1416
2015.07.03;20:00:00;0.6328;0.6274;0.6323;0.6284;602
2015.07.06;00:00:00;0.6354;0.6277;0.6319;0.6303;336
2015.07.06;04:00:00;0.6343;0.6272;0.6281;0.6321;237
2015.07.06;08:00:00;0.6293;0.627;0.629;0.6283;438
2015.07.06;12:00:00;0.6473;0.6251;0.641;0.6288;1984
2015.07.06;16:00:00;0.6445;0.6381;0.6436;0.6412;643
2015.07.06;20:00:00;0.6441;0.6411;0.6414;0.6434;130
2015.07.07;00:00:00;0.6422;0.638;0.6401;0.6416;200
2015.07.07;04:00:00;0.6418;0.6378;0.6381;0.6408;299
2015.07.07;08:00:00;0.6438;0.6366;0.638;0.6379;1193
2015.07.07;12:00:00;0.6403;0.6329;0.6403;0.6379;653
2015.07.07;16:00:00;0.6398;0.6371;0.6371;0.6398;226
2015.07.07;20:00:00;0.6383;0.6358;0.6377;0.637;169
2015.07.08;00:00:00;0.6388;0.6358;0.6382;0.6378;279
2015.07.08;04:00:00;0.6405;0.6358;0.6366;0.6375;1120
2015.07.08;08:00:00;0.6412;0.6364;0.6403;0.6367;477
2015.07.08;12:00:00;0.6451;0.6411;0.6443;0.6444;225
2015.07.08;16:00:00;0.6445;0.6414;0.6416;0.6443;151
2015.07.08;20:00:00;0.6422;0.64;0.6422;0.6416;184
2015.07.09;00:00:00;0.6429;0.6328;0.6347;0.6423;978
2015.07.09;04:00:00;0.6412;0.6345;0.6406;0.6347;363
2015.07.09;08:00:00;0.6402;0.6353;0.6355;0.6389;256
2015.07.09;12:00:00;0.6405;0.6353;0.6391;0.6358;433
2015.07.09;16:00:00;0.6394;0.6351;0.6369;0.6393;243
2015.07.09;20:00:00;0.6427;0.6353;0.6417;0.637;1181
2015.07.10;00:00:00;0.6466;0.6418;0.6463;0.6418;520
2015.07.10;04:00:00;0.6467;0.6431;0.6431;0.6462;236
2015.07.10;08:00:00;0.6446;0.643;0.6434;0.6431;177
2015.07.10;12:00:00;0.6436;0.6405;0.6418;0.6433;278
2015.07.10;16:00:00;0.648;0.6371;0.6419;0.6419;1507
2015.07.10;20:00:00;0.6459;0.6392;0.6456;0.642;436
2015.07.13;00:00:00;0.6474;0.642;0.6421;0.6464;333
2015.07.13;04:00:00;0.6442;0.6403;0.6438;0.6421;223
2015.07.13;08:00:00;0.6442;0.6393;0.641;0.6439;323
2015.07.13;12:00:00;0.6436;0.6388;0.6432;0.6408;895
2015.07.13;16:00:00;0.6439;0.6416;0.6432;0.6431;343
2015.07.13;20:00:00;0.6429;0.6398;0.6418;0.641;197
2015.07.14;00:00:00;0.6425;0.6394;0.6408;0.6418;240
2015.07.14;04:00:00;0.6428;0.6403;0.6407;0.6409;193
2015.07.14;08:00:00;0.6545;0.6407;0.6537;0.6408;1263
2015.07.14;12:00:00;0.6541;0.6504;0.6541;0.6536;519
2015.07.14;16:00:00;0.6558;0.6532;0.6535;0.6542;189
2015.07.14;20:00:00;0.6537;0.6519;0.652;0.6535;108
2015.07.15;00:00:00;0.6573;0.6515;0.6564;0.6521;326
2015.07.15;04:00:00;0.6724;0.6563;0.6719;0.6563;2170
2015.07.15;08:00:00;0.674;0.6691;0.6714;0.6719;646
2015.07.15;12:00:00;0.6725;0.6684;0.6686;0.6701;222
2015.07.15;16:00:00;0.6717;0.6679;0.6716;0.6685;243
2015.07.15;20:00:00;0.6727;0.6683;0.6723;0.6717;348
2015.07.16;00:00:00;0.6757;0.6698;0.6743;0.6723;1497
2015.07.16;04:00:00;0.6746;0.6688;0.6693;0.6743;759
2015.07.16;08:00:00;0.6714;0.6654;0.6656;0.6698;146
2015.07.16;12:00:00;0.667;0.6635;0.6635;0.6656;149
