DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;3090;3052;3080;3055;1749
2015.04.27;16:00:00;3129;3080;3122;3091;1649
2015.04.27;20:00:00;3145;3114;3137;3123;772
2015.04.28;00:00:00;3163;3127;3163;3138.5;1157
2015.04.28;04:00:00;3167;3155;3167;3162;396
2015.04.28;08:00:00;3193.5;3123;3126;3193;1906
2015.04.28;12:00:00;3139;3105;3124;3127;2246
2015.04.28;16:00:00;3156;3122;3143;3123;1872
2015.04.28;20:00:00;3157;3141;3145.5;3144;703
2015.04.29;00:00:00;3175;3145;3167;3150;1100
2015.04.29;04:00:00;3170;3143;3145;3166.5;951
2015.04.29;08:00:00;3161;3138;3160;3145.5;1113
2015.04.29;12:00:00;3166;3158;3166;3159;290
2015.04.29;16:00:00;3170;3150;3161;3168;998
2015.04.29;20:00:00;3187;3162;3183;3162;1047
2015.04.30;00:00:00;3198;3174;3195;3184.5;977
2015.04.30;04:00:00;3196;3188;3189;3195.5;130
2015.04.30;08:00:00;3198;3125;3151;3197;1732
2015.04.30;12:00:00;3170;3136;3160;3152;1046
2015.04.30;16:00:00;3185;3157;3175;3162;827
2015.04.30;20:00:00;3185;3174;3180;3174.5;346
2015.05.01;00:00:00;3180;3149;3154;3178;1197
2015.05.01;04:00:00;3158;3138;3144;3153;666
2015.05.01;08:00:00;3146;3123;3126;3143;977
2015.05.01;12:00:00;3133;3126;3129;3127;209
2015.05.01;16:00:00;3173;3106;3134;3150;1505
2015.05.01;20:00:00;3160;3123;3155;3135;808
2015.05.04;00:00:00;3157;3118;3130;3153;1696
2015.05.04;04:00:00;3143;3128;3137;3131;481
2015.05.04;08:00:00;3144;3101;3103;3121;1731
2015.05.04;12:00:00;3111;3026;3037;3102;1819
2015.05.04;16:00:00;3049;3009;3016;3036;2139
2015.05.04;20:00:00;3023;3010;3018.5;3017;805
2015.05.05;00:00:00;3032;2989;3011;3020;2250
2015.05.05;04:00:00;3043;3010;3033;3012;1731
2015.05.05;08:00:00;3054;2980;2995;3033.5;2886
2015.05.05;12:00:00;3014;2987;2995;2994;1366
2015.05.05;16:00:00;3049;2994;3045;3012;2366
2015.05.05;20:00:00;3047;3030;3042;3046;1443
2015.05.06;00:00:00;3055;3008;3051.5;3043;1884
2015.05.06;04:00:00;3055;3045;3050;3052;1172
2015.05.06;08:00:00;3075;3052;3068;3073;1347
2015.05.06;12:00:00;3093;3068;3093;3069;1466
2015.05.06;16:00:00;3134;3094;3109;3094;1438
2015.05.06;20:00:00;3117;3106;3110.5;3108;548
2015.05.07;00:00:00;3117;3081;3086;3105;2019
