DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;3094.7;3056.7;3084.2;3060.7;2631
2015.04.27;16:00:00;3133.7;3085.7;3126.7;3095.7;2010
2015.04.27;20:00:00;3149.2;3118.7;3142.2;3127.7;1116
2015.04.28;00:00:00;3166.2;3130.2;3166.2;3141.2;1277
2015.04.28;04:00:00;3170.2;3158.2;3170.2;3165.2;382
2015.04.28;08:00:00;3196.7;3126.2;3129.2;3196.2;1944
2015.04.28;12:00:00;3141.9;3107.9;3126.9;3130.2;2307
2015.04.28;16:00:00;3158.9;3124.9;3145.9;3125.9;1914
2015.04.28;20:00:00;3159.9;3143.9;3148.4;3146.4;715
2015.04.29;00:00:00;3176.7;3146.7;3168.2;3151.7;1109
2015.04.29;04:00:00;3171.2;3144.2;3146.2;3167.7;960
2015.04.29;08:00:00;3162.2;3139.2;3161.2;3146.7;1161
2015.04.29;12:00:00;3167.2;3159.2;3167.2;3160.2;314
2015.04.29;16:00:00;3171.2;3150.2;3161.2;3169.2;1016
2015.04.29;20:00:00;3187.2;3162.2;3183.2;3162.2;1052
2015.04.30;00:00:00;3198.2;3174.2;3195.2;3184.7;1008
2015.04.30;04:00:00;3196.2;3188.2;3189.2;3195.7;131
2015.04.30;08:00:00;3198.2;3125.2;3151.2;3197.2;1755
2015.04.30;12:00:00;3170.2;3136.2;3160.2;3152.2;1052
2015.04.30;16:00:00;3185.2;3157.2;3175.2;3163.2;827
2015.04.30;20:00:00;3185.2;3174.2;3180.2;3174.7;354
2015.05.01;00:00:00;3180.2;3149.2;3154.2;3178.2;1198
2015.05.01;04:00:00;3158.2;3138.2;3144.2;3153.2;671
2015.05.01;08:00:00;3148.2;3125.2;3128.2;3143.2;992
2015.05.01;12:00:00;3135.2;3128.2;3131.2;3129.2;208
2015.05.01;16:00:00;3175.2;3110.7;3138.7;3152.2;1547
2015.05.01;20:00:00;3164.7;3127.7;3159.7;3139.7;814
2015.05.04;00:00:00;3161.7;3122.7;3134.7;3157.7;1719
2015.05.04;04:00:00;3147.7;3132.7;3141.7;3135.7;476
2015.05.04;08:00:00;3149.2;3105.7;3108.2;3125.7;1766
2015.05.04;12:00:00;3116.2;3031.2;3042.2;3107.2;1862
2015.05.04;16:00:00;3054.2;3014.2;3021.2;3041.2;2144
2015.05.04;20:00:00;3028.2;3015.2;3023.7;3022.2;803
2015.05.05;00:00:00;3037.2;2994.2;3017.7;3025.2;2258
2015.05.05;04:00:00;3049.7;3016.7;3039.7;3018.7;1731
2015.05.05;08:00:00;3060.7;2986.7;3001.7;3040.2;2928
2015.05.05;12:00:00;3019.7;2993.7;3001.7;3000.7;1308
2015.05.05;16:00:00;3056.2;3001.2;3052.2;3018.7;2374
2015.05.05;20:00:00;3054.2;3037.2;3049.2;3053.2;1439
2015.05.06;00:00:00;3062.2;3015.2;3058.7;3050.2;1878
2015.05.06;04:00:00;3062.2;3052.2;3057.2;3059.2;1168
2015.05.06;08:00:00;3082.2;3059.2;3074.7;3080.2;1361
2015.05.06;12:00:00;3099.7;3074.7;3099.7;3075.7;1497
2015.05.06;16:00:00;3140.7;3100.7;3115.7;3100.7;1455
2015.05.06;20:00:00;3124.7;3112.7;3117.2;3114.7;562
2015.05.07;00:00:00;3123.7;3087.7;3092.7;3111.7;2042
2015.05.07;04:00:00;3107.7;3065.7;3066.7;3093.7;2101
2015.05.07;08:00:00;3079.7;3018.7;3050.7;3065.7;2709
2015.05.07;12:00:00;3062.7;3047.7;3052.7;3049.7;973
2015.05.07;16:00:00;3096.3;3042.7;3088.3;3048.7;1277
2015.05.07;20:00:00;3096.3;3036.3;3043.3;3089.3;1578
2015.05.08;00:00:00;3094.3;3031.3;3073.3;3042.3;2372
2015.05.08;04:00:00;3077.3;3064.3;3071.3;3074.3;636
2015.05.08;08:00:00;3112.9;3063.3;3106.9;3079.3;1702
2015.05.08;12:00:00;3144.9;3102.9;3143.9;3107.9;1418
2015.05.08;16:00:00;3145.9;3081.9;3090.9;3144.9;1893
2015.05.08;20:00:00;3107.9;3070.9;3102.9;3089.9;1492
2015.05.11;00:00:00;3147.7;3067;3125.7;3072;2934
2015.05.11;04:00:00;3136.7;3073.2;3100.7;3124.7;2920
2015.05.11;08:00:00;3121.7;3079.7;3085.7;3100.2;2508
2015.05.11;12:00:00;3110.7;3084.7;3102.7;3084.7;1138
2015.05.11;16:00:00;3135.7;2998.7;3082.7;3132.7;4832
2015.05.11;20:00:00;3154.7;3058.7;3142.7;3083.7;4468
2015.05.12;00:00:00;3168.2;3134.2;3144.2;3141.2;3108
2015.05.12;04:00:00;3159.2;3139.2;3141.2;3145.2;978
2015.05.12;08:00:00;3166.2;3128.2;3145.2;3130.2;2389
2015.05.12;12:00:00;3191.7;3143.2;3177.7;3144.2;2511
2015.05.12;16:00:00;3220.7;3176.7;3215.7;3179.7;2360
2015.05.12;20:00:00;3231.7;3210.7;3221.7;3215.2;473
2015.05.13;00:00:00;3219.7;3195.7;3208.7;3214.7;2139
2015.05.13;04:00:00;3237.7;3207.7;3229.7;3207.7;1221
2015.05.13;08:00:00;3234.7;3209.7;3219.7;3230.7;751
2015.05.13;12:00:00;3222.7;3218.2;3221.7;3220.2;42
2015.05.13;16:00:00;3243.7;3225.7;3243.7;3239.7;1757
2015.05.13;20:00:00;3256.7;3230.2;3237.7;3242.7;1456
2015.05.14;00:00:00;3249.7;3230.7;3245.7;3236.7;2281
2015.05.14;04:00:00;3257.7;3244.7;3249.7;3246.7;533
2015.05.14;08:00:00;3255.7;3228.7;3243.2;3248.2;1584
2015.05.14;12:00:00;3262.2;3208.2;3237.2;3242.2;2677
2015.05.14;16:00:00;3271.2;3224.2;3261.2;3238.2;2486
2015.05.14;20:00:00;3273.2;3259.2;3271.2;3260.2;559
2015.05.15;00:00:00;3283.2;3258.7;3269.7;3277.2;1566
2015.05.15;04:00:00;3318.7;3259.2;3296.7;3270.7;4725
2015.05.15;08:00:00;3356.7;3290.7;3354.7;3297.7;2228
2015.05.15;12:00:00;3362.7;3344.7;3350.7;3355.7;643
2015.05.15;16:00:00;3379.7;3345.7;3369.2;3348.7;2439
2015.05.15;20:00:00;3412.2;3367.2;3376.2;3368.7;2142
2015.05.18;00:00:00;3390.2;3364.2;3378.2;3376.7;2020
2015.05.18;04:00:00;3381.2;3369.7;3370.2;3377.7;496
2015.05.18;08:00:00;3400.2;3347.2;3386.2;3347.2;2955
2015.05.18;12:00:00;3405.2;3384.2;3397.2;3387.2;1677
2015.05.18;16:00:00;3430.2;3390.2;3425.2;3398.2;1837
2015.05.18;20:00:00;3426.2;3416.2;3421.2;3426.2;392
2015.05.19;00:00:00;3419.2;3385.7;3386.7;3417.2;1921
2015.05.19;04:00:00;3391.7;3351.7;3365.7;3385.7;2660
2015.05.19;08:00:00;3389.7;3351.7;3379.7;3361.7;2315
2015.05.19;12:00:00;3388.7;3371.7;3376.2;3380.7;821
2015.05.19;16:00:00;3400.6;3331.1;3341.1;3400.6;2456
2015.05.19;20:00:00;3365.1;3338.1;3364.1;3340.1;2032
2015.05.20;00:00:00;3371.1;3337.1;3356.1;3365.1;2040
2015.05.20;04:00:00;3362.6;3308.1;3313.6;3355.6;1467
2015.05.20;08:00:00;3365.7;3307.1;3353.7;3317.1;2038
2015.05.20;12:00:00;3371.7;3338.7;3364.7;3354.7;2275
2015.05.20;16:00:00;3393.7;3345.7;3389.7;3363.7;2634
2015.05.20;20:00:00;3401.7;3386.7;3395.7;3390.7;724
2015.05.21;00:00:00;3395.7;3345.2;3353.2;3389.7;1930
