DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;1.38788;1.38494;1.38781;1.3868;34835
2015.04.27;16:00:00;1.38939;1.38137;1.38766;1.38781;42423
2015.04.27;20:00:00;1.38794;1.38465;1.38565;1.38766;21350
2015.04.28;00:00:00;1.38708;1.38131;1.38313;1.38563;14038
2015.04.28;04:00:00;1.3837;1.38137;1.38156;1.38315;14275
2015.04.28;08:00:00;1.38214;1.37804;1.38034;1.38158;36873
2015.04.28;12:00:00;1.38066;1.37287;1.37342;1.38036;43700
2015.04.28;16:00:00;1.37474;1.36802;1.36941;1.37342;47610
2015.04.28;20:00:00;1.37083;1.36775;1.36818;1.36943;21232
2015.04.29;00:00:00;1.37332;1.3672;1.37032;1.36818;14737
2015.04.29;04:00:00;1.37439;1.37022;1.37272;1.37032;17895
2015.04.29;08:00:00;1.37845;1.37145;1.37806;1.37272;34100
2015.04.29;12:00:00;1.3798;1.37413;1.37648;1.37808;43952
2015.04.29;16:00:00;1.38703;1.37443;1.3832;1.37655;60202
2015.04.29;20:00:00;1.38958;1.3812;1.38936;1.3832;39282
2015.04.30;00:00:00;1.39381;1.38632;1.38645;1.38936;17129
2015.04.30;04:00:00;1.39252;1.38579;1.38892;1.3864;21465
2015.04.30;08:00:00;1.4148;1.3884;1.41159;1.38896;52920
2015.04.30;12:00:00;1.41658;1.40644;1.41273;1.41163;53532
2015.04.30;16:00:00;1.42249;1.41017;1.41994;1.41277;59495
2015.04.30;20:00:00;1.42303;1.41623;1.41952;1.41993;31360
2015.05.01;00:00:00;1.4214;1.41662;1.41988;1.41952;12429
2015.05.01;04:00:00;1.42291;1.41863;1.4205;1.41985;12479
2015.05.01;08:00:00;1.42874;1.41812;1.42647;1.42049;29578
2015.05.01;12:00:00;1.43471;1.42515;1.43231;1.42647;35221
2015.05.01;16:00:00;1.43534;1.42904;1.42933;1.4323;51931
2015.05.01;20:00:00;1.43179;1.42627;1.42646;1.42932;19913
2015.05.04;00:00:00;1.43226;1.42581;1.43187;1.42779;12879
2015.05.04;04:00:00;1.43449;1.42781;1.43043;1.43186;16223
2015.05.04;08:00:00;1.43117;1.42199;1.42243;1.43043;30832
2015.05.04;12:00:00;1.4261;1.42013;1.42579;1.42242;32560
