DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;1.31971;1.31511;1.31899;1.31872;32160
2015.04.27;16:00:00;1.32075;1.31293;1.31969;1.31898;42329
2015.04.27;20:00:00;1.32036;1.31496;1.31594;1.31973;19464
2015.04.28;00:00:00;1.31671;1.31421;1.31561;1.31597;11112
2015.04.28;04:00:00;1.31671;1.31497;1.31609;1.31559;9832
2015.04.28;08:00:00;1.3189;1.31535;1.31879;1.31611;32270
2015.04.28;12:00:00;1.32004;1.31653;1.31795;1.31879;39677
2015.04.28;16:00:00;1.32226;1.31721;1.3187;1.31795;44930
2015.04.28;20:00:00;1.32163;1.31812;1.32101;1.3187;20775
2015.04.29;00:00:00;1.32174;1.31915;1.32131;1.32101;9227
2015.04.29;04:00:00;1.32147;1.31919;1.31955;1.32132;10499
2015.04.29;08:00:00;1.32371;1.31876;1.32307;1.31956;30711
2015.04.29;12:00:00;1.32907;1.32211;1.32534;1.32312;43700
2015.04.29;16:00:00;1.33648;1.32393;1.33413;1.32535;60418
2015.04.29;20:00:00;1.33874;1.33262;1.33732;1.33413;37957
2015.04.30;00:00:00;1.33733;1.33493;1.33512;1.33733;10466
2015.04.30;04:00:00;1.33777;1.33505;1.33561;1.33513;12891
2015.04.30;08:00:00;1.35113;1.33249;1.34766;1.33561;44015
2015.04.30;12:00:00;1.34956;1.34093;1.34377;1.34766;47033
2015.04.30;16:00:00;1.36051;1.3413;1.35583;1.34374;55471
2015.04.30;20:00:00;1.36175;1.35282;1.35508;1.35583;28355
2015.05.01;00:00:00;1.35572;1.35249;1.3545;1.35509;9193
2015.05.01;04:00:00;1.35598;1.3542;1.35448;1.3545;7048
2015.05.01;08:00:00;1.36197;1.35376;1.36111;1.35447;25195
2015.05.01;12:00:00;1.36663;1.35829;1.36494;1.36112;29974
2015.05.01;16:00:00;1.37019;1.3608;1.36119;1.36494;46393
2015.05.01;20:00:00;1.3648;1.36084;1.36186;1.3612;17959
2015.05.04;00:00:00;1.36228;1.35911;1.36135;1.35915;7291
2015.05.04;04:00:00;1.36312;1.36135;1.36186;1.36135;9048
2015.05.04;08:00:00;1.36367;1.35273;1.35283;1.36186;27777
2015.05.04;12:00:00;1.35367;1.34823;1.35199;1.35282;32427
2015.05.04;16:00:00;1.35417;1.34877;1.3511;1.352;36368
2015.05.04;20:00:00;1.35179;1.34679;1.34785;1.3511;15445
2015.05.05;00:00:00;1.3491;1.34707;1.34897;1.34777;6039
2015.05.05;04:00:00;1.3496;1.34752;1.34794;1.34898;9182
2015.05.05;08:00:00;1.34975;1.34108;1.34432;1.34791;31047
2015.05.05;12:00:00;1.34881;1.34133;1.34471;1.34431;39818
2015.05.05;16:00:00;1.34872;1.33996;1.34811;1.34472;50073
2015.05.05;20:00:00;1.35178;1.34812;1.3496;1.34813;16979
2015.05.06;00:00:00;1.35111;1.34874;1.35084;1.34962;7240
2015.05.06;04:00:00;1.35302;1.34955;1.35175;1.35084;15091
2015.05.06;08:00:00;1.35597;1.34996;1.3501;1.35173;37772
2015.05.06;12:00:00;1.35435;1.34688;1.35424;1.35009;45335
2015.05.06;16:00:00;1.36487;1.35347;1.36238;1.35425;56452
2015.05.06;20:00:00;1.3687;1.36224;1.36661;1.36229;21902
2015.05.07;00:00:00;1.3669;1.36437;1.36504;1.36662;12774
2015.05.07;04:00:00;1.36636;1.36452;1.36607;1.36505;14122
2015.05.07;08:00:00;1.37234;1.36552;1.37051;1.36606;35391
2015.05.07;12:00:00;1.37657;1.36087;1.36393;1.37048;48175
2015.05.07;16:00:00;1.37091;1.3633;1.36894;1.36396;46644
2015.05.07;20:00:00;1.36977;1.36515;1.36612;1.36893;21153
2015.05.08;00:00:00;1.36612;1.35938;1.36138;1.36612;12214
2015.05.08;04:00:00;1.36257;1.35651;1.35759;1.36137;18029
2015.05.08;08:00:00;1.36105;1.35424;1.35847;1.35757;35960
2015.05.08;12:00:00;1.364;1.35594;1.36135;1.35846;42613
2015.05.08;16:00:00;1.36201;1.35502;1.35684;1.36138;49906
2015.05.08;20:00:00;1.35717;1.35314;1.35317;1.35683;18053
2015.05.11;00:00:00;1.35416;1.35068;1.35073;1.35206;8065
2015.05.11;04:00:00;1.35226;1.34942;1.35153;1.35073;15332
2015.05.11;08:00:00;1.35692;1.35053;1.35497;1.35153;29797
2015.05.11;12:00:00;1.35611;1.34697;1.34775;1.35495;32151
2015.05.11;16:00:00;1.35038;1.3457;1.35037;1.34775;38872
2015.05.11;20:00:00;1.35067;1.34719;1.3497;1.35035;15411
2015.05.12;00:00:00;1.34986;1.34738;1.34822;1.34972;6735
2015.05.12;04:00:00;1.35044;1.34784;1.35031;1.34822;10205
2015.05.12;08:00:00;1.35868;1.35008;1.35734;1.35034;35032
2015.05.12;12:00:00;1.35988;1.35039;1.35053;1.35734;37792
2015.05.12;16:00:00;1.35595;1.34578;1.3459;1.35055;38571
2015.05.12;20:00:00;1.34779;1.3451;1.34727;1.34593;16963
2015.05.13;00:00:00;1.34836;1.34588;1.34784;1.34729;8246
2015.05.13;04:00:00;1.35264;1.3467;1.35188;1.34785;12805
2015.05.13;08:00:00;1.3538;1.34451;1.3451;1.35187;29937
2015.05.13;12:00:00;1.35142;1.34269;1.35099;1.34508;39871
2015.05.13;16:00:00;1.36037;1.35073;1.3571;1.35101;42999
2015.05.13;20:00:00;1.36018;1.35646;1.35735;1.35713;17601
2015.05.14;00:00:00;1.35817;1.35622;1.35694;1.3573;8779
2015.05.14;04:00:00;1.35754;1.35559;1.35625;1.35694;14206
2015.05.14;08:00:00;1.36429;1.3554;1.36325;1.35626;32196
2015.05.14;12:00:00;1.36711;1.36197;1.362;1.36325;35219
2015.05.14;16:00:00;1.36548;1.35846;1.36548;1.36194;42375
2015.05.14;20:00:00;1.36905;1.36371;1.36697;1.36551;17981
2015.05.15;00:00:00;1.36792;1.36557;1.36701;1.36695;8224
2015.05.15;04:00:00;1.36999;1.36618;1.36846;1.36702;10184
2015.05.15;08:00:00;1.36903;1.36338;1.36426;1.36846;34824
2015.05.15;12:00:00;1.36656;1.36225;1.36496;1.36426;31412
2015.05.15;16:00:00;1.37516;1.36493;1.37477;1.36496;46353
2015.05.15;20:00:00;1.37757;1.37421;1.37495;1.37471;19790
2015.05.18;00:00:00;1.37586;1.37369;1.37541;1.37369;7859
2015.05.18;04:00:00;1.3769;1.37513;1.37551;1.3754;10563
2015.05.18;08:00:00;1.37591;1.3693;1.37107;1.37552;28923
2015.05.18;12:00:00;1.37628;1.36981;1.37582;1.37108;31830
2015.05.18;16:00:00;1.38029;1.37406;1.37817;1.37589;38950
2015.05.18;20:00:00;1.37862;1.37363;1.37556;1.37817;18863
2015.05.19;00:00:00;1.37649;1.37466;1.3756;1.37557;8435
2015.05.19;04:00:00;1.37568;1.371;1.37158;1.37561;14917
2015.05.19;08:00:00;1.37342;1.35774;1.36334;1.37158;41735
2015.05.19;12:00:00;1.36628;1.35825;1.3599;1.36334;38246
2015.05.19;16:00:00;1.36603;1.35932;1.36258;1.3599;43952
2015.05.19;20:00:00;1.3639;1.36115;1.36357;1.36261;16350
2015.05.20;00:00:00;1.36388;1.36137;1.36219;1.36359;9628
2015.05.20;04:00:00;1.36273;1.36043;1.36093;1.36215;11293
2015.05.20;08:00:00;1.36241;1.35478;1.35797;1.36093;38284
2015.05.20;12:00:00;1.36193;1.35554;1.35941;1.35794;37609
2015.05.20;16:00:00;1.35955;1.35254;1.3543;1.35939;43647
2015.05.20;20:00:00;1.35713;1.35194;1.354;1.35432;34066
2015.05.21;00:00:00;1.35622;1.35262;1.35556;1.354;8874
2015.05.21;04:00:00;1.3564;1.35503;1.35561;1.35557;12144
2015.05.21;08:00:00;1.36114;1.35149;1.35758;1.3556;35443
2015.05.21;12:00:00;1.36296;1.35699;1.3597;1.35757;36512
2015.05.21;16:00:00;1.36211;1.35601;1.35793;1.35967;41484
2015.05.21;20:00:00;1.3588;1.35528;1.35528;1.35781;18322
2015.05.22;00:00:00;1.356;1.35418;1.35537;1.35513;8382
2015.05.22;04:00:00;1.35791;1.35485;1.35714;1.35536;13087
