DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;7.46086;7.46024;7.46044;7.46061;9
2015.04.27;16:00:00;7.46063;7.45974;7.46004;7.46034;97
2015.04.27;20:00:00;7.46019;7.45979;7.46014;7.45994;160
2015.04.28;00:00:00;7.46038;7.45934;7.45994;7.46014;266
2015.04.28;04:00:00;7.46079;7.45982;7.46054;7.45994;192
2015.04.28;08:00:00;7.46044;7.45969;7.46044;7.46044;16
2015.04.28;12:00:00;7.46059;7.46021;7.46044;7.46038;26
2015.04.28;16:00:00;7.46054;7.45944;7.45994;7.46052;199
2015.04.28;20:00:00;7.46016;7.45983;7.46014;7.45994;187
2015.04.29;00:00:00;7.46221;7.45982;7.46194;7.46014;355
2015.04.29;04:00:00;7.46213;7.46;7.46195;7.462;198
2015.04.29;08:00:00;7.46194;7.45989;7.46084;7.46194;41
2015.04.29;12:00:00;7.46094;7.45959;7.45974;7.46023;28
2015.04.29;16:00:00;7.46269;7.4592;7.46144;7.45978;324
2015.04.29;20:00:00;7.46152;7.4599;7.46055;7.46145;312
2015.04.30;00:00:00;7.46124;7.45968;7.46064;7.46054;375
2015.04.30;04:00:00;7.46105;7.46023;7.46084;7.46077;130
2015.04.30;08:00:00;7.46084;7.46017;7.46064;7.46084;28
2015.04.30;12:00:00;7.46117;7.46036;7.46064;7.46054;26
2015.04.30;16:00:00;7.46092;7.46012;7.46064;7.46072;177
2015.04.30;20:00:00;7.46539;7.46055;7.46254;7.46062;356
2015.05.01;00:00:00;7.46857;7.46154;7.46438;7.46254;660
2015.05.01;04:00:00;7.46567;7.46374;7.46374;7.46438;179
2015.05.01;08:00:00;7.46454;7.46188;7.46424;7.46188;38
2015.05.01;12:00:00;7.46474;7.46184;7.46287;7.46474;7
2015.05.01;16:00:00;7.46383;7.46084;7.46084;7.46184;61
2015.05.01;20:00:00;7.4635;7.46082;7.46273;7.46087;123
2015.05.04;00:00:00;7.46564;7.46234;7.46562;7.46265;86
2015.05.04;04:00:00;7.46564;7.46444;7.46484;7.46554;47
2015.05.04;08:00:00;7.46234;7.46113;7.46234;7.46113;2
2015.05.04;12:00:00;7.46414;7.46234;7.46404;7.46234;63
2015.05.04;16:00:00;7.46413;7.46313;7.46379;7.46394;155
2015.05.04;20:00:00;7.46469;7.46374;7.46434;7.46374;149
2015.05.05;00:00:00;7.46546;7.46378;7.46384;7.46491;94
2015.05.05;04:00:00;7.46404;7.46318;7.46364;7.46374;27
2015.05.05;08:00:00;7.46371;7.46364;7.46364;7.46371;2
2015.05.05;12:00:00;7.464;7.46339;7.46372;7.46364;100
2015.05.05;16:00:00;7.46486;7.46372;7.46469;7.46377;165
2015.05.05;20:00:00;7.46528;7.46184;7.46284;7.46456;450
2015.05.06;00:00:00;7.46289;7.46184;7.46194;7.46284;124
2015.05.06;04:00:00;7.46226;7.46175;7.46184;7.46194;33
2015.05.06;08:00:00;7.46194;7.46147;7.46194;7.46184;26
2015.05.06;12:00:00;7.46414;7.46184;7.46344;7.46194;192
2015.05.06;16:00:00;7.4656;7.46277;7.46391;7.46344;317
2015.05.06;20:00:00;7.46718;7.46357;7.46546;7.46392;521
2015.05.07;00:00:00;7.46676;7.46474;7.46474;7.46547;217
2015.05.07;04:00:00;7.46561;7.46484;7.46528;7.46484;28
2015.05.07;08:00:00;7.46529;7.46474;7.46474;7.46529;11
2015.05.07;12:00:00;7.46493;7.46334;7.46374;7.46488;227
2015.05.07;16:00:00;7.46347;7.46035;7.46291;7.46334;283
2015.05.07;20:00:00;7.46329;7.4626;7.46294;7.46292;242
2015.05.08;00:00:00;7.46312;7.4559;7.46234;7.46289;139
2015.05.08;04:00:00;7.46226;7.46134;7.46157;7.4617;43
2015.05.08;08:00:00;7.46419;7.46169;7.46318;7.46174;38
2015.05.08;12:00:00;7.46876;7.46025;7.46324;7.46338;166
2015.05.08;16:00:00;7.46361;7.4619;7.4619;7.46326;363
2015.05.08;20:00:00;7.46237;7.46086;7.46202;7.46237;365
2015.05.11;00:00:00;7.46214;7.46017;7.46114;7.46202;116
2015.05.11;04:00:00;7.46148;7.46076;7.46136;7.46134;17
2015.05.11;08:00:00;7.46112;7.4605;7.46084;7.46084;24
2015.05.11;12:00:00;7.46235;7.46073;7.46184;7.46094;221
2015.05.11;16:00:00;7.46214;7.46174;7.46184;7.46185;172
2015.05.11;20:00:00;7.46666;7.46123;7.46256;7.46187;353
