DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;8.40784;8.38473;8.40309;8.39603;16321
2015.04.27;16:00:00;8.46704;8.39812;8.45157;8.40313;23041
2015.04.27;20:00:00;8.45444;8.42853;8.43853;8.45157;9419
2015.04.28;00:00:00;8.43993;8.42093;8.42982;8.43833;4051
2015.04.28;04:00:00;8.43452;8.42418;8.42418;8.42974;3354
2015.04.28;08:00:00;8.45093;8.41625;8.4501;8.42424;17810
2015.04.28;12:00:00;8.48599;8.44669;8.46759;8.45003;19455
2015.04.28;16:00:00;8.5166;8.46177;8.50012;8.46759;21357
2015.04.28;20:00:00;8.51722;8.49662;8.50933;8.50012;10390
2015.04.29;00:00:00;8.50985;8.49874;8.50856;8.50923;3801
2015.04.29;04:00:00;8.50893;8.49316;8.49572;8.50856;3355
2015.04.29;08:00:00;8.53193;8.49409;8.52974;8.49587;15135
2015.04.29;12:00:00;8.58072;8.51343;8.5467;8.5299;22968
2015.04.29;16:00:00;8.67017;8.53647;8.63573;8.54693;35830
2015.04.29;20:00:00;8.65883;8.58313;8.62343;8.63569;22505
2015.04.30;00:00:00;8.62433;8.60982;8.61311;8.62383;4482
2015.04.30;04:00:00;8.62183;8.60379;8.60763;8.61319;4767
2015.04.30;08:00:00;8.71703;8.57966;8.68574;8.60748;25351
2015.04.30;12:00:00;8.69551;8.63232;8.65153;8.68621;26830
2015.04.30;16:00:00;8.69853;8.61501;8.69163;8.65163;31978
2015.04.30;20:00:00;8.73078;8.66952;8.69633;8.69163;16290
2015.05.01;00:00:00;8.69944;8.68406;8.68663;8.69663;3792
2015.05.01;04:00:00;8.69327;8.68262;8.68659;8.68683;2963
2015.05.01;08:00:00;8.73419;8.68012;8.72229;8.68628;13952
2015.05.01;12:00:00;8.74527;8.70327;8.72353;8.72237;16679
2015.05.01;16:00:00;8.74847;8.66083;8.66285;8.72357;23595
2015.05.01;20:00:00;8.69546;8.66293;8.67713;8.66308;7058
2015.05.04;00:00:00;8.67913;8.66191;8.67043;8.67363;4195
2015.05.04;04:00:00;8.6789;8.66918;8.67618;8.67033;4542
2015.05.04;08:00:00;8.70159;8.6319;8.63662;8.6761;15779
2015.05.04;12:00:00;8.67251;8.62203;8.66848;8.63654;15497
2015.05.04;16:00:00;8.67422;8.63383;8.64997;8.6684;18644
2015.05.04;20:00:00;8.65252;8.63003;8.64003;8.64993;8527
2015.05.05;00:00:00;8.64386;8.63684;8.63966;8.63923;2242
2015.05.05;04:00:00;8.64325;8.62204;8.62445;8.63981;3208
2015.05.05;08:00:00;8.63958;8.57716;8.60168;8.62437;17256
2015.05.05;12:00:00;8.65922;8.58997;8.64682;8.60199;20479
2015.05.05;16:00:00;8.68813;8.61633;8.68104;8.64683;26730
2015.05.05;20:00:00;8.69835;8.66589;8.66773;8.68104;8876
2015.05.06;00:00:00;8.67174;8.66295;8.6658;8.66773;3129
2015.05.06;04:00:00;8.71333;8.66153;8.70802;8.66589;5471
2015.05.06;08:00:00;8.73588;8.69686;8.70218;8.70794;20610
2015.05.06;12:00:00;8.74928;8.68273;8.74432;8.70218;23947
