DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;302.277;300.433;300.69;302.23;2887
2015.04.27;16:00:00;300.84;299.36;299.83;300.69;3020
2015.04.27;20:00:00;300.197;299.76;299.88;299.834;833
2015.04.28;00:00:00;300.018;299.82;300.006;299.82;362
2015.04.28;04:00:00;300.045;299.903;300.012;300.002;498
2015.04.28;08:00:00;301.39;299.665;301.245;300.012;2399
2015.04.28;12:00:00;301.76;300.735;301.69;301.25;2882
2015.04.28;16:00:00;301.75;300.43;300.508;301.69;2848
2015.04.28;20:00:00;300.81;300.44;300.53;300.509;823
2015.04.29;00:00:00;300.864;300.43;300.741;300.43;7810
2015.04.29;04:00:00;300.826;300.674;300.809;300.741;2477
2015.04.29;08:00:00;301.56;300.526;301.42;300.812;1624
2015.04.29;12:00:00;303.13;301.447;303;301.46;4459
2015.04.29;16:00:00;303.001;301.69;301.98;302.99;6242
2015.04.29;20:00:00;302.07;301.46;302.02;301.98;1464
2015.04.30;00:00:00;302.09;301.91;302.01;301.91;161
2015.04.30;04:00:00;302.07;302.01;302.06;302.02;63
2015.04.30;08:00:00;304.19;302;302.86;302.06;2516
2015.04.30;12:00:00;303.24;301.9;302.273;302.86;3654
2015.04.30;16:00:00;303.868;301.9;303.66;302.267;5535
2015.04.30;20:00:00;303.746;303.35;303.35;303.667;2132
2015.05.01;00:00:00;303.47;302.96;303.01;303.34;201
2015.05.01;04:00:00;303.07;302.96;302.96;303;85
2015.05.01;08:00:00;304.03;302.95;303.88;303.06;722
2015.05.01;12:00:00;304.2;303.4;303.8;303.88;1675
2015.05.01;16:00:00;304.53;303.41;303.53;303.8;1470
2015.05.01;20:00:00;303.67;303.13;303.32;303.51;884
2015.05.04;00:00:00;303.52;302.888;303.48;302.888;988
2015.05.04;04:00:00;303.52;303.35;303.44;303.52;2157
2015.05.04;08:00:00;303.78;302.93;303.62;303.44;1524
2015.05.04;12:00:00;303.66;302.98;303.27;303.61;1280
2015.05.04;16:00:00;303.54;302.66;303.35;303.22;1322
2015.05.04;20:00:00;303.679;302.86;303.19;303.35;3758
2015.05.05;00:00:00;303.462;302.77;303.427;302.78;11290
2015.05.05;04:00:00;303.454;303.28;303.314;303.431;1338
2015.05.05;08:00:00;303.418;301.161;301.36;303.315;3570
2015.05.05;12:00:00;301.864;301.11;301.698;301.4;3932
2015.05.05;16:00:00;304.21;301.68;303.74;301.691;4159
2015.05.05;20:00:00;303.86;303.35;303.39;303.74;872
2015.05.06;00:00:00;303.643;303.01;303.38;303.38;4239
2015.05.06;04:00:00;303.89;303.322;303.34;303.37;1318
2015.05.06;08:00:00;306.07;303.33;304.55;303.34;4057
2015.05.06;12:00:00;305.01;304.13;304.76;304.55;4448
2015.05.06;16:00:00;305.77;304.76;305.64;304.775;4320
2015.05.06;20:00:00;305.64;305.025;305.35;305.64;1373
2015.05.07;00:00:00;305.433;305.31;305.409;305.35;260
2015.05.07;04:00:00;305.509;305.399;305.509;305.407;551
2015.05.07;08:00:00;307.129;305.14;306.66;305.511;4118
2015.05.07;12:00:00;307.54;303.85;304.17;306.66;5238
2015.05.07;16:00:00;304.24;303.08;303.53;304.17;4987
2015.05.07;20:00:00;303.57;303.1;303.12;303.54;710
2015.05.08;00:00:00;303.233;303.03;303.203;303.12;561
2015.05.08;04:00:00;303.348;303.04;303.11;303.205;1067
2015.05.08;08:00:00;303.456;302.036;303.19;303.04;3338
2015.05.08;12:00:00;304.4;302.56;303.17;303.2;3087
2015.05.08;16:00:00;303.23;302.35;302.63;303.17;1964
2015.05.08;20:00:00;302.63;302.28;302.28;302.63;774
2015.05.11;00:00:00;302.34;301.82;302.32;302.003;76
2015.05.11;04:00:00;302.44;302.32;302.32;302.32;444
2015.05.11;08:00:00;304.63;302.24;304.56;302.32;1874
2015.05.11;12:00:00;304.88;303.819;304.76;304.61;2952
