DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;129.442;129.046;129.427;129.126;29537
2015.04.27;16:00:00;129.971;129.35;129.708;129.425;37372
2015.04.27;20:00:00;129.736;129.468;129.634;129.708;17094
2015.04.28;00:00:00;129.651;129.456;129.598;129.627;14567
2015.04.28;04:00:00;129.638;129.463;129.486;129.596;12704
2015.04.28;08:00:00;129.81;129.343;129.789;129.478;30304
2015.04.28;12:00:00;130.249;129.719;130.058;129.787;36981
2015.04.28;16:00:00;130.618;129.992;130.448;130.057;40249
2015.04.28;20:00:00;130.67;130.323;130.489;130.447;16522
2015.04.29;00:00:00;130.518;130.309;130.412;130.49;11942
2015.04.29;04:00:00;130.413;130.25;130.289;130.413;11360
2015.04.29;08:00:00;131.208;130.276;131.17;130.291;29275
2015.04.29;12:00:00;131.636;131.069;131.454;131.169;39954
2015.04.29;16:00:00;132.884;131.324;132.278;131.458;56957
2015.04.29;20:00:00;132.55;131.767;132.432;132.277;35316
2015.04.30;00:00:00;132.537;132.162;132.241;132.435;15863
2015.04.30;04:00:00;132.343;131.652;131.763;132.241;22356
2015.04.30;08:00:00;133.712;131.3;133.25;131.764;45439
2015.04.30;12:00:00;133.387;132.557;133.176;133.237;46623
2015.04.30;16:00:00;134.326;132.913;134.169;133.176;55723
2015.04.30;20:00:00;134.509;133.815;133.979;134.168;28970
2015.05.01;00:00:00;134.188;133.889;134.117;133.966;13237
2015.05.01;04:00:00;134.217;134.021;134.085;134.117;13029
2015.05.01;08:00:00;134.975;134.07;134.82;134.085;27470
2015.05.01;12:00:00;135.116;134.608;134.977;134.819;28963
2015.05.01;16:00:00;135.264;134.393;134.422;134.977;42362
2015.05.01;20:00:00;134.83;134.417;134.557;134.424;16630
2015.05.04;00:00:00;134.638;134.252;134.421;134.555;9846
2015.05.04;04:00:00;134.518;134.257;134.393;134.421;10537
2015.05.04;08:00:00;134.714;133.767;133.819;134.395;29314
2015.05.04;12:00:00;134.358;133.708;134.293;133.819;31628
2015.05.04;16:00:00;134.404;133.811;134.065;134.292;34959
2015.05.04;20:00:00;134.095;133.688;133.879;134.066;14128
2015.05.05;00:00:00;133.969;133.805;133.895;133.861;9511
2015.05.05;04:00:00;133.96;133.558;133.594;133.896;11227
2015.05.05;08:00:00;133.83;133.096;133.475;133.594;36844
2015.05.05;12:00:00;134.208;133.304;133.999;133.475;41109
2015.05.05;16:00:00;134.485;133.812;134.236;134;48730
2015.05.05;20:00:00;134.431;134.002;134.013;134.243;17790
2015.05.06;00:00:00;134.143;134.005;134.116;134.013;10183
2015.05.06;04:00:00;134.778;134.106;134.715;134.116;15369
2015.05.06;08:00:00;134.869;134.342;134.444;134.715;41964
2015.05.06;12:00:00;134.938;134.217;134.883;134.444;45878
2015.05.06;16:00:00;135.671;134.848;135.422;134.885;51991
2015.05.06;20:00:00;135.683;135.349;135.492;135.419;21733
2015.05.07;00:00:00;135.585;135.173;135.272;135.513;17887
2015.05.07;04:00:00;135.603;135.223;135.513;135.273;17195
2015.05.07;08:00:00;135.852;135.305;135.503;135.513;41664
2015.05.07;12:00:00;135.984;134.371;134.769;135.506;51661
2015.05.07;16:00:00;135.129;134.18;134.971;134.773;46095
2015.05.07;20:00:00;135.122;134.792;134.87;134.972;18903
2015.05.08;00:00:00;134.95;134.457;134.756;134.868;16158
2015.05.08;04:00:00;134.966;134.29;134.447;134.756;23223
2015.05.08;08:00:00;134.973;134.103;134.871;134.447;41553
2015.05.08;12:00:00;135.346;134.35;134.852;134.872;45057
2015.05.08;16:00:00;134.909;134.068;134.321;134.854;47409
2015.05.08;20:00:00;134.481;134.101;134.182;134.32;14474
2015.05.11;00:00:00;134.195;133.701;133.711;133.9;14073
2015.05.11;04:00:00;133.821;133.477;133.66;133.71;18269
2015.05.11;08:00:00;134.224;133.566;133.936;133.666;33364
2015.05.11;12:00:00;134.01;133.508;133.594;133.932;31021
2015.05.11;16:00:00;133.949;133.497;133.947;133.596;37090
2015.05.11;20:00:00;134.044;133.804;133.92;133.948;13919
2015.05.12;00:00:00;134.007;133.739;133.808;133.929;11628
2015.05.12;04:00:00;134.262;133.768;134.256;133.808;14363
2015.05.12;08:00:00;135.257;134.213;135.126;134.258;39115
2015.05.12;12:00:00;135.281;134.762;134.866;135.126;39475
2015.05.12;16:00:00;135.163;134.598;134.629;134.868;37123
2015.05.12;20:00:00;134.669;134.347;134.385;134.631;15615
2015.05.13;00:00:00;134.568;134.294;134.472;134.371;13067
2015.05.13;04:00:00;134.97;134.323;134.825;134.473;19369
2015.05.13;08:00:00;135.061;134.389;134.481;134.827;32672
2015.05.13;12:00:00;135.042;134.194;134.948;134.479;40376
2015.05.13;16:00:00;135.492;134.87;135.394;134.948;42638
2015.05.13;20:00:00;135.47;135.099;135.261;135.396;15652
2015.05.14;00:00:00;135.364;135.189;135.346;135.244;15380
2015.05.14;04:00:00;135.5;135.252;135.447;135.347;18441
2015.05.14;08:00:00;136.05;135.292;135.916;135.446;38424
2015.05.14;12:00:00;136.407;135.798;135.91;135.916;36270
