DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;8.45085;8.42299;8.43054;8.42637;15650
2015.04.27;16:00:00;8.43295;8.38397;8.41044;8.4305;15811
2015.04.27;20:00:00;8.41609;8.39755;8.4075;8.41044;3700
2015.04.28;00:00:00;8.41264;8.39508;8.40888;8.4075;2142
2015.04.28;04:00:00;8.41053;8.39879;8.403;8.409;1573
2015.04.28;08:00:00;8.42304;8.38855;8.3898;8.4028;16674
2015.04.28;12:00:00;8.40167;8.3777;8.39185;8.3897;24934
2015.04.28;16:00:00;8.4226;8.38994;8.39552;8.39185;23300
2015.04.28;20:00:00;8.4028;8.37733;8.37985;8.39554;4048
2015.04.29;00:00:00;8.39887;8.37742;8.3863;8.37848;1963
2015.04.29;04:00:00;8.3883;8.3828;8.38355;8.38629;2077
2015.04.29;08:00:00;8.41352;8.36473;8.4044;8.38355;13605
2015.04.29;12:00:00;8.4059;8.35884;8.37641;8.4044;21617
2015.04.29;16:00:00;8.38285;8.34355;8.34709;8.37656;20594
2015.04.29;20:00:00;8.36909;8.3435;8.36798;8.3467;5594
2015.04.30;00:00:00;8.36988;8.35602;8.36227;8.36919;1165
2015.04.30;04:00:00;8.36765;8.35649;8.36569;8.36199;2611
2015.04.30;08:00:00;8.414;8.35023;8.39976;8.36568;17554
2015.04.30;12:00:00;8.43935;8.37818;8.3817;8.39951;25116
2015.04.30;16:00:00;8.45823;8.3699;8.45234;8.3817;26541
2015.04.30;20:00:00;8.4648;8.43952;8.44753;8.45251;5748
2015.05.01;00:00:00;8.4703;8.438;8.438;8.44587;2116
2015.05.01;04:00:00;8.4611;8.43579;8.454;8.4389;8116
2015.05.01;08:00:00;8.48389;8.44628;8.44796;8.454;8920
2015.05.01;12:00:00;8.506;8.44471;8.50274;8.44796;11925
2015.05.01;16:00:00;8.53564;8.48655;8.51363;8.50284;15117
2015.05.01;20:00:00;8.52261;8.49697;8.50549;8.51371;6559
2015.05.04;00:00:00;8.52165;8.46885;8.51175;8.4872;2010
2015.05.04;04:00:00;8.51202;8.50005;8.5046;8.51202;3631
2015.05.04;08:00:00;8.50776;8.4498;8.46243;8.50462;15752
2015.05.04;12:00:00;8.46733;8.45085;8.45515;8.46245;20196
2015.05.04;16:00:00;8.46599;8.4439;8.4553;8.45511;16235
2015.05.04;20:00:00;8.4675;8.44736;8.45769;8.45546;7621
2015.05.05;00:00:00;8.46233;8.44899;8.45699;8.45773;1584
2015.05.05;04:00:00;8.46003;8.4537;8.454;8.45698;2330
2015.05.05;08:00:00;8.49749;8.45294;8.49681;8.4541;25710
2015.05.05;12:00:00;8.49664;8.42894;8.4338;8.49664;22977
2015.05.05;16:00:00;8.48859;8.41502;8.4776;8.4338;21226
2015.05.05;20:00:00;8.48723;8.4703;8.4703;8.4777;7238
2015.05.06;00:00:00;8.4849;8.4577;8.48127;8.45975;1976
2015.05.06;04:00:00;8.48859;8.47648;8.4793;8.48127;7203
2015.05.06;08:00:00;8.4954;8.43442;8.44051;8.4793;22026
2015.05.06;12:00:00;8.4502;8.4075;8.41241;8.44051;25353
2015.05.06;16:00:00;8.43468;8.37505;8.4142;8.412;20026
2015.05.06;20:00:00;8.4347;8.40902;8.4329;8.4142;4884
2015.05.07;00:00:00;8.43446;8.41371;8.4216;8.4329;3456
2015.05.07;04:00:00;8.42357;8.414;8.42091;8.4216;3479
2015.05.07;08:00:00;8.4555;8.31029;8.3223;8.42108;19138
2015.05.07;12:00:00;8.36085;8.31919;8.35871;8.3224;23636
2015.05.07;16:00:00;8.434;8.3502;8.398;8.35871;17940
2015.05.07;20:00:00;8.4061;8.38495;8.3859;8.3979;4840
2015.05.08;00:00:00;8.39712;8.38328;8.3897;8.386;2400
2015.05.08;04:00:00;8.40181;8.3893;8.39647;8.3897;6843
2015.05.08;08:00:00;8.40972;8.35258;8.38499;8.39645;21097
2015.05.08;12:00:00;8.3994;8.3632;8.37615;8.38499;17785
2015.05.08;16:00:00;8.4005;8.3532;8.3659;8.3772;14115
2015.05.08;20:00:00;8.3983;8.35508;8.37699;8.36581;4648
2015.05.11;00:00:00;8.3889;8.36554;8.37071;8.36898;2371
2015.05.11;04:00:00;8.37854;8.3695;8.3753;8.37076;6681
2015.05.11;08:00:00;8.4293;8.36487;8.4172;8.37528;14632
2015.05.11;12:00:00;8.45605;8.41407;8.43076;8.4172;14229
2015.05.11;16:00:00;8.4343;8.40093;8.4262;8.43076;12941
2015.05.11;20:00:00;8.4417;8.42206;8.4396;8.4262;5193
2015.05.12;00:00:00;8.4391;8.40105;8.43559;8.439;962
2015.05.12;04:00:00;8.43701;8.43147;8.43446;8.43569;1925
2015.05.12;08:00:00;8.4465;8.40802;8.42944;8.43447;22476
2015.05.12;12:00:00;8.4382;8.3823;8.39132;8.42951;23039
2015.05.12;16:00:00;8.4136;8.38829;8.40153;8.39149;14574
2015.05.12;20:00:00;8.407;8.3878;8.3878;8.4017;5285
2015.05.13;00:00:00;8.39593;8.3874;8.3898;8.3878;2346
2015.05.13;04:00:00;8.39138;8.38778;8.3903;8.3898;3939
2015.05.13;08:00:00;8.4122;8.35079;8.36117;8.39066;15672
2015.05.13;12:00:00;8.36659;8.3489;8.3554;8.36118;25998
2015.05.13;16:00:00;8.37651;8.33516;8.37217;8.3554;19038
2015.05.13;20:00:00;8.3881;8.35917;8.37824;8.37209;6401
2015.05.14;00:00:00;8.38394;8.37459;8.37972;8.37823;1465
2015.05.14;04:00:00;8.3805;8.37583;8.3767;8.37974;823
2015.05.14;08:00:00;8.4015;8.37327;8.39178;8.3768;10395
2015.05.14;12:00:00;8.43304;8.38975;8.41183;8.39183;10213
2015.05.14;16:00:00;8.4123;8.3829;8.40686;8.41179;10431
2015.05.14;20:00:00;8.41213;8.3997;8.40043;8.4069;3319
2015.05.15;00:00:00;8.40866;8.40073;8.4063;8.40073;1429
2015.05.15;04:00:00;8.4072;8.40099;8.40273;8.40603;976
2015.05.15;08:00:00;8.40268;8.34407;8.35995;8.40242;13885
2015.05.15;12:00:00;8.38003;8.3448;8.37434;8.35993;18637
2015.05.15;16:00:00;8.3822;8.35187;8.3533;8.37431;18076
2015.05.15;20:00:00;8.3794;8.3481;8.3607;8.3533;5606
2015.05.18;00:00:00;8.3775;8.35368;8.3768;8.35503;941
2015.05.18;04:00:00;8.3776;8.37271;8.3741;8.3767;1306
2015.05.18;08:00:00;8.3768;8.3505;8.3726;8.3741;11749
2015.05.18;12:00:00;8.38927;8.34953;8.3842;8.3726;18459
2015.05.18;16:00:00;8.38965;8.36245;8.37748;8.3841;12789
2015.05.18;20:00:00;8.3874;8.37061;8.3732;8.37744;2822
2015.05.19;00:00:00;8.3849;8.362;8.38044;8.3732;2135
2015.05.19;04:00:00;8.38529;8.37562;8.38496;8.38038;3078
2015.05.19;08:00:00;8.38914;8.3215;8.3495;8.38504;15874
2015.05.19;12:00:00;8.38268;8.3428;8.38169;8.3475;19170
2015.05.19;16:00:00;8.409;8.37495;8.3957;8.38167;16363
2015.05.19;20:00:00;8.40581;8.38667;8.38667;8.3957;3309
2015.05.20;00:00:00;8.40194;8.38624;8.39741;8.38628;3197
2015.05.20;04:00:00;8.40605;8.38678;8.38913;8.39715;4205
2015.05.20;08:00:00;8.42266;8.3593;8.38487;8.38885;12956
2015.05.20;12:00:00;8.41696;8.3633;8.3633;8.3849;18686
2015.05.20;16:00:00;8.41637;8.36046;8.39379;8.36366;17086
2015.05.20;20:00:00;8.40083;8.3845;8.3929;8.39382;8030
2015.05.21;00:00:00;8.4069;8.38733;8.4022;8.3947;2651
2015.05.21;04:00:00;8.40689;8.40093;8.40346;8.4022;31943
2015.05.21;08:00:00;8.42119;8.3848;8.39673;8.40425;14498
2015.05.21;12:00:00;8.44372;8.38889;8.42304;8.39668;20007
2015.05.21;16:00:00;8.4311;8.3934;8.39653;8.42299;12911
2015.05.21;20:00:00;8.40498;8.387;8.40261;8.39652;5393
2015.05.22;00:00:00;8.40907;8.39455;8.3993;8.40779;1064
2015.05.22;04:00:00;8.40036;8.39475;8.39623;8.3993;1195
2015.05.22;08:00:00;8.40529;8.3845;8.40223;8.39751;14216
2015.05.22;12:00:00;8.42299;8.39544;8.416;8.40226;22014
2015.05.22;16:00:00;8.4265;8.38397;8.41629;8.416;14693
2015.05.22;20:00:00;8.4219;8.4025;8.42;8.41654;3929
2015.05.25;00:00:00;8.4162;8.40051;8.40612;8.40387;2450
2015.05.25;04:00:00;8.41001;8.4043;8.41001;8.40635;3165
2015.05.25;08:00:00;8.4148;8.39349;8.39585;8.40899;5676
2015.05.25;12:00:00;8.3987;8.37028;8.38544;8.39607;8714
2015.05.25;16:00:00;8.3928;8.3755;8.3879;8.38556;4231
2015.05.25;20:00:00;8.39257;8.38144;8.38223;8.38791;730
2015.05.26;00:00:00;8.3953;8.38043;8.3912;8.38043;1195
2015.05.26;04:00:00;8.3933;8.38379;8.38494;8.39121;1292
2015.05.26;08:00:00;8.40257;8.36957;8.37637;8.38499;13292
2015.05.26;12:00:00;8.38703;8.36574;8.3856;8.37635;15669
2015.05.26;16:00:00;8.43708;8.38533;8.4338;8.3858;16276
2015.05.26;20:00:00;8.43424;8.42431;8.4302;8.4337;4093
2015.05.27;00:00:00;8.4348;8.4287;8.43223;8.4302;803
2015.05.27;04:00:00;8.4349;8.42464;8.43318;8.4323;6046
2015.05.27;08:00:00;8.4346;8.41415;8.43101;8.43319;14283
2015.05.27;12:00:00;8.45689;8.41402;8.44401;8.43096;23546
2015.05.27;16:00:00;8.47736;8.43149;8.44529;8.44406;21063
2015.05.27;20:00:00;8.4683;8.44365;8.46333;8.44535;6969
2015.05.28;00:00:00;8.47736;8.4628;8.473;8.46378;2963
2015.05.28;04:00:00;8.47407;8.46662;8.46729;8.473;3375
2015.05.28;08:00:00;8.48349;8.44763;8.48055;8.46729;14474
2015.05.28;12:00:00;8.53445;8.47976;8.53191;8.48072;20381
2015.05.28;16:00:00;8.58102;8.5309;8.56376;8.53191;19131
2015.05.28;20:00:00;8.56713;8.53914;8.5426;8.56377;5067
2015.05.29;00:00:00;8.54606;8.53389;8.5427;8.5425;1283
2015.05.29;04:00:00;8.55168;8.5425;8.5448;8.5427;5783
2015.05.29;08:00:00;8.57248;8.5043;8.51024;8.5448;14797
2015.05.29;12:00:00;8.54539;8.4936;8.54107;8.51038;21913
2015.05.29;16:00:00;8.56943;8.5161;8.55435;8.54108;15883
2015.05.29;20:00:00;8.55934;8.52421;8.5354;8.55452;5218
2015.06.01;00:00:00;8.53014;8.51197;8.5289;8.5165;818
2015.06.01;04:00:00;8.53307;8.52365;8.52471;8.5288;5082
2015.06.01;08:00:00;8.58612;8.5131;8.57507;8.52501;15646
2015.06.01;12:00:00;8.70723;8.56992;8.66001;8.57517;19151
2015.06.01;16:00:00;8.6977;8.6489;8.68794;8.65996;16119
2015.06.01;20:00:00;8.69717;8.67483;8.694;8.68799;6236
2015.06.02;00:00:00;8.6957;8.68475;8.6956;8.6935;1755
2015.06.02;04:00:00;8.69551;8.6862;8.68791;8.69551;10513
2015.06.02;08:00:00;8.69574;8.65949;8.67469;8.68801;18415
2015.06.02;12:00:00;8.70025;8.6639;8.68698;8.67464;21394
2015.06.02;16:00:00;8.74399;8.6689;8.71813;8.68698;19982
2015.06.02;20:00:00;8.73772;8.71675;8.73;8.71813;4778
2015.06.03;00:00:00;8.7336;8.71823;8.7301;8.72259;1688
2015.06.03;04:00:00;8.7303;8.719;8.72589;8.7301;2356
2015.06.03;08:00:00;8.7369;8.68186;8.68598;8.72589;19400
2015.06.03;12:00:00;8.73302;8.67594;8.7148;8.68597;23403
2015.06.03;16:00:00;8.7357;8.68066;8.72659;8.7149;18837
2015.06.03;20:00:00;8.75161;8.7233;8.73524;8.72659;4555
2015.06.04;00:00:00;8.7442;8.72116;8.74133;8.72363;2123
2015.06.04;04:00:00;8.758;8.74117;8.75003;8.74133;2654
2015.06.04;08:00:00;8.78474;8.73612;8.77561;8.75002;18790
2015.06.04;12:00:00;8.78068;8.72247;8.74332;8.77565;18205
2015.06.04;16:00:00;8.74983;8.72025;8.72187;8.74329;14056
2015.06.04;20:00:00;8.72747;8.70125;8.70542;8.72187;4869
2015.06.05;00:00:00;8.71675;8.70499;8.7134;8.71675;2459
2015.06.05;04:00:00;8.72339;8.70927;8.71858;8.71349;3852
2015.06.05;08:00:00;8.83702;8.7142;8.83385;8.71858;16940
2015.06.05;12:00:00;8.84557;8.7864;8.83972;8.83411;17463
2015.06.05;16:00:00;8.8659;8.80647;8.86155;8.83933;15851
2015.06.05;20:00:00;8.86518;8.82656;8.8367;8.86155;5428
2015.06.08;00:00:00;8.8466;8.83736;8.8449;8.84248;1056
2015.06.08;04:00:00;8.8452;8.83502;8.83813;8.8449;3903
2015.06.08;08:00:00;8.84691;8.81933;8.83744;8.83813;12627
2015.06.08;12:00:00;8.8616;8.8193;8.83712;8.83741;16960
2015.06.08;16:00:00;8.85921;8.82188;8.8332;8.83716;14820
2015.06.08;20:00:00;8.83336;8.81402;8.8177;8.8332;5857
2015.06.09;00:00:00;8.83131;8.81655;8.82397;8.8177;1966
2015.06.09;04:00:00;8.84254;8.8226;8.83213;8.82408;4834
2015.06.09;08:00:00;8.86049;8.80996;8.85641;8.83213;18649
2015.06.09;12:00:00;8.86574;8.7639;8.76654;8.85611;17727
2015.06.09;16:00:00;8.77106;8.7243;8.76326;8.76659;15920
2015.06.09;20:00:00;8.77586;8.7629;8.77004;8.76312;3995
2015.06.10;00:00:00;8.7787;8.74886;8.7681;8.77004;2472
2015.06.10;04:00:00;8.77146;8.74885;8.75233;8.7681;4344
2015.06.10;08:00:00;8.76739;8.6945;8.71019;8.75259;20032
2015.06.10;12:00:00;8.73487;8.69017;8.71301;8.71133;20351
2015.06.10;16:00:00;8.79178;8.71176;8.78001;8.71328;17998
2015.06.10;20:00:00;8.80441;8.77915;8.7894;8.78005;5243
2015.06.11;00:00:00;8.792;8.77237;8.79054;8.7894;2055
2015.06.11;04:00:00;8.79079;8.78203;8.78703;8.7902;2993
2015.06.11;08:00:00;8.80303;8.7399;8.76571;8.78703;14206
2015.06.11;12:00:00;8.78992;8.75854;8.78215;8.76571;22044
2015.06.11;16:00:00;8.83652;8.77097;8.82651;8.78217;18656
2015.06.11;20:00:00;8.84508;8.81309;8.8218;8.82646;6688
2015.06.12;00:00:00;8.82918;8.80464;8.82195;8.82149;5622
2015.06.12;04:00:00;8.8343;8.8218;8.83;8.8218;3535
2015.06.12;08:00:00;8.84409;8.7078;8.72476;8.83;16954
2015.06.12;12:00:00;8.7292;8.67742;8.69045;8.72476;18533
2015.06.12;16:00:00;8.72499;8.68581;8.70909;8.69083;16011
2015.06.12;20:00:00;8.73273;8.6974;8.7167;8.70909;3757
2015.06.15;00:00:00;8.7273;8.71425;8.7244;8.71634;3417
2015.06.15;04:00:00;8.72786;8.724;8.72646;8.7245;1523
2015.06.15;08:00:00;8.76118;8.72059;8.72932;8.7264;13855
2015.06.15;12:00:00;8.74482;8.70651;8.72974;8.73099;15880
2015.06.15;16:00:00;8.75812;8.72782;8.75502;8.72974;16929
2015.06.15;20:00:00;8.75627;8.74085;8.74085;8.75473;4696
2015.06.16;00:00:00;8.7467;8.73896;8.7436;8.7398;1104
2015.06.16;04:00:00;8.75265;8.74049;8.74097;8.7436;1200
2015.06.16;08:00:00;8.78042;8.72409;8.7585;8.74097;10942
2015.06.16;12:00:00;8.7712;8.71675;8.71821;8.7586;16712
2015.06.16;16:00:00;8.7481;8.71791;8.7384;8.71825;11962
2015.06.16;20:00:00;8.74384;8.72217;8.7255;8.73838;5205
2015.06.17;00:00:00;8.7306;8.72386;8.73;8.7256;1083
2015.06.17;04:00:00;8.7368;8.72811;8.73019;8.73;2802
2015.06.17;08:00:00;8.75849;8.72618;8.7523;8.72995;11747
2015.06.17;12:00:00;8.75701;8.71126;8.71882;8.7523;17027
2015.06.17;16:00:00;8.71932;8.6784;8.69007;8.71877;15590
2015.06.17;20:00:00;8.69215;8.66188;8.6779;8.69007;7944
2015.06.18;00:00:00;8.6935;8.6778;8.6856;8.6778;3217
2015.06.18;04:00:00;8.69555;8.68235;8.68915;8.6856;5411
2015.06.18;08:00:00;8.7972;8.6489;8.7829;8.68915;17772
2015.06.18;12:00:00;8.83313;8.7716;8.79432;8.7829;18786
2015.06.18;16:00:00;8.85819;8.78145;8.85039;8.79438;14401
2015.06.18;20:00:00;8.8651;8.84609;8.8497;8.85039;9390
2015.06.19;00:00:00;8.8497;8.82904;8.8412;8.8497;1399
2015.06.19;04:00:00;8.8437;8.82376;8.8273;8.84129;3329
2015.06.19;08:00:00;8.84807;8.8022;8.80608;8.8272;14775
2015.06.19;12:00:00;8.85058;8.80298;8.84057;8.80622;15296
2015.06.19;16:00:00;8.85233;8.8212;8.83165;8.84013;12518
2015.06.19;20:00:00;8.8329;8.76058;8.76867;8.83166;6756
2015.06.22;00:00:00;8.78849;8.77402;8.7824;8.77913;2180
2015.06.22;04:00:00;8.79797;8.7769;8.7945;8.7824;5444
2015.06.22;08:00:00;8.81122;8.76592;8.76704;8.7945;14472
2015.06.22;12:00:00;8.79355;8.71664;8.738;8.76726;18177
2015.06.22;16:00:00;8.80113;8.73169;8.78113;8.738;19142
2015.06.22;20:00:00;8.7813;8.75702;8.77642;8.78125;6404
2015.06.23;00:00:00;8.78062;8.7644;8.7659;8.78026;2310
2015.06.23;04:00:00;8.77876;8.76024;8.76297;8.76593;4405
2015.06.23;08:00:00;8.7707;8.72865;8.74365;8.76298;16828
2015.06.23;12:00:00;8.75735;8.7212;8.7449;8.74363;22794
2015.06.23;16:00:00;8.7634;8.72386;8.7587;8.74466;18936
2015.06.23;20:00:00;8.77283;8.7273;8.72948;8.7587;7949
2015.06.24;00:00:00;8.74688;8.72737;8.7408;8.72988;3748
2015.06.24;04:00:00;8.7481;8.73554;8.7473;8.74;16940
2015.06.24;08:00:00;8.78367;8.74107;8.75408;8.7472;15054
2015.06.24;12:00:00;8.7765;8.74332;8.77317;8.75449;19848
2015.06.24;16:00:00;8.8129;8.7724;8.79113;8.77324;19536
2015.06.24;20:00:00;8.8006;8.78418;8.78826;8.79097;5147
2015.06.25;00:00:00;8.78983;8.77783;8.7813;8.78843;18027
2015.06.25;04:00:00;8.7848;8.77313;8.78067;8.7812;31240
2015.06.25;08:00:00;8.7964;8.7338;8.75127;8.78055;25914
2015.06.25;12:00:00;8.759;8.72944;8.74803;8.75127;22609
2015.06.25;16:00:00;8.77112;8.73869;8.7504;8.74803;16413
2015.06.25;20:00:00;8.7552;8.74409;8.74409;8.7504;3298
2015.06.26;00:00:00;8.7531;8.7385;8.74042;8.7426;2905
2015.06.26;04:00:00;8.74676;8.73957;8.74623;8.74061;2645
2015.06.26;08:00:00;8.7556;8.72363;8.73996;8.74624;13711
2015.06.26;12:00:00;8.78243;8.72247;8.75463;8.73991;18612
2015.06.26;16:00:00;8.76563;8.74358;8.74934;8.75458;15563
2015.06.26;20:00:00;8.76407;8.73786;8.74505;8.74936;6829
2015.06.29;00:00:00;8.7171;8.68669;8.70825;8.69033;4554
2015.06.29;04:00:00;8.7112;8.6884;8.70984;8.70825;10939
2015.06.29;08:00:00;8.77664;8.70176;8.76985;8.70984;19355
2015.06.29;12:00:00;8.8188;8.7437;8.7961;8.76985;24585
2015.06.29;16:00:00;8.8365;8.77708;8.82542;8.7961;20913
2015.06.29;20:00:00;8.83852;8.80492;8.8272;8.82558;7023
2015.06.30;00:00:00;8.8319;8.812;8.8204;8.8259;2435
2015.06.30;04:00:00;8.82044;8.8116;8.8177;8.8204;2932
2015.06.30;08:00:00;8.8453;8.7733;8.77623;8.8176;17371
2015.06.30;12:00:00;8.80807;8.7632;8.80356;8.77643;21251
2015.06.30;16:00:00;8.80569;8.7379;8.7379;8.80355;26428
2015.06.30;20:00:00;8.74915;8.7345;8.74915;8.7379;8674
2015.07.01;00:00:00;8.75741;8.73753;8.74398;8.74931;2203
2015.07.01;04:00:00;8.75349;8.73847;8.74948;8.74429;1828
2015.07.01;08:00:00;8.77287;8.7255;8.7451;8.74948;14909
2015.07.01;12:00:00;8.76187;8.7307;8.74311;8.7451;20307
2015.07.01;16:00:00;8.77127;8.72789;8.74728;8.74312;17969
2015.07.01;20:00:00;8.77696;8.74556;8.7674;8.74728;9549
2015.07.02;00:00:00;8.7674;8.74576;8.7577;8.75977;2978
2015.07.02;04:00:00;8.77278;8.7574;8.76301;8.7576;4597
2015.07.02;08:00:00;8.78133;8.74497;8.75893;8.76201;15482
2015.07.02;12:00:00;8.80905;8.7464;8.79087;8.75747;24325
2015.07.02;16:00:00;8.8451;8.79005;8.82446;8.7909;16721
2015.07.02;20:00:00;8.83956;8.8212;8.8212;8.82454;5792
2015.07.03;00:00:00;8.82628;8.81604;8.82186;8.8211;1501
2015.07.03;04:00:00;8.82635;8.82136;8.82553;8.82136;1133
