DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;4.0191;3.9954;3.99729;4.01821;10728
2015.04.27;16:00:00;4.00232;3.9823;3.98738;3.99727;11594
2015.04.27;20:00:00;3.98824;3.9844;3.9852;3.98728;989
2015.04.28;00:00:00;3.98635;3.98368;3.9861;3.98493;7017
2015.04.28;04:00:00;3.98628;3.98515;3.98549;3.98576;15294
2015.04.28;08:00:00;4.00743;3.9834;4.00471;3.98544;11549
2015.04.28;12:00:00;4.00574;3.9943;3.99913;4.00471;11464
2015.04.28;16:00:00;4.00954;3.991;3.99209;3.99912;10881
2015.04.28;20:00:00;3.99735;3.9908;3.9912;3.99202;3374
2015.04.29;00:00:00;3.99476;3.9902;3.99463;3.9908;596
2015.04.29;04:00:00;3.99529;3.99335;3.99344;3.99466;611
2015.04.29;08:00:00;4.00447;3.99285;4.0038;3.99336;7340
2015.04.29;12:00:00;4.01941;4.00347;4.01536;4.0038;14071
2015.04.29;16:00:00;4.02076;4.00309;4.01667;4.01532;19391
2015.04.29;20:00:00;4.01875;4.0015;4.00622;4.01653;3728
2015.04.30;00:00:00;4.00786;4.00311;4.0042;4.00688;626
2015.04.30;04:00:00;4.01;4.0018;4.0031;4.00393;780
2015.04.30;08:00:00;4.0407;4.0023;4.0317;4.0031;8549
2015.04.30;12:00:00;4.03314;4.01561;4.02194;4.0317;17334
2015.04.30;16:00:00;4.0462;4.01985;4.0364;4.02191;21207
2015.04.30;20:00:00;4.04542;4.0332;4.0332;4.03608;5732
2015.05.01;00:00:00;4.0369;4.00436;4.03131;4.03649;2364
2015.05.01;04:00:00;4.03181;4.017;4.03;4.02941;1167
2015.05.01;08:00:00;4.04199;4.02703;4.03931;4.0294;5877
2015.05.01;12:00:00;4.0567;4.03919;4.0567;4.03923;7687
2015.05.01;16:00:00;4.07462;4.05569;4.072;4.0567;6892
2015.05.01;20:00:00;4.0718;4.06003;4.0654;4.0718;2099
2015.05.04;00:00:00;4.06101;4.05281;4.05712;4.05281;171
2015.05.04;04:00:00;4.05858;4.0572;4.05826;4.05842;572
2015.05.04;08:00:00;4.0649;4.041;4.04461;4.05788;6889
2015.05.04;12:00:00;4.04536;4.03673;4.0406;4.0445;6469
2015.05.04;16:00:00;4.0411;4.023;4.0262;4.0406;3776
2015.05.04;20:00:00;4.0317;4.02567;4.026;4.0263;1857
2015.05.05;00:00:00;4.02651;4.02263;4.02619;4.0257;347
2015.05.05;04:00:00;4.0297;4.02614;4.02824;4.02618;1519
2015.05.05;08:00:00;4.03167;4.01371;4.0162;4.0283;10226
2015.05.05;12:00:00;4.01997;4.01098;4.01969;4.0162;12869
2015.05.05;16:00:00;4.0377;4.01686;4.0287;4.01976;17124
2015.05.05;20:00:00;4.0316;4.0259;4.0261;4.02853;1494
2015.05.06;00:00:00;4.02946;4.0264;4.02895;4.027;306
2015.05.06;04:00:00;4.02939;4.0267;4.0269;4.02894;681
2015.05.06;08:00:00;4.0597;4.0269;4.0523;4.0274;16103
2015.05.06;12:00:00;4.05778;4.04029;4.05176;4.0523;23018
2015.05.06;16:00:00;4.06109;4.0361;4.04011;4.05176;21504
2015.05.06;20:00:00;4.0455;4.0381;4.0408;4.04018;1883
2015.05.07;00:00:00;4.04305;4.0406;4.04228;4.0407;1141
2015.05.07;04:00:00;4.04445;4.04214;4.043;4.04226;543
2015.05.07;08:00:00;4.07634;4.0429;4.06672;4.04301;13266
2015.05.07;12:00:00;4.0843;4.03884;4.04879;4.06673;17733
2015.05.07;16:00:00;4.05373;4.0367;4.0449;4.04879;12605
2015.05.07;20:00:00;4.04656;4.04076;4.04116;4.04482;1403
2015.05.08;00:00:00;4.04282;4.04009;4.04208;4.04109;697
2015.05.08;04:00:00;4.04297;4.04021;4.0409;4.04211;1566
2015.05.08;08:00:00;4.0555;4.03324;4.0534;4.0416;13491
2015.05.08;12:00:00;4.0761;4.0528;4.0639;4.05341;16941
2015.05.08;16:00:00;4.06404;4.0431;4.0438;4.06397;9489
2015.05.08;20:00:00;4.0463;4.04034;4.0428;4.0438;1134
2015.05.11;00:00:00;4.06545;4.055;4.0562;4.05928;816
2015.05.11;04:00:00;4.06153;4.0543;4.05932;4.05613;775
2015.05.11;08:00:00;4.07535;4.0548;4.07527;4.05934;8521
2015.05.11;12:00:00;4.07529;4.0607;4.06666;4.07516;11706
2015.05.11;16:00:00;4.0747;4.06132;4.07402;4.0667;11640
2015.05.11;20:00:00;4.08395;4.0737;4.07554;4.07409;1715
2015.05.12;00:00:00;4.07838;4.07331;4.07821;4.07581;666
2015.05.12;04:00:00;4.08029;4.07641;4.07967;4.07822;851
2015.05.12;08:00:00;4.10256;4.07533;4.09975;4.07963;16186
2015.05.12;12:00:00;4.1054;4.08499;4.09831;4.09952;16717
2015.05.12;16:00:00;4.1102;4.09109;4.09518;4.09827;16121
2015.05.12;20:00:00;4.0992;4.09452;4.0959;4.09521;1651
2015.05.13;00:00:00;4.09801;4.09059;4.09792;4.0958;627
2015.05.13;04:00:00;4.09797;4.09676;4.09728;4.09791;552
2015.05.13;08:00:00;4.09832;4.06784;4.0735;4.09727;14331
2015.05.13;12:00:00;4.08755;4.06653;4.07372;4.0735;20075
2015.05.13;16:00:00;4.09592;4.0692;4.09586;4.07335;18028
2015.05.13;20:00:00;4.09816;4.09119;4.0949;4.09588;1613
2015.05.14;00:00:00;4.0983;4.0883;4.09174;4.0949;760
2015.05.14;04:00:00;4.09301;4.09058;4.09139;4.09246;1521
2015.05.14;08:00:00;4.10571;4.08782;4.09296;4.09138;12585
2015.05.14;12:00:00;4.09861;4.07011;4.07162;4.09299;17605
2015.05.14;16:00:00;4.07322;4.06102;4.06537;4.07176;13194
