DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;9.3649;9.33318;9.35981;9.3337;10790
2015.04.27;16:00:00;9.37592;9.3534;9.37356;9.36006;13871
2015.04.27;20:00:00;9.3768;9.3584;9.3584;9.3744;5143
2015.04.28;00:00:00;9.36429;9.3562;9.36092;9.3584;3159
2015.04.28;04:00:00;9.366;9.35702;9.3627;9.3609;2339
2015.04.28;08:00:00;9.38831;9.3569;9.3871;9.3627;18253
2015.04.28;12:00:00;9.3908;9.3726;9.38237;9.3871;17506
2015.04.28;16:00:00;9.3924;9.36308;9.3812;9.38247;16270
2015.04.28;20:00:00;9.38766;9.3447;9.3447;9.3812;7384
2015.04.29;00:00:00;9.3455;9.3289;9.33413;9.344;3801
2015.04.29;04:00:00;9.33751;9.32323;9.32561;9.33406;2071
2015.04.29;08:00:00;9.3701;9.23764;9.2538;9.3256;15775
2015.04.29;12:00:00;9.27819;9.2357;9.27819;9.2538;16784
2015.04.29;16:00:00;9.303;9.2623;9.2793;9.27819;18307
2015.04.29;20:00:00;9.28028;9.25948;9.2651;9.2793;5592
2015.04.30;00:00:00;9.27202;9.26134;9.26383;9.2642;2095
2015.04.30;04:00:00;9.27233;9.25918;9.26986;9.26382;3895
2015.04.30;08:00:00;9.28231;9.24505;9.2595;9.26974;15721
2015.04.30;12:00:00;9.32849;9.2564;9.31265;9.25942;18838
2015.04.30;16:00:00;9.36826;9.29754;9.348;9.31263;17970
2015.04.30;20:00:00;9.3608;9.3449;9.3467;9.34754;6187
2015.05.01;00:00:00;9.35786;9.3376;9.3404;9.3394;2751
2015.05.01;04:00:00;9.36;9.33804;9.3503;9.33835;5273
2015.05.01;08:00:00;9.35719;9.33059;9.3324;9.3502;11646
2015.05.01;12:00:00;9.37455;9.32482;9.37146;9.33248;11205
2015.05.01;16:00:00;9.41689;9.35835;9.40519;9.37248;14232
2015.05.01;20:00:00;9.413;9.37849;9.39693;9.40524;6819
2015.05.04;00:00:00;9.41018;9.3262;9.40675;9.3485;2069
2015.05.04;04:00:00;9.4101;9.38845;9.4034;9.40449;1343
2015.05.04;08:00:00;9.40647;9.3291;9.33552;9.40373;15667
2015.05.04;12:00:00;9.3431;9.3185;9.3224;9.33552;14628
2015.05.04;16:00:00;9.3339;9.30607;9.3228;9.3223;15138
2015.05.04;20:00:00;9.3358;9.3228;9.3254;9.3229;8138
2015.05.05;00:00:00;9.33374;9.3221;9.33216;9.3221;585
2015.05.05;04:00:00;9.3359;9.3278;9.33009;9.33218;2076
2015.05.05;08:00:00;9.34302;9.28373;9.3128;9.33012;16981
2015.05.05;12:00:00;9.33723;9.3097;9.3273;9.3128;18575
2015.05.05;16:00:00;9.3607;9.3146;9.3573;9.3273;18891
2015.05.05;20:00:00;9.35747;9.33345;9.33345;9.3574;8430
2015.05.06;00:00:00;9.343;9.29261;9.34235;9.3214;1757
2015.05.06;04:00:00;9.34836;9.32937;9.34088;9.34235;2630
2015.05.06;08:00:00;9.36326;9.30098;9.3093;9.34088;19169
2015.05.06;12:00:00;9.3228;9.29943;9.3204;9.3093;19267
2015.05.06;16:00:00;9.33582;9.28394;9.31028;9.3204;19161
2015.05.06;20:00:00;9.33266;9.30985;9.3233;9.31018;8915
2015.05.07;00:00:00;9.33645;9.31714;9.33215;9.3233;2028
2015.05.07;04:00:00;9.3354;9.3223;9.3285;9.33216;5258
2015.05.07;08:00:00;9.33432;9.28281;9.29653;9.3284;19361
2015.05.07;12:00:00;9.33095;9.2769;9.2983;9.29653;19006
2015.05.07;16:00:00;9.3371;9.284;9.3174;9.2983;21648
2015.05.07;20:00:00;9.32439;9.29783;9.3004;9.3174;7426
2015.05.08;00:00:00;9.31313;9.29451;9.31295;9.2994;5872
2015.05.08;04:00:00;9.31341;9.29916;9.30014;9.31296;9980
2015.05.08;08:00:00;9.3108;9.2631;9.28632;9.30009;22488
2015.05.08;12:00:00;9.2943;9.27533;9.2814;9.28638;22598
2015.05.08;16:00:00;9.28757;9.22168;9.2242;9.2814;17142
2015.05.08;20:00:00;9.2544;9.2071;9.2423;9.2241;5058
2015.05.11;00:00:00;9.244;9.21495;9.22954;9.22423;3775
2015.05.11;04:00:00;9.22966;9.21376;9.2219;9.22926;11941
2015.05.11;08:00:00;9.25542;9.21839;9.24403;9.2218;17013
2015.05.11;12:00:00;9.2709;9.24025;9.267;9.2441;14128
2015.05.11;16:00:00;9.26971;9.2179;9.25298;9.267;15530
2015.05.11;20:00:00;9.2612;9.24061;9.2524;9.25319;4582
2015.05.12;00:00:00;9.26136;9.2429;9.2581;9.2429;1357
2015.05.12;04:00:00;9.25881;9.25611;9.25702;9.25833;1730
2015.05.12;08:00:00;9.3305;9.22007;9.3173;9.25702;17932
2015.05.12;12:00:00;9.33547;9.2955;9.29602;9.3175;15178
2015.05.12;16:00:00;9.33635;9.2863;9.33472;9.29594;13713
2015.05.12;20:00:00;9.34418;9.33164;9.3391;9.33472;3873
2015.05.13;00:00:00;9.3462;9.33646;9.3396;9.339;2298
2015.05.13;04:00:00;9.34564;9.33454;9.3413;9.33985;7517
2015.05.13;08:00:00;9.3435;9.2971;9.3197;9.3411;14730
2015.05.13;12:00:00;9.3435;9.29672;9.33776;9.31973;19607
2015.05.13;16:00:00;9.3546;9.30143;9.34454;9.33763;16634
2015.05.13;20:00:00;9.3539;9.34124;9.3495;9.34419;7399
2015.05.14;00:00:00;9.35224;9.33715;9.349;9.3495;2231
2015.05.14;04:00:00;9.34933;9.3404;9.34212;9.349;4080
2015.05.14;08:00:00;9.36879;9.34001;9.3674;9.3413;14291
2015.05.14;12:00:00;9.3894;9.36462;9.38132;9.3674;11358
2015.05.14;16:00:00;9.4074;9.3747;9.39423;9.38121;14715
2015.05.14;20:00:00;9.40337;9.37155;9.37155;9.39423;7976
2015.05.15;00:00:00;9.40269;9.36973;9.3932;9.37566;1538
2015.05.15;04:00:00;9.3983;9.39276;9.39745;9.39321;853
2015.05.15;08:00:00;9.39783;9.3653;9.3858;9.39745;16618
2015.05.15;12:00:00;9.4301;9.37245;9.4239;9.3858;15764
2015.05.15;16:00:00;9.4367;9.38489;9.38817;9.4239;12135
2015.05.15;20:00:00;9.3915;9.37135;9.3736;9.38831;5367
2015.05.18;00:00:00;9.38657;9.36888;9.38637;9.36888;924
2015.05.18;04:00:00;9.38905;9.38101;9.3848;9.38632;1907
2015.05.18;08:00:00;9.39126;9.35355;9.376;9.3848;14123
2015.05.18;12:00:00;9.39049;9.32862;9.35223;9.376;15744
2015.05.18;16:00:00;9.35558;9.3144;9.32741;9.35225;13826
2015.05.18;20:00:00;9.32958;9.3101;9.3109;9.32762;4726
2015.05.19;00:00:00;9.3218;9.31022;9.31468;9.31197;1595
2015.05.19;04:00:00;9.3177;9.3128;9.3159;9.31474;3010
2015.05.19;08:00:00;9.33093;9.2794;9.3014;9.316;15404
2015.05.19;12:00:00;9.33;9.2969;9.32201;9.3015;12325
2015.05.19;16:00:00;9.32935;9.28882;9.30137;9.3221;14955
2015.05.19;20:00:00;9.30474;9.28974;9.29071;9.30122;6244
2015.05.20;00:00:00;9.3023;9.2897;9.2979;9.2923;1912
2015.05.20;04:00:00;9.29977;9.29367;9.29634;9.29775;4900
2015.05.20;08:00:00;9.31437;9.28232;9.30846;9.29638;16455
2015.05.20;12:00:00;9.32181;9.2725;9.2725;9.30856;12292
2015.05.20;16:00:00;9.28619;9.2553;9.2584;9.2721;13538
2015.05.20;20:00:00;9.2749;9.2545;9.2558;9.2584;7380
2015.05.21;00:00:00;9.2666;9.2538;9.26542;9.255;1735
2015.05.21;04:00:00;9.2675;9.2627;9.2674;9.26521;26032
2015.05.21;08:00:00;9.28236;9.25369;9.25369;9.2674;14790
2015.05.21;12:00:00;9.26719;9.24292;9.25463;9.25369;14512
2015.05.21;16:00:00;9.26225;9.2449;9.256;9.2549;10019
2015.05.21;20:00:00;9.26769;9.25246;9.25277;9.2563;8620
2015.05.22;00:00:00;9.263;9.24522;9.2589;9.24603;2822
2015.05.22;04:00:00;9.25953;9.2561;9.2568;9.2588;1987
2015.05.22;08:00:00;9.2654;9.2304;9.24266;9.25763;13833
2015.05.22;12:00:00;9.25624;9.2337;9.2389;9.24272;13827
2015.05.22;16:00:00;9.2559;9.22308;9.23609;9.2389;15435
