DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;2.95675;2.9284;2.9288;2.95629;21533
2015.04.27;16:00:00;2.93785;2.91018;2.9146;2.9289;42784
2015.04.27;20:00:00;2.91789;2.90781;2.90873;2.91465;15327
2015.04.28;00:00:00;2.91535;2.90692;2.91415;2.90801;7418
2015.04.28;04:00:00;2.91732;2.91244;2.91395;2.91416;7563
2015.04.28;08:00:00;2.9289;2.91302;2.92812;2.91396;33490
2015.04.28;12:00:00;2.93115;2.9094;2.91098;2.92809;44533
2015.04.28;16:00:00;2.92091;2.90477;2.91379;2.911;45791
2015.04.28;20:00:00;2.9194;2.91183;2.9178;2.91381;15396
2015.04.29;00:00:00;2.92244;2.916;2.92193;2.9178;4552
2015.04.29;04:00:00;2.92198;2.9159;2.91722;2.92193;7632
2015.04.29;08:00:00;2.93545;2.91366;2.93397;2.91723;30051
2015.04.29;12:00:00;2.94702;2.93134;2.94199;2.93389;38428
2015.04.29;16:00:00;2.9656;2.93637;2.9577;2.94217;58935
2015.04.29;20:00:00;2.9644;2.94711;2.95679;2.95775;26941
2015.04.30;00:00:00;2.96136;2.94609;2.95365;2.95681;6501
2015.04.30;04:00:00;2.96093;2.95133;2.95911;2.95368;10394
2015.04.30;08:00:00;2.99142;2.95276;2.98371;2.95912;46514
2015.04.30;12:00:00;2.98837;2.96749;2.97904;2.9835;31493
2015.04.30;16:00:00;3.00289;2.97361;2.99694;2.97906;43661
2015.04.30;20:00:00;3.00755;2.98739;2.9966;2.99674;18340
2015.05.01;00:00:00;3;2.992;2.99461;2.99531;5448
2015.05.01;04:00:00;2.99898;2.99315;2.9959;2.99462;7014
2015.05.01;08:00:00;3.00805;2.99495;3.00121;2.9959;25543
2015.05.01;12:00:00;3.01886;2.99807;3.0178;3.00127;32341
2015.05.01;16:00:00;3.03369;3.00954;3.02487;3.0177;39221
2015.05.01;20:00:00;3.03772;3.02362;3.02524;3.02506;8458
2015.05.04;00:00:00;3.0359;3.02124;3.03115;3.02124;1626
2015.05.04;04:00:00;3.0433;3.0303;3.0398;3.03135;3258
2015.05.04;08:00:00;3.0422;3.01838;3.02018;3.0397;27892
2015.05.04;12:00:00;3.03328;3.01841;3.03042;3.0201;31956
2015.05.04;16:00:00;3.03334;3.01745;3.02811;3.03042;35766
2015.05.04;20:00:00;3.02884;3.01879;3.022;3.02808;14119
2015.05.05;00:00:00;3.0268;3.02037;3.02479;3.02037;682
2015.05.05;04:00:00;3.02593;3.0198;3.02078;3.0249;1640
2015.05.05;08:00:00;3.02618;3.0027;3.00638;3.02059;26261
2015.05.05;12:00:00;3.02111;3.00463;3.01627;3.0064;30491
2015.05.05;16:00:00;3.04804;3.00948;3.03545;3.01622;37357
2015.05.05;20:00:00;3.04125;3.0234;3.0235;3.03618;11192
2015.05.06;00:00:00;3.02706;3.02249;3.02413;3.0234;1174
2015.05.06;04:00:00;3.03873;3.02381;3.03722;3.0242;5938
2015.05.06;08:00:00;3.04494;3.03041;3.03723;3.03722;33164
2015.05.06;12:00:00;3.05507;3.0336;3.04472;3.03717;34987
2015.05.06;16:00:00;3.06217;3.0411;3.05164;3.04474;40848
2015.05.06;20:00:00;3.06084;3.05134;3.0535;3.05157;14760
2015.05.07;00:00:00;3.05984;3.0534;3.05624;3.0536;1357
2015.05.07;04:00:00;3.06345;3.05372;3.06273;3.05625;6947
2015.05.07;08:00:00;3.08272;3.06273;3.07655;3.06273;34856
2015.05.07;12:00:00;3.08995;3.0234;3.03572;3.07654;46732
2015.05.07;16:00:00;3.03885;3.01934;3.0238;3.03572;39353
2015.05.07;20:00:00;3.02853;3.01847;3.0266;3.0238;14900
2015.05.08;00:00:00;3.02784;3.01806;3.02502;3.0266;2624
2015.05.08;04:00:00;3.02814;3.01269;3.0152;3.02478;3630
2015.05.08;08:00:00;3.02015;2.99937;3.01711;3.0152;32111
2015.05.08;12:00:00;3.0426;3.01355;3.02374;3.01709;35591
2015.05.08;16:00:00;3.03116;3.00683;3.02523;3.02374;44576
2015.05.08;20:00:00;3.02958;3.01777;3.02;3.02524;14395
2015.05.11;00:00:00;3.01566;2.99609;3.00627;3.0155;1973
2015.05.11;04:00:00;3.0101;3.00104;3.0098;3.00589;5575
2015.05.11;08:00:00;3.01991;2.99806;3.0189;3.00989;29585
2015.05.11;12:00:00;3.02023;2.99942;2.99985;3.01881;25606
2015.05.11;16:00:00;3.004;2.99028;3.0002;2.99993;26119
2015.05.11;20:00:00;3.00475;2.9964;3.0037;3.0001;11283
2015.05.12;00:00:00;3.0046;2.99867;3.00047;3.0038;946
2015.05.12;04:00:00;3.0118;3.00019;3.00786;3.00063;1347
2015.05.12;08:00:00;3.03105;3.00794;3.0295;3.00794;30245
2015.05.12;12:00:00;3.03901;3.01554;3.01585;3.0295;31954
2015.05.12;16:00:00;3.01999;2.98947;2.99017;3.01589;26483
2015.05.12;20:00:00;2.99112;2.98143;2.9849;2.9901;11066
2015.05.13;00:00:00;2.98855;2.9802;2.98713;2.9848;1657
2015.05.13;04:00:00;2.9983;2.98458;2.99721;2.98716;2433
2015.05.13;08:00:00;3.00235;2.9754;2.98087;2.99723;27085
2015.05.13;12:00:00;2.98422;2.9697;2.9772;2.98071;29776
2015.05.13;16:00:00;2.99167;2.9728;2.9887;2.97728;32482
2015.05.13;20:00:00;2.99347;2.9831;2.9861;2.98872;11118
2015.05.14;00:00:00;2.9893;2.98468;2.98684;2.9861;2382
2015.05.14;04:00:00;2.99483;2.98687;2.99174;2.98702;3733
2015.05.14;08:00:00;3.0002;2.98275;2.99053;2.99169;35213
2015.05.14;12:00:00;2.9963;2.95853;2.96482;2.99053;36841
2015.05.14;16:00:00;2.96524;2.9496;2.95176;2.96472;39812
2015.05.14;20:00:00;2.95877;2.95066;2.9563;2.95176;12045
2015.05.15;00:00:00;2.95893;2.9536;2.95668;2.9562;1548
2015.05.15;04:00:00;2.96234;2.95418;2.96008;2.9565;5179
2015.05.15;08:00:00;2.96632;2.94038;2.94109;2.96005;28903
2015.05.15;12:00:00;2.94766;2.9313;2.94087;2.94103;27186
2015.05.15;16:00:00;2.95225;2.9347;2.94635;2.94087;36486
2015.05.15;20:00:00;2.9538;2.9449;2.9471;2.946;9312
2015.05.18;00:00:00;2.9487;2.94397;2.94692;2.9478;2117
2015.05.18;04:00:00;2.956;2.9419;2.95278;2.94685;2558
2015.05.18;08:00:00;2.95535;2.93169;2.93539;2.9526;23633
2015.05.18;12:00:00;2.94815;2.92937;2.93843;2.93547;23166
2015.05.18;16:00:00;2.9402;2.92034;2.92441;2.93839;26098
2015.05.18;20:00:00;2.92525;2.91444;2.918;2.9243;9462
2015.05.19;00:00:00;2.92486;2.9139;2.92182;2.9181;1453
2015.05.19;04:00:00;2.92214;2.91383;2.92011;2.922;9779
2015.05.19;08:00:00;2.92329;2.87864;2.88994;2.92011;35152
2015.05.19;12:00:00;2.899;2.8842;2.8932;2.8898;34818
2015.05.19;16:00:00;2.90231;2.88932;2.892;2.8932;30899
2015.05.19;20:00:00;2.89414;2.88507;2.8889;2.8919;7814
2015.05.20;00:00:00;2.89321;2.8839;2.89086;2.8901;3450
2015.05.20;04:00:00;2.89529;2.88544;2.88668;2.89082;6650
2015.05.20;08:00:00;2.89776;2.87899;2.89447;2.88667;29354
2015.05.20;12:00:00;2.90173;2.8756;2.87829;2.8944;30586
2015.05.20;16:00:00;2.87908;2.85738;2.86117;2.87832;25418
2015.05.20;20:00:00;2.873;2.85589;2.858;2.86112;19857
2015.05.21;00:00:00;2.8712;2.8564;2.87;2.85976;1874
2015.05.21;04:00:00;2.87222;2.86488;2.8678;2.8699;6864
2015.05.21;08:00:00;2.86961;2.8505;2.86741;2.86778;33737
2015.05.21;12:00:00;2.87096;2.8592;2.8666;2.86738;28866
2015.05.21;16:00:00;2.8899;2.86428;2.8861;2.8667;29974
2015.05.21;20:00:00;2.8875;2.8774;2.8782;2.8861;8145
2015.05.22;00:00:00;2.88023;2.874;2.87665;2.8782;2307
2015.05.22;04:00:00;2.88395;2.87565;2.88156;2.8767;3994
2015.05.22;08:00:00;2.90808;2.87977;2.89568;2.88133;19638
2015.05.22;12:00:00;2.9063;2.87881;2.87997;2.89566;26217
2015.05.22;16:00:00;2.88008;2.8554;2.86052;2.87997;27174
2015.05.22;20:00:00;2.8637;2.8562;2.8601;2.8604;12759
2015.05.25;00:00:00;2.8607;2.83569;2.85564;2.84154;1936
2015.05.25;04:00:00;2.8586;2.8532;2.85814;2.85564;5997
2015.05.25;08:00:00;2.86622;2.85457;2.85958;2.8583;16334
2015.05.25;12:00:00;2.8684;2.85925;2.86545;2.85956;12662
2015.05.25;16:00:00;2.8728;2.8628;2.8728;2.8654;6893
2015.05.25;20:00:00;2.8728;2.86845;2.8691;2.8727;4936
2015.05.26;00:00:00;2.87143;2.8594;2.86115;2.8693;1512
2015.05.26;04:00:00;2.86556;2.8592;2.86342;2.86112;6907
2015.05.26;08:00:00;2.87034;2.85607;2.86388;2.86341;30748
2015.05.26;12:00:00;2.87883;2.86369;2.87666;2.86382;28615
2015.05.26;16:00:00;2.8812;2.86946;2.87563;2.87662;28636
2015.05.26;20:00:00;2.87781;2.86788;2.8711;2.87561;6144
2015.05.27;00:00:00;2.87493;2.8673;2.8719;2.8711;706
2015.05.27;04:00:00;2.87585;2.86882;2.87413;2.87179;5071
2015.05.27;08:00:00;2.88172;2.87197;2.87992;2.87436;25870
2015.05.27;12:00:00;2.8882;2.87964;2.88301;2.87992;29853
2015.05.27;16:00:00;2.88559;2.8759;2.87877;2.883;32251
2015.05.27;20:00:00;2.8823;2.87632;2.8793;2.87893;5199
2015.05.28;00:00:00;2.8864;2.8784;2.8839;2.8796;2527
2015.05.28;04:00:00;2.8899;2.8825;2.88864;2.8838;6622
2015.05.28;08:00:00;2.9082;2.88454;2.90549;2.88882;36343
2015.05.28;12:00:00;2.91021;2.88965;2.89884;2.9056;35660
2015.05.28;16:00:00;2.91349;2.8955;2.9078;2.89882;35921
2015.05.28;20:00:00;2.91258;2.90436;2.9071;2.9079;11443
2015.05.29;00:00:00;2.91352;2.90323;2.90662;2.9073;2230
2015.05.29;04:00:00;2.91235;2.90612;2.90733;2.90658;6551
2015.05.29;08:00:00;2.92516;2.90419;2.9218;2.90753;29172
2015.05.29;12:00:00;2.92363;2.90784;2.90855;2.92181;36510
2015.05.29;16:00:00;2.92821;2.9054;2.9199;2.90854;39388
2015.05.29;20:00:00;2.92595;2.91961;2.9255;2.91966;10855
2015.06.01;00:00:00;2.92079;2.90868;2.9131;2.91779;3758
2015.06.01;04:00:00;2.9214;2.91008;2.9198;2.91285;3083
2015.06.01;08:00:00;2.9307;2.9195;2.92226;2.9198;24812
2015.06.01;12:00:00;2.93335;2.91942;2.92949;2.92228;31068
2015.06.01;16:00:00;2.93775;2.91719;2.9287;2.92948;34795
2015.06.01;20:00:00;2.93466;2.92753;2.92952;2.92867;13812
2015.06.02;00:00:00;2.93217;2.92585;2.93103;2.92939;915
2015.06.02;04:00:00;2.93149;2.92555;2.92863;2.93107;3463
2015.06.02;08:00:00;2.94595;2.92461;2.94511;2.92863;27580
2015.06.02;12:00:00;2.96891;2.942;2.96803;2.94514;39780
2015.06.02;16:00:00;2.99189;2.96803;2.99071;2.96803;50742
2015.06.02;20:00:00;2.99236;2.97855;2.9799;2.99074;17322
2015.06.03;00:00:00;2.98282;2.9755;2.9778;2.9799;2170
2015.06.03;04:00:00;2.9866;2.9775;2.9829;2.9779;9379
2015.06.03;08:00:00;2.99645;2.98257;2.98851;2.9829;36079
