DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;1.08491;1.08185;1.08424;1.08342;26667
2015.04.27;16:00:00;1.09258;1.08357;1.09059;1.08424;33694
2015.04.27;20:00:00;1.09094;1.08757;1.08906;1.09058;14238
2015.04.28;00:00:00;1.08939;1.08658;1.0877;1.08905;9362
2015.04.28;04:00:00;1.08837;1.08703;1.08705;1.08771;8289
2015.04.28;08:00:00;1.09042;1.08591;1.09032;1.08706;27610
2015.04.28;12:00:00;1.0949;1.08985;1.09256;1.09031;33418
2015.04.28;16:00:00;1.09889;1.09179;1.09678;1.09257;35201
2015.04.28;20:00:00;1.09901;1.09629;1.09801;1.09679;14385
2015.04.29;00:00:00;1.09806;1.09664;1.09795;1.09801;7370
2015.04.29;04:00:00;1.09795;1.09588;1.09622;1.09794;8449
2015.04.29;08:00:00;1.10091;1.09605;1.10063;1.09623;25051
2015.04.29;12:00:00;1.10721;1.0985;1.10278;1.10064;35241
2015.04.29;16:00:00;1.11871;1.10147;1.11428;1.1028;50931
2015.04.29;20:00:00;1.1173;1.10751;1.11275;1.11429;29474
2015.04.30;00:00:00;1.11281;1.11096;1.11133;1.11276;8920
2015.04.30;04:00:00;1.11246;1.11015;1.11064;1.11133;10067
2015.04.30;08:00:00;1.12481;1.10705;1.12082;1.11063;38051
2015.04.30;12:00:00;1.12203;1.11376;1.11623;1.1208;40708
2015.04.30;16:00:00;1.12226;1.11153;1.12136;1.11624;45840
2015.04.30;20:00:00;1.12655;1.11851;1.1223;1.12134;22160
2015.05.01;00:00:00;1.12251;1.12053;1.12076;1.12234;7370
2015.05.01;04:00:00;1.12155;1.12024;1.12073;1.12077;6817
2015.05.01;08:00:00;1.12694;1.11995;1.12544;1.1207;23058
2015.05.01;12:00:00;1.1284;1.12303;1.12558;1.12545;27458
2015.05.01;16:00:00;1.12894;1.11737;1.11763;1.12559;39056
2015.05.01;20:00:00;1.12175;1.11762;1.11958;1.11766;13247
2015.05.04;00:00:00;1.12009;1.11758;1.11865;1.11908;6669
2015.05.04;04:00:00;1.1197;1.11834;1.11919;1.11864;7379
2015.05.04;08:00:00;1.12239;1.11351;1.11414;1.11918;23652
2015.05.04;12:00:00;1.11869;1.11219;1.11816;1.11412;26622
2015.05.04;16:00:00;1.11893;1.11365;1.11579;1.11816;29056
2015.05.04;20:00:00;1.11608;1.11307;1.1145;1.11578;11598
2015.05.05;00:00:00;1.11509;1.11416;1.11447;1.11443;5083
2015.05.05;04:00:00;1.11491;1.11235;1.11262;1.11448;7945
2015.05.05;08:00:00;1.11459;1.10655;1.10975;1.11262;27434
2015.05.05;12:00:00;1.11722;1.10814;1.11564;1.10973;32269
2015.05.05;16:00:00;1.12087;1.11173;1.12;1.11564;38632
2015.05.05;20:00:00;1.12223;1.11807;1.11846;1.12004;12429
2015.05.06;00:00:00;1.11884;1.11763;1.11797;1.11842;6398
2015.05.06;04:00:00;1.1241;1.11741;1.12342;1.11797;11847
2015.05.06;08:00:00;1.127;1.12196;1.12273;1.12341;33140
2015.05.06;12:00:00;1.12874;1.12015;1.12808;1.12269;37886
2015.05.06;16:00:00;1.1367;1.12688;1.13225;1.12812;43785
2015.05.06;20:00:00;1.13693;1.13223;1.13461;1.13224;16304
2015.05.07;00:00:00;1.13486;1.13265;1.13297;1.13464;9924
2015.05.07;04:00:00;1.13467;1.13244;1.13438;1.13297;10653
2015.05.07;08:00:00;1.13814;1.13342;1.1356;1.13437;32734
2015.05.07;12:00:00;1.1391;1.12613;1.12945;1.13559;44028
2015.05.07;16:00:00;1.13087;1.12365;1.12666;1.12947;37355
2015.05.07;20:00:00;1.12802;1.12527;1.12656;1.12666;15118
2015.05.08;00:00:00;1.12774;1.12274;1.12456;1.12652;11853
2015.05.08;04:00:00;1.12534;1.11972;1.1216;1.12456;17182
2015.05.08;08:00:00;1.12434;1.11811;1.12325;1.1216;33182
2015.05.08;12:00:00;1.12888;1.11783;1.12614;1.12326;35593
2015.05.08;16:00:00;1.12742;1.11833;1.12196;1.12616;39071
2015.05.08;20:00:00;1.12364;1.11964;1.12091;1.12196;12579
2015.05.11;00:00:00;1.12057;1.11647;1.1166;1.11966;7788
2015.05.11;04:00:00;1.11694;1.11324;1.11485;1.11659;12473
2015.05.11;08:00:00;1.11955;1.11343;1.11675;1.11485;26477
2015.05.11;12:00:00;1.11746;1.11343;1.11415;1.11674;27296
2015.05.11;16:00:00;1.11743;1.11302;1.11575;1.11417;31762
2015.05.11;20:00:00;1.11688;1.11454;1.11539;1.11574;11267
2015.05.12;00:00:00;1.11572;1.11337;1.11394;1.11544;6126
2015.05.12;04:00:00;1.11722;1.11356;1.1171;1.11394;8135
2015.05.12;08:00:00;1.12674;1.11663;1.12579;1.11711;30592
2015.05.12;12:00:00;1.12781;1.12258;1.12276;1.12578;31947
2015.05.12;16:00:00;1.12656;1.12217;1.12361;1.12278;29801
2015.05.12;20:00:00;1.12397;1.12048;1.12118;1.12362;12269
2015.05.13;00:00:00;1.12321;1.12064;1.12266;1.12122;6656
2015.05.13;04:00:00;1.12541;1.12121;1.12479;1.12267;11407
2015.05.13;08:00:00;1.12652;1.12188;1.12263;1.1248;25227
2015.05.13;12:00:00;1.13233;1.12018;1.13063;1.12263;34224
2015.05.13;16:00:00;1.1382;1.13032;1.13701;1.13066;35263
2015.05.13;20:00:00;1.13785;1.13391;1.13532;1.13703;12553
2015.05.14;00:00:00;1.13594;1.13399;1.13477;1.13529;8973
2015.05.14;04:00:00;1.13734;1.13454;1.13654;1.13478;11500
2015.05.14;08:00:00;1.14301;1.13594;1.14027;1.13653;30524
2015.05.14;12:00:00;1.1444;1.13946;1.14119;1.14027;31152
2015.05.14;16:00:00;1.14165;1.13427;1.13778;1.14116;34698
2015.05.14;20:00:00;1.14137;1.13661;1.14086;1.1378;13302
2015.05.15;00:00:00;1.14131;1.13951;1.14023;1.14086;6244
2015.05.15;04:00:00;1.14175;1.13922;1.14103;1.14022;8957
2015.05.15;08:00:00;1.14199;1.1351;1.13588;1.14104;31990
2015.05.15;12:00:00;1.13681;1.13231;1.13344;1.13588;28240
2015.05.15;16:00:00;1.145;1.13283;1.1432;1.13345;37339
2015.05.15;20:00:00;1.14662;1.14243;1.14455;1.1431;15132
2015.05.18;00:00:00;1.1449;1.14204;1.14321;1.14455;7095
2015.05.18;04:00:00;1.14382;1.14183;1.14333;1.14323;8515
2015.05.18;08:00:00;1.14461;1.13658;1.13857;1.14333;24429
2015.05.18;12:00:00;1.14234;1.13715;1.13886;1.1386;27241
2015.05.18;16:00:00;1.1398;1.13308;1.13499;1.13887;30000
2015.05.18;20:00:00;1.13535;1.12979;1.13141;1.13499;15160
2015.05.19;00:00:00;1.13256;1.13095;1.13125;1.13142;6676
2015.05.19;04:00:00;1.13136;1.12845;1.13029;1.13125;11402
2015.05.19;08:00:00;1.13202;1.11594;1.11946;1.13029;37655
2015.05.19;12:00:00;1.12159;1.11213;1.1132;1.11946;33138
2015.05.19;16:00:00;1.11662;1.1118;1.1146;1.11319;33823
2015.05.19;20:00:00;1.11588;1.11323;1.11488;1.1146;11585
2015.05.20;00:00:00;1.11513;1.11212;1.11326;1.11489;8775
2015.05.20;04:00:00;1.11514;1.11245;1.11308;1.11326;9229
2015.05.20;08:00:00;1.11456;1.10615;1.11078;1.11306;34308
2015.05.20;12:00:00;1.11445;1.10886;1.11408;1.11074;31468
2015.05.20;16:00:00;1.11415;1.10754;1.1097;1.11409;34448
2015.05.20;20:00:00;1.11422;1.10693;1.10928;1.10973;29002
2015.05.21;00:00:00;1.11221;1.10865;1.11164;1.10923;7753
2015.05.21;04:00:00;1.1129;1.11089;1.11234;1.11165;10328
2015.05.21;08:00:00;1.11723;1.10792;1.11536;1.11234;33999
2015.05.21;12:00:00;1.11805;1.11081;1.11125;1.11535;32918
2015.05.21;16:00:00;1.11409;1.11043;1.1132;1.11125;35250
2015.05.21;20:00:00;1.11378;1.11086;1.11108;1.11311;13557
2015.05.22;00:00:00;1.11196;1.11003;1.11175;1.11112;7498
2015.05.22;04:00:00;1.11515;1.11165;1.11396;1.11175;11133
2015.05.22;08:00:00;1.11755;1.11331;1.11687;1.11396;26292
2015.05.22;12:00:00;1.12076;1.10701;1.10786;1.11687;35051
2015.05.22;16:00:00;1.10787;1.10013;1.10351;1.10786;34545
2015.05.22;20:00:00;1.10419;1.10023;1.10103;1.1035;15428
2015.05.25;00:00:00;1.1009;1.09646;1.09779;1.10008;11011
2015.05.25;04:00:00;1.09938;1.09722;1.09839;1.0978;7404
