DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.08.26;00:00:00;0;0;0;0;0
2015.08.26;04:00:00;0;0;0;0;0
2015.08.26;08:00:00;0;0;0;0;0
2015.08.26;12:00:00;0;0;0;0;0
2015.08.26;16:00:00;0;0;0;0;0
2015.08.26;20:00:00;0;0;0;0;0
2015.08.27;00:00:00;0;0;0;0;0
2015.08.27;04:00:00;0;0;0;0;0
2015.08.27;08:00:00;0;0;0;0;0
2015.08.27;12:00:00;0;0;0;0;0
2015.08.27;16:00:00;0;0;0;0;0
2015.08.27;20:00:00;0;0;0;0;0
2015.08.28;00:00:00;0;0;0;0;0
2015.08.28;04:00:00;0;0;0;0;0
2015.08.28;08:00:00;0;0;0;0;0
2015.08.28;12:00:00;0;0;0;0;0
2015.08.28;16:00:00;0;0;0;0;0
2015.08.28;20:00:00;0;0;0;0;0
2015.08.31;00:00:00;0;0;0;0;0
2015.08.31;04:00:00;0;0;0;0;0
2015.08.31;08:00:00;0;0;0;0;0
2015.08.31;12:00:00;0;0;0;0;0
2015.08.31;16:00:00;0;0;0;0;0
2015.08.31;20:00:00;0;0;0;0;0
2015.09.01;00:00:00;0;0;0;0;0
2015.09.01;04:00:00;0;0;0;0;0
2015.09.01;08:00:00;0;0;0;0;0
2015.09.01;12:00:00;0;0;0;0;0
2015.09.01;16:00:00;0;0;0;0;0
2015.09.01;20:00:00;0;0;0;0;0
2015.09.02;00:00:00;0;0;0;0;0
2015.09.02;04:00:00;0;0;0;0;0
2015.09.02;08:00:00;0;0;0;0;0
2015.09.02;12:00:00;0;0;0;0;0
2015.09.02;16:00:00;0;0;0;0;0
2015.09.02;20:00:00;0;0;0;0;0
2015.09.03;00:00:00;0;0;0;0;0
2015.09.03;04:00:00;0;0;0;0;0
2015.09.03;08:00:00;0;0;0;0;0
2015.09.03;12:00:00;0;0;0;0;0
2015.09.03;16:00:00;0;0;0;0;0
2015.09.03;20:00:00;0;0;0;0;0
2015.09.04;00:00:00;0;0;0;0;0
2015.09.04;04:00:00;0;0;0;0;0
2015.09.04;08:00:00;0;0;0;0;0
2015.09.04;12:00:00;0;0;0;0;0
2015.09.04;16:00:00;0;0;0;0;0
2015.09.04;20:00:00;0;0;0;0;0
2015.09.07;00:00:00;0;0;0;0;0
2015.09.07;04:00:00;0;0;0;0;0
2015.09.07;08:00:00;0;0;0;0;0
2015.09.07;12:00:00;0;0;0;0;0
2015.09.07;16:00:00;0;0;0;0;0
2015.09.07;20:00:00;0;0;0;0;0
2015.09.08;00:00:00;0;0;0;0;0
2015.09.08;04:00:00;0;0;0;0;0
2015.09.08;08:00:00;0;0;0;0;0
2015.09.08;12:00:00;0;0;0;0;0
2015.09.08;16:00:00;0;0;0;0;0
2015.09.08;20:00:00;0;0;0;0;0
2015.09.09;00:00:00;0;0;0;0;0
2015.09.09;04:00:00;0;0;0;0;0
2015.09.09;08:00:00;0;0;0;0;0
2015.09.09;12:00:00;0;0;0;0;0
2015.09.09;16:00:00;0;0;0;0;0
2015.09.09;20:00:00;0;0;0;0;0
2015.09.10;00:00:00;0;0;0;0;0
2015.09.10;04:00:00;0;0;0;0;0
2015.09.10;08:00:00;0;0;0;0;0
2015.09.10;12:00:00;0;0;0;0;0
2015.09.10;16:00:00;0;0;0;0;0
2015.09.10;20:00:00;0;0;0;0;0
2015.09.11;00:00:00;0;0;0;0;0
2015.09.11;04:00:00;0;0;0;0;0
2015.09.11;08:00:00;0;0;0;0;0
2015.09.11;12:00:00;0;0;0;0;0
2015.09.11;16:00:00;0;0;0;0;0
2015.09.11;20:00:00;0;0;0;0;0
2015.09.14;00:00:00;0;0;0;0;0
2015.09.14;04:00:00;0;0;0;0;0
2015.09.14;08:00:00;0;0;0;0;0
2015.09.14;12:00:00;0;0;0;0;0
2015.09.14;16:00:00;0;0;0;0;0
2015.09.14;20:00:00;0;0;0;0;0
2015.09.15;00:00:00;0;0;0;0;0
2015.09.15;04:00:00;0;0;0;0;0
2015.09.15;08:00:00;0;0;0;0;0
2015.09.15;12:00:00;0;0;0;0;0
2015.09.15;16:00:00;0;0;0;0;0
2015.09.15;20:00:00;0;0;0;0;0
2015.09.16;00:00:00;0;0;0;0;0
2015.09.16;04:00:00;0;0;0;0;0
2015.09.16;08:00:00;0;0;0;0;0
2015.09.16;12:00:00;0;0;0;0;0
2015.09.16;16:00:00;0;0;0;0;0
2015.09.16;20:00:00;0;0;0;0;0
2015.09.17;00:00:00;0;0;0;0;0
2015.09.17;04:00:00;0;0;0;0;0
2015.09.17;08:00:00;0;0;0;0;0
2015.09.17;12:00:00;0;0;0;0;0
2015.09.17;16:00:00;0;0;0;0;0
2015.09.17;20:00:00;0;0;0;0;0
2015.09.18;00:00:00;0;0;0;0;0
2015.09.18;04:00:00;0;0;0;0;0
2015.09.18;08:00:00;0;0;0;0;0
2015.09.18;12:00:00;0;0;0;0;0
2015.09.18;16:00:00;0;0;0;0;0
2015.09.18;20:00:00;0;0;0;0;0
2015.09.21;00:00:00;0;0;0;0;0
2015.09.21;04:00:00;0;0;0;0;0
2015.09.21;08:00:00;0;0;0;0;0
2015.09.21;12:00:00;0;0;0;0;0
2015.09.21;16:00:00;0;0;0;0;0
2015.09.21;20:00:00;0;0;0;0;0
2015.09.22;00:00:00;0;0;0;0;0
2015.09.22;04:00:00;0;0;0;0;0
2015.09.22;08:00:00;0;0;0;0;0
2015.09.22;12:00:00;0;0;0;0;0
2015.09.22;16:00:00;0;0;0;0;0
2015.09.22;20:00:00;0;0;0;0;0
