DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;5208.9;5133.6;5156;5188.4;4089
2015.04.27;16:00:00;5279.5;5154.2;5276.5;5156.5;3874
2015.04.27;20:00:00;5284;5246;5251;5277;3180
2015.04.28;00:00:00;5283.4;5234.2;5240;5251.7;1751
2015.04.28;04:00:00;5247.2;5233.2;5236;5243.6;757
2015.04.28;08:00:00;5239;5228.8;5235.2;5235.6;752
2015.04.28;12:00:00;5253.5;5217.7;5226;5235;3079
2015.04.28;16:00:00;5226.5;5164.5;5185.7;5226.2;5577
2015.04.28;20:00:00;5190;5135;5177.5;5185.5;8621
2015.04.29;00:00:00;5189.9;5165;5186.7;5177.7;2645
2015.04.29;04:00:00;5187.8;5181.2;5187.4;5185.8;524
2015.04.29;08:00:00;5187.6;5176;5178.4;5187.6;607
2015.04.29;12:00:00;5202.1;5149.6;5183.3;5178.6;6082
2015.04.29;16:00:00;5183.6;5090.1;5105.8;5183.1;7060
2015.04.29;20:00:00;5115.6;5009.8;5035.6;5105.1;11715
2015.04.30;00:00:00;5060.3;5023.6;5049;5035.8;4903
2015.04.30;04:00:00;5049.9;5036.1;5047.3;5041.3;800
2015.04.30;08:00:00;5052.7;5033.3;5033.5;5047.5;1120
2015.04.30;12:00:00;5050.6;4985.5;5038;5033.3;9156
2015.04.30;16:00:00;5067;5018.7;5053.5;5038.5;7310
2015.04.30;20:00:00;5065;5017;5025.2;5053.2;10258
2015.05.01;00:00:00;5046.2;5001.2;5022.4;5025.5;4688
2015.05.01;04:00:00;5029.2;5018;5027.6;5024.8;756
2015.05.01;08:00:00;5027.6;5020.9;5022.3;5027.4;495
2015.05.01;12:00:00;5040.2;5020.5;5026.9;5022.9;887
2015.05.01;16:00:00;5040.5;5025.5;5036.3;5027.1;1184
2015.05.01;20:00:00;5065.4;5029.8;5050.4;5036.7;9431
2015.05.04;00:00:00;5070.8;5043.4;5061.8;5050.2;4329
2015.05.04;04:00:00;5063.2;5053;5055.4;5063.2;686
2015.05.04;08:00:00;5057.6;5052;5057.6;5055.2;400
2015.05.04;12:00:00;5082.2;5011;5075.5;5057.4;7278
2015.05.04;16:00:00;5113.5;5069.2;5095.7;5075.7;5049
2015.05.04;20:00:00;5107.5;5077.5;5083.7;5094.7;4464
2015.05.05;00:00:00;5092;5077;5080.6;5084.5;1377
2015.05.05;04:00:00;5080.6;5074;5077;5075.8;401
2015.05.05;08:00:00;5078.2;5069.2;5074;5076.8;441
2015.05.05;12:00:00;5134;5055;5111;5073.6;7219
2015.05.05;16:00:00;5116.7;5026.5;5035.5;5111.5;7359
2015.05.05;20:00:00;5056.5;4967.2;4982;5033.5;11265
2015.05.06;00:00:00;4982;4961.5;4974.5;4981.7;3735
2015.05.06;04:00:00;4982.1;4974.1;4980.1;4974.9;577
2015.05.06;08:00:00;5000.1;4978.3;4994.7;4980.3;747
2015.05.06;12:00:00;5005;4934.5;4995.2;4995.3;9149
2015.05.06;16:00:00;5013;4983.7;4991.5;4994.2;6638
2015.05.06;20:00:00;5002;4943;4972.2;4991.7;10940
2015.05.07;00:00:00;4972.5;4944;4964.9;4972.5;3355
2015.05.07;04:00:00;4964.6;4949.6;4961.6;4960.8;813
2015.05.07;08:00:00;4972.8;4960.4;4970;4962.4;937
2015.05.07;12:00:00;4970.6;4904.5;4913.5;4970.2;8178
2015.05.07;16:00:00;4980.7;4874;4943.2;4914;9639
2015.05.07;20:00:00;4981.5;4941.5;4963.2;4943;10466
2015.05.08;00:00:00;4969.5;4953;4959.9;4963.7;2093
2015.05.08;04:00:00;4968.1;4958.1;4964.7;4960.9;658
2015.05.08;08:00:00;4970.5;4963.1;4967.7;4964.5;667
2015.05.08;12:00:00;5009.5;4960.7;5005.2;4967.5;7930
2015.05.08;16:00:00;5060;4988.5;5042;5005;6933
2015.05.08;20:00:00;5094;5034.2;5088.5;5041.7;8621
2015.05.11;00:00:00;5093.5;5081.1;5083.9;5088.2;1717
2015.05.11;04:00:00;5068.7;5056.1;5060.3;5067.1;891
2015.05.11;08:00:00;5065.1;5058.5;5064.5;5059.7;524
2015.05.11;12:00:00;5064.5;5008.7;5010;5063;7170
2015.05.11;16:00:00;5040.2;5007;5029.5;5009.7;5377
2015.05.11;20:00:00;5036;5011.5;5014.2;5029.2;5340
2015.05.12;00:00:00;5019.2;4998.3;5002.7;5014;1582
2015.05.12;04:00:00;5009.3;5001.9;5006.7;5002.5;747
2015.05.12;08:00:00;5008.7;4999.5;5007.9;5007.1;708
2015.05.12;12:00:00;5027;4924.2;4927.2;5008.1;7751
2015.05.12;16:00:00;4975.5;4919.7;4970.5;4927;8920
2015.05.12;20:00:00;4987.7;4941;4979.2;4968.2;10053
2015.05.13;00:00:00;4987.5;4970.6;4980;4979.5;2738
2015.05.13;04:00:00;4990.3;4976.3;4987.3;4979.1;719
2015.05.13;08:00:00;4997.1;4986.5;4992.9;4987.1;810
2015.05.13;12:00:00;5046;4983.8;5031;4993.1;5722
2015.05.13;16:00:00;5043.4;5000.9;5009.2;5031.7;5997
2015.05.13;20:00:00;5031.2;4942.9;4949.7;5008.4;10073
2015.05.14;00:00:00;4960.4;4941.7;4953.8;4949.4;2303
2015.05.14;04:00:00;4957.7;4948.1;4948.1;4954.2;770
2015.05.14;08:00:00;4950.1;4943.1;4947.3;4947.7;707
2015.05.14;12:00:00;4981.5;4901.2;4972.8;4947.1;6372
2015.05.14;16:00:00;4998.8;4948;4991.8;4973.5;6278
2015.05.14;20:00:00;5044.3;4991;5027.5;4992.3;7209
2015.05.15;00:00:00;5036.8;5019.6;5022.4;5027.3;1496
2015.05.15;04:00:00;5028.2;5018.6;5024.2;5022;525
2015.05.15;08:00:00;5025.2;5020.2;5020.6;5024.4;613
2015.05.15;12:00:00;5059.3;5018.4;5051.5;5021;5109
2015.05.15;16:00:00;5066.5;5030.2;5041.2;5052;6045
2015.05.15;20:00:00;5042.5;4964.2;5006.5;5041.5;8837
2015.05.18;00:00:00;5013.5;5002.2;5008.2;5006.7;1158
2015.05.18;04:00:00;5005.3;4996.3;4997.1;5004.1;645
2015.05.18;08:00:00;5008.7;4996.9;5008.7;4996.9;418
2015.05.18;12:00:00;5027.7;4966.7;4986.7;5011.2;7056
2015.05.18;16:00:00;4987.5;4928.7;4985;4986.5;7822
2015.05.18;20:00:00;5023;4976.5;5022;4984.7;4984
2015.05.19;00:00:00;5026.5;5018;5025.2;5022.2;1010
2015.05.19;04:00:00;5027.2;5023.4;5026.8;5025.6;421
2015.05.19;08:00:00;5032;5027.2;5030.8;5027.4;440
2015.05.19;12:00:00;5121.5;5027.5;5118.2;5031;6779
2015.05.19;16:00:00;5118;5087.5;5109.2;5118;4406
2015.05.19;20:00:00;5124.5;5084.5;5112.2;5109.7;6938
2015.05.20;00:00:00;5123.2;5098.4;5101;5112.7;1704
2015.05.20;04:00:00;5098.5;5088.1;5098.1;5094.5;651
2015.05.20;08:00:00;5102.5;5084.9;5099.7;5097.9;900
2015.05.20;12:00:00;5121.5;5088.2;5091.7;5098.9;5798
2015.05.20;16:00:00;5112.2;5087.5;5104.2;5092.5;3933
2015.05.20;20:00:00;5138.2;5098;5127.5;5104;5284
2015.05.21;00:00:00;5136.5;5123;5127.8;5127.7;2712
2015.05.21;04:00:00;5127;5105.8;5120.4;5126.4;1054
2015.05.21;08:00:00;5121.4;5115;5120.2;5120.8;715
2015.05.21;12:00:00;5133.2;5108.5;5115.7;5120.4;4342
2015.05.21;16:00:00;5124.5;5101.7;5124.5;5116.7;3854
2015.05.21;20:00:00;5151;5118;5144.5;5125.5;4964
2015.05.22;00:00:00;5155.2;5140;5144.8;5144.2;1125
2015.05.22;04:00:00;5147.9;5139.8;5140.4;5145;548
2015.05.22;08:00:00;5156.2;5139.8;5151.6;5140.6;656
2015.05.22;12:00:00;5155;5129.5;5136;5151.8;3649
2015.05.22;16:00:00;5151.7;5120.2;5149.2;5136.2;4377
2015.05.22;20:00:00;5155.5;5135.2;5144.7;5149.5;4383
2015.05.25;00:00:00;5154;5141;5151.4;5144.5;1454
2015.05.25;04:00:00;5153.2;5137.4;5152.2;5150.8;714
2015.05.25;08:00:00;5158.2;5143.4;5157.2;5152.4;580
2015.05.25;12:00:00;5157.2;5102;5102.7;5157.2;1176
2015.05.25;16:00:00;5108.2;5098;5107.5;5103;414
2015.05.25;20:00:00;5120;5107.2;5114;5107.2;803
2015.05.26;00:00:00;5116;5111.5;5111.5;5114.2;100
2015.05.26;04:00:00;5107.4;5095.8;5101.2;5105.9;706
2015.05.26;08:00:00;5105;5094.2;5099;5101.6;943
2015.05.26;12:00:00;5148;5073;5110.7;5098.8;7579
2015.05.26;16:00:00;5144;5099;5131;5110.5;4945
2015.05.26;20:00:00;5140.5;5061.2;5090.7;5130.5;8321
2015.05.27;00:00:00;5103.6;5080;5100.6;5091;2527
2015.05.27;04:00:00;5104.4;5093.8;5099.2;5102.4;797
2015.05.27;08:00:00;5101.2;5092.6;5095.2;5099;840
2015.05.27;12:00:00;5125.5;5085;5104.2;5095.4;4435
2015.05.27;16:00:00;5124;5093.5;5115.7;5104.5;4398
2015.05.27;20:00:00;5193.5;5112.5;5176.2;5116.5;7740
2015.05.28;00:00:00;5188.5;5170.3;5170.9;5176;1267
2015.05.28;04:00:00;5173.4;5167.8;5172.4;5171.1;621
2015.05.28;08:00:00;5174;5165;5165.2;5172.8;940
2015.05.28;12:00:00;5168.7;5142.9;5158.7;5165;4548
2015.05.28;16:00:00;5163;5140.2;5147.5;5159;4025
2015.05.28;20:00:00;5160.2;5094.5;5129.5;5147;7201
2015.05.29;00:00:00;5152.2;5126.7;5150.6;5129.2;1693
2015.05.29;04:00:00;5152.4;5144.6;5151.6;5151.8;449
2015.05.29;08:00:00;5151.8;5143.8;5149;5151.8;694
2015.05.29;12:00:00;5150.5;5074.7;5094.7;5149.4;5576
2015.05.29;16:00:00;5122.2;5065.7;5082.5;5094.5;5846
2015.05.29;20:00:00;5091.2;4994.7;5025.7;5082.2;9687
2015.06.01;00:00:00;5033.2;5011.6;5022.8;5026;3009
2015.06.01;04:00:00;5026;5012.4;5023.8;5018;1239
2015.06.01;08:00:00;5035.1;5022.4;5032.1;5024;758
2015.06.01;12:00:00;5055.2;4989.5;5000;5034.7;7779
2015.06.01;16:00:00;5060.7;4991;5023.7;4999.7;7439
2015.06.01;20:00:00;5041.2;5013.5;5039.2;5024.7;7190
2015.06.02;00:00:00;5043.2;5027.7;5040.4;5039;1472
2015.06.02;04:00:00;5042.1;5035.6;5040;5038;613
2015.06.02;08:00:00;5044.2;5031;5032;5040.2;1097
2015.06.02;12:00:00;5051;4958;4969;5032.2;4495
2015.06.02;16:00:00;5038.5;4963.2;5027.2;4968.7;7132
2015.06.02;20:00:00;5026.5;4986;5011.2;5026;9228
2015.06.03;00:00:00;5021.2;4996.1;4998.5;5011;1875
2015.06.03;04:00:00;5003.9;4997.5;5002.7;4998.3;652
2015.06.03;08:00:00;5003.1;4998.7;5001.5;5002.3;739
2015.06.03;12:00:00;5026;4990.5;5003.7;5001.3;6089
2015.06.03;16:00:00;5089.5;4996;5061.7;5003.2;6851
2015.06.03;20:00:00;5064.5;5003.2;5026.2;5061;11061
2015.06.04;00:00:00;5031;5010;5018;5025.7;2197
2015.06.04;04:00:00;5021.8;5010.6;5011.4;5017.8;639
2015.06.04;08:00:00;5015.2;5005.4;5012;5011.2;778
2015.06.04;12:00:00;5014.2;4914.2;4935.7;5011.8;8698
2015.06.04;16:00:00;4992;4928.5;4984;4936;7676
2015.06.04;20:00:00;5045.5;4966.2;4968.5;4984.5;10848
2015.06.05;00:00:00;4968.2;4931.5;4957.2;4968;5216
2015.06.05;04:00:00;4960.6;4952.8;4958;4958;735
2015.06.05;08:00:00;4958.6;4949.8;4952.6;4957.8;734
2015.06.05;12:00:00;4965.7;4918;4933;4952.8;7247
2015.06.05;16:00:00;4946.7;4892.5;4931.5;4933.2;8356
2015.06.05;20:00:00;4954.7;4906;4918.5;4931.2;10888
2015.06.08;00:00:00;4931;4915.5;4928.5;4918.2;2328
2015.06.08;04:00:00;4926;4906.2;4914;4921;1109
2015.06.08;08:00:00;4922.4;4908;4919.9;4913.2;834
2015.06.08;12:00:00;4927.5;4876.2;4894.5;4921.5;8309
2015.06.08;16:00:00;4900;4860.7;4870;4894.2;7344
2015.06.08;20:00:00;4882.2;4828.7;4832.7;4869.7;7006
2015.06.09;00:00:00;4848.5;4825.5;4840.5;4832.5;2362
2015.06.09;04:00:00;4849.7;4837.9;4847.9;4839.9;824
2015.06.09;08:00:00;4848.9;4838.1;4844.9;4848.1;831
