DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;1.84363;1.83635;1.84087;1.84346;27460
2015.04.27;16:00:00;1.84551;1.83359;1.84483;1.84089;40266
2015.04.27;20:00:00;1.84622;1.83998;1.8413;1.84483;19598
2015.04.28;00:00:00;1.8423;1.84004;1.84206;1.8413;11204
2015.04.28;04:00:00;1.84436;1.84119;1.84432;1.84205;10415
2015.04.28;08:00:00;1.84685;1.83734;1.83999;1.84431;30218
2015.04.28;12:00:00;1.84647;1.83952;1.84325;1.84;38280
2015.04.28;16:00:00;1.84875;1.84077;1.84149;1.84325;43114
2015.04.28;20:00:00;1.8459;1.84088;1.84537;1.84149;21111
2015.04.29;00:00:00;1.84695;1.84321;1.84638;1.84537;10556
2015.04.29;04:00:00;1.84722;1.8458;1.84601;1.84639;10613
2015.04.29;08:00:00;1.85287;1.84528;1.85014;1.84601;29928
2015.04.29;12:00:00;1.85493;1.84651;1.84846;1.85022;43631
2015.04.29;16:00:00;1.85197;1.84427;1.85063;1.84849;56595
2015.04.29;20:00:00;1.85524;1.84998;1.85499;1.85062;38383
2015.04.30;00:00:00;1.85564;1.85254;1.8544;1.85496;10072
2015.04.30;04:00:00;1.85691;1.8542;1.85455;1.85442;14631
2015.04.30;08:00:00;1.86025;1.8531;1.85837;1.85456;40775
2015.04.30;12:00:00;1.86114;1.84874;1.85085;1.85844;46305
2015.04.30;16:00:00;1.86513;1.84955;1.85396;1.85085;53821
2015.04.30;20:00:00;1.8589;1.85097;1.85357;1.85398;26431
2015.05.01;00:00:00;1.85633;1.85111;1.85521;1.85346;9820
2015.05.01;04:00:00;1.85609;1.85453;1.85499;1.85521;7492
2015.05.01;08:00:00;1.86045;1.84928;1.84929;1.85499;23332
2015.05.01;12:00:00;1.85151;1.84487;1.8477;1.84927;26279
2015.05.01;16:00:00;1.85131;1.84067;1.84096;1.84769;44697
2015.05.01;20:00:00;1.84551;1.83979;1.84099;1.84096;18358
2015.05.04;00:00:00;1.844;1.83978;1.84329;1.84012;10685
2015.05.04;04:00:00;1.84578;1.84314;1.84382;1.84331;9157
2015.05.04;08:00:00;1.84393;1.83881;1.83971;1.84382;25141
2015.05.04;12:00:00;1.83992;1.83027;1.83127;1.83972;28752
2015.05.04;16:00:00;1.83298;1.82878;1.83121;1.83126;32936
2015.05.04;20:00:00;1.83168;1.82742;1.82838;1.83124;14036
2015.05.05;00:00:00;1.83063;1.82755;1.83033;1.82833;7409
2015.05.05;04:00:00;1.83224;1.83006;1.8315;1.83035;9794
2015.05.05;08:00:00;1.83538;1.829;1.83215;1.83149;29310
2015.05.05;12:00:00;1.83429;1.826;1.82695;1.83214;36688
