DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;1.44855;1.44498;1.44816;1.44776;28552
2015.04.27;16:00:00;1.4528;1.4462;1.45077;1.44817;40083
2015.04.27;20:00:00;1.45647;1.45009;1.45432;1.45078;17629
2015.04.28;00:00:00;1.45563;1.45304;1.45445;1.45434;10258
2015.04.28;04:00:00;1.45487;1.45325;1.45483;1.45446;8536
2015.04.28;08:00:00;1.4582;1.45141;1.45429;1.45482;29340
2015.04.28;12:00:00;1.46605;1.45376;1.46388;1.4543;37394
2015.04.28;16:00:00;1.46651;1.45614;1.46244;1.46392;42196
2015.04.28;20:00:00;1.46651;1.4614;1.46488;1.46244;16852
2015.04.29;00:00:00;1.46631;1.46265;1.46519;1.46476;9909
2015.04.29;04:00:00;1.46726;1.46487;1.46696;1.46518;10036
2015.04.29;08:00:00;1.4709;1.46648;1.46769;1.46695;31814
2015.04.29;12:00:00;1.46913;1.45736;1.46394;1.46771;43503
2015.04.29;16:00:00;1.46528;1.44668;1.44978;1.46384;58269
2015.04.29;20:00:00;1.45174;1.44495;1.45;1.44976;31529
2015.04.30;00:00:00;1.45108;1.44922;1.44969;1.44993;9531
2015.04.30;04:00:00;1.45094;1.44883;1.44934;1.44969;14814
2015.04.30;08:00:00;1.45259;1.44327;1.44662;1.44934;43282
2015.04.30;12:00:00;1.453;1.44173;1.44367;1.44664;47540
2015.04.30;16:00:00;1.45007;1.43782;1.43844;1.44367;52584
2015.04.30;20:00:00;1.43923;1.42948;1.43088;1.43846;22568
2015.05.01;00:00:00;1.43413;1.43032;1.43312;1.43082;8786
2015.05.01;04:00:00;1.4336;1.43199;1.43226;1.43312;5843
2015.05.01;08:00:00;1.43584;1.42396;1.42432;1.43224;22679
2015.05.01;12:00:00;1.42559;1.41603;1.41739;1.42431;27964
2015.05.01;16:00:00;1.41905;1.41087;1.41304;1.41739;42345
2015.05.01;20:00:00;1.41528;1.41063;1.41122;1.41307;15984
2015.05.04;00:00:00;1.41477;1.41167;1.41372;1.41231;10950
2015.05.04;04:00:00;1.41526;1.41353;1.4147;1.41372;8668
2015.05.04;08:00:00;1.42086;1.41367;1.41953;1.41463;23464
2015.05.04;12:00:00;1.41953;1.41137;1.41175;1.41953;28716
2015.05.04;16:00:00;1.4151;1.40908;1.41411;1.41174;35381
2015.05.04;20:00:00;1.41439;1.41081;1.41158;1.41412;15331
2015.05.05;00:00:00;1.41255;1.41081;1.41217;1.41144;7015
2015.05.05;04:00:00;1.41491;1.41181;1.41419;1.41217;10047
2015.05.05;08:00:00;1.42362;1.41358;1.41775;1.41419;34236
2015.05.05;12:00:00;1.41776;1.40682;1.41101;1.41776;41696
2015.05.05;16:00:00;1.4154;1.40442;1.4058;1.41104;49524
2015.05.05;20:00:00;1.40712;1.40474;1.40617;1.40582;17306
2015.05.06;00:00:00;1.40764;1.40493;1.40662;1.40613;8710
2015.05.06;04:00:00;1.40756;1.40502;1.40695;1.40662;14489
2015.05.06;08:00:00;1.40825;1.39976;1.40293;1.40696;39391
2015.05.06;12:00:00;1.40703;1.40009;1.40089;1.40297;45319
2015.05.06;16:00:00;1.40223;1.39243;1.39756;1.40089;54676
2015.05.06;20:00:00;1.3979;1.39401;1.39605;1.39759;18003
2015.05.07;00:00:00;1.39684;1.39509;1.3963;1.396;11282
2015.05.07;04:00:00;1.39732;1.39578;1.3969;1.39629;14291
2015.05.07;08:00:00;1.39727;1.38414;1.38522;1.3969;32625
2015.05.07;12:00:00;1.39533;1.38154;1.39349;1.38526;46790
2015.05.07;16:00:00;1.40302;1.39163;1.40233;1.39352;46617
2015.05.07;20:00:00;1.40789;1.40234;1.40432;1.40234;18811
2015.05.08;00:00:00;1.4249;1.40108;1.42033;1.40426;15516
2015.05.08;04:00:00;1.43302;1.42003;1.43105;1.42034;22000
2015.05.08;08:00:00;1.43299;1.42354;1.42649;1.43105;38236
2015.05.08;12:00:00;1.42755;1.41853;1.42453;1.42652;40688
2015.05.08;16:00:00;1.43721;1.42209;1.43652;1.42457;51265
2015.05.08;20:00:00;1.43998;1.43633;1.43812;1.43652;15627
2015.05.11;00:00:00;1.43933;1.43695;1.43816;1.43817;8050
2015.05.11;04:00:00;1.44065;1.43802;1.43914;1.43816;12571
2015.05.11;08:00:00;1.43998;1.43316;1.4338;1.43916;30380
2015.05.11;12:00:00;1.44973;1.43252;1.44968;1.43379;34910
2015.05.11;16:00:00;1.45842;1.44787;1.45563;1.44975;40639
2015.05.11;20:00:00;1.45875;1.45489;1.45575;1.45563;15131
2015.05.12;00:00:00;1.45672;1.45456;1.45569;1.45574;7342
2015.05.12;04:00:00;1.456;1.45291;1.45317;1.45568;10492
2015.05.12;08:00:00;1.45388;1.44218;1.44564;1.45317;34868
2015.05.12;12:00:00;1.45215;1.44446;1.45065;1.44563;40966
2015.05.12;16:00:00;1.45626;1.44448;1.45619;1.45067;37868
2015.05.12;20:00:00;1.4573;1.45512;1.45582;1.45616;14979
2015.05.13;00:00:00;1.45619;1.45373;1.4547;1.45582;7227
2015.05.13;04:00:00;1.45575;1.45345;1.45377;1.4547;13448
2015.05.13;08:00:00;1.45954;1.44897;1.45882;1.45369;31178
2015.05.13;12:00:00;1.46077;1.44475;1.44704;1.45885;44422
2015.05.13;16:00:00;1.4479;1.44097;1.44314;1.44705;45488
2015.05.13;20:00:00;1.44491;1.44186;1.44309;1.44316;16617
2015.05.14;00:00:00;1.44374;1.44222;1.44307;1.44313;8552
2015.05.14;04:00:00;1.44407;1.44143;1.4418;1.44307;12776
2015.05.14;08:00:00;1.44267;1.4381;1.4402;1.44179;32806
2015.05.14;12:00:00;1.44126;1.43428;1.43915;1.4402;38936
2015.05.14;16:00:00;1.44363;1.43806;1.43978;1.43912;43002
2015.05.14;20:00:00;1.4406;1.43839;1.43866;1.43978;15422
