DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;11872;11849.9;11863;11850;35
2015.04.27;16:00:00;11934.8;11758.3;11826;11863.3;6037
2015.04.27;20:00:00;12079.8;11817.3;12069.5;11826.5;6930
2015.04.28;00:00:00;12081;12009.5;12040.5;12072.8;5581
2015.04.28;04:00:00;12054;12010.8;12025.6;12040.3;2842
2015.04.28;08:00:00;12045.2;12020.3;12024.9;12025.9;799
2015.04.28;12:00:00;12030.5;12012.6;12026.9;12024.5;758
2015.04.28;16:00:00;12074.8;11992;12001.5;12026.6;4900
2015.04.28;20:00:00;12005;11882;11913.3;12002.3;12590
2015.04.29;00:00:00;11924;11772;11844;11913;16921
2015.04.29;04:00:00;11870.4;11808.5;11858.7;11843.8;5712
2015.04.29;08:00:00;11862.1;11850.6;11861.4;11859;553
2015.04.29;12:00:00;11862.8;11842.4;11846.6;11861.7;614
2015.04.29;16:00:00;11909.8;11796.5;11868.8;11847;10418
2015.04.29;20:00:00;11871.3;11603.5;11656;11869;14006
2015.04.30;00:00:00;11684.3;11383;11456.5;11656.3;21363
2015.04.30;04:00:00;11526.3;11425.3;11504.1;11456.8;8964
2015.04.30;08:00:00;11538.1;11494.7;11513.6;11503.8;782
2015.04.30;12:00:00;11523;11481.7;11488.4;11513.9;960
2015.04.30;16:00:00;11518.3;11353.3;11488.8;11488.1;13711
2015.04.30;20:00:00;11576.8;11406.5;11538.3;11489.5;12984
2015.05.01;00:00:00;11589.8;11409.8;11421;11539.3;17787
2015.05.01;04:00:00;11466.8;11364.8;11418.4;11421.3;7992
2015.05.01;08:00:00;11435.4;11410.7;11434.7;11419.1;780
2015.05.01;12:00:00;11434.7;11424.5;11428.4;11434.3;492
2015.05.01;16:00:00;11453.2;11425.2;11436.9;11429.4;887
2015.05.01;20:00:00;11459.8;11434.6;11452.5;11437.2;1170
2015.05.04;00:00:00;11504.6;11445.5;11482.7;11453.2;9478
2015.05.04;04:00:00;11519.7;11470.5;11514.8;11482.4;4297
2015.05.04;08:00:00;11517.2;11501.4;11505.6;11517.2;688
2015.05.04;12:00:00;11521;11501.7;11521;11505.2;395
2015.05.04;16:00:00;11626.8;11423;11583.3;11540.8;12556
2015.05.04;20:00:00;11674;11572.8;11638.8;11582.8;9407
2015.05.05;00:00:00;11677.5;11624.3;11633.8;11637.5;7938
2015.05.05;04:00:00;11644.3;11616.8;11628;11633.5;3052
2015.05.05;08:00:00;11632.8;11621.6;11626.5;11626.9;410
2015.05.05;12:00:00;11628.6;11612.8;11616.1;11626.1;445
2015.05.05;16:00:00;11768.5;11543.5;11704.5;11615.4;12156
