DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;1195.85;1190.41;1191.74;1192.44;12064
2015.04.27;16:00:00;1192.46;1182.04;1182.04;1191.68;17705
2015.04.27;20:00:00;1182.22;1175.09;1177.86;1182.04;15306
2015.04.28;00:00:00;1179.35;1177.17;1179.3;1177.91;1803
2015.04.28;04:00:00;1181.74;1178.52;1181.63;1178.66;6101
2015.04.28;08:00:00;1183.61;1181.59;1183.16;1181.65;5715
2015.04.28;12:00:00;1183.41;1179.8;1182.77;1183.15;12064
2015.04.28;16:00:00;1187.58;1181.79;1187.18;1182.81;11932
2015.04.28;20:00:00;1207.1;1187.29;1202.42;1187.29;23325
2015.04.29;00:00:00;1204.42;1201.41;1201.41;1202.42;3284
2015.04.29;04:00:00;1202.48;1199.12;1200.36;1201.89;4608
2015.04.29;08:00:00;1202.04;1199.28;1201.03;1200.33;4873
2015.04.29;12:00:00;1203.55;1199.63;1201.54;1200.98;11373
2015.04.29;16:00:00;1206.88;1200.51;1204.79;1201.49;13571
2015.04.29;20:00:00;1214.94;1204.94;1214.14;1204.94;21146
2015.04.30;00:00:00;1214.74;1211.24;1211.68;1214.24;5083
2015.04.30;04:00:00;1212.22;1209.13;1209.66;1211.7;4061
2015.04.30;08:00:00;1211.37;1208.79;1209.64;1209.67;5025
2015.04.30;12:00:00;1209.86;1204.29;1205.16;1209.64;9887
2015.04.30;16:00:00;1213.94;1204.91;1209.37;1205.12;19103
2015.04.30;20:00:00;1212.56;1206.63;1208.77;1209.4;16471
2015.05.01;00:00:00;1208.77;1201.25;1204.18;1208.73;12796
2015.05.01;04:00:00;1206.15;1203.66;1205.16;1204.78;4402
2015.05.01;08:00:00;1205.35;1200.94;1203.99;1205.13;7577
2015.05.01;12:00:00;1207.06;1199.84;1203.45;1204.02;15583
2015.05.01;16:00:00;1207.09;1179.66;1181.2;1203.49;25995
2015.05.01;20:00:00;1184.06;1176.98;1183.8;1181.28;17185
2015.05.04;00:00:00;1184.74;1181.23;1183.62;1183.9;4545
2015.05.04;04:00:00;1185.08;1182.82;1183.21;1184.17;2799
2015.05.04;08:00:00;1183.63;1181.44;1182.03;1183.17;1876
2015.05.04;12:00:00;1183.5;1178.84;1180.41;1182.07;7852
2015.05.04;16:00:00;1182;1170.15;1177.81;1180.43;13962
2015.05.04;20:00:00;1179.36;1170.68;1174.84;1177.86;12915
2015.05.05;00:00:00;1178.66;1174.02;1178.32;1174.85;2647
2015.05.05;04:00:00;1183.27;1176.89;1183.17;1176.89;3655
