DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.07.02;08:00:00;576.05;572.93;574.55;576.05;150
2015.07.02;12:00:00;574.43;569.68;571.43;574.3;465
2015.07.02;16:00:00;577.43;571.18;572.8;571.8;1212
2015.07.02;20:00:00;575.93;567.68;570.55;572.68;2267
2015.07.03;00:00:00;570.43;563.43;565.93;570.3;1717
2015.07.03;04:00:00;566.93;565.3;565.43;566.05;116
2015.07.03;08:00:00;569.68;567.05;569.05;567.18;207
2015.07.03;12:00:00;571.93;568.8;571.93;568.93;450
2015.07.03;16:00:00;574.18;566.8;572.43;571.68;1164
2015.07.03;20:00:00;578.18;571.68;571.93;572.3;2362
2015.07.06;00:00:00;572.93;566.18;566.43;572.18;1701
2015.07.06;04:00:00;566.3;565.18;565.43;565.55;84
2015.07.06;08:00:00;568.3;565.18;567.68;565.8;140
2015.07.06;12:00:00;567.8;564.18;565.93;567.8;435
2015.07.06;16:00:00;566.18;564.93;565.18;565.8;323
2015.07.06;20:00:00;567.68;554.18;555.18;565.43;1146
2015.07.07;00:00:00;557.93;555.05;557.55;555.43;235
2015.07.07;04:00:00;553.43;550.18;552.05;550.43;276
2015.07.07;08:00:00;553.43;550.68;551.18;551.93;548
2015.07.07;12:00:00;551.43;540.43;544.93;550.93;1873
2015.07.07;16:00:00;547.43;537.3;539.18;544.68;3129
2015.07.07;20:00:00;539.68;525.18;529.18;539.05;3109
2015.07.08;00:00:00;529.68;527.8;528.3;529.3;120
2015.07.08;04:00:00;533.05;529.43;531.93;529.55;134
2015.07.08;08:00:00;532.93;530.18;531.68;531.8;464
2015.07.08;12:00:00;534.68;528.93;529.43;531.43;1121
2015.07.08;16:00:00;531.43;515.18;529.3;529.55;3880
2015.07.08;20:00:00;535.18;523.18;531.43;529.43;3469
2015.07.09;00:00:00;534.05;528.18;531.8;531.3;520
2015.07.09;04:00:00;530.93;524.43;525.05;530.93;332
2015.07.09;08:00:00;525.68;520.93;523.3;524.93;797
2015.07.09;12:00:00;532.93;520.18;530.93;523.18;1716
2015.07.09;16:00:00;534.18;522.18;522.18;530.68;3573
2015.07.09;20:00:00;531.3;521.18;531.05;521.93;2816
