DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.07.02;08:00:00;2.6213;2.6085;2.621;2.6092;770
2015.07.02;12:00:00;2.6278;2.602;2.623;2.6213;2042
2015.07.02;16:00:00;2.6237;2.5988;2.609;2.6233;2138
2015.07.02;20:00:00;2.6432;2.6083;2.6252;2.6092;3026
2015.07.03;00:00:00;2.6267;2.6222;2.6248;2.6248;203
2015.07.03;04:00:00;2.6317;2.6218;2.6298;2.6233;699
2015.07.03;08:00:00;2.6332;2.6267;2.628;2.6295;514
2015.07.03;12:00:00;2.642;2.6225;2.6305;2.6278;1541
2015.07.03;16:00:00;2.6347;2.6168;2.6293;2.6313;2023
2015.07.03;20:00:00;2.6397;2.6237;2.6283;2.6287;1968
2015.07.06;00:00:00;2.6332;2.6263;2.6332;2.6278;159
2015.07.06;04:00:00;2.63;2.6207;2.6237;2.629;741
2015.07.06;08:00:00;2.6393;2.6205;2.6347;2.624;908
2015.07.06;12:00:00;2.6432;2.6278;2.6347;2.635;1473
2015.07.06;16:00:00;2.636;2.6118;2.6127;2.636;1839
2015.07.06;20:00:00;2.6172;2.6075;2.6132;2.6123;1280
2015.07.07;00:00:00;2.6053;2.5718;2.5913;2.6;1955
2015.07.07;04:00:00;2.5915;2.5002;2.5108;2.5915;3304
2015.07.07;08:00:00;2.5508;2.5095;2.5353;2.5105;3335
2015.07.07;12:00:00;2.5448;2.5165;2.5178;2.5345;3100
2015.07.07;16:00:00;2.5393;2.5108;2.5218;2.5175;2935
2015.07.07;20:00:00;2.5313;2.5182;2.5305;2.5227;344
2015.07.08;00:00:00;2.5418;2.5233;2.5298;2.533;1336
2015.07.08;04:00:00;2.5328;2.4953;2.4985;2.5295;1839
2015.07.08;08:00:00;2.5078;2.4793;2.4838;2.4983;3250
2015.07.08;12:00:00;2.4873;2.4243;2.4295;2.4848;5770
2015.07.08;16:00:00;2.477;2.3828;2.4468;2.4293;8509
2015.07.08;20:00:00;2.4703;2.4453;2.4573;2.4472;661
2015.07.09;00:00:00;2.4695;2.4168;2.4265;2.458;3754
2015.07.09;04:00:00;2.4472;2.3998;2.403;2.4273;3544
2015.07.09;08:00:00;2.4498;2.3802;2.441;2.4033;4661
2015.07.09;12:00:00;2.5165;2.4282;2.4868;2.4415;6792
2015.07.09;16:00:00;2.5073;2.4823;2.4848;2.4873;5816
2015.07.09;20:00:00;2.4953;2.4743;2.4878;2.4845;655
2015.07.10;00:00:00;2.5155;2.4833;2.5095;2.491;2515
2015.07.10;04:00:00;2.5322;2.5082;2.524;2.5093;3284
2015.07.10;08:00:00;2.5353;2.5052;2.5125;2.5242;2962
2015.07.10;12:00:00;2.592;2.5132;2.546;2.5132;5029
2015.07.10;16:00:00;2.5612;2.5188;2.5437;2.5463;4661
2015.07.10;20:00:00;2.545;2.5378;2.544;2.5435;326
2015.07.13;00:00:00;2.559;2.5402;2.5517;2.5458;1700
2015.07.13;04:00:00;2.5675;2.5313;2.5405;2.552;2536
2015.07.13;08:00:00;2.5437;2.5175;2.533;2.5408;2338
2015.07.13;12:00:00;2.5408;2.5212;2.5273;2.5333;2365
2015.07.13;16:00:00;2.5435;2.5258;2.5338;2.5277;2741
2015.07.13;20:00:00;2.5393;2.5333;2.5385;2.534;259
2015.07.14;00:00:00;2.5315;2.4928;2.5025;2.5265;2505
2015.07.14;04:00:00;2.513;2.4977;2.5017;2.5022;1684
2015.07.14;08:00:00;2.5595;2.493;2.5505;2.5015;3056
2015.07.14;12:00:00;2.5568;2.5275;2.5398;2.5508;3167
2015.07.14;16:00:00;2.548;2.5298;2.5357;2.5395;2782
2015.07.14;20:00:00;2.5408;2.5357;2.538;2.5363;244
2015.07.15;00:00:00;2.5425;2.5342;2.5363;2.5357;869
2015.07.15;04:00:00;2.5408;2.5212;2.5285;2.536;1225
2015.07.15;08:00:00;2.529;2.5088;2.5168;2.5288;1712
2015.07.15;12:00:00;2.5353;2.5052;2.531;2.5175;2562
2015.07.15;16:00:00;2.5368;2.5203;2.534;2.5315;2543
2015.07.15;20:00:00;2.5402;2.5325;2.5383;2.5338;321
2015.07.16;00:00:00;2.5448;2.53;2.536;2.5342;1008
2015.07.16;04:00:00;2.549;2.5235;2.5285;2.537;1265
2015.07.16;08:00:00;2.5698;2.5262;2.5588;2.5283;2379
2015.07.16;12:00:00;2.569;2.5208;2.5285;2.5585;3317
2015.07.16;16:00:00;2.5283;2.5097;2.5138;2.5283;3513
2015.07.16;20:00:00;2.5158;2.498;2.5125;2.514;459
2015.07.17;00:00:00;2.517;2.5037;2.5128;2.5108;1041
2015.07.17;04:00:00;2.5307;2.511;2.5292;2.513;1314
2015.07.17;08:00:00;2.54;2.5273;2.5303;2.529;1511
2015.07.17;12:00:00;2.5298;2.5097;2.518;2.5298;2597
2015.07.17;16:00:00;2.5218;2.5088;2.515;2.5178;1986
2015.07.17;20:00:00;2.5175;2.5128;2.5153;2.5155;211
2015.07.20;00:00:00;2.521;2.5132;2.5208;2.514;498
2015.07.20;04:00:00;2.5292;2.5178;2.5273;2.5212;830
2015.07.20;08:00:00;2.5295;2.4873;2.4935;2.527;1747
2015.07.20;12:00:00;2.5017;2.4728;2.4957;2.4933;3048
2015.07.20;16:00:00;2.5028;2.4833;2.487;2.4955;2428
2015.07.20;20:00:00;2.4918;2.4845;2.4892;2.4875;259
2015.07.21;00:00:00;2.4985;2.4617;2.4665;2.493;2021
2015.07.21;04:00:00;2.482;2.4658;2.479;2.4667;1460
2015.07.21;08:00:00;2.4888;2.4682;2.4768;2.4793;1988
2015.07.21;12:00:00;2.4842;2.4643;2.473;2.4765;2219
2015.07.21;16:00:00;2.4957;2.4693;2.4747;2.4728;2712
2015.07.21;20:00:00;2.4758;2.4645;2.469;2.4743;291
2015.07.22;00:00:00;2.4857;2.4678;2.482;2.4678;909
2015.07.22;04:00:00;2.4895;2.4788;2.484;2.4818;892
2015.07.22;08:00:00;2.5117;2.48;2.5037;2.4838;1670
