DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;2.6975;2.6808;2.686;2.6953;937
2015.04.27;16:00:00;2.7288;2.6847;2.7195;2.6858;1665
2015.04.27;20:00:00;2.7573;2.7173;2.7377;2.7197;3404
2015.04.28;00:00:00;2.7528;2.7288;2.7327;2.738;2682
2015.04.28;04:00:00;2.738;2.7297;2.7353;2.7323;178
2015.04.28;08:00:00;2.7658;2.7373;2.7605;2.74;977
2015.04.28;12:00:00;2.7645;2.7487;2.7528;2.7613;666
2015.04.28;16:00:00;2.765;2.7425;2.7582;2.753;1032
2015.04.28;20:00:00;2.7745;2.7495;2.7725;2.7585;1371
2015.04.29;00:00:00;2.7848;2.7617;2.773;2.7723;1601
2015.04.29;04:00:00;2.7798;2.7703;2.7785;2.7727;288
2015.04.29;08:00:00;2.7765;2.7602;2.7623;2.775;682
2015.04.29;12:00:00;2.766;2.7498;2.7565;2.762;820
2015.04.29;16:00:00;2.7795;2.7517;2.771;2.7567;657
2015.04.29;20:00:00;2.7783;2.7623;2.7673;2.7693;1506
2015.04.30;00:00:00;2.7902;2.7673;2.7895;2.7675;1826
2015.04.30;04:00:00;2.79;2.7813;2.7838;2.7898;337
2015.04.30;08:00:00;2.7845;2.7682;2.7715;2.783;689
2015.04.30;12:00:00;2.7777;2.769;2.773;2.7718;645
2015.04.30;16:00:00;2.7753;2.7565;2.7715;2.7723;1652
2015.04.30;20:00:00;2.784;2.7608;2.782;2.7727;1896
2015.05.01;00:00:00;2.7998;2.78;2.7922;2.7822;2402
2015.05.01;04:00:00;2.7948;2.7803;2.7887;2.7918;834
2015.05.01;08:00:00;2.7943;2.7838;2.7875;2.7895;756
2015.05.01;12:00:00;2.7993;2.7848;2.7982;2.788;892
2015.05.01;16:00:00;2.8305;2.7878;2.8255;2.7985;2074
2015.05.01;20:00:00;2.8598;2.8233;2.8467;2.8257;3426
2015.05.04;00:00:00;2.8855;2.8478;2.8787;2.8478;3057
2015.05.04;04:00:00;2.8847;2.8685;2.8765;2.879;408
2015.05.04;08:00:00;2.8858;2.8713;2.8828;2.8802;409
2015.05.04;12:00:00;2.8865;2.8713;2.875;2.8835;469
2015.05.04;16:00:00;2.8873;2.8737;2.8825;2.8755;975
2015.05.04;20:00:00;2.9115;2.8805;2.9065;2.8828;2210
2015.05.05;00:00:00;2.9282;2.9012;2.9282;2.9068;2122
2015.05.05;04:00:00;2.9332;2.9245;2.9315;2.9285;293
2015.05.05;08:00:00;2.9282;2.8888;2.9003;2.9278;1914
2015.05.05;12:00:00;2.9048;2.892;2.9;2.9;951
2015.05.05;16:00:00;2.9137;2.8977;2.9075;2.9003;974
2015.05.05;20:00:00;2.9243;2.8985;2.912;2.9078;1346
2015.05.06;00:00:00;2.9198;2.9078;2.9103;2.9122;983
2015.05.06;04:00:00;2.9137;2.9055;2.9055;2.91;245
2015.05.06;08:00:00;2.9145;2.9008;2.9055;2.9077;1110
2015.05.06;12:00:00;2.9118;2.8962;2.9063;2.9048;1006
2015.05.06;16:00:00;2.9335;2.9027;2.9303;2.9068;1466
2015.05.06;20:00:00;2.9375;2.9152;2.9293;2.9305;2463
