DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;23737;23698;23736;23707;647
2015.04.27;16:00:00;23949;23486;23546;23746;5312
2015.04.27;20:00:00;23584;23342;23412;23544;5708
2015.04.28;00:00:00;23447;23385;23428;23396;832
2015.04.28;04:00:00;23514;23425;23510;23429;521
2015.04.28;08:00:00;23628;23412;23549;23481;5138
2015.04.28;12:00:00;23870;23548;23828;23548;5812
2015.04.28;16:00:00;23996;23831;23944;23833;1444
2015.04.28;20:00:00;23957;23843;23847;23945;1160
2015.04.29;00:00:00;24195;23760;24035;23922;5602
2015.04.29;04:00:00;24215;23995;24060;24048;5711
2015.04.29;08:00:00;24108;24049;24087;24069;1055
2015.04.29;12:00:00;24104;24049;24078;24086;1092
2015.04.29;16:00:00;24205;23996;24087;24082;5239
2015.04.29;20:00:00;24142;23997;24014;24100;4594
2015.04.30;00:00:00;24016;23974;24003;24006;758
2015.04.30;04:00:00;24026;23987;24016;24004;732
2015.04.30;08:00:00;23932;23713;23825;23932;5140
2015.04.30;12:00:00;23863;23376;23484;23822;6016
2015.04.30;16:00:00;23471;23394;23394;23462;1096
2015.04.30;20:00:00;23419;23307;23325;23393;1277
2015.05.01;00:00:00;23528;23302;23441;23302;5340
2015.05.01;04:00:00;23665;23419;23485;23422;5587
2015.05.01;08:00:00;23483;23407;23442;23476;590
2015.05.01;12:00:00;23113;23068;23077;23112;91
2015.05.01;16:00:00;23009;22817;22974;22974;4640
2015.05.01;20:00:00;23070;22959;22971;22968;3726
2015.05.04;00:00:00;23027;22939;22955;22997;1039
2015.05.04;04:00:00;22967;22815;22822;22954;1257
2015.05.04;08:00:00;22907;22673;22673;22799;4696
2015.05.04;12:00:00;22802;22605;22606;22680;4269
2015.05.04;16:00:00;22653;22416;22427;22571;2176
2015.05.04;20:00:00;22577;22410;22560;22428;2276
2015.05.05;00:00:00;22705;22502;22606;22625;4951
2015.05.05;04:00:00;22646;22542;22597;22598;4437
2015.05.05;08:00:00;22662;22564;22590;22598;1275
2015.05.05;12:00:00;22669;22568;22661;22589;1416
2015.05.05;16:00:00;22925;22755;22870;22864;4190
2015.05.05;20:00:00;22873;22710;22806;22866;5100
2015.05.06;00:00:00;22970;22826;22943;22826;1416
2015.05.06;04:00:00;23052;22938;23020;22942;1245
2015.05.06;08:00:00;23198;23022;23110;23098;3957
2015.05.06;12:00:00;23177;23076;23162;23114;4184
2015.05.06;16:00:00;23189;23123;23138;23146;1068
2015.05.06;20:00:00;23163;23105;23153;23139;1117
2015.05.07;00:00:00;23471;23223;23401;23223;4627
2015.05.07;04:00:00;23500;23336;23443;23400;4745
2015.05.07;08:00:00;23490;23412;23415;23442;857
2015.05.07;12:00:00;23460;23411;23427;23416;850
2015.05.07;16:00:00;23501;23379;23447;23455;3914
2015.05.07;20:00:00;23452;23281;23355;23451;4108
2015.05.08;00:00:00;23393;23316;23386;23351;585
2015.05.08;04:00:00;23414;23325;23351;23385;752
2015.05.08;08:00:00;23453;23331;23381;23375;3786
2015.05.08;12:00:00;23926;23762;23816;23767;3447
2015.05.08;16:00:00;23837;23760;23817;23814;3555
2015.05.08;20:00:00;23813;23748;23795;23802;1044
2015.05.11;00:00:00;23825;23757;23822;23796;535
2015.05.11;04:00:00;23891;23568;23575;23847;6626
2015.05.11;08:00:00;23588;23403;23420;23566;5676
2015.05.11;12:00:00;23464;23396;23423;23396;775
2015.05.11;16:00:00;23430;23384;23416;23421;646
2015.05.11;20:00:00;23610;23432;23604;23433;5292
2015.05.12;00:00:00;23829;23736;23798;23759;2604
2015.05.12;04:00:00;23803;23717;23771;23764;1098
2015.05.12;08:00:00;23796;23653;23654;23774;886
2015.05.12;12:00:00;23987;23561;23978;23576;6219
2015.05.12;16:00:00;24011;23689;23738;23997;8097
2015.05.12;20:00:00;23784;23693;23705;23784;1000
2015.05.13;00:00:00;23715;23504;23511;23706;1297
2015.05.13;04:00:00;23561;23302;23313;23490;9875
2015.05.13;08:00:00;23452;23263;23422;23301;6665
2015.05.13;12:00:00;23414;23330;23368;23396;1663
2015.05.13;16:00:00;23412;23334;23364;23369;1565
2015.05.13;20:00:00;23675;23281;23645;23331;8592
2015.05.14;00:00:00;23737;23433;23650;23646;8490
2015.05.14;04:00:00;23740;23626;23740;23670;1527
2015.05.14;08:00:00;23784;23715;23726;23738;1543
2015.05.14;12:00:00;23906;23703;23807;23811;8575
2015.05.14;16:00:00;23886;23773;23826;23814;6712
2015.05.14;20:00:00;23944;23825;23936;23830;924
2015.05.15;00:00:00;23988;23921;23985;23937;947
2015.05.15;04:00:00;24158;23935;24095;24078;9135
2015.05.15;08:00:00;24179;23838;23923;24101;9327
2015.05.15;12:00:00;23992;23927;23966;23935;1168
2015.05.15;16:00:00;24030;23917;23930;23965;1787
2015.05.15;20:00:00;24111;23892;23943;24012;8659
2015.05.18;00:00:00;24051;23897;24035;23941;6910
2015.05.18;04:00:00;24114;24022;24076;24053;1010
2015.05.18;08:00:00;24087;23890;23954;24077;1925
2015.05.18;12:00:00;24238;23901;24163;23923;8670
2015.05.18;16:00:00;24280;24122;24237;24171;7469
2015.05.18;20:00:00;24285;24217;24270;24230;941
2015.05.19;00:00:00;24392;24267;24381;24271;1079
2015.05.19;04:00:00;24326;24140;24275;24271;7950
2015.05.19;08:00:00;24279;24046;24128;24279;7402
2015.05.19;12:00:00;24220;24077;24079;24126;1573
2015.05.19;16:00:00;24112;23992;24060;24077;2371
2015.05.19;20:00:00;24228;24082;24152;24171;6758
2015.05.20;00:00:00;24454;24155;24394;24166;7233
2015.05.20;04:00:00;24446;24260;24361;24386;3113
2015.05.20;08:00:00;24426;24308;24358;24360;2305
2015.05.20;12:00:00;24271;24090;24124;24250;8172
2015.05.20;16:00:00;24218;24126;24214;24143;6555
2015.05.20;20:00:00;24198;23941;23980;24195;2110
2015.05.21;00:00:00;24063;23974;24049;23979;1287
2015.05.21;04:00:00;24104;23781;23830;24083;9511
2015.05.21;08:00:00;23871;23579;23744;23824;8929
2015.05.21;12:00:00;23740;23636;23700;23726;1297
2015.05.21;16:00:00;23767;23663;23762;23701;706
2015.05.21;20:00:00;23911;23694;23866;23763;11001
2015.05.22;00:00:00;23982;23780;23950;23870;8019
2015.05.22;04:00:00;24062;23932;24060;23935;849
2015.05.22;08:00:00;24076;23954;23958;24059;1273
2015.05.22;12:00:00;24280;23944;24273;24002;10582
2015.05.22;16:00:00;24363;24251;24294;24280;7866
2015.05.22;20:00:00;24411;24279;24301;24279;1344
2015.05.25;00:00:00;24386;24259;24380;24305;1813
2015.05.25;04:00:00;24574;24380;24469;24410;8958
2015.05.25;08:00:00;24592;24453;24574;24464;7058
2015.05.25;12:00:00;24666;24565;24654;24565;1109
2015.05.25;16:00:00;24723;24602;24683;24652;2122
2015.05.25;20:00:00;24880;24748;24832;24782;8100
2015.05.26;00:00:00;24927;24742;24919;24838;7660
2015.05.26;04:00:00;24975;24918;24941;24928;949
2015.05.26;08:00:00;24949;24890;24893;24939;878
2015.05.26;12:00:00;24880;24748;24813;24832;7467
2015.05.26;16:00:00;24919;24782;24857;24821;5731
2015.05.26;20:00:00;24922;24850;24906;24859;1239
2015.05.27;00:00:00;24943;24872;24933;24908;1414
2015.05.27;04:00:00;25013;24693;24726;24985;8331
2015.05.27;08:00:00;24823;24679;24769;24727;7738
2015.05.27;12:00:00;24761;24673;24674;24757;1270
2015.05.27;16:00:00;24675;24598;24602;24675;1309
2015.05.27;20:00:00;24888;24705;24881;24756;8086
2015.05.28;00:00:00;24991;24817;24876;24902;7552
2015.05.28;04:00:00;24852;24710;24748;24850;2005
2015.05.28;08:00:00;24768;24713;24725;24746;1056
2015.05.28;12:00:00;24728;24540;24557;24637;7886
