DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;20384;20299;20384;20304;290
2015.04.27;16:00:00;20452;20284;20439;20329;1445
2015.04.27;20:00:00;20612;20417;20602;20437;1547
2015.04.28;00:00:00;20652;20592;20617;20607;244
2015.04.28;04:00:00;20706;20577;20676;20609;1537
2015.04.28;08:00:00;20759;20609;20734;20674;1202
2015.04.28;12:00:00;20779;20736;20749;20736;171
2015.04.28;16:00:00;20749;20409;20419;20676;2417
2015.04.28;20:00:00;20511;20364;20419;20414;1940
2015.04.29;00:00:00;20434;20299;20406;20421;410
2015.04.29;04:00:00;20574;20412;20489;20424;1775
2015.04.29;08:00:00;20502;20229;20372;20487;1435
2015.04.29;12:00:00;20492;20367;20487;20377;360
2015.04.29;16:00:00;20537;20258;20330;20507;2473
2015.04.29;20:00:00;20388;20308;20323;20333;1012
2015.04.30;00:00:00;20368;20313;20353;20325;197
2015.04.30;04:00:00;20617;20393;20587;20418;1930
2015.04.30;08:00:00;20602;20407;20484;20592;2075
2015.04.30;12:00:00;20497;20427;20472;20482;402
2015.04.30;16:00:00;20851;20519;20791;20547;3901
2015.04.30;20:00:00;20876;20766;20821;20793;1731
2015.05.01;00:00:00;20891;20806;20826;20841;331
2015.05.01;04:00:00;20936;20671;20928;20731;2176
2015.05.01;08:00:00;21413;20928;21381;20933;4864
2015.05.01;12:00:00;21436;21356;21403;21386;430
2015.05.01;16:00:00;21456;21322;21382;21366;2509
2015.05.01;20:00:00;21457;21297;21347;21377;3396
2015.05.04;00:00:00;21392;21332;21374;21352;443
2015.05.04;04:00:00;21485;21290;21295;21432;2123
2015.05.04;08:00:00;21360;21250;21345;21292;1412
2015.05.04;12:00:00;21347;21290;21325;21342;405
2015.05.04;16:00:00;21390;21265;21341;21270;1629
2015.05.04;20:00:00;21358;21116;21151;21343;1960
2015.05.05;00:00:00;21176;21141;21158;21146;350
2015.05.05;04:00:00;21236;20961;21221;21106;2869
2015.05.05;08:00:00;21231;21121;21126;21218;1732
2015.05.05;12:00:00;21161;21056;21161;21123;359
2015.05.05;16:00:00;21241;21001;21091;21218;2539
2015.05.05;20:00:00;21116;20931;21006;21086;2592
2015.05.06;00:00:00;21116;21001;21116;21003;495
2015.05.06;04:00:00;21144;21049;21114;21123;1732
2015.05.06;08:00:00;21149;20964;21061;21116;1882
2015.05.06;12:00:00;21109;21059;21069;21059;281
2015.05.06;16:00:00;20999;20829;20889;20989;1884
2015.05.06;20:00:00;20929;20794;20819;20886;1631
2015.05.07;00:00:00;20879;20804;20866;20814;346
2015.05.07;04:00:00;20864;20604;20749;20839;2108
2015.05.07;08:00:00;20834;20689;20819;20751;1737
2015.05.07;12:00:00;20824;20744;20816;20814;310
2015.05.07;16:00:00;21024;20854;20984;20861;1487
2015.05.07;20:00:00;21134;20976;21089;20989;1210
2015.05.08;00:00:00;21106;21074;21094;21086;244
2015.05.08;04:00:00;21279;21054;21189;21111;2144
2015.05.08;08:00:00;21256;21134;21156;21191;1326
2015.05.08;12:00:00;21156;21082;21132;21151;290
2015.05.08;16:00:00;21357;21131;21141;21277;1393
2015.05.08;20:00:00;21161;20971;21026;21138;2269
2015.05.11;00:00:00;21036;20933;20941;21031;325
2015.05.11;04:00:00;20993;20766;20838;20789;1939
2015.05.11;08:00:00;20883;20653;20665;20843;1719
2015.05.11;12:00:00;20708;20618;20675;20663;373
2015.05.11;16:00:00;20635;20414;20434;20630;2616
2015.05.11;20:00:00;20554;20336;20409;20429;2353
2015.05.12;00:00:00;20429;20344;20396;20411;558
2015.05.12;04:00:00;20508;20236;20498;20344;2135
2015.05.12;08:00:00;20608;20423;20548;20493;1844
2015.05.12;12:00:00;20698;20543;20683;20550;444
2015.05.12;16:00:00;20867;20653;20847;20655;1854
2015.05.12;20:00:00;20862;20357;20452;20849;3423
2015.05.13;00:00:00;20452;20312;20422;20449;790
2015.05.13;04:00:00;20627;20367;20582;20392;2559
2015.05.13;08:00:00;20774;20502;20774;20587;3221
2015.05.13;12:00:00;20837;20777;20827;20777;524
2015.05.13;16:00:00;20857;20562;20597;20812;2594
2015.05.13;20:00:00;20627;20377;20497;20589;3016
2015.05.14;00:00:00;20569;20487;20567;20502;542
2015.05.14;04:00:00;20779;20514;20739;20614;2484
2015.05.14;08:00:00;20859;20601;20859;20744;2736
2015.05.14;12:00:00;20929;20834;20864;20854;567
2015.05.14;16:00:00;20940;20790;20845;20794;2380
2015.05.14;20:00:00;20850;20630;20760;20847;3414
2015.05.15;00:00:00;20795;20685;20695;20765;443
2015.05.15;04:00:00;20705;20398;20493;20660;2549
2015.05.15;08:00:00;20618;19913;19923;20498;5189
2015.05.15;12:00:00;20025;19838;19853;19918;961
2015.05.15;16:00:00;20108;19968;20026;20000;1606
2015.05.15;20:00:00;20186;19991;20171;20031;1837
2015.05.18;00:00:00;20216;20161;20186;20166;307
2015.05.18;04:00:00;20394;20194;20289;20311;2335
2015.05.18;08:00:00;20359;20134;20151;20294;2255
