DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.07.02;08:00:00;20308;20248;20293;20268;299
2015.07.02;12:00:00;20490;20278;20490;20288;1013
2015.07.02;16:00:00;20610;20480;20515;20495;1925
2015.07.02;20:00:00;20585;20500;20505;20518;1975
2015.07.03;00:00:00;20555;20465;20545;20503;930
2015.07.03;04:00:00;20593;20500;20578;20550;328
2015.07.03;08:00:00;20583;20508;20548;20573;298
2015.07.03;12:00:00;20565;20473;20540;20553;783
2015.07.03;16:00:00;20545;20490;20510;20543;806
2015.07.03;20:00:00;20508;20445;20460;20505;1562
2015.07.06;00:00:00;20505;20445;20495;20458;637
2015.07.06;04:00:00;20510;20433;20458;20490;377
2015.07.06;08:00:00;20533;20428;20513;20453;390
2015.07.06;12:00:00;20560;20485;20510;20518;734
2015.07.06;16:00:00;20530;20458;20470;20505;624
2015.07.06;20:00:00;20485;20440;20450;20468;623
2015.07.07;00:00:00;20303;20130;20233;20140;567
2015.07.07;04:00:00;20243;19998;20108;20235;880
2015.07.07;08:00:00;20288;20085;20265;20105;2090
2015.07.07;12:00:00;20275;20175;20243;20270;1796
2015.07.07;16:00:00;20365;20225;20235;20245;2120
2015.07.07;20:00:00;20300;20180;20280;20230;792
2015.07.08;00:00:00;20423;20265;20398;20275;351
2015.07.08;04:00:00;20403;20358;20378;20393;311
2015.07.08;08:00:00;20450;20358;20380;20373;1067
2015.07.08;12:00:00;20395;20295;20325;20383;1353
2015.07.08;16:00:00;20320;20080;20230;20320;3976
2015.07.08;20:00:00;20438;20185;20418;20235;2089
2015.07.09;00:00:00;20421;20153;20168;20420;472
2015.07.09;04:00:00;20163;19768;19813;20158;1258
2015.07.09;08:00:00;19883;19440;19600;19818;3207
2015.07.09;12:00:00;19695;19500;19665;19603;2579
2015.07.09;16:00:00;19670;19355;19415;19670;3943
2015.07.09;20:00:00;19440;19205;19293;19420;2332
2015.07.10;00:00:00;19385;19098;19213;19290;968
2015.07.10;04:00:00;19688;19203;19553;19218;2250
2015.07.10;08:00:00;19890;19548;19830;19558;1812
2015.07.10;12:00:00;19855;19775;19840;19828;1387
2015.07.10;16:00:00;19840;19670;19715;19835;2519
2015.07.10;20:00:00;19718;19625;19648;19718;1775
2015.07.13;00:00:00;19923;19623;19758;19650;1370
2015.07.13;04:00:00;19973;19748;19820;19763;1198
2015.07.13;08:00:00;19935;19718;19853;19818;1767
2015.07.13;12:00:00;20020;19840;20015;19850;1390
2015.07.13;16:00:00;20080;19990;20053;20010;2384
2015.07.13;20:00:00;20130;19990;20095;20055;775
2015.07.14;00:00:00;20043;19908;20008;19968;835
2015.07.14;04:00:00;20123;19978;20088;20013;872
2015.07.14;08:00:00;20353;20060;20330;20085;2309
2015.07.14;12:00:00;20355;20268;20330;20325;1215
2015.07.14;16:00:00;20365;20308;20325;20335;1293
2015.07.14;20:00:00;20385;20328;20365;20328;250
2015.07.15;00:00:00;20433;20333;20403;20363;321
2015.07.15;04:00:00;20423;20338;20413;20408;387
2015.07.15;08:00:00;20423;20315;20405;20408;731
2015.07.15;12:00:00;20415;20350;20360;20410;680
2015.07.15;16:00:00;20488;20360;20475;20363;1453
2015.07.15;20:00:00;20515;20465;20500;20470;344
2015.07.16;00:00:00;20503;20428;20443;20499;279
2015.07.16;04:00:00;20478;20393;20448;20438;466
2015.07.16;08:00:00;20498;20423;20470;20443;610
2015.07.16;12:00:00;20518;20460;20505;20473;659
2015.07.16;16:00:00;20610;20505;20585;20508;1187
2015.07.16;20:00:00;20600;20460;20530;20580;922
2015.07.17;00:00:00;20630;20518;20563;20525;433
2015.07.17;04:00:00;20573;20513;20548;20558;440
2015.07.17;08:00:00;20635;20540;20630;20543;777
2015.07.17;12:00:00;20685;20613;20685;20625;518
2015.07.17;16:00:00;20690;20635;20645;20680;1055
2015.07.17;20:00:00;20680;20635;20663;20643;333
2015.07.20;00:00:00;20668;20598;20618;20660;266
2015.07.20;04:00:00;20648;20618;20623;20623;174
2015.07.20;08:00:00;20675;20610;20640;20628;486
2015.07.20;12:00:00;20715;20635;20695;20645;579
2015.07.20;16:00:00;20715;20650;20695;20698;1458
2015.07.20;20:00:00;20710;20690;20700;20700;271
2015.07.21;00:00:00;20728;20678;20678;20698;189
2015.07.21;04:00:00;20733;20668;20728;20683;76
2015.07.21;08:00:00;20780;20700;20765;20725;230
2015.07.21;12:00:00;20770;20725;20760;20768;405
2015.07.21;16:00:00;20805;20730;20780;20765;613
2015.07.21;20:00:00;20805;20760;20768;20783;205
2015.07.22;00:00:00;20770;20723;20733;20765;233
2015.07.22;04:00:00;20770;20708;20768;20728;202
2015.07.22;08:00:00;20843;20768;20785;20773;501
2015.07.22;12:00:00;20793;20745;20760;20790;325
2015.07.22;16:00:00;20765;20610;20618;20755;1087
2015.07.22;20:00:00;20715;20595;20625;20615;755
2015.07.23;00:00:00;20668;20603;20618;20620;368
2015.07.23;04:00:00;20648;20568;20618;20613;322
