DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;20135;20020;20115;20038;680
2015.04.27;16:00:00;20125;20070;20095;20120;989
2015.04.27;20:00:00;20095;20035;20045;20090;1013
2015.04.28;00:00:00;20068;20010;20058;20043;432
2015.04.28;04:00:00;20080;19918;20033;20063;455
2015.04.28;08:00:00;20038;19938;19973;20028;429
2015.04.28;12:00:00;20055;19965;20010;19975;662
2015.04.28;16:00:00;20150;20010;20145;20013;520
2015.04.28;20:00:00;20150;20040;20075;20150;813
2015.04.29;00:00:00;20085;20035;20040;20070;478
2015.04.29;04:00:00;20143;20043;20133;20043;279
2015.04.29;08:00:00;20143;20058;20073;20128;320
2015.04.29;12:00:00;20088;19985;20005;20068;401
2015.04.29;16:00:00;20023;19980;20013;20000;569
2015.04.29;20:00:00;20033;19928;20008;20018;1057
2015.04.30;00:00:00;20023;19930;19985;20010;593
2015.04.30;04:00:00;19995;19943;19963;19983;177
2015.04.30;08:00:00;19960;19863;19910;19958;203
2015.04.30;12:00:00;19970;19903;19965;19908;432
2015.04.30;16:00:00;19980;19918;19930;19968;526
2015.04.30;20:00:00;19933;19638;19705;19928;1066
2015.05.01;00:00:00;19850;19663;19795;19703;1057
2015.05.01;04:00:00;19845;19738;19748;19798;518
2015.05.01;08:00:00;19758;19503;19563;19743;930
2015.05.01;12:00:00;19613;19375;19485;19558;1626
2015.05.01;16:00:00;19555;19430;19550;19480;910
2015.05.01;20:00:00;19600;19425;19445;19545;2436
2015.05.04;00:00:00;19485;19320;19403;19440;1009
2015.05.04;04:00:00;19550;19400;19473;19400;427
2015.05.04;08:00:00;19503;19403;19453;19468;527
2015.05.04;12:00:00;19610;19433;19528;19448;588
2015.05.04;16:00:00;19565;19530;19555;19530;277
2015.05.04;20:00:00;19675;19558;19670;19560;1169
2015.05.05;00:00:00;19745;19660;19708;19665;186
2015.05.05;04:00:00;19720;19593;19638;19678;258
2015.05.05;08:00:00;19698;19638;19663;19640;131
2015.05.05;12:00:00;19700;19610;19690;19660;550
2015.05.05;16:00:00;19785;19680;19780;19693;417
2015.05.05;20:00:00;19785;19705;19745;19775;967
2015.05.06;00:00:00;19795;19735;19740;19750;278
2015.05.06;04:00:00;19788;19695;19743;19738;176
2015.05.06;08:00:00;19773;19703;19710;19748;127
2015.05.06;12:00:00;19765;19660;19715;19708;406
2015.05.06;16:00:00;19768;19630;19650;19718;623
2015.05.06;20:00:00;19730;19315;19355;19645;2264
2015.05.07;00:00:00;19390;19325;19368;19353;1147
2015.05.07;04:00:00;19425;19360;19363;19365;321
2015.05.07;08:00:00;19453;19353;19438;19368;259
2015.05.07;12:00:00;19445;19265;19405;19433;1067
2015.05.07;16:00:00;19430;19350;19350;19400;959
2015.05.07;20:00:00;19390;19165;19280;19353;1950
2015.05.08;00:00:00;19335;19175;19325;19275;756
2015.05.08;04:00:00;19458;19280;19348;19323;888
2015.05.08;08:00:00;19383;19268;19293;19343;757
2015.05.08;12:00:00;19303;19113;19135;19288;1418
2015.05.08;16:00:00;19235;19035;19210;19138;1728
2015.05.08;20:00:00;19360;19205;19345;19213;1639
2015.05.11;00:00:00;19370;19320;19365;19350;447
2015.05.11;04:00:00;19388;19298;19358;19368;413
2015.05.11;08:00:00;19423;19333;19418;19363;397
2015.05.11;12:00:00;19463;19360;19390;19413;1131
2015.05.11;16:00:00;19545;19385;19493;19395;1273
2015.05.11;20:00:00;19685;19485;19665;19495;1206
2015.05.12;00:00:00;19695;19640;19665;19670;249
2015.05.12;04:00:00;19683;19588;19633;19668;486
2015.05.12;08:00:00;19653;19598;19618;19628;515
2015.05.12;12:00:00;19660;19570;19580;19623;698
2015.05.12;16:00:00;19645;19575;19630;19583;781
2015.05.12;20:00:00;19645;19590;19635;19635;891
2015.05.13;00:00:00;19640;19580;19585;19630;259
2015.05.13;04:00:00;19600;19528;19543;19580;271
2015.05.13;08:00:00;19558;19468;19558;19548;398
2015.05.13;12:00:00;19665;19480;19485;19553;819
2015.05.13;16:00:00;19530;19453;19530;19490;1247
2015.05.13;20:00:00;19560;19475;19525;19525;1484
2015.05.14;00:00:00;19555;19495;19525;19530;733
2015.05.14;04:00:00;19643;19468;19613;19528;337
2015.05.14;08:00:00;19763;19598;19738;19610;540
2015.05.14;12:00:00;19845;19718;19825;19733;618
2015.05.14;16:00:00;19835;19750;19770;19823;805
2015.05.14;20:00:00;19810;19635;19650;19775;1238
2015.05.15;00:00:00;19690;19620;19638;19655;450
2015.05.15;04:00:00;19723;19633;19698;19640;297
2015.05.15;08:00:00;19698;19565;19588;19693;529
2015.05.15;12:00:00;19615;19465;19600;19590;958
2015.05.15;16:00:00;19605;19560;19580;19605;620
2015.05.15;20:00:00;19645;19538;19630;19585;873
2015.05.18;00:00:00;19678;19630;19670;19633;277
