DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;20117;20062;20087;20112;973
2015.04.27;16:00:00;20087;20027;20037;20082;983
2015.04.27;20:00:00;20060;20002;20050;20035;411
2015.04.28;00:00:00;20072;19908;20023;20055;452
2015.04.28;04:00:00;20028;19932;19967;20018;430
2015.04.28;08:00:00;20051;19961;20006;19971;662
2015.04.28;12:00:00;20146;20006;20141;20009;520
2015.04.28;16:00:00;20146;20036;20071;20146;813
2015.04.28;20:00:00;20081;20031;20036;20066;478
2015.04.29;00:00:00;20137;20040;20127;20041;276
2015.04.29;04:00:00;20137;20052;20067;20122;320
2015.04.29;08:00:00;20082;19963;20001;20062;856
2015.04.29;12:00:00;20017;19976;20007;19996;571
2015.04.29;16:00:00;20027;19922;20002;20012;1142
2015.04.29;20:00:00;20017;19926;19981;20004;561
2015.04.30;00:00:00;19991;19937;19957;19979;176
2015.04.30;04:00:00;19954;19857;19904;19952;203
2015.04.30;08:00:00;19966;19897;19961;19902;427
2015.04.30;12:00:00;19976;19912;19924;19964;520
2015.04.30;16:00:00;19927;19632;19699;19922;1066
2015.04.30;20:00:00;19846;19657;19791;19697;1049
2015.05.01;00:00:00;19841;19732;19742;19796;514
2015.05.01;04:00:00;19752;19497;19557;19737;930
2015.05.01;08:00:00;19607;19371;19481;19552;1595
2015.05.01;12:00:00;19551;19426;19546;19476;891
2015.05.01;16:00:00;19596;19421;19441;19541;2383
2015.05.01;20:00:00;19481;19316;19399;19436;979
2015.05.04;00:00:00;19546;19396;19467;19396;426
2015.05.04;04:00:00;19497;19397;19447;19462;527
2015.05.04;08:00:00;19606;19427;19524;19442;577
2015.05.04;12:00:00;19561;19526;19551;19526;267
2015.05.04;16:00:00;19671;19554;19666;19556;1130
2015.05.04;20:00:00;19741;19656;19704;19661;184
2015.05.05;00:00:00;19716;19587;19632;19674;252
2015.05.05;04:00:00;19692;19632;19657;19634;131
2015.05.05;08:00:00;19696;19606;19686;19656;548
2015.05.05;12:00:00;19781;19676;19776;19689;402
2015.05.05;16:00:00;19781;19701;19741;19771;939
2015.05.05;20:00:00;19791;19731;19736;19746;264
2015.05.06;00:00:00;19782;19691;19737;19734;177
2015.05.06;04:00:00;19767;19697;19704;19742;127
2015.05.06;08:00:00;19761;19656;19711;19702;403
2015.05.06;12:00:00;19764;19626;19646;19714;610
2015.05.06;16:00:00;19726;19311;19351;19641;2226
2015.05.06;20:00:00;19386;19321;19364;19349;1104
2015.05.07;00:00:00;19421;19356;19357;19361;319
2015.05.07;04:00:00;19447;19347;19432;19362;259
2015.05.07;08:00:00;19439;19261;19401;19427;1058
2015.05.07;12:00:00;19426;19346;19346;19396;944
2015.05.07;16:00:00;19386;19161;19276;19349;1971
2015.05.07;20:00:00;19331;19171;19321;19271;741
2015.05.08;00:00:00;19452;19276;19342;19299;870
2015.05.08;04:00:00;19377;19262;19287;19337;757
2015.05.08;08:00:00;19297;19109;19131;19282;1396
2015.05.08;12:00:00;19231;19031;19206;19134;1697
2015.05.08;16:00:00;19356;19201;19341;19209;1602
2015.05.08;20:00:00;19366;19316;19361;19346;437
2015.05.11;00:00:00;19382;19292;19352;19364;408
2015.05.11;04:00:00;19417;19327;19412;19357;397
2015.05.11;08:00:00;19457;19356;19386;19407;1117
2015.05.11;12:00:00;19541;19381;19489;19391;1255
2015.05.11;16:00:00;19681;19481;19661;19491;1177
2015.05.11;20:00:00;19691;19636;19661;19666;237
2015.05.12;00:00:00;19677;19582;19627;19664;483
2015.05.12;04:00:00;19647;19592;19612;19622;515
2015.05.12;08:00:00;19656;19566;19576;19619;679
2015.05.12;12:00:00;19641;19571;19626;19579;762
2015.05.12;16:00:00;19641;19586;19631;19631;869
2015.05.12;20:00:00;19636;19576;19581;19626;257
2015.05.13;00:00:00;19596;19522;19537;19576;270
2015.05.13;04:00:00;19552;19462;19552;19542;398
2015.05.13;08:00:00;19661;19476;19481;19547;805
2015.05.13;12:00:00;19526;19446;19526;19486;1197
2015.05.13;16:00:00;19556;19471;19521;19521;1475
2015.05.13;20:00:00;19551;19491;19521;19526;708
2015.05.14;00:00:00;19637;19464;19607;19524;333
2015.05.14;04:00:00;19757;19592;19732;19604;540
2015.05.14;08:00:00;19841;19712;19821;19727;628
2015.05.14;12:00:00;19831;19746;19766;19826;784
2015.05.14;16:00:00;19806;19631;19646;19771;1205
2015.05.14;20:00:00;19686;19616;19634;19651;430
2015.05.15;00:00:00;19717;19629;19692;19636;294
2015.05.15;04:00:00;19692;19559;19582;19687;529
2015.05.15;08:00:00;19611;19461;19596;19584;948
