DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;503.3;503.1;503.1;503.2;6
2015.04.27;16:00:00;503.4;503;503.4;503.2;8
2015.04.27;20:00:00;505;498.7;501.3;502.7;1574
2015.04.28;00:00:00;510.5;501.1;510.2;501.2;1456
2015.04.28;04:00:00;510.5;507.5;508.2;510.3;948
2015.04.28;08:00:00;512;507.1;507.7;508.3;496
2015.04.28;12:00:00;508.4;507;507.3;508.1;199
2015.04.28;16:00:00;507.6;506.6;507.2;507.2;235
2015.04.28;20:00:00;508.3;504.6;505.3;507.1;774
2015.04.29;00:00:00;505.4;500.5;502.2;505.2;1708
2015.04.29;04:00:00;502.6;497.9;501.9;502.1;2430
2015.04.29;08:00:00;502.8;500.8;502.5;501.8;487
2015.04.29;12:00:00;502.7;502.1;502.7;502.6;156
2015.04.29;16:00:00;502.6;501.5;501.8;502.6;165
2015.04.29;20:00:00;503.7;499.6;502.1;501.7;1934
2015.04.30;00:00:00;502.3;493.1;494.8;502;2159
2015.04.30;04:00:00;495.6;486.6;488.1;494.7;3400
2015.04.30;08:00:00;491;486.7;489.4;488;1028
2015.04.30;12:00:00;490;488.6;489.7;489.1;224
2015.04.30;16:00:00;490.3;488.3;488.3;489.8;335
2015.04.30;20:00:00;490.7;484.4;489.3;488.4;3046
2015.05.01;00:00:00;491.1;487.1;489.9;489.2;2381
2015.05.01;04:00:00;490;484.7;485.4;489.8;3118
2015.05.01;08:00:00;486.9;482.9;484.9;485.3;1089
2015.05.01;12:00:00;485.6;484.5;485.4;485.2;285
2015.05.01;16:00:00;485.4;484.8;484.9;485.3;120
2015.05.01;20:00:00;486.5;484.7;485.4;485;239
2015.05.04;00:00:00;486.7;485.2;486.3;485.5;325
2015.05.04;04:00:00;489.2;485.7;487.7;486.4;2823
2015.05.04;08:00:00;489.8;487;488.9;487.6;1244
2015.05.04;12:00:00;489;488;488.2;489;172
2015.05.04;16:00:00;488.4;487.9;488.4;488.1;110
2015.05.04;20:00:00;490.3;484;489.5;488.3;2049
2015.05.05;00:00:00;493.2;489.3;491.7;489.3;1385
2015.05.05;04:00:00;492.2;490.4;490.8;491.5;951
2015.05.05;08:00:00;491.4;490.4;490.8;490.7;321
2015.05.05;12:00:00;491;490.3;490.6;490.5;109
2015.05.05;16:00:00;490.7;489.8;490.3;490.7;118
2015.05.05;20:00:00;495;488.6;493.2;490.2;2283
2015.05.06;00:00:00;493.9;488.1;489;493.4;2032
2015.05.06;04:00:00;491.1;481.7;482.8;488.7;2978
2015.05.06;08:00:00;482.8;481.5;482.6;482.7;738
2015.05.06;12:00:00;483.3;482.5;483.1;482.7;146
2015.05.06;16:00:00;485.1;483;484.6;483.2;196
2015.05.06;20:00:00;484.7;478;482.2;484.7;3262
2015.05.07;00:00:00;483.7;480.5;481;482.1;1930
2015.05.07;04:00:00;482.1;476.6;477.2;480.9;3108
2015.05.07;08:00:00;477.3;474.9;476.4;477.1;675
2015.05.07;12:00:00;476.8;475.3;476.5;476.3;257
2015.05.07;16:00:00;477.6;476.3;477.3;476.6;258
2015.05.07;20:00:00;477.4;471.4;472.3;477.4;2840
2015.05.08;00:00:00;479.9;469.5;477;472.4;3049
2015.05.08;04:00:00;479.7;476.2;478.9;476.9;2908
2015.05.08;08:00:00;479.1;477.9;478.6;479;381
2015.05.08;12:00:00;479.5;478.5;479.1;478.7;187
2015.05.08;16:00:00;479.7;479;479.4;479;201
2015.05.08;20:00:00;484;478.9;482.6;479.3;2725
2015.05.11;00:00:00;487.9;481.4;486.4;482.7;2174
2015.05.11;04:00:00;491.8;486.2;491.1;486.5;2160
2015.05.11;08:00:00;491.4;489.9;490.1;491;521
2015.05.11;12:00:00;490.1;488.9;489.3;490;249
2015.05.11;16:00:00;489.8;489.1;489.6;489.2;170
2015.05.11;20:00:00;492.3;489.1;489.6;490.4;2430
2015.05.12;00:00:00;492;489.2;491.6;489.7;1629
2015.05.12;04:00:00;493.5;491.2;492.1;491.5;1334
2015.05.12;08:00:00;492.4;490.2;490.6;492;370
2015.05.12;12:00:00;491.3;490.5;491;490.7;176
2015.05.12;16:00:00;491.2;490.3;491.1;491.1;188
2015.05.12;20:00:00;493.1;486;486.8;491.2;2186
2015.05.13;00:00:00;489.1;485.8;487.9;486.7;2474
2015.05.13;04:00:00;490.5;486.2;488.7;487.6;2484
2015.05.13;08:00:00;489.8;488.4;489.4;488.8;535
2015.05.13;12:00:00;490.1;488.7;489.8;489;233
2015.05.13;16:00:00;490.8;489.7;490.3;489.7;223
2015.05.13;20:00:00;492.6;488.5;491.4;490.4;1811
2015.05.14;00:00:00;492.5;489;489.6;491.5;1778
2015.05.14;04:00:00;490.3;484.5;485.7;489.4;2504
2015.05.14;08:00:00;486.5;485;486.1;485.8;555
2015.05.14;12:00:00;485.5;484.5;484.5;485.1;208
2015.05.14;16:00:00;484.7;484;484.4;484.4;188
2015.05.14;20:00:00;487.2;480.8;486.5;484.5;1867
2015.05.15;00:00:00;489.5;484.9;489.3;486.6;1417
2015.05.15;04:00:00;492;489.1;490.7;489.4;1732
2015.05.15;08:00:00;491.1;489.9;490.6;490.8;619
2015.05.15;12:00:00;491.1;490.2;490.7;490.5;160
2015.05.15;16:00:00;490.8;490.3;490.4;490.8;199
2015.05.15;20:00:00;494.9;490.2;494.7;490.5;1679
2015.05.18;00:00:00;495.4;493.8;494.4;494.6;1708
2015.05.18;04:00:00;494.4;488.9;491.2;494.3;2086
2015.05.18;08:00:00;491.5;490.3;490.7;491.3;213
2015.05.18;12:00:00;490.9;490;490.1;490.8;213
2015.05.18;16:00:00;491.4;490;491.4;490;147
2015.05.18;20:00:00;492.8;488.4;489.3;491.7;2199
2015.05.19;00:00:00;489.2;483.8;487.4;489.2;2201
2015.05.19;04:00:00;490.8;486.9;490.7;487.3;1279
2015.05.19;08:00:00;491.3;490.2;491.2;490.8;216
2015.05.19;12:00:00;491.4;491;491.4;491.3;99
2015.05.19;16:00:00;491.9;491.4;491.8;491.5;124
2015.05.19;20:00:00;499;491.1;498.8;491.7;2353
2015.05.20;00:00:00;499.3;496.7;498.8;498.7;1424
2015.05.20;04:00:00;499.6;497.1;498.7;498.7;1651
2015.05.20;08:00:00;499.5;497.6;497.9;498.6;373
2015.05.20;12:00:00;498.3;497.3;498.3;498;185
2015.05.20;16:00:00;498.7;497;498.4;498.4;242
2015.05.20;20:00:00;500.5;497.7;498.6;498.3;1749
2015.05.21;00:00:00;500.2;498.2;499.8;498.7;1005
2015.05.21;04:00:00;502.9;499.5;501.5;499.9;1123
2015.05.21;08:00:00;502.3;501;501.5;501.4;659
2015.05.21;12:00:00;501.4;499.3;500.7;501.3;326
2015.05.21;16:00:00;500.8;500.2;500.7;500.8;184
2015.05.21;20:00:00;501.8;499.3;501.1;500.8;1311
2015.05.22;00:00:00;501.6;499.7;501;501.2;1081
2015.05.22;04:00:00;502.4;500.1;501.8;501.1;1217
2015.05.22;08:00:00;502.5;501.5;502.1;501.9;275
2015.05.22;12:00:00;502.2;501.4;501.4;501.9;161
2015.05.22;16:00:00;503;501.4;502.6;501.5;215
2015.05.22;20:00:00;502.7;500.4;501;502.5;1036
2015.05.25;00:00:00;502.6;499.7;502.4;501.1;1121
2015.05.25;04:00:00;503.2;501;502.1;502.5;995
2015.05.25;08:00:00;502.8;501.6;502.5;502.2;288
2015.05.25;12:00:00;502.6;501;502.5;502.4;207
2015.05.25;16:00:00;503.4;501.6;503.3;502.6;178
2015.05.25;20:00:00;503.2;500.4;500.5;503.1;353
2015.05.26;00:00:00;500.8;498.4;500.3;500.6;161
2015.05.26;04:00:00;501.5;500.3;501;500.4;219
2015.05.26;08:00:00;501;500.3;500.3;500.9;32
2015.05.26;12:00:00;500.5;499.3;499.9;500.2;204
2015.05.26;16:00:00;500.2;499.2;499.6;500;250
2015.05.26;20:00:00;502.7;497.4;500.2;499.7;2504
2015.05.27;00:00:00;501.9;498.9;500.9;500.3;1406
2015.05.27;04:00:00;501.5;494.9;496.3;500.8;2086
2015.05.27;08:00:00;498.2;495.4;497.9;496.2;516
2015.05.27;12:00:00;498.2;497.2;497.7;498;227
2015.05.27;16:00:00;497.9;497.1;497.3;497.8;212
2015.05.27;20:00:00;498.8;496.5;498.2;497.2;1524
2015.05.28;00:00:00;499.3;497;499;498.3;1422
2015.05.28;04:00:00;504.7;498.7;503.2;498.9;2332
2015.05.28;08:00:00;504.6;503.2;503.4;503.3;418
2015.05.28;12:00:00;503.9;503.4;503.8;503.5;143
2015.05.28;16:00:00;504;503.1;503.1;503.9;199
2015.05.28;20:00:00;504.4;502.3;504.4;503;1513
2015.05.29;00:00:00;504.7;502.7;503.4;504.3;1289
2015.05.29;04:00:00;504.1;499.6;501.6;503.3;1879
2015.05.29;08:00:00;503.2;501.3;503.1;501.7;292
2015.05.29;12:00:00;503.2;502.5;503.2;503.2;101
2015.05.29;16:00:00;503.2;502.4;502.9;503.1;163
2015.05.29;20:00:00;503.1;497.5;499;503;1889
2015.06.01;00:00:00;501.3;496.6;497.7;499.1;1814
2015.06.01;04:00:00;498.6;492.7;495.1;497.6;2925
2015.06.01;08:00:00;495.7;494;495.2;495.2;579
2015.06.01;12:00:00;495.8;494.4;495.6;495;349
2015.06.01;16:00:00;496.7;495.4;496.4;495.5;228
2015.06.01;20:00:00;498.9;491.1;491.7;496.5;2463
2015.06.02;00:00:00;496.3;491.3;492.7;491.8;2059
2015.06.02;04:00:00;493.8;491.5;493.4;492.9;1683
2015.06.02;08:00:00;493.9;492.7;493.6;493.3;271
2015.06.02;12:00:00;494;493.3;493.8;493.5;165
2015.06.02;16:00:00;494.2;492.9;493;493.9;295
2015.06.02;20:00:00;493.9;485.3;486.1;492.9;1876
2015.06.03;00:00:00;490.7;485.6;488.8;486;2550
2015.06.03;04:00:00;488.8;485.5;487.1;488.7;2679
2015.06.03;08:00:00;487.8;485.5;485.7;487.2;407
2015.06.03;12:00:00;486.2;485.6;486.1;485.6;172
2015.06.03;16:00:00;486.2;485.7;486;486.2;179
2015.06.03;20:00:00;488.3;485.1;486.5;485.9;1956
2015.06.04;00:00:00;492.7;486.1;490.7;486.4;2129
2015.06.04;04:00:00;490.9;486;487.2;490.6;2911
2015.06.04;08:00:00;487.5;485.8;486.3;487.1;496
2015.06.04;12:00:00;486.7;485.5;485.6;486.2;162
2015.06.04;16:00:00;486;485;485.7;485.7;219
2015.06.04;20:00:00;486.2;478.2;480.2;485.6;2985
2015.06.05;00:00:00;484.9;479.3;484.3;480.3;2456
2015.06.05;04:00:00;489.5;483.6;483.9;484.2;2948
2015.06.05;08:00:00;483.9;480.9;482.9;483.8;1175
2015.06.05;12:00:00;483.2;482.4;482.9;483;217
2015.06.05;16:00:00;483;482.1;482.4;483;189
2015.06.05;20:00:00;483.3;478.5;479.9;482.5;2658
2015.06.08;00:00:00;480.9;476.8;480;479.8;2597
2015.06.08;04:00:00;482.2;478.5;479.4;480.1;3090
2015.06.08;08:00:00;480.1;479.1;480;479.5;388
2015.06.08;12:00:00;480.6;478.6;479.4;480.1;323
2015.06.08;16:00:00;480.2;478.8;480;479.3;231
2015.06.08;20:00:00;480.8;474.8;476.5;480.2;2923
2015.06.09;00:00:00;477.5;474.6;475.4;476.4;2370
2015.06.09;04:00:00;477.1;472.4;472.6;475.3;1775
2015.06.09;08:00:00;474;471.9;473.2;472.5;475
2015.06.09;12:00:00;474.1;473;474;473;219
2015.06.09;16:00:00;474.1;473;473.7;473.9;221
2015.06.09;20:00:00;475;471.6;472.2;473.6;2086
2015.06.10;00:00:00;474.9;468.5;474.2;472.1;2494
2015.06.10;04:00:00;474.8;470.7;474;474.1;2459
2015.06.10;08:00:00;474.6;472.6;473.5;473.9;473
2015.06.10;12:00:00;474;473;473.9;473.6;194
2015.06.10;16:00:00;474.2;473.5;473.6;473.8;207
2015.06.10;20:00:00;475.5;471.5;474.9;473.5;2302
2015.06.11;00:00:00;478.3;474.4;476.5;474.8;1947
2015.06.11;04:00:00;483.1;475.9;481.3;476.4;2142
2015.06.11;08:00:00;482;480.5;481.5;481.2;509
2015.06.11;12:00:00;481.6;480.3;481.1;481.4;177
2015.06.11;16:00:00;481.1;480.2;480.6;481;111
2015.06.11;20:00:00;484.5;479.3;483.7;480.7;2016
