DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.07.02;08:00:00;2.818;2.797;2.812;2.803;34
2015.07.02;12:00:00;2.815;2.796;2.806;2.812;33
2015.07.02;16:00:00;2.804;2.771;2.774;2.804;37
2015.07.02;20:00:00;2.837;2.764;2.767;2.774;140
2015.07.03;00:00:00;2.798;2.743;2.756;2.766;101
2015.07.03;04:00:00;2.787;2.749;2.786;2.755;46
2015.07.03;08:00:00;2.792;2.778;2.792;2.778;15
2015.07.03;12:00:00;2.797;2.79;2.796;2.793;12
2015.07.03;16:00:00;2.825;2.79;2.823;2.795;43
2015.07.03;20:00:00;2.825;2.79;2.814;2.824;61
2015.07.06;00:00:00;2.867;2.797;2.821;2.814;134
2015.07.06;04:00:00;2.827;2.798;2.816;2.822;53
2015.07.06;08:00:00;2.829;2.811;2.82;2.819;36
2015.07.06;12:00:00;2.824;2.82;2.821;2.82;8
2015.07.06;16:00:00;2.838;2.819;2.825;2.822;36
2015.07.06;20:00:00;2.827;2.773;2.773;2.824;58
2015.07.07;00:00:00;2.779;2.744;2.762;2.772;61
2015.07.07;04:00:00;2.765;2.753;2.755;2.754;24
2015.07.07;08:00:00;2.755;2.732;2.732;2.754;25
2015.07.07;12:00:00;2.748;2.719;2.724;2.733;50
2015.07.07;16:00:00;2.75;2.714;2.743;2.725;55
2015.07.07;20:00:00;2.766;2.738;2.74;2.743;54
2015.07.08;00:00:00;2.75;2.733;2.738;2.739;34
2015.07.08;04:00:00;2.751;2.736;2.75;2.74;21
2015.07.08;08:00:00;2.759;2.748;2.755;2.75;18
2015.07.08;12:00:00;2.758;2.736;2.745;2.755;35
2015.07.08;16:00:00;2.782;2.692;2.697;2.746;132
2015.07.08;20:00:00;2.709;2.672;2.697;2.696;74
2015.07.09;00:00:00;2.711;2.694;2.708;2.696;23
2015.07.09;04:00:00;2.721;2.699;2.7;2.711;34
2015.07.09;08:00:00;2.7;2.682;2.69;2.699;28
2015.07.09;12:00:00;2.724;2.69;2.716;2.69;43
2015.07.09;16:00:00;2.738;2.697;2.708;2.715;76
2015.07.09;20:00:00;2.72;2.666;2.671;2.707;73
2015.07.10;00:00:00;2.675;2.659;2.668;2.67;31
2015.07.10;04:00:00;2.67;2.663;2.667;2.667;15
2015.07.10;08:00:00;2.679;2.667;2.676;2.667;16
2015.07.10;12:00:00;2.681;2.662;2.665;2.675;29
2015.07.10;16:00:00;2.685;2.656;2.679;2.666;46
2015.07.10;20:00:00;2.707;2.63;2.702;2.678;131
2015.07.13;00:00:00;2.72;2.701;2.712;2.703;30
2015.07.13;04:00:00;2.721;2.706;2.716;2.712;27
2015.07.13;08:00:00;2.727;2.715;2.725;2.717;17
2015.07.13;12:00:00;2.728;2.718;2.722;2.726;17
2015.07.13;16:00:00;2.773;2.714;2.756;2.723;86
2015.07.13;20:00:00;2.788;2.748;2.763;2.754;72
2015.07.14;00:00:00;2.764;2.742;2.755;2.762;38
2015.07.14;04:00:00;2.8;2.786;2.786;2.799;16
2015.07.14;08:00:00;2.793;2.778;2.783;2.787;27
2015.07.14;12:00:00;2.792;2.772;2.785;2.784;40
2015.07.14;16:00:00;2.837;2.77;2.821;2.786;100
2015.07.14;20:00:00;2.865;2.82;2.837;2.82;74
2015.07.15;00:00:00;2.854;2.825;2.848;2.838;49
2015.07.15;04:00:00;2.859;2.851;2.854;2.851;14
2015.07.15;08:00:00;2.862;2.851;2.851;2.855;19
2015.07.15;12:00:00;2.859;2.837;2.859;2.852;38
2015.07.15;16:00:00;2.915;2.846;2.861;2.859;137
2015.07.15;20:00:00;2.874;2.806;2.843;2.863;117
2015.07.16;00:00:00;2.845;2.813;2.826;2.842;49
2015.07.16;04:00:00;2.836;2.821;2.825;2.828;28
2015.07.16;08:00:00;2.826;2.816;2.823;2.825;19
2015.07.16;12:00:00;2.842;2.815;2.837;2.823;41
2015.07.16;16:00:00;2.897;2.835;2.875;2.839;89
2015.07.16;20:00:00;2.911;2.857;2.89;2.874;93
2015.07.17;00:00:00;2.905;2.878;2.897;2.89;48
2015.07.17;04:00:00;2.907;2.895;2.899;2.897;23
2015.07.17;08:00:00;2.912;2.899;2.91;2.9;17
2015.07.17;12:00:00;2.911;2.888;2.892;2.91;29
2015.07.17;16:00:00;2.908;2.869;2.876;2.893;62
2015.07.17;20:00:00;2.9;2.825;2.834;2.876;109
2015.07.20;00:00:00;2.847;2.829;2.844;2.834;27
2015.07.20;04:00:00;2.868;2.84;2.864;2.841;34
2015.07.20;08:00:00;2.87;2.842;2.845;2.865;37
2015.07.20;12:00:00;2.869;2.829;2.868;2.844;57
2015.07.20;16:00:00;2.879;2.809;2.841;2.868;114
2015.07.20;20:00:00;2.852;2.819;2.833;2.84;60
2015.07.21;00:00:00;2.869;2.832;2.865;2.833;43
2015.07.21;04:00:00;2.839;2.811;2.816;2.825;48
2015.07.21;08:00:00;2.819;2.813;2.816;2.816;13
2015.07.21;12:00:00;2.82;2.811;2.818;2.817;18
2015.07.21;16:00:00;2.842;2.777;2.79;2.82;101
2015.07.21;20:00:00;2.863;2.786;2.811;2.789;133
2015.07.22;00:00:00;2.822;2.8;2.817;2.809;37
2015.07.22;04:00:00;2.825;2.812;2.817;2.823;21
2015.07.22;08:00:00;2.823;2.817;2.822;2.817;8
2015.07.22;12:00:00;2.835;2.817;2.829;2.823;31
2015.07.22;16:00:00;2.873;2.828;2.861;2.828;58
2015.07.22;20:00:00;2.873;2.849;2.865;2.86;44
2015.07.23;00:00:00;2.881;2.864;2.874;2.866;27
2015.07.23;04:00:00;2.879;2.87;2.87;2.877;12
2015.07.23;08:00:00;2.873;2.863;2.869;2.871;19
2015.07.23;12:00:00;2.876;2.854;2.858;2.87;33
2015.07.23;16:00:00;2.903;2.844;2.862;2.857;114
2015.07.23;20:00:00;2.889;2.835;2.887;2.862;84
2015.07.24;00:00:00;2.894;2.87;2.883;2.888;44
2015.07.24;04:00:00;2.888;2.876;2.882;2.886;21
2015.07.24;08:00:00;2.883;2.866;2.87;2.882;23
2015.07.24;12:00:00;2.887;2.869;2.879;2.87;28
2015.07.24;16:00:00;2.905;2.869;2.9;2.875;48
2015.07.24;20:00:00;2.938;2.807;2.809;2.9;172
2015.07.27;00:00:00;2.818;2.788;2.792;2.808;45
2015.07.27;04:00:00;2.799;2.785;2.789;2.793;25
2015.07.27;08:00:00;2.8;2.778;2.789;2.787;43
2015.07.27;12:00:00;2.8;2.764;2.768;2.789;52
2015.07.27;16:00:00;2.785;2.759;2.771;2.769;51
2015.07.27;20:00:00;2.79;2.759;2.766;2.771;58
2015.07.28;00:00:00;2.773;2.755;2.764;2.767;34
2015.07.28;04:00:00;2.733;2.718;2.729;2.728;30
2015.07.28;08:00:00;2.737;2.729;2.737;2.73;10
2015.07.28;12:00:00;2.751;2.736;2.745;2.737;23
2015.07.28;16:00:00;2.798;2.734;2.796;2.744;77
2015.07.28;20:00:00;2.799;2.766;2.779;2.795;51
2015.07.29;00:00:00;2.781;2.765;2.778;2.78;31
2015.07.29;04:00:00;2.778;2.764;2.765;2.775;19
2015.07.29;08:00:00;2.778;2.764;2.771;2.765;23
2015.07.29;12:00:00;2.786;2.758;2.781;2.772;48
2015.07.29;16:00:00;2.803;2.767;2.797;2.782;58
2015.07.29;20:00:00;2.829;2.768;2.794;2.798;119
2015.07.30;00:00:00;2.814;2.785;2.81;2.793;42
2015.07.30;04:00:00;2.821;2.805;2.814;2.81;29
2015.07.30;08:00:00;2.821;2.808;2.819;2.814;22
2015.07.30;12:00:00;2.838;2.809;2.835;2.819;43
2015.07.30;16:00:00;2.847;2.804;2.831;2.836;82
2015.07.30;20:00:00;2.851;2.815;2.841;2.83;62
2015.07.31;00:00:00;2.848;2.836;2.84;2.841;24
2015.07.31;04:00:00;2.864;2.838;2.855;2.838;36
2015.07.31;08:00:00;2.861;2.851;2.853;2.857;17
2015.07.31;12:00:00;2.861;2.825;2.831;2.854;50
2015.07.31;16:00:00;2.838;2.787;2.794;2.831;66
2015.07.31;20:00:00;2.817;2.75;2.756;2.793;98
2015.08.03;00:00:00;2.764;2.746;2.764;2.757;30
2015.08.03;04:00:00;2.771;2.756;2.757;2.765;23
2015.08.03;08:00:00;2.767;2.757;2.758;2.757;20
2015.08.03;12:00:00;2.767;2.755;2.763;2.759;21
2015.08.03;16:00:00;2.769;2.737;2.755;2.763;57
2015.08.03;20:00:00;2.754;2.695;2.695;2.754;60
2015.08.04;00:00:00;2.705;2.689;2.695;2.696;32
2015.08.04;04:00:00;2.727;2.702;2.724;2.708;35
2015.08.04;08:00:00;2.734;2.719;2.733;2.723;21
2015.08.04;12:00:00;2.747;2.732;2.743;2.734;22
2015.08.04;16:00:00;2.768;2.708;2.708;2.744;85
2015.08.04;20:00:00;2.727;2.69;2.718;2.708;65
2015.08.05;00:00:00;2.746;2.719;2.735;2.719;39
2015.08.05;04:00:00;2.746;2.735;2.746;2.74;17
2015.08.05;08:00:00;2.766;2.747;2.765;2.747;21
2015.08.05;12:00:00;2.776;2.757;2.774;2.765;30
2015.08.05;16:00:00;2.803;2.767;2.787;2.773;59
2015.08.05;20:00:00;2.794;2.76;2.765;2.786;48
2015.08.06;00:00:00;2.799;2.758;2.796;2.765;52
2015.08.06;04:00:00;2.799;2.784;2.797;2.792;26
2015.08.06;08:00:00;2.798;2.794;2.794;2.795;8
2015.08.06;12:00:00;2.809;2.794;2.807;2.794;18
2015.08.06;16:00:00;2.845;2.795;2.831;2.808;78
2015.08.06;20:00:00;2.833;2.785;2.788;2.831;54
2015.08.07;00:00:00;2.79;2.763;2.766;2.788;33
2015.08.07;04:00:00;2.769;2.762;2.763;2.765;13
2015.08.07;08:00:00;2.762;2.748;2.748;2.762;15
2015.08.07;12:00:00;2.752;2.742;2.747;2.747;21
2015.08.07;16:00:00;2.759;2.713;2.72;2.748;65
2015.08.07;20:00:00;2.819;2.717;2.803;2.719;121
2015.08.10;00:00:00;2.804;2.786;2.788;2.804;21
2015.08.10;04:00:00;2.806;2.785;2.794;2.788;37
2015.08.10;08:00:00;2.805;2.795;2.801;2.795;15
2015.08.10;12:00:00;2.802;2.791;2.797;2.8;20
2015.08.10;16:00:00;2.804;2.766;2.787;2.798;66
2015.08.10;20:00:00;2.799;2.743;2.784;2.786;111
