DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.09.29;16:00:00;2.628;2.59;2.607;2.625;954
2015.09.29;20:00:00;2.61;2.566;2.576;2.606;971
2015.09.30;00:00:00;2.58;2.564;2.569;2.574;371
2015.09.30;04:00:00;2.571;2.565;2.569;2.566;115
2015.09.30;08:00:00;2.582;2.569;2.581;2.57;222
2015.09.30;12:00:00;2.592;2.569;2.591;2.58;532
2015.09.30;16:00:00;2.594;2.537;2.541;2.592;1131
2015.09.30;20:00:00;2.544;2.494;2.505;2.54;1065
2015.10.01;00:00:00;2.521;2.501;2.504;2.506;633
2015.10.01;04:00:00;2.517;2.497;2.513;2.503;302
2015.10.01;08:00:00;2.523;2.51;2.518;2.513;355
2015.10.01;12:00:00;2.519;2.502;2.51;2.517;452
2015.10.01;16:00:00;2.513;2.459;2.46;2.51;1010
2015.10.01;20:00:00;2.489;2.424;2.424;2.459;2034
2015.10.02;00:00:00;2.429;2.404;2.414;2.425;717
2015.10.02;04:00:00;2.418;2.401;2.403;2.412;349
2015.10.02;08:00:00;2.407;2.401;2.403;2.403;160
2015.10.02;12:00:00;2.412;2.401;2.401;2.404;333
2015.10.02;16:00:00;2.431;2.386;2.416;2.4;1357
2015.10.02;20:00:00;2.446;2.407;2.436;2.418;1198
2015.10.05;00:00:00;2.454;2.427;2.451;2.435;532
2015.10.05;04:00:00;2.454;2.434;2.449;2.434;194
2015.10.05;08:00:00;2.451;2.446;2.446;2.45;82
2015.10.05;12:00:00;2.451;2.444;2.446;2.446;172
2015.10.05;16:00:00;2.464;2.411;2.461;2.446;1111
2015.10.05;20:00:00;2.473;2.43;2.435;2.46;1347
2015.10.06;00:00:00;2.445;2.425;2.438;2.437;472
2015.10.06;04:00:00;2.447;2.439;2.44;2.442;127
2015.10.06;08:00:00;2.453;2.439;2.451;2.441;192
2015.10.06;12:00:00;2.47;2.439;2.463;2.451;602
2015.10.06;16:00:00;2.467;2.419;2.432;2.465;1262
2015.10.06;20:00:00;2.468;2.429;2.449;2.431;1756
2015.10.07;00:00:00;2.462;2.445;2.459;2.448;597
2015.10.07;04:00:00;2.459;2.438;2.44;2.459;247
2015.10.07;08:00:00;2.443;2.438;2.44;2.441;115
2015.10.07;12:00:00;2.453;2.44;2.452;2.441;402
2015.10.07;16:00:00;2.513;2.445;2.505;2.451;1252
2015.10.07;20:00:00;2.51;2.461;2.475;2.506;1697
2015.10.08;00:00:00;2.479;2.455;2.455;2.474;705
2015.10.08;04:00:00;2.466;2.452;2.459;2.454;355
2015.10.08;08:00:00;2.464;2.457;2.46;2.458;101
2015.10.08;12:00:00;2.461;2.445;2.453;2.459;607
2015.10.08;16:00:00;2.483;2.435;2.474;2.451;1257
2015.10.08;20:00:00;2.51;2.468;2.478;2.474;2077
2015.10.09;00:00:00;2.486;2.468;2.47;2.479;538
2015.10.09;04:00:00;2.474;2.458;2.466;2.469;551
2015.10.09;08:00:00;2.471;2.454;2.469;2.466;420
2015.10.09;12:00:00;2.477;2.461;2.476;2.464;818
2015.10.09;16:00:00;2.493;2.459;2.484;2.476;1358
2015.10.09;20:00:00;2.504;2.472;2.498;2.485;1039
2015.10.12;00:00:00;2.504;2.482;2.501;2.497;599
2015.10.12;04:00:00;2.538;2.494;2.511;2.503;560
2015.10.12;08:00:00;2.52;2.51;2.52;2.513;185
2015.10.12;12:00:00;2.523;2.508;2.51;2.519;305
2015.10.12;16:00:00;2.527;2.495;2.507;2.509;1189
2015.10.12;20:00:00;2.528;2.492;2.519;2.506;994
2015.10.13;00:00:00;2.531;2.516;2.525;2.521;351
2015.10.13;04:00:00;2.536;2.523;2.533;2.524;147
2015.10.13;08:00:00;2.534;2.519;2.519;2.534;124
2015.10.13;12:00:00;2.523;2.5;2.5;2.52;155
2015.10.13;16:00:00;2.536;2.486;2.53;2.498;1042
2015.10.13;20:00:00;2.535;2.469;2.484;2.529;1262
2015.10.14;00:00:00;2.491;2.475;2.48;2.485;387
2015.10.14;04:00:00;2.481;2.471;2.478;2.481;182
2015.10.14;08:00:00;2.486;2.474;2.474;2.479;268
2015.10.14;12:00:00;2.476;2.46;2.463;2.473;466
2015.10.14;16:00:00;2.505;2.456;2.493;2.462;1429
2015.10.14;20:00:00;2.518;2.475;2.491;2.492;1361
2015.10.15;00:00:00;2.522;2.484;2.52;2.49;659
2015.10.15;04:00:00;2.526;2.509;2.518;2.517;521
2015.10.15;08:00:00;2.519;2.499;2.504;2.519;580
2015.10.15;12:00:00;2.52;2.5;2.514;2.503;440
2015.10.15;16:00:00;2.558;2.506;2.545;2.513;1377
2015.10.15;20:00:00;2.559;2.436;2.446;2.546;2383
2015.10.16;00:00:00;2.45;2.432;2.433;2.447;566
2015.10.16;04:00:00;2.449;2.435;2.443;2.436;285
2015.10.16;08:00:00;2.447;2.426;2.426;2.443;446
2015.10.16;12:00:00;2.43;2.41;2.412;2.425;706
2015.10.16;16:00:00;2.432;2.392;2.417;2.412;1619
2015.10.16;20:00:00;2.419;2.398;2.41;2.416;1560
2015.10.19;00:00:00;2.417;2.403;2.406;2.409;706
2015.10.19;04:00:00;2.459;2.435;2.437;2.447;318
2015.10.19;08:00:00;2.442;2.428;2.433;2.438;207
2015.10.19;12:00:00;2.445;2.431;2.441;2.434;584
2015.10.19;16:00:00;2.46;2.435;2.444;2.44;1172
2015.10.19;20:00:00;2.462;2.428;2.431;2.444;1708
2015.10.20;00:00:00;2.44;2.418;2.439;2.43;469
2015.10.20;04:00:00;2.445;2.429;2.438;2.436;126
2015.10.20;08:00:00;2.465;2.427;2.461;2.437;475
