DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;0.92566;0.92251;0.92415;0.92469;25078
2015.04.27;16:00:00;0.92651;0.92193;0.92542;0.92416;34880
2015.04.27;20:00:00;0.92574;0.92311;0.92345;0.92543;18426
2015.04.28;00:00:00;0.92405;0.92174;0.92313;0.9233;9735
2015.04.28;04:00:00;0.9239;0.92216;0.92237;0.92313;12913
2015.04.28;08:00:00;0.92772;0.92234;0.92745;0.92236;26898
2015.04.28;12:00:00;0.92805;0.92547;0.92691;0.9275;31461
2015.04.28;16:00:00;0.93082;0.92665;0.92871;0.92692;39615
2015.04.28;20:00:00;0.92959;0.92676;0.92683;0.92872;20359
2015.04.29;00:00:00;0.93059;0.92532;0.92858;0.92536;11970
2015.04.29;04:00:00;0.92862;0.9254;0.92587;0.92848;14795
2015.04.29;08:00:00;0.92737;0.92553;0.92598;0.92586;26166
2015.04.29;12:00:00;0.928;0.92321;0.92463;0.92598;33973
2015.04.29;16:00:00;0.92584;0.92243;0.9253;0.92464;51046
2015.04.29;20:00:00;0.92779;0.92146;0.92146;0.92529;31841
2015.04.30;00:00:00;0.92218;0.91202;0.91579;0.92176;13933
2015.04.30;04:00:00;0.91686;0.91556;0.91605;0.9158;15367
2015.04.30;08:00:00;0.91632;0.91257;0.915;0.91605;35454
2015.04.30;12:00:00;0.91733;0.91102;0.91456;0.91504;35878
2015.04.30;16:00:00;0.92359;0.91404;0.92025;0.91456;45099
2015.04.30;20:00:00;0.9239;0.91815;0.91891;0.92027;23300
2015.05.01;00:00:00;0.91992;0.91674;0.91836;0.91896;10241
2015.05.01;04:00:00;0.91944;0.91559;0.91679;0.91835;12740
2015.05.01;08:00:00;0.91819;0.91525;0.91683;0.91679;19916
2015.05.01;12:00:00;0.91918;0.91607;0.91799;0.91683;23972
2015.05.01;16:00:00;0.92033;0.91478;0.91633;0.91797;38413
2015.05.01;20:00:00;0.91776;0.91448;0.91687;0.91632;14192
2015.05.04;00:00:00;0.91617;0.91361;0.91391;0.91454;9051
2015.05.04;04:00:00;0.91648;0.91367;0.9158;0.91392;12209
2015.05.04;08:00:00;0.91699;0.91418;0.91515;0.91576;19303
2015.05.04;12:00:00;0.91553;0.91068;0.9113;0.91515;20757
2015.05.04;16:00:00;0.91407;0.91083;0.91153;0.91132;23740
2015.05.04;20:00:00;0.91256;0.9093;0.91076;0.91153;11460
2015.05.05;00:00:00;0.91295;0.91007;0.91242;0.91086;9701
2015.05.05;04:00:00;0.91494;0.91111;0.9139;0.9124;17447
2015.05.05;08:00:00;0.91486;0.9089;0.90946;0.9139;27436
2015.05.05;12:00:00;0.90985;0.90531;0.90643;0.90946;28687
2015.05.05;16:00:00;0.91095;0.90331;0.9108;0.90641;38153
2015.05.05;20:00:00;0.91315;0.91083;0.91157;0.91083;14586
2015.05.06;00:00:00;0.91286;0.90243;0.90317;0.91155;15615
2015.05.06;04:00:00;0.90326;0.89916;0.90039;0.90315;18916
2015.05.06;08:00:00;0.90419;0.89913;0.90077;0.90039;29223
2015.05.06;12:00:00;0.90288;0.89836;0.90258;0.90076;31148
2015.05.06;16:00:00;0.9032;0.90033;0.90165;0.90261;41790
2015.05.06;20:00:00;0.90453;0.90137;0.90255;0.9016;19403
2015.05.07;00:00:00;0.90361;0.90061;0.90326;0.90257;15490
2015.05.07;04:00:00;0.90612;0.90209;0.90313;0.90326;20288
2015.05.07;08:00:00;0.90529;0.90198;0.9023;0.90313;27286
2015.05.07;12:00:00;0.90507;0.90038;0.90229;0.9023;30593
2015.05.07;16:00:00;0.90514;0.90207;0.90397;0.90227;33714
2015.05.07;20:00:00;0.90478;0.90154;0.90289;0.90397;18543
2015.05.08;00:00:00;0.9037;0.89969;0.90106;0.90282;13113
2015.05.08;04:00:00;0.90273;0.89859;0.90249;0.90104;19681
2015.05.08;08:00:00;0.90285;0.8982;0.89897;0.90248;25164
2015.05.08;12:00:00;0.90398;0.89771;0.90365;0.89896;30994
2015.05.08;16:00:00;0.90647;0.90202;0.90556;0.90364;38943
2015.05.08;20:00:00;0.90574;0.90241;0.90391;0.90557;14265
2015.05.11;00:00:00;0.90223;0.89517;0.89601;0.90216;10462
2015.05.11;04:00:00;0.89671;0.8942;0.89514;0.89602;17864
2015.05.11;08:00:00;0.89744;0.8939;0.89589;0.8951;22346
2015.05.11;12:00:00;0.89677;0.89142;0.89202;0.89587;21947
2015.05.11;16:00:00;0.8927;0.88723;0.88937;0.89203;30459
2015.05.11;20:00:00;0.88954;0.88676;0.887;0.88938;12918
2015.05.12;00:00:00;0.88842;0.88678;0.8873;0.88711;8856
2015.05.12;04:00:00;0.89054;0.88705;0.88965;0.8873;14582
2015.05.12;08:00:00;0.89072;0.88744;0.88802;0.88966;28975
2015.05.12;12:00:00;0.89075;0.88572;0.88582;0.88801;31399
2015.05.12;16:00:00;0.88734;0.88215;0.88225;0.88586;30332
2015.05.12;20:00:00;0.88516;0.88207;0.88413;0.88225;15910
2015.05.13;00:00:00;0.89039;0.87883;0.88764;0.8842;13964
2015.05.13;04:00:00;0.88953;0.88422;0.88813;0.88766;18631
2015.05.13;08:00:00;0.89134;0.88716;0.88926;0.88815;24145
2015.05.13;12:00:00;0.89567;0.88922;0.89459;0.8893;31836
