DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;90.768;90.49;90.673;90.534;24004
2015.04.27;16:00:00;91.194;90.674;90.944;90.674;30267
2015.04.27;20:00:00;91.061;90.85;90.955;90.945;15812
2015.04.28;00:00:00;91.016;90.761;90.92;90.937;11037
2015.04.28;04:00:00;90.954;90.727;90.727;90.922;13803
2015.04.28;08:00:00;91.285;90.699;91.262;90.727;25481
2015.04.28;12:00:00;91.536;91.127;91.454;91.257;28429
2015.04.28;16:00:00;91.962;91.43;91.856;91.454;34717
2015.04.28;20:00:00;91.903;91.583;91.583;91.856;16784
2015.04.29;00:00:00;91.923;91.522;91.643;91.522;12427
2015.04.29;04:00:00;91.663;91.356;91.419;91.636;14779
2015.04.29;08:00:00;91.867;91.411;91.807;91.418;25106
2015.04.29;12:00:00;91.87;91.452;91.71;91.804;32465
2015.04.29;16:00:00;92.042;91.592;91.742;91.711;47702
2015.04.29;20:00:00;91.833;91.192;91.192;91.742;30294
2015.04.30;00:00:00;91.303;90.405;90.677;91.287;16519
2015.04.30;04:00:00;90.767;90.241;90.342;90.68;22035
2015.04.30;08:00:00;90.6;89.94;90.436;90.342;36911
2015.04.30;12:00:00;90.67;90.331;90.611;90.438;33667
2015.04.30;16:00:00;91.123;90.536;91.038;90.609;42201
2015.04.30;20:00:00;91.191;90.828;90.851;91.037;20013
2015.05.01;00:00:00;91.011;90.711;90.915;90.845;10860
2015.05.01;04:00:00;91.005;90.558;90.724;90.915;10716
2015.05.01;08:00:00;90.954;90.638;90.782;90.725;17573
2015.05.01;12:00:00;90.994;90.606;90.747;90.781;21734
2015.05.01;16:00:00;90.832;90.222;90.458;90.747;34518
2015.05.01;20:00:00;90.651;90.35;90.57;90.457;12303
2015.05.04;00:00:00;90.591;90.16;90.219;90.443;8923
2015.05.04;04:00:00;90.422;90.178;90.351;90.22;12270
2015.05.04;08:00:00;90.552;90.314;90.507;90.351;17119
2015.05.04;12:00:00;90.591;90.435;90.499;90.505;16876
2015.05.04;16:00:00;90.698;90.404;90.422;90.5;19059
2015.05.04;20:00:00;90.536;90.32;90.488;90.423;9327
2015.05.05;00:00:00;90.63;90.392;90.552;90.488;9008
2015.05.05;04:00:00;90.741;90.328;90.566;90.55;15949
2015.05.05;08:00:00;90.699;90.248;90.291;90.564;26856
2015.05.05;12:00:00;90.46;90.176;90.313;90.292;28167
2015.05.05;16:00:00;90.767;90.212;90.683;90.315;37145
2015.05.05;20:00:00;90.737;90.499;90.531;90.685;13188
2015.05.06;00:00:00;90.676;89.602;89.67;90.533;14783
