DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;0.76103;0.75907;0.7597;0.75973;16111
2015.04.27;16:00:00;0.76645;0.75967;0.76477;0.75971;20463
2015.04.27;20:00:00;0.76529;0.76326;0.7643;0.76478;12441
2015.04.28;00:00:00;0.76449;0.76217;0.76323;0.76411;9267
2015.04.28;04:00:00;0.76395;0.76187;0.76187;0.76323;9377
2015.04.28;08:00:00;0.76702;0.76154;0.76681;0.76184;17306
2015.04.28;12:00:00;0.76974;0.76581;0.76839;0.76681;19915
2015.04.28;16:00:00;0.774;0.76808;0.77245;0.76839;24709
2015.04.28;20:00:00;0.77297;0.77114;0.77114;0.77243;13870
2015.04.29;00:00:00;0.77353;0.77025;0.77156;0.77028;10447
2015.04.29;04:00:00;0.77165;0.76857;0.76919;0.7715;12337
2015.04.29;08:00:00;0.77156;0.76906;0.77037;0.7692;16925
2015.04.29;12:00:00;0.77242;0.76702;0.76945;0.77037;19997
2015.04.29;16:00:00;0.77432;0.76854;0.77287;0.76942;33263
2015.04.29;20:00:00;0.77391;0.76768;0.76798;0.77285;22997
2015.04.30;00:00:00;0.76758;0.75918;0.76229;0.76752;11776
2015.04.30;04:00:00;0.7634;0.76115;0.76178;0.76231;11705
2015.04.30;08:00:00;0.76244;0.75739;0.76097;0.76178;23264
2015.04.30;12:00:00;0.76209;0.75835;0.75978;0.76097;21910
2015.04.30;16:00:00;0.76237;0.75782;0.76114;0.75977;27291
2015.04.30;20:00:00;0.76395;0.76069;0.7616;0.76116;13609
2015.05.01;00:00:00;0.76253;0.75946;0.76;0.76152;8704
2015.05.01;04:00:00;0.76074;0.75679;0.75858;0.75999;8477
2015.05.01;08:00:00;0.75973;0.7567;0.75808;0.75858;12758
2015.05.01;12:00:00;0.75987;0.7565;0.75699;0.75821;15091
2015.05.01;16:00:00;0.75802;0.75053;0.75237;0.75702;23416
2015.05.01;20:00:00;0.75399;0.75152;0.75392;0.75239;7937
2015.05.04;00:00:00;0.75384;0.75069;0.751;0.75244;9033
2015.05.04;04:00:00;0.75301;0.75079;0.75259;0.75099;9749
2015.05.04;08:00:00;0.75436;0.75196;0.75366;0.75256;12222
2015.05.04;12:00:00;0.75413;0.75227;0.75373;0.75365;11364
2015.05.04;16:00:00;0.75564;0.75228;0.75276;0.75373;11521
2015.05.04;20:00:00;0.7537;0.75197;0.75341;0.75275;6261
2015.05.05;00:00:00;0.75451;0.75275;0.7538;0.75357;9627
2015.05.05;04:00:00;0.7554;0.75198;0.75438;0.75378;13834
2015.05.05;08:00:00;0.75561;0.75046;0.75079;0.75435;18835
