DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;57.49;57.31;57.42;57.47;32
2015.04.27;16:00:00;57.91;57.32;57.59;57.41;101
2015.04.27;20:00:00;57.85;56.68;56.9;57.58;167
2015.04.28;00:00:00;57.37;56.48;56.76;56.89;166
2015.04.28;04:00:00;57.29;56.7;57.26;56.78;71
2015.04.28;08:00:00;57.41;57.07;57.09;57.28;50
2015.04.28;12:00:00;57.12;56.84;57.02;57.09;50
2015.04.28;16:00:00;57.28;56.69;56.79;57.01;97
2015.04.28;20:00:00;57.68;56.7;57.37;56.79;139
2015.04.29;00:00:00;57.85;56.54;56.68;57.55;176
2015.04.29;04:00:00;57.01;56.51;56.63;56.7;94
2015.04.29;08:00:00;56.75;56.05;56.17;56.62;96
2015.04.29;12:00:00;56.3;56.1;56.22;56.15;34
2015.04.29;16:00:00;56.87;56.22;56.79;56.23;75
2015.04.29;20:00:00;57.23;56.53;57.15;56.8;106
2015.04.30;00:00:00;57.8;56.76;57.14;57.16;207
2015.04.30;04:00:00;57.28;56.82;56.9;57.15;68
2015.04.30;08:00:00;56.94;56.77;56.82;56.9;27
2015.04.30;12:00:00;56.92;56.79;56.9;56.81;18
2015.04.30;16:00:00;56.93;56.52;56.7;56.9;63
2015.04.30;20:00:00;57.33;56.6;57.29;56.69;87
2015.05.01;00:00:00;59.31;57.15;58.9;57.28;271
2015.05.01;04:00:00;58.93;58.3;58.51;58.89;89
2015.05.01;08:00:00;58.68;58.35;58.59;58.51;59
2015.05.01;12:00:00;58.71;58.48;58.52;58.58;41
2015.05.01;16:00:00;59.36;58.42;58.89;58.53;153
2015.05.01;20:00:00;59.26;58.4;58.68;58.88;153
2015.05.04;00:00:00;59.61;58.45;59.45;58.73;161
2015.05.04;04:00:00;59.8;59.32;59.75;59.43;65
2015.05.04;08:00:00;59.85;59.51;59.67;59.76;60
2015.05.04;12:00:00;59.79;59.56;59.7;59.66;43
2015.05.04;16:00:00;59.85;59.4;59.57;59.73;75
2015.05.04;20:00:00;59.61;58.82;58.96;59.58;97
2015.05.05;00:00:00;59.13;58.31;58.75;58.95;145
2015.05.05;04:00:00;59.36;58.67;59.17;58.76;98
2015.05.05;08:00:00;60.48;59.92;59.95;60.45;63
2015.05.05;12:00:00;60.34;59.92;60.26;59.94;53
2015.05.05;16:00:00;60.64;60.18;60.62;60.27;58
2015.05.05;20:00:00;60.86;59.88;60.03;60.61;139
2015.05.06;00:00:00;60.27;59.68;59.98;60.07;110
2015.05.06;04:00:00;60.26;59.96;60.18;59.97;40
2015.05.06;08:00:00;60.21;59.98;60.05;60.15;37
2015.05.06;12:00:00;60.16;60;60.11;60.05;27
2015.05.06;16:00:00;60.59;59.87;60.51;60.12;106
2015.05.06;20:00:00;61.93;60.52;61.76;60.52;159
2015.05.07;00:00:00;62.18;61.47;61.65;61.75;133
2015.05.07;04:00:00;61.85;61.42;61.68;61.64;83
2015.05.07;08:00:00;61.97;61.66;61.9;61.79;52
2015.05.07;12:00:00;62.69;61.9;62.41;61.9;108
2015.05.07;16:00:00;63.07;62.25;62.98;62.42;109
2015.05.07;20:00:00;63.15;62.63;63.09;62.97;93
2015.05.08;00:00:00;63.59;61.68;61.94;63.08;269
2015.05.08;04:00:00;62.08;61.6;61.7;61.95;72
2015.05.08;08:00:00;61.71;61.32;61.42;61.68;53
2015.05.08;12:00:00;61.7;61.28;61.67;61.42;60
2015.05.08;16:00:00;62.37;61.56;62.2;61.66;109
2015.05.08;20:00:00;62.26;60.65;60.81;62.19;185
2015.05.11;00:00:00;61;59.73;59.77;60.85;147
2015.05.11;04:00:00;60.05;59.49;59.9;59.75;98
2015.05.11;08:00:00;60.03;59.76;59.78;59.81;52
2015.05.11;12:00:00;59.88;59.48;59.54;59.79;56
2015.05.11;16:00:00;60.14;59.26;59.86;59.55;146
2015.05.11;20:00:00;60.79;59.28;59.52;59.85;270
2015.05.12;00:00:00;60.57;59.08;60.18;59.5;231
2015.05.12;04:00:00;60.43;60.04;60.33;60.2;66
2015.05.12;08:00:00;60.35;60.1;60.3;60.35;46
2015.05.12;12:00:00;60.37;60.04;60.27;60.3;64
2015.05.12;16:00:00;60.57;59.79;59.92;60.28;121
2015.05.12;20:00:00;60.76;59.81;60.48;59.92;135
2015.05.13;00:00:00;60.52;59.68;60.2;60.49;140
2015.05.13;04:00:00;60.35;60.04;60.32;60.21;52
2015.05.13;08:00:00;60.29;60.08;60.13;60.24;32
2015.05.13;12:00:00;60.22;60.09;60.15;60.11;23
2015.05.13;16:00:00;61.27;60.08;61.23;60.13;129
2015.05.13;20:00:00;61.5;60.5;60.75;61.24;152
2015.05.14;00:00:00;62.15;60.64;61.27;60.76;252
2015.05.14;04:00:00;62.25;61.2;62.07;61.28;132
2015.05.14;08:00:00;62.48;61.99;62.05;62.1;94
2015.05.14;12:00:00;62.3;62.01;62.24;62.05;40
2015.05.14;16:00:00;62.45;61.99;62.23;62.23;93
2015.05.14;20:00:00;62.58;61.96;62.27;62.22;120
2015.05.15;00:00:00;62.7;61.5;61.83;62.28;196
2015.05.15;04:00:00;61.84;60.98;61;61.81;92
2015.05.15;08:00:00;61.18;60.88;61.12;61.11;60
2015.05.15;12:00:00;61.38;61.06;61.31;61.12;46
2015.05.15;16:00:00;61.5;60.96;61.37;61.32;104
2015.05.15;20:00:00;61.7;61.09;61.61;61.36;98
2015.05.18;00:00:00;61.78;60.36;60.57;61.72;170
2015.05.18;04:00:00;60.97;60.57;60.64;60.58;75
2015.05.18;08:00:00;60.76;60.56;60.65;60.63;39
2015.05.18;12:00:00;60.76;60.56;60.62;60.65;38
2015.05.18;16:00:00;60.8;60.29;60.5;60.63;90
2015.05.18;20:00:00;60.62;59.31;59.62;60.5;175
2015.05.19;00:00:00;60.65;59.56;60.64;59.61;116
2015.05.19;04:00:00;60.77;60.29;60.75;60.65;87
2015.05.19;08:00:00;60.76;60.57;60.65;60.6;34
2015.05.19;12:00:00;60.75;60.53;60.69;60.66;42
2015.05.19;16:00:00;61.68;60.63;60.72;60.68;207
2015.05.19;20:00:00;61.42;60.39;60.57;60.72;192
2015.05.20;00:00:00;60.76;60.03;60.15;60.56;106
2015.05.20;04:00:00;60.52;59.84;60.34;60.14;117
2015.05.20;08:00:00;60.39;60.22;60.24;60.29;30
2015.05.20;12:00:00;60.32;60.17;60.25;60.23;29
2015.05.20;16:00:00;60.29;59.41;59.7;60.25;122
2015.05.20;20:00:00;59.92;58.88;59.04;59.69;144
2015.05.21;00:00:00;59.06;57.98;58.12;59.06;123
2015.05.21;04:00:00;58.32;57.93;58.25;58.14;68
2015.05.21;08:00:00;58.48;58.28;58.44;58.3;27
2015.05.21;12:00:00;58.65;58.36;58.36;58.46;49
2015.05.21;16:00:00;58.87;58.08;58.51;58.36;144
2015.05.21;20:00:00;58.87;58.34;58.68;58.52;91
2015.05.22;00:00:00;59.01;58.15;58.87;58.69;155
2015.05.22;04:00:00;59.01;58.62;58.74;58.88;65
2015.05.22;08:00:00;58.91;58.68;58.9;58.79;36
2015.05.22;12:00:00;59.22;58.87;59.15;58.9;46
2015.05.22;16:00:00;59.68;59.06;59.58;59.16;83
2015.05.22;20:00:00;60.12;59.32;59.93;59.57;125
2015.05.25;00:00:00;60.92;59.89;60.29;59.94;172
2015.05.25;04:00:00;60.84;60.26;60.62;60.31;86
2015.05.25;08:00:00;60.77;60.61;60.62;60.63;32
2015.05.25;12:00:00;60.63;60.49;60.56;60.63;22
2015.05.25;16:00:00;60.74;60.26;60.4;60.56;81
2015.05.25;20:00:00;60.47;59.34;60.06;60.41;192
2015.05.26;00:00:00;60.12;59.54;59.87;60.09;95
2015.05.26;04:00:00;59.93;59.6;59.87;59.86;66
2015.05.26;08:00:00;60.03;59.72;59.85;60.03;45
2015.05.26;12:00:00;59.87;59.66;59.7;59.85;28
2015.05.26;16:00:00;59.94;59.08;59.24;59.71;126
2015.05.26;20:00:00;59.54;59.13;59.37;59.25;71
2015.05.27;00:00:00;60.22;59.23;59.72;59.39;166
2015.05.27;04:00:00;59.91;59.72;59.73;59.81;31
2015.05.27;08:00:00;59.89;59.68;59.84;59.72;31
2015.05.27;12:00:00;59.89;59.13;59.34;59.85;102
2015.05.27;16:00:00;59.48;58.33;58.76;59.33;174
2015.05.27;20:00:00;58.77;57.71;58.07;58.75;145
2015.05.28;00:00:00;58.39;57.9;58.32;58.06;73
2015.05.28;04:00:00;58.47;58.24;58.33;58.29;43
2015.05.28;08:00:00;58.65;58.27;58.57;58.33;53
2015.05.28;12:00:00;58.92;58.35;58.51;58.59;107
2015.05.28;16:00:00;58.53;57.42;58.09;58.51;181
2015.05.28;20:00:00;58.34;57.58;57.65;58.11;107
2015.05.29;00:00:00;57.76;57.36;57.63;57.64;80
2015.05.29;04:00:00;57.84;57.54;57.8;57.59;40
2015.05.29;08:00:00;57.81;57.63;57.73;57.8;30
2015.05.29;12:00:00;57.99;57.41;57.7;57.74;113
2015.05.29;16:00:00;57.82;56.73;56.82;57.72;129
2015.05.29;20:00:00;57.4;56.5;57.17;56.78;142
2015.06.01;00:00:00;58.03;56.93;57.95;57.15;141
2015.06.01;04:00:00;58.4;57.9;58.3;57.94;65
2015.06.01;08:00:00;58.4;58.17;58.19;58.29;37
2015.06.01;12:00:00;58.53;58.03;58.28;58.19;92
2015.06.01;16:00:00;58.69;57.7;58.51;58.28;176
2015.06.01;20:00:00;60.58;58.34;60.48;58.52;253
2015.06.02;00:00:00;60.68;59.97;60.27;60.5;120
2015.06.02;04:00:00;60.29;59.72;59.84;60.24;75
2015.06.02;08:00:00;59.93;59.75;59.77;59.82;32
2015.06.02;12:00:00;59.99;59.5;59.55;59.78;76
2015.06.02;16:00:00;60.43;59.43;60.34;59.55;122
2015.06.02;20:00:00;60.58;59.32;59.83;60.51;185
2015.06.03;00:00:00;60.38;59.76;60.2;59.84;89
2015.06.03;04:00:00;60.29;60.07;60.1;60.16;39
2015.06.03;08:00:00;60.23;60.09;60.18;60.1;21
2015.06.03;12:00:00;61.13;60.1;60.79;60.17;145
2015.06.03;16:00:00;61.2;60.3;60.56;60.79;158
2015.06.03;20:00:00;61.55;60.39;61.29;60.57;161
2015.06.04;00:00:00;61.43;60.91;61;61.31;74
2015.06.04;04:00:00;60.99;60.85;60.95;60.99;25
2015.06.04;08:00:00;60.96;60.76;60.82;60.96;27
2015.06.04;12:00:00;60.86;59.67;59.93;60.81;151
2015.06.04;16:00:00;60.92;59.79;60.78;59.92;141
2015.06.04;20:00:00;61.3;59.33;59.64;60.77;282
2015.06.05;00:00:00;59.83;59.53;59.57;59.65;53
2015.06.05;04:00:00;59.7;59.49;59.57;59.55;41
2015.06.05;08:00:00;59.63;59.46;59.56;59.55;34
2015.06.05;12:00:00;59.83;59.04;59.82;59.57;134
2015.06.05;16:00:00;59.91;58.53;58.55;59.82;150
2015.06.05;20:00:00;58.81;57.82;58.08;58.54;153
2015.06.08;00:00:00;58.24;57.89;57.94;58.07;58
2015.06.08;04:00:00;57.97;57.85;57.95;57.95;25
2015.06.08;08:00:00;58.12;57.94;57.98;57.95;34
2015.06.08;12:00:00;58.1;57.23;57.56;57.99;132
2015.06.08;16:00:00;58.63;56.83;57.58;57.55;358
2015.06.08;20:00:00;58.45;57.57;58.37;57.57;97
2015.06.09;00:00:00;59.2;58.15;58.93;58.38;156
2015.06.09;04:00:00;58.91;58.52;58.65;58.91;53
2015.06.09;08:00:00;58.66;58.47;58.65;58.64;38
2015.06.09;12:00:00;59.1;58.51;58.74;58.66;111
2015.06.09;16:00:00;58.96;58.29;58.77;58.73;131
2015.06.09;20:00:00;58.87;57.84;58.15;58.81;141
2015.06.10;00:00:00;58.36;58.06;58.23;58.16;54
2015.06.10;04:00:00;58.46;58.21;58.45;58.27;33
2015.06.10;08:00:00;58.47;58.31;58.43;58.43;33
2015.06.10;12:00:00;58.94;58.21;58.81;58.42;108
2015.06.10;16:00:00;59.98;58.73;59.89;58.82;144
2015.06.10;20:00:00;60.23;59.7;60.03;59.9;94
2015.06.11;00:00:00;60.63;59.85;60.49;60.01;109
2015.06.11;04:00:00;60.69;60.42;60.68;60.56;43
2015.06.11;08:00:00;61.11;60.64;61.06;60.67;56
2015.06.11;12:00:00;61.72;60.81;61.36;61.05;152
2015.06.11;16:00:00;61.81;61.11;61.34;61.36;139
2015.06.11;20:00:00;61.59;60.47;60.73;61.33;165
