DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.07.02;08:00:00;675.3;671.4;675.2;671.6;122
2015.07.02;12:00:00;697.9;674.6;688.1;675.1;179
2015.07.02;16:00:00;696.4;684.3;690.1;687.8;301
2015.07.02;20:00:00;697.3;687.8;692.5;690;586
2015.07.03;00:00:00;700.2;691.2;698;692.4;787
2015.07.03;04:00:00;698.6;693.5;695.2;698.1;207
2015.07.03;08:00:00;700.4;694.2;699.5;695.7;137
2015.07.03;12:00:00;700.4;698.6;699.7;699;51
2015.07.03;16:00:00;700.6;692.5;695.1;699.8;221
2015.07.03;20:00:00;700.4;692.2;696.2;695.4;593
2015.07.06;00:00:00;697.2;690.7;691.2;696.4;676
2015.07.06;04:00:00;691.6;688.4;691.1;691.1;79
2015.07.06;08:00:00;693.7;689.9;692.9;690.7;180
2015.07.06;12:00:00;693;688.2;689.1;693;51
2015.07.06;16:00:00;691.4;687.6;688.1;689;164
2015.07.06;20:00:00;688.3;676.4;678.3;688.3;255
2015.07.07;00:00:00;683.3;677.6;683.3;678.2;264
2015.07.07;04:00:00;686.2;676.6;677.9;686.2;497
2015.07.07;08:00:00;677.5;670;672.5;677.5;197
2015.07.07;12:00:00;675.7;667.9;675.7;671.8;385
2015.07.07;16:00:00;677.4;663.2;666.3;675.9;501
2015.07.07;20:00:00;677.2;665.7;673.6;666.2;830
2015.07.08;00:00:00;679.7;673.5;679.2;673.5;231
2015.07.08;04:00:00;680.5;677.7;678.4;678.8;187
2015.07.08;08:00:00;679.4;677.7;679;678.1;133
2015.07.08;12:00:00;681.5;674.6;674.9;678.9;260
2015.07.08;16:00:00;674.4;653.8;655.4;674.4;944
2015.07.08;20:00:00;656;639.4;645.4;655.1;1376
2015.07.09;00:00:00;649.2;645.2;647.1;645.6;199
2015.07.09;04:00:00;652.6;636.6;638.7;648.6;311
2015.07.09;08:00:00;641.3;634.9;635.8;638.6;304
2015.07.09;12:00:00;638.6;627.3;634.7;636.4;623
2015.07.09;16:00:00;649.4;632.7;645.7;634.2;855
2015.07.09;20:00:00;653.3;642.9;652.1;645.3;931
2015.07.10;00:00:00;652.2;649.7;651.8;652.2;216
2015.07.10;04:00:00;652.3;644.9;646.7;650.7;391
2015.07.10;08:00:00;659.3;646.6;659.2;646.6;329
2015.07.10;12:00:00;661.8;649.2;649.3;658.7;460
2015.07.10;16:00:00;652;645.4;645.9;648.7;582
2015.07.10;20:00:00;646.4;634.9;636.9;646.4;831
2015.07.13;00:00:00;637.3;633.9;635.3;637.2;163
2015.07.13;04:00:00;642.2;634.3;641.4;637.3;222
2015.07.13;08:00:00;643.7;640;641.6;641.9;236
2015.07.13;12:00:00;649.6;639.8;647.6;641.7;365
2015.07.13;16:00:00;652.8;644.2;649.6;647.8;493
2015.07.13;20:00:00;651;641.6;647.7;649.8;755
2015.07.14;00:00:00;650.9;647.7;649.3;647.8;252
2015.07.14;04:00:00;651.3;645;645;649.5;316
2015.07.14;08:00:00;646.9;641.7;642;644.5;272
2015.07.14;12:00:00;656;639.1;655.5;642.3;507
2015.07.14;16:00:00;659.9;654.8;656.7;655.6;496
2015.07.14;20:00:00;665.5;653.7;654.8;656.9;1242
