DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;9.6705;9.6255;9.6555;9.643;776
2015.04.27;16:00:00;9.6805;9.6505;9.663;9.658;551
2015.04.27;20:00:00;9.718;9.6355;9.708;9.658;1151
2015.04.28;00:00:00;9.7105;9.6705;9.6705;9.7055;451
2015.04.28;04:00:00;9.7805;9.698;9.7755;9.7005;901
2015.04.28;08:00:00;9.778;9.743;9.753;9.773;501
2015.04.28;12:00:00;9.763;9.7305;9.7305;9.7555;401
2015.04.28;16:00:00;9.7505;9.7305;9.7505;9.733;226
2015.04.28;20:00:00;9.823;9.738;9.7805;9.7505;1401
2015.04.29;00:00:00;9.8155;9.7755;9.788;9.778;701
2015.04.29;04:00:00;9.788;9.7555;9.7805;9.773;576
2015.04.29;08:00:00;9.788;9.7655;9.7805;9.783;426
2015.04.29;12:00:00;9.783;9.743;9.753;9.783;501
2015.04.29;16:00:00;9.773;9.7505;9.773;9.7505;226
2015.04.29;20:00:00;9.7755;9.698;9.743;9.7755;1226
2015.04.30;00:00:00;9.7705;9.743;9.758;9.743;401
2015.04.30;04:00:00;9.773;9.718;9.7255;9.748;876
2015.04.30;08:00:00;9.7455;9.718;9.723;9.723;551
2015.04.30;12:00:00;9.763;9.7205;9.748;9.7205;576
2015.04.30;16:00:00;9.7505;9.7205;9.7255;9.7505;351
2015.04.30;20:00:00;9.748;9.658;9.7405;9.733;1726
2015.05.01;00:00:00;9.743;9.7005;9.718;9.7405;626
2015.05.01;04:00:00;9.763;9.718;9.7505;9.718;576
2015.05.01;08:00:00;9.773;9.7305;9.7355;9.7505;701
2015.05.01;12:00:00;9.758;9.7305;9.758;9.733;301
2015.05.01;16:00:00;9.7655;9.753;9.7605;9.758;226
2015.05.01;20:00:00;9.843;9.7555;9.8155;9.763;1226
2015.05.04;00:00:00;9.8155;9.7855;9.7905;9.813;376
2015.05.04;04:00:00;9.823;9.778;9.7805;9.8005;701
2015.05.04;08:00:00;9.7955;9.7655;9.7855;9.783;576
2015.05.04;12:00:00;9.798;9.7505;9.763;9.788;701
2015.05.04;16:00:00;9.7805;9.7555;9.763;9.7605;476
2015.05.04;20:00:00;9.773;9.6805;9.7255;9.7605;1501
2015.05.05;00:00:00;9.743;9.693;9.693;9.7255;676
2015.05.05;04:00:00;9.723;9.653;9.713;9.673;1001
2015.05.05;08:00:00;9.723;9.703;9.708;9.7105;376
2015.05.05;12:00:00;9.7105;9.6905;9.7055;9.7055;401
2015.05.05;16:00:00;9.7105;9.7005;9.7005;9.703;176
2015.05.05;20:00:00;9.7905;9.6805;9.7505;9.703;1726
2015.05.06;00:00:00;9.748;9.7205;9.733;9.748;401
2015.05.06;04:00:00;9.7755;9.718;9.758;9.718;751
2015.05.06;08:00:00;9.773;9.748;9.7705;9.7605;401
2015.05.06;12:00:00;9.8055;9.7505;9.8055;9.763;676
2015.05.06;16:00:00;9.8355;9.798;9.8155;9.808;676
2015.05.06;20:00:00;9.873;9.7805;9.8455;9.8155;1551
2015.05.07;00:00:00;9.848;9.748;9.768;9.8455;1226
2015.05.07;04:00:00;9.803;9.7655;9.793;9.768;501
2015.05.07;08:00:00;9.7905;9.7355;9.7355;9.7905;551
2015.05.07;12:00:00;9.768;9.7255;9.758;9.733;601
2015.05.07;16:00:00;9.763;9.7455;9.7605;9.7555;301
2015.05.07;20:00:00;9.863;9.723;9.8555;9.763;1876
2015.05.08;00:00:00;9.883;9.833;9.8805;9.853;726
2015.05.08;04:00:00;9.9055;9.8655;9.9055;9.873;476
2015.05.08;08:00:00;9.9205;9.8955;9.9155;9.9105;451
2015.05.08;12:00:00;9.918;9.898;9.908;9.9155;326
2015.05.08;16:00:00;9.928;9.9105;9.923;9.9105;226
2015.05.08;20:00:00;9.943;9.7205;9.7555;9.9205;2801
2015.05.11;00:00:00;9.773;9.7355;9.7655;9.753;626
2015.05.11;04:00:00;9.783;9.738;9.7405;9.7705;601
2015.05.11;08:00:00;9.758;9.738;9.748;9.743;351
2015.05.11;12:00:00;9.7655;9.743;9.7555;9.748;376
2015.05.11;16:00:00;9.763;9.7155;9.7155;9.758;526
2015.05.11;20:00:00;9.7605;9.6105;9.618;9.713;2051
2015.05.12;00:00:00;9.6505;9.6155;9.6405;9.6155;451
2015.05.12;04:00:00;9.7155;9.623;9.7005;9.638;1226
2015.05.12;08:00:00;9.713;9.6755;9.678;9.698;551
2015.05.12;12:00:00;9.713;9.663;9.708;9.6755;676
2015.05.12;16:00:00;9.713;9.6755;9.6755;9.7105;401
2015.05.12;20:00:00;9.7805;9.648;9.748;9.683;2001
2015.05.13;00:00:00;9.773;9.7305;9.7655;9.748;676
2015.05.13;04:00:00;9.808;9.7455;9.7555;9.753;1226
2015.05.13;08:00:00;9.788;9.7505;9.7505;9.758;676
2015.05.13;12:00:00;9.7705;9.738;9.7605;9.753;576
2015.05.13;16:00:00;9.788;9.758;9.768;9.7605;526
2015.05.13;20:00:00;9.8605;9.7405;9.8305;9.773;1826
2015.05.14;00:00:00;9.8505;9.7705;9.8455;9.828;1426
2015.05.14;04:00:00;9.863;9.8355;9.8605;9.8355;301
2015.05.14;08:00:00;9.873;9.8455;9.8655;9.8605;501
2015.05.14;12:00:00;9.8705;9.8505;9.858;9.8655;326
2015.05.14;16:00:00;9.8605;9.8255;9.833;9.858;451
2015.05.14;20:00:00;9.898;9.7755;9.7855;9.838;1926
2015.05.15;00:00:00;9.828;9.783;9.823;9.788;551
2015.05.15;04:00:00;9.833;9.798;9.818;9.8305;576
2015.05.15;08:00:00;9.8355;9.813;9.8205;9.8155;401
2015.05.15;12:00:00;9.8405;9.8155;9.828;9.823;451
2015.05.15;16:00:00;9.833;9.8055;9.8055;9.8255;351
2015.05.15;20:00:00;9.8255;9.7205;9.743;9.803;1501
2015.05.18;00:00:00;9.758;9.7355;9.743;9.743;451
2015.05.18;04:00:00;9.7555;9.7255;9.728;9.738;501
2015.05.18;08:00:00;9.7455;9.7205;9.7455;9.728;326
2015.05.18;12:00:00;9.7455;9.7305;9.7355;9.743;226
2015.05.18;16:00:00;9.7605;9.733;9.738;9.738;551
2015.05.18;20:00:00;9.778;9.688;9.7505;9.7455;1751
2015.05.19;00:00:00;9.768;9.733;9.7455;9.753;626
2015.05.19;04:00:00;9.793;9.753;9.7905;9.7555;451
2015.05.19;08:00:00;9.8055;9.7805;9.803;9.788;351
2015.05.19;12:00:00;9.813;9.7855;9.7905;9.8005;451
2015.05.19;16:00:00;9.793;9.768;9.7705;9.7905;301
2015.05.19;20:00:00;9.7905;9.718;9.7505;9.7755;1201
2015.05.20;00:00:00;9.753;9.7305;9.7355;9.753;276
2015.05.20;04:00:00;9.733;9.703;9.713;9.7255;476
2015.05.20;08:00:00;9.7255;9.6955;9.7255;9.7105;451
2015.05.20;12:00:00;9.733;9.7155;9.7305;9.723;276
2015.05.20;16:00:00;9.733;9.713;9.7155;9.728;276
2015.05.20;20:00:00;9.808;9.563;9.563;9.713;3401
2015.05.21;00:00:00;9.5805;9.5455;9.558;9.5605;676
2015.05.21;04:00:00;9.6105;9.558;9.6005;9.5605;651
2015.05.21;08:00:00;9.613;9.573;9.578;9.603;551
2015.05.21;12:00:00;9.5955;9.5755;9.593;9.5755;226
2015.05.21;16:00:00;9.608;9.578;9.603;9.588;451
2015.05.21;20:00:00;9.6205;9.538;9.563;9.603;1251
2015.05.22;00:00:00;9.5805;9.5605;9.568;9.5655;376
2015.05.22;04:00:00;9.588;9.5455;9.548;9.5705;626
2015.05.22;08:00:00;9.563;9.5455;9.5555;9.5455;251
2015.05.22;12:00:00;9.608;9.5555;9.603;9.5555;576
2015.05.22;16:00:00;9.613;9.563;9.563;9.603;601
2015.05.22;20:00:00;9.6155;9.5255;9.5405;9.5655;1551
2015.05.25;00:00:00;9.578;9.5355;9.5705;9.543;576
2015.05.25;04:00:00;9.6055;9.5705;9.578;9.5755;676
2015.05.25;08:00:00;9.5805;9.558;9.5655;9.5805;301
2015.05.25;12:00:00;9.603;9.558;9.593;9.563;601
2015.05.25;16:00:00;9.5905;9.578;9.578;9.5905;126
2015.05.25;20:00:00;9.5905;9.498;9.5255;9.583;1276
2015.05.26;00:00:00;9.533;9.5055;9.5205;9.523;526
2015.05.26;04:00:00;9.553;9.4955;9.5355;9.528;1076
2015.05.26;08:00:00;9.5555;9.533;9.543;9.533;351
2015.05.26;12:00:00;9.558;9.5405;9.5555;9.5405;201
2015.05.26;16:00:00;9.593;9.553;9.5855;9.553;476
2015.05.26;20:00:00;9.6355;9.528;9.528;9.5955;1476
