DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.09.29;16:00:00;8.883;8.7505;8.758;8.8205;1195
2015.09.29;20:00:00;8.778;8.7555;8.763;8.7555;227
2015.09.30;00:00:00;8.793;8.738;8.7455;8.758;486
2015.09.30;04:00:00;8.7705;8.7305;8.7455;8.743;356
2015.09.30;08:00:00;8.763;8.738;8.758;8.748;276
2015.09.30;12:00:00;8.8005;8.7605;8.7955;8.7605;86
2015.09.30;16:00:00;8.8355;8.7655;8.823;8.788;1355
2015.09.30;20:00:00;8.8405;8.813;8.8305;8.8205;224
2015.10.01;00:00:00;8.8555;8.8205;8.8205;8.8305;323
2015.10.01;04:00:00;8.838;8.818;8.838;8.818;106
2015.10.01;08:00:00;8.868;8.8305;8.8655;8.8405;234
2015.10.01;12:00:00;8.8705;8.863;8.868;8.868;64
2015.10.01;16:00:00;9.0155;8.808;8.8255;8.8655;3614
2015.10.01;20:00:00;8.923;8.8205;8.9105;8.823;512
2015.10.02;00:00:00;8.913;8.888;8.903;8.908;160
2015.10.02;04:00:00;8.933;8.8955;8.9205;8.9055;81
2015.10.02;08:00:00;8.9505;8.918;8.928;8.9205;281
2015.10.02;12:00:00;8.968;8.9255;8.938;8.9255;156
2015.10.02;16:00:00;8.9855;8.8055;8.8155;8.948;2104
2015.10.02;20:00:00;8.8255;8.763;8.768;8.813;177
2015.10.05;00:00:00;8.7805;8.758;8.768;8.7655;227
2015.10.05;04:00:00;8.788;8.768;8.7755;8.7705;92
2015.10.05;08:00:00;8.778;8.7355;8.743;8.773;202
2015.10.05;12:00:00;8.7505;8.738;8.7505;8.7455;105
2015.10.05;16:00:00;8.813;8.678;8.7705;8.7505;2212
2015.10.05;20:00:00;8.773;8.7305;8.733;8.773;415
2015.10.06;00:00:00;8.7755;8.7155;8.7555;8.7355;305
2015.10.06;04:00:00;8.768;8.7505;8.7655;8.753;141
2015.10.06;08:00:00;8.803;8.743;8.7955;8.768;348
2015.10.06;12:00:00;8.7955;8.768;8.778;8.793;119
2015.10.06;16:00:00;8.853;8.7655;8.8355;8.7805;1227
2015.10.06;20:00:00;8.8455;8.8205;8.8305;8.838;221
2015.10.07;00:00:00;8.8205;8.788;8.8155;8.798;265
2015.10.07;04:00:00;8.823;8.8005;8.813;8.813;107
2015.10.07;08:00:00;8.818;8.798;8.798;8.8105;136
2015.10.07;12:00:00;8.8355;8.798;8.833;8.8005;62
2015.10.07;16:00:00;8.948;8.833;8.883;8.8355;2175
2015.10.07;20:00:00;8.8905;8.8605;8.873;8.8805;283
2015.10.08;00:00:00;8.8805;8.8555;8.8755;8.868;180
2015.10.08;04:00:00;8.898;8.868;8.888;8.873;133
2015.10.08;08:00:00;8.9405;8.8855;8.923;8.8905;378
2015.10.08;12:00:00;8.943;8.918;8.933;8.9255;103
2015.10.08;16:00:00;8.9505;8.8505;8.908;8.9355;1740
2015.10.08;20:00:00;8.923;8.9005;8.9005;8.9105;284
2015.10.09;00:00:00;8.9105;8.878;8.8955;8.8955;349
2015.10.09;04:00:00;8.898;8.858;8.863;8.893;279
2015.10.09;08:00:00;8.883;8.8555;8.8555;8.8605;255
2015.10.09;12:00:00;8.8655;8.8455;8.8605;8.853;178
2015.10.09;16:00:00;8.8855;8.7955;8.8205;8.858;1243
2015.10.09;20:00:00;8.8355;8.798;8.803;8.818;180
2015.10.12;00:00:00;8.8455;8.793;8.838;8.8005;489
2015.10.12;04:00:00;8.853;8.7905;8.798;8.8355;595
2015.10.12;08:00:00;8.863;8.798;8.8455;8.798;281
2015.10.12;12:00:00;8.853;8.838;8.838;8.8455;112
2015.10.12;16:00:00;8.963;8.7105;8.9005;8.8405;3838
2015.10.12;20:00:00;8.9055;8.8405;8.843;8.898;605
2015.10.13;00:00:00;8.923;8.8505;8.9005;8.8505;984
2015.10.13;04:00:00;8.933;8.8955;8.9205;8.903;378
2015.10.13;08:00:00;8.923;8.898;8.9005;8.923;103
2015.10.13;12:00:00;8.918;8.898;8.9105;8.898;59
2015.10.13;16:00:00;8.938;8.868;8.893;8.908;1495
2015.10.13;20:00:00;8.898;8.8655;8.868;8.8905;223
2015.10.14;00:00:00;8.908;8.8555;8.8905;8.8555;362
2015.10.14;04:00:00;8.938;8.888;8.938;8.888;254
2015.10.14;08:00:00;8.943;8.9155;8.9305;8.9405;182
2015.10.14;12:00:00;8.933;8.923;8.9305;8.9305;68
2015.10.14;16:00:00;9.103;8.918;9.0905;8.923;2272
2015.10.14;20:00:00;9.143;9.0855;9.123;9.093;572
2015.10.15;00:00:00;9.1255;9.088;9.113;9.113;400
2015.10.15;04:00:00;9.1255;9.1055;9.1105;9.113;250
2015.10.15;08:00:00;9.148;9.1055;9.148;9.113;182
2015.10.15;12:00:00;9.173;9.1455;9.173;9.1505;137
2015.10.15;16:00:00;9.193;9.088;9.118;9.1755;1697
2015.10.15;20:00:00;9.148;9.0955;9.098;9.1155;277
2015.10.16;00:00:00;9.133;9.0805;9.1105;9.083;501
2015.10.16;04:00:00;9.133;9.108;9.123;9.1105;138
2015.10.16;08:00:00;9.133;9.063;9.0755;9.1255;255
2015.10.16;12:00:00;9.1055;9.078;9.1005;9.078;100
2015.10.16;16:00:00;9.1505;9.083;9.098;9.0955;1568
2015.10.16;20:00:00;9.0955;9.0355;9.0455;9.0955;348
