DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;15.9;15.782;15.836;15.825;2783
2015.04.27;16:00:00;15.856;15.666;15.669;15.834;5632
2015.04.27;20:00:00;15.725;15.573;15.695;15.666;5975
2015.04.28;00:00:00;15.713;15.686;15.71;15.695;594
2015.04.28;04:00:00;15.81;15.702;15.807;15.717;1696
2015.04.28;08:00:00;15.862;15.785;15.846;15.81;1473
2015.04.28;12:00:00;15.847;15.747;15.801;15.847;2767
2015.04.28;16:00:00;16.082;15.77;16.072;15.8;3752
2015.04.28;20:00:00;16.46;16.073;16.332;16.075;6839
2015.04.29;00:00:00;16.406;16.321;16.351;16.332;1016
2015.04.29;04:00:00;16.377;16.287;16.33;16.372;1975
2015.04.29;08:00:00;16.363;16.3;16.33;16.331;1564
2015.04.29;12:00:00;16.405;16.3;16.363;16.331;3140
2015.04.29;16:00:00;16.575;16.327;16.461;16.36;6264
2015.04.29;20:00:00;16.664;16.461;16.646;16.461;7919
2015.04.30;00:00:00;16.656;16.568;16.58;16.646;1329
2015.04.30;04:00:00;16.595;16.495;16.522;16.576;1378
2015.04.30;08:00:00;16.571;16.519;16.555;16.52;1134
2015.04.30;12:00:00;16.555;16.412;16.44;16.555;2692
2015.04.30;16:00:00;16.66;16.394;16.632;16.438;5862
2015.04.30;20:00:00;16.691;16.548;16.645;16.638;5046
2015.05.01;00:00:00;16.644;16.474;16.525;16.63;4876
2015.05.01;04:00:00;16.578;16.498;16.516;16.53;1554
2015.05.01;08:00:00;16.532;16.441;16.506;16.515;2123
2015.05.01;12:00:00;16.642;16.436;16.563;16.506;3844
2015.05.01;16:00:00;16.707;15.79;15.911;16.56;9321
2015.05.01;20:00:00;16.171;15.85;16.123;15.905;6944
2015.05.04;00:00:00;16.135;16.045;16.1;16.126;1433
2015.05.04;04:00:00;16.186;16.055;16.125;16.096;980
2015.05.04;08:00:00;16.175;16.12;16.14;16.126;869
2015.05.04;12:00:00;16.244;16.1;16.166;16.139;2370
2015.05.04;16:00:00;16.215;15.882;16.111;16.17;4182
2015.05.04;20:00:00;16.143;15.92;16.094;16.113;4605
2015.05.05;00:00:00;16.168;16.058;16.123;16.097;747
2015.05.05;04:00:00;16.254;16.113;16.237;16.129;1803
2015.05.05;08:00:00;16.335;16.216;16.329;16.239;1482
2015.05.05;12:00:00;16.356;16.28;16.325;16.326;1871
2015.05.05;16:00:00;16.734;16.241;16.603;16.325;5038
2015.05.05;20:00:00;16.658;16.358;16.414;16.605;4481
2015.05.06;00:00:00;16.439;16.346;16.37;16.41;855
2015.05.06;04:00:00;16.449;16.351;16.425;16.351;968
2015.05.06;08:00:00;16.43;16.353;16.423;16.425;1501
2015.05.06;12:00:00;16.446;16.318;16.365;16.425;2371
2015.05.06;16:00:00;16.682;16.337;16.652;16.365;5320
2015.05.06;20:00:00;16.647;16.492;16.519;16.647;4760
2015.05.07;00:00:00;16.532;16.487;16.52;16.515;705
2015.05.07;04:00:00;16.58;16.493;16.548;16.513;1098
2015.05.07;08:00:00;16.565;16.499;16.551;16.549;1697
2015.05.07;12:00:00;16.557;16.361;16.429;16.551;4170
2015.05.07;16:00:00;16.628;16.365;16.606;16.414;7471
2015.05.07;20:00:00;16.627;16.41;16.48;16.605;4763
2015.05.08;00:00:00;16.496;16.449;16.49;16.48;794
2015.05.08;04:00:00;16.535;16.344;16.39;16.495;1568
2015.05.08;08:00:00;16.455;16.37;16.45;16.39;1129
2015.05.08;12:00:00;16.46;16.178;16.242;16.45;4106
2015.05.08;16:00:00;16.465;16.15;16.359;16.242;6172
2015.05.08;20:00:00;16.4;16.264;16.3;16.359;3321
2015.05.11;00:00:00;16.311;16.27;16.3;16.3;756
2015.05.11;04:00:00;16.309;16.25;16.309;16.305;1342
2015.05.11;08:00:00;16.331;16.264;16.282;16.311;1384
