DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.07.02;08:00:00;372.5;371.8;372;372;141
2015.07.02;12:00:00;372.2;371.5;372.1;372;131
2015.07.02;16:00:00;373;371.9;372.9;372.2;151
2015.07.02;20:00:00;374.5;372.8;374;373.3;271
2015.07.03;00:00:00;375.2;373.8;374.6;374.1;231
2015.07.03;04:00:00;375;374;374.4;374.6;181
2015.07.03;08:00:00;375.2;374.6;374.6;374.9;91
2015.07.03;12:00:00;374.8;374;374.3;374.7;121
2015.07.03;16:00:00;375.5;373.7;375.2;373.8;221
2015.07.03;20:00:00;375.5;374.6;375.2;375.3;171
2015.07.06;00:00:00;375.4;374.7;375.4;375.2;121
2015.07.06;04:00:00;376.1;374.9;375.1;375.3;221
2015.07.06;08:00:00;375.9;374.6;375.1;375.1;261
2015.07.06;12:00:00;374.3;369.9;371.3;374.3;581
2015.07.06;16:00:00;371.3;370.4;371;371.2;161
2015.07.06;20:00:00;371.6;370.9;371;370.9;131
2015.07.07;00:00:00;370.8;370.1;370.3;370.5;121
2015.07.07;04:00:00;371.1;370.3;370.9;370.4;111
2015.07.07;08:00:00;370.6;369.3;369.7;370.1;221
2015.07.07;12:00:00;370.2;369.4;370.1;369.8;131
2015.07.07;16:00:00;370.5;370.1;370.4;370.1;51
2015.07.07;20:00:00;371.5;370;371.1;370;191
2015.07.08;00:00:00;371.6;371;371.5;371;71
2015.07.08;04:00:00;374.6;371;374.2;371.2;421
2015.07.08;08:00:00;375.5;373.9;374.7;374.1;261
2015.07.08;12:00:00;375.1;373.1;374.2;374.8;341
2015.07.08;16:00:00;374.1;373.3;373.4;373.9;111
2015.07.08;20:00:00;373.7;372.4;372.5;373.5;161
2015.07.09;00:00:00;373;371.5;372;372.7;231
2015.07.09;04:00:00;371.9;370.6;371;371.9;171
2015.07.09;08:00:00;371.5;370.9;371.1;370.9;101
2015.07.09;12:00:00;373;371.2;372.8;371.3;211
2015.07.09;16:00:00;373.9;372.7;373.4;372.8;181
2015.07.09;20:00:00;374.1;372.3;372.4;372.9;311
2015.07.10;00:00:00;373.1;371.8;372.7;372.4;231
2015.07.10;04:00:00;372.5;371.6;372.1;372.5;141
2015.07.10;08:00:00;372.9;371.1;371.7;371.7;361
2015.07.10;12:00:00;372.1;371.2;371.8;371.6;161
2015.07.10;16:00:00;375.4;372.8;374.6;372.8;341
2015.07.10;20:00:00;375.4;374.4;374.7;374.6;191
2015.07.13;00:00:00;374.7;373.6;373.9;374.6;151
2015.07.13;04:00:00;374.6;373.6;374.1;373.9;181
2015.07.13;08:00:00;374.6;373.8;374.1;373.9;141
2015.07.13;12:00:00;374.7;373.5;374.3;374.1;221
2015.07.13;16:00:00;375.5;374.2;375.3;374.2;151
2015.07.13;20:00:00;375.5;375;375.4;375.3;91
2015.07.14;00:00:00;375.7;375.2;375.6;375.5;91
2015.07.14;04:00:00;375.8;375.1;375.3;375.6;111
2015.07.14;08:00:00;377;375.4;376.4;375.8;261
2015.07.14;12:00:00;377.3;375.9;377.1;376.3;201
2015.07.14;16:00:00;377.3;376.1;376.2;377.2;141
2015.07.14;20:00:00;377.7;375.8;377.3;375.9;241
2015.07.15;00:00:00;377.6;376.6;376.6;377.4;121
2015.07.15;04:00:00;375.4;373.8;375;375;321
2015.07.15;08:00:00;375.7;374.5;375.7;374.9;161
2015.07.15;12:00:00;375.9;374.6;374.7;375.8;151
2015.07.15;16:00:00;376;374.4;374.5;374.9;281
2015.07.15;20:00:00;374.7;374.1;374.1;374.5;81
2015.07.16;00:00:00;374.9;372.8;373.2;374.2;321
2015.07.16;04:00:00;373.2;371.1;371.7;373.1;281
2015.07.16;08:00:00;371.9;370.4;370.6;371.6;201
2015.07.16;12:00:00;371;370.2;370.8;370.4;121
2015.07.16;16:00:00;371.5;370.8;370.8;371.1;111
