DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.09.29;16:00:00;319.3;315.5;315.6;318.4;1295
2015.09.29;20:00:00;318.3;315;316.9;315.5;1162
2015.09.30;00:00:00;318.7;316.9;317.6;317;361
2015.09.30;04:00:00;317.5;316.8;317.2;317.2;202
2015.09.30;08:00:00;317.5;316;316.5;317.1;215
2015.09.30;12:00:00;315;312.9;313.1;314.9;327
2015.09.30;16:00:00;314.5;312.7;313.5;313.1;290
2015.09.30;20:00:00;317.3;313.4;315.9;315.3;2071
2015.10.01;00:00:00;317.1;315.4;316.7;315.9;909
2015.10.01;04:00:00;317;316;316.1;316.6;255
2015.10.01;08:00:00;316.4;315.2;315.2;315.8;221
2015.10.01;12:00:00;315.9;314.5;315.2;315.3;207
2015.10.01;16:00:00;314.7;308.7;310.2;313.8;1101
2015.10.01;20:00:00;312.2;309.9;311.4;310.1;314
2015.10.02;00:00:00;311.4;310.1;310.2;311.4;311
2015.10.02;04:00:00;309.7;307.4;307.6;308.9;683
2015.10.02;08:00:00;308.1;307.2;307.2;307.6;237
2015.10.02;12:00:00;307.7;304.6;305.4;307;1624
2015.10.02;16:00:00;310.2;304.6;309.4;305.4;1386
2015.10.02;20:00:00;310.9;309.4;310.8;309.4;660
2015.10.05;00:00:00;310.8;309.1;310.4;310.6;318
2015.10.05;04:00:00;311.3;310;310.3;310.5;570
2015.10.05;08:00:00;312.4;309.5;310.5;311.4;1669
2015.10.05;12:00:00;312.7;310.4;311.6;310.4;871
2015.10.05;16:00:00;312.2;311;311.7;311.7;282
2015.10.05;20:00:00;312.4;311.2;312;311.8;460
2015.10.06;00:00:00;312.2;310;310.1;312;214
2015.10.06;04:00:00;314.8;311.6;314.8;313.2;1426
2015.10.06;08:00:00;314.9;312.6;312.6;314.7;665
2015.10.06;12:00:00;312.7;311.2;312.3;312.6;393
2015.10.06;16:00:00;311.9;310.2;310.6;311.6;392
2015.10.06;20:00:00;311.1;309.2;309.7;310.7;303
2015.10.07;00:00:00;312.7;307.5;310.4;312.2;2093
2015.10.07;04:00:00;311.2;309.2;310.8;310.4;1228
2015.10.07;08:00:00;311.1;310.3;310.9;310.8;250
2015.10.07;12:00:00;311.7;308.1;308.6;310.7;510
2015.10.07;16:00:00;312.2;308.7;311.6;308.7;392
2015.10.07;20:00:00;316.3;313.4;316;314.2;1300
2015.10.08;00:00:00;316.6;315.1;316.2;316;1058
2015.10.08;04:00:00;318.5;316;318.1;316.1;453
2015.10.08;08:00:00;319.8;318.2;319.5;318.2;357
2015.10.08;12:00:00;320.1;319.1;319.5;319.6;237
2015.10.08;16:00:00;322.3;320;321.4;320.2;1722
2015.10.08;20:00:00;323.5;321.1;323;321.3;582
2015.10.09;00:00:00;323.9;322.5;323.7;323.1;334
2015.10.09;04:00:00;325.5;323.4;324.2;323.7;417
2015.10.09;08:00:00;324.3;322.1;322.6;324.1;533
2015.10.09;12:00:00;326.4;321.8;325.7;323;1460
2015.10.09;16:00:00;330.6;325.8;330.6;325.8;903
2015.10.09;20:00:00;331.6;330.4;331.1;330.6;362
2015.10.12;00:00:00;334.1;330.9;334.1;331.5;792
2015.10.12;04:00:00;334.2;332.3;332.7;334.2;480
2015.10.12;08:00:00;334.7;329.1;329.9;333.6;1967
2015.10.12;12:00:00;330.4;328.2;329.1;329.8;1320
2015.10.12;16:00:00;329.7;328.3;328.7;329;413
2015.10.12;20:00:00;330.2;328.8;329.7;329.2;196
2015.10.13;00:00:00;330;329.1;329.5;329.8;316
2015.10.13;04:00:00;336.5;331;336.3;331.7;1401
2015.10.13;08:00:00;337.2;334.3;335.1;336.2;1473
2015.10.13;12:00:00;336;334.6;336;335.2;332
2015.10.13;16:00:00;338.5;336.2;337.8;336.2;614
2015.10.13;20:00:00;338.4;336.1;336.2;337.8;660
2015.10.14;00:00:00;339.6;333.9;339.6;336.5;1773
2015.10.14;04:00:00;340.5;338.6;339.9;339.5;1206
2015.10.14;08:00:00;340.1;339.3;340.1;339.9;259
2015.10.14;12:00:00;340.4;339.2;339.2;340;347
2015.10.14;16:00:00;339.9;339;339.4;339.2;268
2015.10.14;20:00:00;340.3;336.4;337.5;340.3;2057
2015.10.15;00:00:00;337.6;334.8;335.4;337.5;1441
2015.10.15;04:00:00;335.5;333.9;334.2;335.5;420
2015.10.15;08:00:00;335.2;333.7;334.7;334.6;443
2015.10.15;12:00:00;335.8;334.5;334.6;334.7;447
2015.10.15;16:00:00;336.7;331.5;335.4;334.2;2068
2015.10.15;20:00:00;335.3;332.2;333.3;335.3;1465
2015.10.16;00:00:00;333.9;332.5;333.8;333.2;427
2015.10.16;04:00:00;335.2;333.6;335.1;333.7;481
2015.10.16;08:00:00;335.1;333.8;334.2;335.1;429
2015.10.16;12:00:00;338.4;333.6;338;334.5;1924
2015.10.16;16:00:00;338.2;335.7;336.9;338.1;1460
2015.10.16;20:00:00;337.9;336.6;337.7;336.8;280
2015.10.19;00:00:00;339.2;337.5;337.8;337.7;377
2015.10.19;04:00:00;337.9;337;337.5;337.7;230
2015.10.19;08:00:00;341;338.1;339.3;339.8;2286
2015.10.19;12:00:00;340;338.3;339.4;339.4;2256
2015.10.19;16:00:00;340.4;339.2;339.9;339.5;349
2015.10.19;20:00:00;340.3;339.3;339.9;339.7;228
2015.10.20;00:00:00;340.8;339.5;340.2;339.9;252
2015.10.20;04:00:00;339.3;336.8;338.3;339.2;1511
2015.10.20;08:00:00;339.3;337.7;338.3;338.2;1026
2015.10.20;12:00:00;339.1;338;338.3;338.3;236
2015.10.20;16:00:00;339;337.8;338.4;338.9;202
2015.10.20;20:00:00;338.8;338.2;338.3;338.5;241
2015.10.21;00:00:00;339.1;337.4;338.5;338.2;1374
2015.10.21;04:00:00;339.7;337.7;338.9;338.6;1103
2015.10.21;08:00:00;339.3;337.4;338.2;338.9;374
2015.10.21;12:00:00;339.2;338.1;338.8;338.6;360
2015.10.21;16:00:00;339.5;338.7;339.2;338.9;355
2015.10.21;20:00:00;340.4;338.9;339.4;339.6;781
2015.10.22;00:00:00;339.7;336.9;337.7;339.4;1068
2015.10.22;04:00:00;338.3;337.7;338;337.8;154
2015.10.22;08:00:00;339.8;337.7;338.9;338.4;468
2015.10.22;12:00:00;339.6;338;338.5;338.9;279
2015.10.22;16:00:00;341;338.2;340.1;338.6;1113
2015.10.22;20:00:00;340.5;339.3;339.5;340;662
2015.10.23;00:00:00;340.1;339.5;340;339.6;174
2015.10.23;04:00:00;343.7;340.2;343;340.3;531
2015.10.23;08:00:00;344.2;343;344.2;343.1;411
2015.10.23;12:00:00;345.3;343;343.9;344.1;1232
2015.10.23;16:00:00;344.5;343.6;344.3;343.9;739
2015.10.23;20:00:00;344.4;343.8;344.2;344.3;222
2015.10.25;23:00:00;346.5;344.3;346.1;344.3;504
2015.10.26;00:00:00;346.6;345.4;346.4;346.3;325
2015.10.26;04:00:00;348;346;346.7;346.5;1107
2015.10.26;08:00:00;347.2;345.8;345.8;346.7;655
2015.10.26;12:00:00;346;345.2;345.3;345.8;323
2015.10.26;16:00:00;346.7;345.6;346.1;345.9;340
2015.10.26;20:00:00;346.5;345.6;346.1;346.1;347
2015.10.27;00:00:00;345.8;341.7;342;345.2;1682
2015.10.27;04:00:00;343.8;340.3;340.8;342;1619
2015.10.27;08:00:00;341.4;340.7;341.3;340.9;310
