DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;10368;10312;10346;10315;1824
2015.04.27;16:00:00;10365;10341;10346;10347;483
2015.04.27;20:00:00;10415;10369;10379;10392;2026
2015.04.28;00:00:00;10399;10366;10388;10378;1706
2015.04.28;04:00:00;10398;10380;10380;10386;318
2015.04.28;08:00:00;10414;10338;10390;10381;1879
2015.04.28;12:00:00;10411;10332;10410;10386;2199
2015.04.28;16:00:00;10428;10407;10418;10411;378
2015.04.28;20:00:00;10526;10388;10521;10426;2482
2015.04.29;00:00:00;10548;10506;10532;10522;1661
2015.04.29;04:00:00;10582;10499;10508;10573;1394
2015.04.29;08:00:00;10566;10471;10474;10499;2209
2015.04.29;12:00:00;10508;10456;10491;10472;1094
2015.04.29;16:00:00;10618;10561;10592;10610;1267
2015.04.29;20:00:00;10679;10577;10668;10593;1390
2015.04.30;00:00:00;10693;10669;10685;10669;469
2015.04.30;04:00:00;10749;10664;10743;10664;1887
2015.04.30;08:00:00;10810;10740;10809;10740;2188
2015.04.30;12:00:00;10835;10807;10824;10810;459
2015.04.30;16:00:00;10872;10804;10854;10818;1673
2015.04.30;20:00:00;10882;10789;10834;10853;1850
2015.05.01;00:00:00;10848;10814;10830;10835;366
2015.05.01;04:00:00;10840;10697;10704;10805;2904
2015.05.01;08:00:00;10748;10685;10719;10705;2483
2015.05.01;12:00:00;10782;10687;10722;10743;2528
2015.05.01;16:00:00;10735;10610;10663;10723;2478
2015.05.01;20:00:00;10721;10661;10721;10664;638
2015.05.04;00:00:00;10785;10691;10722;10751;2644
2015.05.04;04:00:00;10737;10702;10710;10723;1147
2015.05.04;08:00:00;10742;10709;10740;10711;248
2015.05.04;12:00:00;10819;10742;10798;10760;1970
2015.05.04;16:00:00;10803;10735;10763;10797;2293
2015.05.04;20:00:00;10769;10737;10744;10762;433
2015.05.05;00:00:00;10924;10786;10880;10800;4176
2015.05.05;04:00:00;10917;10861;10908;10878;2217
2015.05.05;08:00:00;10919;10874;10878;10909;523
2015.05.05;12:00:00;10911;10836;10905;10854;2755
2015.05.05;16:00:00;11134;10907;11113;10908;5443
2015.05.05;20:00:00;11135;11062;11107;11079;3599
2015.05.06;00:00:00;11181;11091;11120;11103;4699
2015.05.06;04:00:00;11158;11118;11143;11122;624
2015.05.06;08:00:00;11167;11065;11067;11167;2548
2015.05.06;12:00:00;11107;11042;11107;11065;2356
2015.05.06;16:00:00;11118;11076;11098;11108;526
2015.05.06;20:00:00;11081;11008;11039;11057;2147
2015.05.07;00:00:00;11048;10940;10948;11038;2534
2015.05.07;04:00:00;10965;10937;10947;10947;491
2015.05.07;08:00:00;10920;10819;10915;10907;3609
2015.05.07;12:00:00;10934;10883;10930;10917;2401
2015.05.07;16:00:00;10938;10914;10933;10928;527
2015.05.07;20:00:00;10958;10846;10896;10951;2935
2015.05.08;00:00:00;10900;10823;10839;10897;2608
2015.05.08;04:00:00;10926;10867;10904;10899;2544
2015.05.08;08:00:00;10921;10837;10875;10903;2525
2015.05.08;12:00:00;10890;10874;10885;10876;409
2015.05.08;16:00:00;10893;10828;10854;10843;2223
2015.05.08;20:00:00;10869;10813;10824;10852;2278
2015.05.11;00:00:00;10839;10815;10837;10826;458
2015.05.11;04:00:00;10824;10735;10794;10821;2758
2015.05.11;08:00:00;10800;10740;10777;10795;2419
2015.05.11;12:00:00;10809;10761;10794;10776;504
2015.05.11;16:00:00;10900;10813;10892;10855;2210
2015.05.11;20:00:00;10938;10890;10903;10891;1911
2015.05.12;00:00:00;10919;10898;10903;10902;392
2015.05.12;04:00:00;11014;10899;10981;10933;2927
2015.05.12;08:00:00;11010;10973;10996;10983;1795
2015.05.12;12:00:00;11192;11058;11060;11102;2443
2015.05.12;16:00:00;11075;11002;11046;11059;3009
2015.05.12;20:00:00;11058;11003;11003;11045;574
2015.05.13;00:00:00;11025;10928;10996;10942;2716
2015.05.13;04:00:00;11021;10932;10940;10997;2349
2015.05.13;08:00:00;10952;10931;10942;10939;521
2015.05.13;12:00:00;10914;10815;10826;10911;3059
2015.05.13;16:00:00;10864;10778;10800;10825;2842
2015.05.13;20:00:00;10808;10782;10797;10798;641
2015.05.14;00:00:00;10810;10678;10773;10796;2790
2015.05.14;04:00:00;10817;10743;10794;10774;2490
2015.05.14;08:00:00;10866;10795;10858;10795;760
2015.05.14;12:00:00;10948;10836;10945;10838;2356
2015.05.14;16:00:00;10948;10761;10770;10944;3113
2015.05.14;20:00:00;10862;10698;10852;10752;3242
2015.05.15;00:00:00;10865;10777;10865;10849;3759
2015.05.15;04:00:00;10891;10835;10846;10866;732
2015.05.15;08:00:00;10848;10722;10742;10827;2880
2015.05.15;12:00:00;10755;10622;10679;10741;3415
2015.05.15;16:00:00;10691;10669;10683;10678;627
2015.05.15;20:00:00;10805;10713;10784;10721;2755
2015.05.18;00:00:00;10828;10723;10825;10782;3308
2015.05.18;04:00:00;10861;10819;10821;10823;871
2015.05.18;08:00:00;10892;10782;10844;10795;3706
2015.05.18;12:00:00;10850;10735;10772;10845;4509
2015.05.18;16:00:00;10782;10745;10751;10773;654
2015.05.18;20:00:00;10744;10639;10684;10744;3423
2015.05.19;00:00:00;10769;10468;10496;10685;5525
2015.05.19;04:00:00;10530;10433;10507;10509;2162
2015.05.19;08:00:00;10576;10471;10561;10506;2874
2015.05.19;12:00:00;10588;10558;10566;10560;479
2015.05.19;16:00:00;10723;10640;10685;10664;3160
2015.05.19;20:00:00;10726;10631;10644;10686;2706
2015.05.20;00:00:00;10669;10630;10635;10643;715
2015.05.20;04:00:00;10604;10467;10479;10604;3872
2015.05.20;08:00:00;10507;10421;10463;10480;4184
2015.05.20;12:00:00;10463;10417;10429;10462;1024
2015.05.20;16:00:00;10454;10352;10429;10381;3990
2015.05.20;20:00:00;10459;10334;10336;10431;4272
2015.05.21;00:00:00;10360;10318;10337;10335;876
2015.05.21;04:00:00;10464;10307;10312;10449;3665
2015.05.21;08:00:00;10393;10223;10255;10311;4956
2015.05.21;12:00:00;10257;10101;10159;10188;4696
2015.05.21;16:00:00;10290;10138;10192;10160;5188
2015.05.21;20:00:00;10213;10141;10141;10193;672
2015.05.22;00:00:00;10268;10041;10268;10052;4255
2015.05.22;04:00:00;10272;10143;10173;10267;5614
2015.05.22;08:00:00;10194;10163;10180;10171;1157
2015.05.22;12:00:00;10199;10015;10069;10125;4946
2015.05.22;16:00:00;10236;10043;10181;10068;4461
2015.05.22;20:00:00;10233;10180;10206;10184;876
2015.05.25;00:00:00;10224;10102;10123;10206;4659
2015.05.25;04:00:00;10131;9774;9880;10125;9230
2015.05.25;08:00:00;9953;9816;9826;9879;1143
2015.05.25;12:00:00;9935;9352;9554;9881;10098
2015.05.25;16:00:00;9684;9436;9623;9552;8457
2015.05.25;20:00:00;9915;9646;9815;9698;7202
2015.05.26;00:00:00;9959;9809;9938;9810;5675
2015.05.26;04:00:00;9973;9918;9948;9939;1093
2015.05.26;08:00:00;9958;9797;9852;9882;6321
2015.05.26;12:00:00;9935;9816;9909;9850;5611
2015.05.26;16:00:00;9939;9885;9916;9908;785
2015.05.26;20:00:00;10133;9853;10116;9893;5218
2015.05.27;00:00:00;10168;10038;10131;10118;5197
2015.05.27;04:00:00;10154;10130;10148;10130;578
2015.05.27;08:00:00;10171;10067;10150;10169;4457
2015.05.27;12:00:00;10241;10127;10216;10152;4328
2015.05.27;16:00:00;10247;10208;10247;10217;771
2015.05.27;20:00:00;10322;10130;10176;10147;4894
2015.05.28;00:00:00;10322;10170;10321;10175;3684
2015.05.28;04:00:00;10354;10258;10345;10292;4173
2015.05.28;08:00:00;10367;10264;10343;10347;4780
2015.05.28;12:00:00;10354;10324;10336;10342;731
2015.05.28;16:00:00;10472;10160;10243;10444;5936
2015.05.28;20:00:00;10250;10089;10188;10241;4855
2015.05.29;00:00:00;10209;10178;10189;10187;659
2015.05.29;04:00:00;10383;10247;10382;10249;3530
2015.05.29;08:00:00;10424;10350;10400;10381;4092
2015.05.29;12:00:00;10419;10391;10391;10401;412
2015.05.29;16:00:00;10439;10323;10357;10408;3267
2015.05.29;20:00:00;10376;10237;10242;10358;3264
2015.06.01;00:00:00;10249;10202;10241;10243;782
2015.06.01;04:00:00;10333;9991;10018;10295;6207
2015.06.01;08:00:00;10231;10013;10228;10017;5043
2015.06.01;12:00:00;10474;10325;10455;10469;4330
2015.06.01;16:00:00;10512;10409;10494;10454;3842
2015.06.01;20:00:00;10496;10462;10471;10493;862
2015.06.02;00:00:00;10501;10386;10416;10462;3382
2015.06.02;04:00:00;10471;10330;10370;10417;3216
2015.06.02;08:00:00;10386;10354;10371;10371;746
2015.06.02;12:00:00;10454;10308;10355;10359;3456
2015.06.02;16:00:00;10358;10144;10144;10357;3963
2015.06.02;20:00:00;10172;10137;10142;10143;969
2015.06.03;00:00:00;10262;10130;10242;10242;3815
2015.06.03;04:00:00;10307;10238;10276;10241;3293
2015.06.03;08:00:00;10295;10256;10268;10275;818
2015.06.03;12:00:00;10305;10175;10293;10246;3391
2015.06.03;16:00:00;10457;10171;10186;10291;6382
2015.06.03;20:00:00;10304;10113;10144;10271;4293
2015.06.04;00:00:00;10177;10015;10118;10143;5592
2015.06.04;04:00:00;10138;10105;10125;10119;744
2015.06.04;08:00:00;10210;10052;10181;10090;3762
2015.06.04;12:00:00;10282;10141;10267;10180;2833
2015.06.04;16:00:00;10284;10250;10270;10270;601
2015.06.04;20:00:00;10388;10292;10387;10306;2554
2015.06.05;00:00:00;10417;10296;10350;10388;2642
2015.06.05;04:00:00;10363;10328;10335;10349;426
2015.06.05;08:00:00;10341;10208;10209;10301;3994
2015.06.05;12:00:00;10214;10155;10156;10210;3281
2015.06.05;16:00:00;10157;10133;10154;10155;660
2015.06.05;20:00:00;10248;10163;10184;10204;3046
2015.06.08;00:00:00;10192;10040;10173;10186;3523
2015.06.08;04:00:00;10184;10054;10072;10181;4306
2015.06.08;08:00:00;10149;10058;10132;10071;3477
2015.06.08;12:00:00;10154;10131;10145;10133;471
2015.06.08;16:00:00;10184;10036;10175;10053;2560
2015.06.08;20:00:00;10332;10159;10325;10176;2864
2015.06.09;00:00:00;10337;10304;10307;10324;568
2015.06.09;04:00:00;10456;10302;10427;10324;2693
2015.06.09;08:00:00;10466;10400;10417;10423;1915
2015.06.09;12:00:00;10435;10405;10426;10418;380
2015.06.09;16:00:00;10449;10369;10429;10396;2602
2015.06.09;20:00:00;10450;10327;10354;10427;2530
2015.06.10;00:00:00;10381;10347;10370;10356;404
2015.06.10;04:00:00;10336;10152;10160;10325;4137
2015.06.10;08:00:00;10193;10132;10182;10156;2040
2015.06.10;12:00:00;10453;10208;10438;10221;4037
2015.06.10;16:00:00;10530;10429;10522;10436;2747
2015.06.10;20:00:00;10549;10499;10520;10521;653
2015.06.11;00:00:00;10717;10534;10660;10551;3288
2015.06.11;04:00:00;10706;10643;10662;10659;2295
2015.06.11;08:00:00;10664;10633;10639;10664;415
2015.06.11;12:00:00;10781;10611;10752;10617;2635
2015.06.11;16:00:00;10791;10691;10691;10753;2286
2015.06.11;20:00:00;10706;10678;10692;10693;560
2015.06.12;00:00:00;10736;10635;10663;10723;2659
2015.06.12;04:00:00;10678;10611;10652;10664;2519
2015.06.12;08:00:00;10657;10630;10640;10653;419
2015.06.12;12:00:00;10712;10628;10693;10661;2253
2015.06.12;16:00:00;10743;10685;10735;10692;1322
2015.06.12;20:00:00;10742;10653;10724;10705;3156
2015.06.15;00:00:00;10756;10714;10744;10725;1620
2015.06.15;04:00:00;10778;10740;10766;10743;382
2015.06.15;08:00:00;10752;10657;10681;10692;3399
2015.06.15;12:00:00;10720;10645;10648;10680;2730
2015.06.15;16:00:00;10677;10644;10664;10647;510
2015.06.15;20:00:00;10747;10650;10707;10694;3542
2015.06.16;00:00:00;10760;10698;10745;10706;3034
2015.06.16;04:00:00;10748;10729;10738;10744;528
2015.06.16;08:00:00;10843;10749;10830;10774;2462
2015.06.16;12:00:00;10903;10828;10901;10831;1880
2015.06.16;16:00:00;10904;10869;10874;10900;529
2015.06.16;20:00:00;10922;10854;10872;10912;2421
2015.06.17;00:00:00;10934;10584;10648;10873;6484
2015.06.17;04:00:00;10814;10721;10784;10747;2222
2015.06.17;08:00:00;10900;10780;10884;10783;3034
2015.06.17;12:00:00;10905;10880;10891;10883;560
2015.06.17;16:00:00;10919;10849;10858;10861;2728
2015.06.17;20:00:00;10861;10808;10812;10859;1807
2015.06.18;00:00:00;10822;10802;10803;10811;412
2015.06.18;04:00:00;10707;10621;10634;10688;3861
2015.06.18;08:00:00;10635;10470;10497;10631;4312
2015.06.18;12:00:00;10499;10456;10456;10498;830
2015.06.18;16:00:00;10592;10455;10531;10538;3373
2015.06.18;20:00:00;10251;10200;10203;10251;1012
2015.06.19;00:00:00;10219;10102;10148;10204;3522
2015.06.19;04:00:00;10245;10132;10210;10149;4471
2015.06.19;08:00:00;10265;9984;10001;10208;5318
2015.06.19;12:00:00;10009;9844;9909;10000;5107
2015.06.19;16:00:00;9961;9689;9760;9951;9488
2015.06.19;20:00:00;9968;9659;9968;9759;9302
2015.06.22;00:00:00;10111;9963;10006;9966;5340
2015.06.22;04:00:00;10035;9912;9965;9961;6630
2015.06.22;08:00:00;10102;9922;10056;9961;6025
2015.06.22;12:00:00;10097;10048;10059;10055;3588
2015.06.22;16:00:00;10305;10164;10294;10224;4868
2015.06.22;20:00:00;10379;10270;10351;10292;2804
2015.06.23;00:00:00;10443;10302;10436;10350;1582
2015.06.23;04:00:00;10499;10181;10268;10467;5656
2015.06.23;08:00:00;10417;10242;10415;10267;5434
2015.06.23;12:00:00;10420;10332;10370;10413;2239
2015.06.23;16:00:00;10460;10370;10387;10381;3087
2015.06.23;20:00:00;10390;10291;10348;10385;2819
2015.06.24;00:00:00;10402;10337;10392;10346;1269
2015.06.24;04:00:00;10419;10308;10416;10374;3251
2015.06.24;08:00:00;10460;10403;10457;10415;2163
2015.06.24;12:00:00;10506;10449;10489;10458;1295
2015.06.24;16:00:00;10505;10462;10477;10468;1359
2015.06.24;20:00:00;10479;10465;10475;10478;111
2015.06.25;00:00:00;10436;10207;10306;10405;4452
2015.06.25;04:00:00;10355;10229;10344;10302;2201
2015.06.25;08:00:00;10393;10326;10357;10345;1205
2015.06.25;12:00:00;10345;10259;10298;10339;2968
2015.06.25;16:00:00;10323;10263;10305;10297;1919
2015.06.25;20:00:00;10307;10255;10271;10304;1314
2015.06.26;00:00:00;10311;10248;10271;10252;1177
2015.06.26;04:00:00;10286;10268;10279;10270;183
