DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;8645.5;8611.5;8619;8628.5;812
2015.04.27;16:00:00;8659.5;8514;8627.5;8627.5;3813
2015.04.27;20:00:00;8628;8498.5;8565.5;8628;4797
2015.04.28;00:00:00;8734;8564.5;8685.5;8567;3899
2015.04.28;04:00:00;8698;8629;8631.5;8685;1367
2015.04.28;08:00:00;8705.5;8641;8685.5;8644.5;2844
2015.04.28;12:00:00;8692.5;8648.5;8681.5;8685;2405
2015.04.28;16:00:00;8717;8665.5;8698;8679.5;3056
2015.04.28;20:00:00;8765;8694;8757;8698.5;1892
2015.04.29;00:00:00;8869.5;8752;8856.5;8763;2618
2015.04.29;04:00:00;8920;8857;8910;8857.5;1779
2015.04.29;08:00:00;8983.5;8907;8970.5;8912;2033
2015.04.29;12:00:00;8990;8954.5;8987.5;8971;683
2015.04.29;16:00:00;9029.5;8867;8883;9026;5215
2015.04.29;20:00:00;8891.5;8838;8873;8882;6062
2015.04.30;00:00:00;8928;8866;8914;8873.5;3884
2015.04.30;04:00:00;8942.5;8911;8924.5;8914.5;897
2015.04.30;08:00:00;8970;8924;8968;8951;3470
2015.04.30;12:00:00;8985;8957;8965.5;8968.5;2884
2015.04.30;16:00:00;8977.5;8938.5;8977.5;8966;2540
2015.04.30;20:00:00;8990;8973;8990;8977;467
2015.05.01;00:00:00;9018;8962.5;8981.5;8998;2911
2015.05.01;04:00:00;9009.5;8975;8989.5;8982;2999
2015.05.01;08:00:00;8992;8931;8955.5;8989;1998
2015.05.01;12:00:00;8960.5;8942.5;8950.5;8956;263
2015.05.01;16:00:00;8980;8927.5;8948;8980;4379
2015.05.01;20:00:00;8962;8923.5;8948;8948.5;2945
2015.05.04;00:00:00;8973.5;8933.5;8955.5;8949.5;2093
2015.05.04;04:00:00;8964.5;8944;8952;8955;413
2015.05.04;08:00:00;8964.5;8920.5;8948;8947.5;2643
2015.05.04;12:00:00;8955;8896;8911.5;8948.5;1906
2015.05.04;16:00:00;8931;8881.5;8904.5;8912;1844
2015.05.04;20:00:00;8915.5;8901.5;8909;8905;182
2015.05.05;00:00:00;8975;8854.5;8960;8854.5;5117
2015.05.05;04:00:00;8992;8858;8879;8959.5;4850
2015.05.05;08:00:00;8902;8825.5;8837;8879.5;5319
2015.05.05;12:00:00;8842;8820;8834.5;8837.5;1719
2015.05.05;16:00:00;8870;8808;8846.5;8833.5;5594
2015.05.05;20:00:00;8910;8841;8860;8847;4539
2015.05.06;00:00:00;8875;8730.5;8755.5;8859.5;6427
2015.05.06;04:00:00;8799.5;8743;8768;8755;2449
2015.05.06;08:00:00;8855;8771;8854;8793;5488
2015.05.06;12:00:00;8854.5;8822;8844;8853.5;4198
2015.05.06;16:00:00;8867.5;8798;8863;8842;4391
2015.05.06;20:00:00;8869.5;8849.5;8866.5;8862.5;1837
2015.05.07;00:00:00;8972;8886.5;8971;8895;3726
2015.05.07;04:00:00;9022;8966.5;9012;8971.5;3244
2015.05.07;08:00:00;9072;9012.5;9043.5;9013;2882
2015.05.07;12:00:00;9064;9041.5;9050;9043;785
2015.05.07;16:00:00;9060;9018;9042.5;9046;4552
2015.05.07;20:00:00;9096.5;9029.5;9054.5;9043;5748
2015.05.08;00:00:00;9087;8987.5;9035.5;9055;6673
2015.05.08;04:00:00;9061.5;9029;9040;9035;1016
2015.05.08;08:00:00;9113;9021.5;9097;9028.5;4614
2015.05.08;12:00:00;9111.5;9021;9033;9097.5;4491
2015.05.08;16:00:00;9080;9013;9036.5;9032;6584
2015.05.08;20:00:00;9044.5;9022;9034;9038.5;1240
2015.05.11;00:00:00;9141;9028.5;9132;9052.5;3998
2015.05.11;04:00:00;9207.5;9126.5;9204.5;9131.5;4611
2015.05.11;08:00:00;9208;9098;9114.5;9205;5204
2015.05.11;12:00:00;9145.5;9082;9132.5;9114;2516
2015.05.11;16:00:00;9194.5;9073;9164.5;9083.5;5440
2015.05.11;20:00:00;9186;9086;9111;9165;6981
2015.05.12;00:00:00;9149;9083.5;9097.5;9111.5;6529
2015.05.12;04:00:00;9152;9095;9137;9096;2270
2015.05.12;08:00:00;9200.5;8126.5;8301;9179;8523
2015.05.12;12:00:00;8371.5;7836.5;8191;8302;15641
2015.05.12;16:00:00;8341;8171.5;8223.5;8191.5;7643
2015.05.12;20:00:00;8225.5;8091.5;8109.5;8224;1626
2015.05.13;00:00:00;8194;7768;7942.5;8126.5;8623
2015.05.13;04:00:00;8006.5;7870;7878;7941;7217
2015.05.13;08:00:00;7959;7793;7945.5;7881;7234
2015.05.13;12:00:00;7951.5;7899.5;7914;7946.5;710
2015.05.13;16:00:00;8119.5;7891.5;8060.5;7917;5873
2015.05.13;20:00:00;8150;8054.5;8145;8060;4141
2015.05.14;00:00:00;8154;8024.5;8067;8145.5;2369
2015.05.14;04:00:00;8078.5;8065.5;8078;8066.5;432
2015.05.14;08:00:00;8180;8070;8141;8100.5;4732
2015.05.14;12:00:00;8166;8104;8121.5;8141.5;4571
2015.05.14;16:00:00;8159.5;8064;8089;8119.5;5847
2015.05.14;20:00:00;8128;8084.5;8094;8088;1055
2015.05.15;00:00:00;8112;7914.5;7936;8089;3589
2015.05.15;04:00:00;7958.5;7818.5;7863.5;7936.5;6339
2015.05.15;08:00:00;7937;7828;7892;7864.5;5339
2015.05.15;12:00:00;7909.5;7878;7899;7891;746
2015.05.15;16:00:00;7922.5;7783.5;7788.5;7918.5;4098
2015.05.15;20:00:00;7864.5;7754;7795.5;7790.5;6615
2015.05.18;00:00:00;7926.5;7788;7916.5;7794.5;4986
2015.05.18;04:00:00;7954;7904;7942;7917;705
2015.05.18;08:00:00;8042;7894;8001;7927;4493
2015.05.18;12:00:00;8061.5;7985.5;8030.5;8000.5;5113
2015.05.18;16:00:00;8068;7993.5;8042.5;8028;4209
2015.05.18;20:00:00;8045;8020;8020;8043;409
2015.05.19;00:00:00;8192;7995.5;8157;7997.5;5250
2015.05.19;04:00:00;8208;8145.5;8193;8156.5;4958
2015.05.19;08:00:00;8226.5;8178;8218;8192;3765
2015.05.19;12:00:00;8243.5;8209;8242;8218.5;365
2015.05.19;16:00:00;8349;8210.5;8258;8212.5;5795
2015.05.19;20:00:00;8282;8213;8257.5;8257;5335
2015.05.20;00:00:00;8333.5;8249.5;8323.5;8251;5384
2015.05.20;04:00:00;8336;8302;8304.5;8323;713
2015.05.20;08:00:00;8352;8202;8231.5;8348;5694
2015.05.20;12:00:00;8289;8224;8284;8232;5258
2015.05.20;16:00:00;8294.5;8209;8249;8284.5;4890
2015.05.20;20:00:00;8272;8155;8161.5;8250.5;1773
2015.05.21;00:00:00;8328;8168;8324.5;8184;4727
2015.05.21;04:00:00;8336;8273.5;8298;8333.5;4838
2015.05.21;08:00:00;8373.5;8271.5;8371.5;8300;4266
2015.05.21;12:00:00;8393;8362;8382;8372;866
2015.05.21;16:00:00;8414;8335;8350.5;8373.5;4546
2015.05.21;20:00:00;8389;8340.5;8383;8350;4529
2015.05.22;00:00:00;8385;8262;8319.5;8382;5785
2015.05.22;04:00:00;8350.5;8238.5;8242;8319;1571
2015.05.22;08:00:00;8377.5;8289;8329.5;8297;3872
2015.05.22;12:00:00;8361.5;8304;8324.5;8331;4102
2015.05.22;16:00:00;8368;8306;8325.5;8321;6004
2015.05.22;20:00:00;8397;8325;8396;8325;1523
2015.05.25;00:00:00;8421.5;8331.5;8396.5;8381;3686
2015.05.25;04:00:00;8404;8357;8379.5;8396;4150
2015.05.25;08:00:00;8392.5;8328;8392.5;8381;5840
2015.05.25;12:00:00;8405;8370.5;8405;8393;1146
2015.05.25;16:00:00;8484;8368.5;8470;8390;4039
2015.05.25;20:00:00;8516;8470;8492.5;8470.5;3817
2015.05.26;00:00:00;8521;8486.5;8501;8494.5;4227
2015.05.26;04:00:00;8527;8463;8465;8500.5;1298
2015.05.26;08:00:00;8466.5;8409.5;8455.5;8427;3456
2015.05.26;12:00:00;8467;8422.5;8442;8453.5;3500
2015.05.26;16:00:00;8461;8422.5;8445;8441.5;3084
2015.05.26;20:00:00;8463.5;8437.5;8458.5;8446;610
2015.05.27;00:00:00;8454;8391.5;8443;8451.5;2620
2015.05.27;04:00:00;8509;8436.5;8497;8442.5;4448
2015.05.27;08:00:00;8525;8464.5;8483.5;8496.5;2949
2015.05.27;12:00:00;8489.5;8442.5;8471;8484;1467
2015.05.27;16:00:00;8486;8427;8478.5;8447.5;3638
2015.05.27;20:00:00;8533;8457.5;8517.5;8479;4561
2015.05.28;00:00:00;8541.5;8501.5;8512;8517;3667
2015.05.28;04:00:00;8517.5;8491.5;8514.5;8512.5;971
2015.05.28;08:00:00;8542;8462.5;8492.5;8534;3585
2015.05.28;12:00:00;8529;8490;8518;8493;3764
2015.05.28;16:00:00;8539.5;8484;8533.5;8518.5;3117
2015.05.28;20:00:00;8554;8533.5;8553.5;8534;537
2015.05.29;00:00:00;8547;8479;8479.5;8533.5;2668
2015.05.29;04:00:00;8494.5;8441.5;8494.5;8474;3171
2015.05.29;08:00:00;8496;8464;8487.5;8495;2897
2015.05.29;12:00:00;8510;8477;8502.5;8488;842
2015.05.29;16:00:00;8514;8479.5;8497;8507;3814
2015.05.29;20:00:00;8506.5;8465;8501;8496.5;3495
2015.06.01;00:00:00;8542.5;8491;8542;8500.5;3017
2015.06.01;04:00:00;8567.5;8539.5;8562;8542.5;361
2015.06.01;08:00:00;8574;8513.5;8555;8560.5;2549
