DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;8717.5;8683.5;8691.5;8699.5;863
2015.04.27;16:00:00;8731.5;8586;8702.5;8699.5;4565
2015.04.27;20:00:00;8703.5;8574.5;8641.5;8703.5;5028
2015.04.28;00:00:00;8810;8640.5;8761.5;8643;4278
2015.04.28;04:00:00;8774;8704;8706.5;8761;1400
2015.04.28;08:00:00;8781.5;8716.5;8760.5;8720;3429
2015.04.28;12:00:00;8767.5;8724;8756.5;8760;3048
2015.04.28;16:00:00;8792.5;8740;8773.5;8754.5;3541
2015.04.28;20:00:00;8839.5;8768.5;8832;8773;1930
2015.04.29;00:00:00;8945.5;8827;8933.5;8838;3094
2015.04.29;04:00:00;8998.5;8934;8989;8934.5;2280
2015.04.29;08:00:00;9061;8984.5;9048;8991;2108
2015.04.29;12:00:00;9067.5;9032;9065;9048.5;632
2015.04.29;16:00:00;9107;8944.5;8960.5;9103.5;5312
2015.04.29;20:00:00;8968;8914.5;8949.5;8959.5;6308
2015.04.30;00:00:00;9004.5;8942.5;8990.5;8950;4008
2015.04.30;04:00:00;9019;8987.5;9001;8991;906
2015.04.30;08:00:00;9046.5;9000.5;9044;9027.5;3580
2015.04.30;12:00:00;9061;9033;9041.5;9044.5;2970
2015.04.30;16:00:00;9053.5;9014.5;9053.5;9042;2584
2015.04.30;20:00:00;9066;9049;9066;9053;485
2015.05.01;00:00:00;9092.5;9038.5;9056;9074;2997
2015.05.01;04:00:00;9084;9049.5;9064;9056.5;3016
2015.05.01;08:00:00;9066.5;9005.5;9030;9063.5;1998
2015.05.01;12:00:00;9035;9017;9025;9030.5;261
2015.05.01;16:00:00;9054.5;9002;9022.5;9054.5;4405
2015.05.01;20:00:00;9036.5;8998;9022.5;9023;2961
2015.05.04;00:00:00;9048;9008;9030;9024;2111
2015.05.04;04:00:00;9039;9018.5;9026.5;9029.5;407
2015.05.04;08:00:00;9039;8995;9022.5;9022;2652
2015.05.04;12:00:00;9029.5;8970.5;8986;9023;1923
2015.05.04;16:00:00;9004.5;8955;8978;8986.5;1859
2015.05.04;20:00:00;8989;8975;8982.5;8978.5;177
2015.05.05;00:00:00;9049;8928;9034;8928;5161
2015.05.05;04:00:00;9066;8932;8953;9033;4895
2015.05.05;08:00:00;8976;8899.5;8911;8953.5;5335
2015.05.05;12:00:00;8916;8894;8908.5;8911.5;1704
2015.05.05;16:00:00;8944;8882;8926.5;8907.5;5629
2015.05.05;20:00:00;8990;8921;8940;8927;4574
2015.05.06;00:00:00;8955;8810.5;8835.5;8939.5;6486
2015.05.06;04:00:00;8879;8823;8848;8835;2324
2015.05.06;08:00:00;8940.5;8851;8939.5;8873;5563
2015.05.06;12:00:00;8940;8907.5;8929.5;8939;4249
2015.05.06;16:00:00;8953;8883.5;8948.5;8927.5;4394
2015.05.06;20:00:00;8955;8935;8952;8948;1843
2015.05.07;00:00:00;9058;8972;9057;8980.5;3776
2015.05.07;04:00:00;9108;9052.5;9098;9057.5;3270
2015.05.07;08:00:00;9158;9098;9129.5;9098.5;2906
2015.05.07;12:00:00;9150;9127.5;9136;9129;800
2015.05.07;16:00:00;9145;9104;9127.5;9131.5;4593
2015.05.07;20:00:00;9181;9114.5;9139.5;9128;5763
2015.05.08;00:00:00;9172;9072.5;9120.5;9140;6674
2015.05.08;04:00:00;9146.5;9114;9125;9120;997
2015.05.08;08:00:00;9198;9106.5;9182;9113.5;4660
2015.05.08;12:00:00;9196.5;9106;9118;9182.5;4546
2015.05.08;16:00:00;9165;9098;9121.5;9117;6568
2015.05.08;20:00:00;9129.5;9107;9119;9123.5;1243
2015.05.11;00:00:00;9225.5;9113.5;9216.5;9137.5;4008
2015.05.11;04:00:00;9292;9211.5;9289;9217;4587
2015.05.11;08:00:00;9292.5;9182;9199;9289.5;5201
2015.05.11;12:00:00;9229.5;9166.5;9217;9198.5;2475
2015.05.11;16:00:00;9280;9157.5;9250;9168;5292
2015.05.11;20:00:00;9271.5;9171.5;9196.5;9250.5;6896
2015.05.12;00:00:00;9234.5;9169;9183;9197;6449
2015.05.12;04:00:00;9237.5;9180.5;9222.5;9181.5;2246
2015.05.12;08:00:00;9286;8212;8386.5;9264.5;8355
2015.05.12;12:00:00;8457;7922;8276.5;8387.5;15264
2015.05.12;16:00:00;8422.5;8253;8305;8277;7549
2015.05.12;20:00:00;8307;8173;8191;8305.5;1595
2015.05.13;00:00:00;8275.5;7849.5;8024;8208;8460
2015.05.13;04:00:00;8088;7951.5;7959.5;8022.5;7091
2015.05.13;08:00:00;8040.5;7874.5;8027;7962.5;7126
2015.05.13;12:00:00;8033.5;7981;7995.5;8028;695
2015.05.13;16:00:00;8201;7973;8144;7998.5;5800
2015.05.13;20:00:00;8233.5;8138;8228.5;8143.5;4139
2015.05.14;00:00:00;8237.5;8110.5;8150.5;8229;2383
2015.05.14;04:00:00;8162;8149;8161.5;8150;419
2015.05.14;08:00:00;8263.5;8153.5;8226.5;8184;4829
2015.05.14;12:00:00;8251.5;8189.5;8207;8227;4545
2015.05.14;16:00:00;8245;8149.5;8174.5;8205;5738
2015.05.14;20:00:00;8212.5;8170;8179.5;8173.5;1033
2015.05.15;00:00:00;8197.5;8000;8024.5;8174.5;3601
2015.05.15;04:00:00;8047;7907;7952;8025;6296
2015.05.15;08:00:00;8025.5;7916.5;7980.5;7953;5238
2015.05.15;12:00:00;7998;7966.5;7987.5;7979.5;748
2015.05.15;16:00:00;8011;7872;7877;8007;4149
2015.05.15;20:00:00;7953;7842.5;7884;7879;6601
2015.05.18;00:00:00;8025;7876.5;8015;7883;4946
2015.05.18;04:00:00;8052.5;8002.5;8040.5;8015.5;706
2015.05.18;08:00:00;8140.5;7992.5;8100.5;8025.5;4517
2015.05.18;12:00:00;8161;8085;8130;8100;5170
2015.05.18;16:00:00;8167.5;8093;8142;8127.5;4205
2015.05.18;20:00:00;8144.5;8119.5;8119.5;8142.5;403
2015.05.19;00:00:00;8293;8095;8258;8097;5287
2015.05.19;04:00:00;8308.5;8246.5;8294;8257.5;4914
2015.05.19;08:00:00;8327.5;8279;8319;8293;3796
2015.05.19;12:00:00;8344.5;8310;8343;8319.5;363
2015.05.19;16:00:00;8443.5;8311.5;8352.5;8313.5;5915
2015.05.19;20:00:00;8376.5;8307.5;8352;8351.5;5333
2015.05.20;00:00:00;8428;8344;8418;8345.5;5341
2015.05.20;04:00:00;8430.5;8396.5;8399;8417.5;707
2015.05.20;08:00:00;8446.5;8293.5;8323;8442.5;5700
2015.05.20;12:00:00;8380.5;8315;8375.5;8323.5;5274
2015.05.20;16:00:00;8385.5;8300.5;8340.5;8376;4570
2015.05.20;20:00:00;8363.5;8246.5;8251.5;8342;1734
2015.05.21;00:00:00;8420.5;8259.5;8417;8275.5;4769
2015.05.21;04:00:00;8428.5;8366;8390.5;8426;4879
2015.05.21;08:00:00;8466;8364;8464;8392.5;4232
2015.05.21;12:00:00;8485.5;8454.5;8474.5;8464.5;846
2015.05.21;16:00:00;8507;8429;8444.5;8466;4544
2015.05.21;20:00:00;8483;8434.5;8477;8444;4519
2015.05.22;00:00:00;8479;8356;8413.5;8476;5689
2015.05.22;04:00:00;8444.5;8332.5;8336;8413;1554
2015.05.22;08:00:00;8471.5;8383;8422.5;8391;3908
2015.05.22;12:00:00;8454.5;8397;8417.5;8424;4054
2015.05.22;16:00:00;8461;8399;8418.5;8414;5901
2015.05.22;20:00:00;8490;8418;8489;8418;1493
2015.05.25;00:00:00;8514.5;8424.5;8489.5;8474;3701
2015.05.25;04:00:00;8497;8450;8472.5;8489;4132
2015.05.25;08:00:00;8485.5;8421;8485.5;8474;5810
2015.05.25;12:00:00;8498;8463.5;8498;8486;1129
2015.05.25;16:00:00;8575.5;8461.5;8561.5;8483;4031
2015.05.25;20:00:00;8607.5;8561.5;8584;8562;3819
2015.05.26;00:00:00;8612.5;8578;8592.5;8586;4112
2015.05.26;04:00:00;8618.5;8554.5;8556.5;8592;1289
2015.05.26;08:00:00;8558;8501;8547;8518.5;3436
2015.05.26;12:00:00;8558.5;8514;8534;8545;3443
2015.05.26;16:00:00;8552.5;8514;8536.5;8533.5;3025
2015.05.26;20:00:00;8555;8529;8550;8537.5;602
2015.05.27;00:00:00;8546;8483;8536;8543;2625
2015.05.27;04:00:00;8602;8529.5;8590;8535.5;4504
2015.05.27;08:00:00;8618;8557.5;8576.5;8589.5;2944
2015.05.27;12:00:00;8582.5;8535.5;8564;8577;1449
2015.05.27;16:00:00;8583;8520;8575.5;8540.5;3506
2015.05.27;20:00:00;8630;8554.5;8614.5;8576.5;4508
2015.05.28;00:00:00;8638.5;8598.5;8609;8614;3627
2015.05.28;04:00:00;8614.5;8588.5;8611.5;8609.5;962
2015.05.28;08:00:00;8639;8559.5;8589.5;8631;3565
2015.05.28;12:00:00;8624;8587;8613;8590;3777
2015.05.28;16:00:00;8634.5;8579;8628.5;8613.5;3071
2015.05.28;20:00:00;8649;8628.5;8648.5;8629;533
2015.05.29;00:00:00;8642;8573.5;8574;8629;2650
2015.05.29;04:00:00;8589;8536;8589;8573;3166
2015.05.29;08:00:00;8590.5;8558.5;8582;8589.5;2877
2015.05.29;12:00:00;8604.5;8571.5;8597;8582.5;831
2015.05.29;16:00:00;8608.5;8574;8591.5;8601.5;3764
2015.05.29;20:00:00;8597;8559.5;8591.5;8591;3491
2015.06.01;00:00:00;8633;8581.5;8632.5;8591;2999
2015.06.01;04:00:00;8658;8630;8650;8633;366
2015.06.01;08:00:00;8664.5;8604;8645.5;8651;2546
2015.06.01;12:00:00;8664;8614;8663;8646;2643
2015.06.01;16:00:00;8665;8637;8655.5;8661;2346
2015.06.01;20:00:00;8672.5;8652.5;8672.5;8653.5;242
2015.06.02;00:00:00;8694;8630;8691.5;8659;2414
2015.06.02;04:00:00;8732;8690.5;8719.5;8691;897
2015.06.02;08:00:00;8723;8672;8675.5;8720.5;1351
2015.06.02;12:00:00;8675.5;8668;8673.5;8675;145
2015.06.02;16:00:00;8727.5;8662;8709;8707;2423
2015.06.02;20:00:00;8732;8694;8717.5;8708.5;2698
2015.06.03;00:00:00;8783.5;8715;8778.5;8718;2359
2015.06.03;04:00:00;8783;8767.5;8778.5;8779;372
2015.06.03;08:00:00;8798.5;8749;8778;8769.5;1923
2015.06.03;12:00:00;8818;8772;8811;8777.5;1927
2015.06.03;16:00:00;8812.5;8783;8788;8811.5;1896
2015.06.03;20:00:00;8813;8789;8802;8789;556
2015.06.04;00:00:00;8853;8782;8841.5;8807.5;3023
2015.06.04;04:00:00;8878;8836.5;8875;8841;3325
2015.06.04;08:00:00;8912;8868.5;8887.5;8877;2237
2015.06.04;12:00:00;8895;8884;8891;8888;280
2015.06.04;16:00:00;8923;8883.5;8911;8886.5;2892
2015.06.04;20:00:00;8909.5;8832.5;8847;8909.5;4826
2015.06.05;00:00:00;8925.5;8830;8925;8846;3137
2015.06.05;04:00:00;8951.5;8914.5;8915;8925.5;221
2015.06.05;08:00:00;8947;8910;8929.5;8920;2681
2015.06.05;12:00:00;8985.5;8929.5;8983;8930;1974
2015.06.05;16:00:00;8986;8960;8973.5;8984;1690
2015.06.05;20:00:00;8977;8961.5;8972.5;8974;205
2015.06.08;00:00:00;8998.5;8936;8967.5;8984;2366
2015.06.08;04:00:00;8973.5;8936.5;8954;8968;1735
2015.06.08;08:00:00;8989;8949;8976;8954.5;2724
2015.06.08;12:00:00;8992;8975;8984.5;8977;221
2015.06.08;16:00:00;8983;8923.5;8940.5;8980;2354
2015.06.08;20:00:00;8983;8936.5;8959.5;8939;1619
