DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;7035;7024.7;7035;7025.3;369
2015.04.27;16:00:00;7071.3;6983;7010.3;7031.5;3800
2015.04.27;20:00:00;7083.5;7005.3;7076;7010.5;3915
2015.04.28;00:00:00;7079.3;7028.5;7041.3;7075.8;3008
2015.04.28;04:00:00;7047.5;7028.8;7034.7;7041.8;1714
2015.04.28;08:00:00;7046.6;7034.9;7038.6;7034.9;789
2015.04.28;12:00:00;7041.8;7031.6;7038;7038.4;752
2015.04.28;16:00:00;7046.8;6998.8;7017;7037.8;2142
2015.04.28;20:00:00;7018.8;6970;6989.3;7017.3;4497
2015.04.29;00:00:00;7001.3;6942.3;6997.5;6989.5;7597
2015.04.29;04:00:00;7021.8;6989.8;7012.6;6997.3;2171
2015.04.29;08:00:00;7014.6;7008;7014.2;7012.8;532
2015.04.29;12:00:00;7014.4;7002.8;7005.2;7014.4;607
2015.04.29;16:00:00;7021.3;6972.5;7008.8;7005.4;5711
2015.04.29;20:00:00;7009.3;6919.3;6942.5;7008.5;5883
2015.04.30;00:00:00;6954.3;6888.8;6914;6942.8;10150
2015.04.30;04:00:00;6950;6898.5;6936.3;6913.8;4093
2015.04.30;08:00:00;6939.9;6928.3;6937.3;6936.1;817
2015.04.30;12:00:00;6942.7;6923.3;6923.5;6937.5;1123
2015.04.30;16:00:00;6939.8;6868.5;6916.3;6923.3;8274
2015.04.30;20:00:00;6934;6904.3;6923.3;6916.8;5741
2015.05.01;00:00:00;6952.3;6887.3;6919;6923;9648
2015.05.01;04:00:00;6936.8;6890.3;6904;6918.8;3943
2015.05.01;08:00:00;6910.8;6899.6;6909.2;6904.4;777
2015.05.01;12:00:00;6912;6903.4;6911;6909;491
2015.05.01;16:00:00;6924.3;6878.8;6914;6911.6;2102
2015.05.01;20:00:00;6945.3;6910.8;6927.8;6913.8;2229
2015.05.04;00:00:00;6958.3;6927;6949;6928.8;4451
2015.05.04;04:00:00;6997.9;6945;6995.7;6948.8;1710
2015.05.04;08:00:00;6997.1;6983.7;6986.1;6997.1;689
2015.05.04;12:00:00;6988.3;6982.7;6988.3;6985.9;404
2015.05.04;16:00:00;7018.2;6963.9;7014;6988.1;3504
2015.05.04;20:00:00;7028;7001.2;7021.2;7013.8;4283
2015.05.05;00:00:00;7024;6990;7005.8;7021.4;8798
2015.05.05;04:00:00;7010.8;6993;7001.8;7006;4443
2015.05.05;08:00:00;7003.8;6997.4;7000.2;7001.2;409
2015.05.05;12:00:00;7001.4;6991.4;6994.2;7000;445
2015.05.05;16:00:00;7017;6966.5;6996;6993.8;7159
2015.05.05;20:00:00;7005.8;6951.3;6954.5;6996.3;6133
2015.05.06;00:00:00;6992.5;6884.8;6901.5;6952;9661
2015.05.06;04:00:00;6909;6886.8;6905.3;6901.8;2874
2015.05.06;08:00:00;6910.7;6903.9;6908.7;6905.5;606
2015.05.06;12:00:00;6926.7;6906.9;6921.3;6908.9;749
2015.05.06;16:00:00;6937.5;6876.3;6913.8;6921.9;7349
2015.05.06;20:00:00;6925.5;6888.3;6913.8;6913.3;5556
2015.05.07;00:00:00;6927.8;6874.5;6892.5;6913.3;8993
2015.05.07;04:00:00;6893;6859.3;6886.8;6893;2805
2015.05.07;08:00:00;6890;6875;6887;6886.6;826
2015.05.07;12:00:00;6896;6883.6;6890;6887.8;916
2015.05.07;16:00:00;6890.8;6809.5;6818.8;6890.2;7500
2015.05.07;20:00:00;6868.3;6776.3;6846.5;6819;8988
2015.05.08;00:00:00;6873.8;6830;6863.5;6846.3;10116
2015.05.08;04:00:00;6873;6850.8;6869;6863.8;1865
2015.05.08;08:00:00;6941.2;6868;6939.6;6869.2;692
2015.05.08;12:00:00;6959.6;6939.2;6957.4;6939.4;683
2015.05.08;16:00:00;7023.5;6937.5;6960.5;6957.2;8317
2015.05.08;20:00:00;7007;6960.8;6998.3;6961;6874
2015.05.11;00:00:00;7031.8;6989;7019.8;6997.5;7943
2015.05.11;04:00:00;7027.3;7002.7;7005.5;7020.3;1666
2015.05.11;08:00:00;7014.5;7002.7;7006.9;7010.7;873
2015.05.11;12:00:00;7018.8;7005.1;7018.8;7006.3;519
2015.05.11;16:00:00;7056.3;6995.5;7029.3;7018;6723
2015.05.11;20:00:00;7038.8;6997.5;7012.3;7030;5394
2015.05.12;00:00:00;7020.8;6985.3;6985.3;7012;5040
2015.05.12;04:00:00;6992;6969.5;6974.4;6984.8;1597
2015.05.12;08:00:00;6988;6973.6;6986.2;6974.2;768
2015.05.12;12:00:00;6988.2;6979;6985.4;6986.6;708
2015.05.12;16:00:00;7007;6878.8;6879.3;6985.6;6575
2015.05.12;20:00:00;6896.5;6855.3;6882;6878.8;7325
2015.05.13;00:00:00;6923.5;6877.3;6898.5;6880.5;8412
2015.05.13;04:00:00;6910;6893.3;6905.2;6898.8;2503
2015.05.13;08:00:00;6919.6;6905;6916.6;6905;733
2015.05.13;12:00:00;6926.4;6915.8;6918.2;6916.4;811
