DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;18108;18019.5;18066;18020;5843
2015.04.27;16:00:00;18088;18005.5;18059.5;18066.5;7219
2015.04.27;20:00:00;18109;18022.5;18090.5;18060;7842
2015.04.28;00:00:00;18096;18056;18092;18091;3360
2015.04.28;04:00:00;18102.5;18081;18095;18102.5;592
2015.04.28;08:00:00;18101;18090;18097;18094;373
2015.04.28;12:00:00;18132.5;18059.5;18095;18096.5;2894
2015.04.28;16:00:00;18183;18092.5;18145.5;18095.5;2842
2015.04.28;20:00:00;18161.5;18035.5;18072.5;18149;4816
2015.04.29;00:00:00;18081.5;18020.5;18051;18073.5;3547
2015.04.29;04:00:00;18069.5;18036.5;18047.5;18060.5;954
2015.04.29;08:00:00;18062;18043;18048.5;18047;690
2015.04.29;12:00:00;18055.5;18015.5;18023;18047;4057
2015.04.29;16:00:00;18095;17976;18047;18023.5;7252
2015.04.29;20:00:00;18122.5;17911.5;18096.5;18042;12191
2015.04.30;00:00:00;18132.5;18069;18125;18097.5;4468
2015.04.30;04:00:00;18130;18113.5;18123.5;18117.5;599
2015.04.30;08:00:00;18121.5;18100.5;18105.5;18121.5;556
2015.04.30;12:00:00;18137.5;18094;18116;18105;5468
2015.04.30;16:00:00;18120;17964;18059.5;18115.5;9068
2015.04.30;20:00:00;18087.5;17948.5;18042.5;18060.5;14022
2015.05.01;00:00:00;18097;17992.5;18022.5;18043;9465
2015.05.01;04:00:00;18050.5;18009;18019.5;18023.5;1107
2015.05.01;08:00:00;18025;17986;18018;18019;1244
2015.05.01;12:00:00;18028;17934.5;17959;18018.5;7762
2015.05.01;16:00:00;18025.5;17928.5;17928.5;17959.5;8450
2015.05.01;20:00:00;18003.5;17887.5;17924;17929.5;15404
2015.05.04;00:00:00;17937;17765;17857;17925.5;8584
2015.05.04;04:00:00;17874;17846;17862.5;17873;717
2015.05.04;08:00:00;17871.5;17855.5;17870.5;17862;579
2015.05.04;12:00:00;17900;17871;17893;17871;872
2015.05.04;16:00:00;17982;17890.5;17932;17892.5;3576
2015.05.04;20:00:00;18009.5;17925.5;17999.5;17931;8272
2015.05.05;00:00:00;18029.5;17983.5;18013.5;17998.5;3103
2015.05.05;04:00:00;18018.5;17991.5;17997.5;18014.5;688
2015.05.05;08:00:00;18003;17989;18003;17997;406
2015.05.05;12:00:00;18069;17984.5;18054;18002.5;3528
2015.05.05;16:00:00;18129.5;18046;18124.5;18053.5;4236
2015.05.05;20:00:00;18133.5;18058.5;18090;18125;8668
2015.05.06;00:00:00;18108;18056;18072;18090.5;4258
2015.05.06;04:00:00;18076;18060;18066;18071.5;469
2015.05.06;08:00:00;18067;18047.5;18049;18067;517
2015.05.06;12:00:00;18096.5;18025;18067;18051;6069
2015.05.06;16:00:00;18084.5;18003.5;18025.5;18067.5;7859
2015.05.06;20:00:00;18061.5;17939.5;17961;18031;13882
2015.05.07;00:00:00;17976.5;17901;17947.5;17961.5;6536
2015.05.07;04:00:00;17955.5;17932.5;17955;17939;754
2015.05.07;08:00:00;17994.5;17949;17959.5;17955.5;758
2015.05.07;12:00:00;17999;17897.5;17973.5;17959;7736
2015.05.07;16:00:00;18032;17824;17854.5;17973;7338
2015.05.07;20:00:00;17909.5;17772.5;17794.5;17855.5;15300
2015.05.08;00:00:00;17848.5;17728;17842;17795;6623
2015.05.08;04:00:00;17850;17809.5;17849.5;17846;1000
2015.05.08;08:00:00;17862;17831;17843;17850;955
2015.05.08;12:00:00;17845.5;17682;17734;17842.5;8543
2015.05.08;16:00:00;17871.5;17701;17813.5;17737.5;10252
2015.05.08;20:00:00;17974.5;17799.5;17947.5;17812;13048
2015.05.11;00:00:00;17972.5;17910.5;17937.5;17948.5;4534
2015.05.11;04:00:00;17969;17938;17962.5;17949;842
2015.05.11;08:00:00;17967;17948;17958.5;17963;720
2015.05.11;12:00:00;18007.5;17956;17958.5;17958;5821
2015.05.11;16:00:00;18183;17954;18173.5;17958;7979
2015.05.11;20:00:00;18206.5;18158.5;18179.5;18173;7475
2015.05.12;00:00:00;18202.5;18162;18175;18178.5;3592
2015.05.12;04:00:00;18184;18152.5;18163;18183;901
2015.05.12;08:00:00;18175;18158.5;18169.5;18161.5;528
2015.05.12;12:00:00;18174;18144.5;18148.5;18169;4165
2015.05.12;16:00:00;18200;18147;18173.5;18149;4878
2015.05.12;20:00:00;18194.5;18124.5;18129.5;18174.5;8130
2015.05.13;00:00:00;18136.5;18073;18081.5;18127.5;4283
2015.05.13;04:00:00;18098;18081.5;18087.5;18085;882
2015.05.13;08:00:00;18103;18073;18102;18086.5;810
2015.05.13;12:00:00;18116;17926;17963;18103;6458
2015.05.13;16:00:00;18009;17920.5;17965.5;17962.5;9327
2015.05.13;20:00:00;18110.5;17945.5;18075.5;17964.5;13456
2015.05.14;00:00:00;18121.5;18053;18084.5;18076;5453
2015.05.14;04:00:00;18126;18077.5;18112;18086;993
2015.05.14;08:00:00;18125;18104;18117.5;18110;692
2015.05.14;12:00:00;18161;18103;18129;18117;5250
2015.05.14;16:00:00;18142;18051.5;18107.5;18129.5;7143
2015.05.14;20:00:00;18131.5;18038.5;18080.5;18107;11221
2015.05.15;00:00:00;18082.5;18037.5;18071;18081;5035
2015.05.15;04:00:00;18088;18057;18063;18070;997
2015.05.15;08:00:00;18066;18051.5;18061;18063.5;590
2015.05.15;12:00:00;18150;18028.5;18121;18062.5;4106
2015.05.15;16:00:00;18207.5;18115;18185.5;18120.5;5414
2015.05.15;20:00:00;18253.5;18172;18241.5;18186;6083
2015.05.18;00:00:00;18252.5;18231.5;18242;18242.5;2454
2015.05.18;04:00:00;18250.5;18226.5;18238.5;18234;673
2015.05.18;08:00:00;18241;18226;18236;18239;604
2015.05.18;12:00:00;18283;18229;18277;18235.5;4388
2015.05.18;16:00:00;18279.5;18236;18244;18276.5;4929
2015.05.18;20:00:00;18263.5;18213.5;18235.5;18244.5;8387
2015.05.19;00:00:00;18273.5;18225.5;18273.5;18234.5;2199
2015.05.19;04:00:00;18270.5;18239.5;18241.5;18267.5;661
