DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;1.21766;1.21478;1.21652;1.21718;12943
2015.04.27;16:00:00;1.21657;1.20793;1.21015;1.21651;22969
2015.04.27;20:00:00;1.21158;1.20813;1.20842;1.21015;9982
2015.04.28;00:00:00;1.20981;1.20822;1.20954;1.20842;4953
2015.04.28;04:00:00;1.21079;1.20922;1.21076;1.20955;3771
2015.04.28;08:00:00;1.21163;1.20889;1.20959;1.21075;13865
2015.04.28;12:00:00;1.20999;1.20493;1.20631;1.20961;18117
2015.04.28;16:00:00;1.20982;1.20143;1.20236;1.20631;25855
2015.04.28;20:00:00;1.20374;1.20184;1.20313;1.20235;11269
2015.04.29;00:00:00;1.20442;1.20199;1.20344;1.20318;5516
2015.04.29;04:00:00;1.20436;1.2033;1.20371;1.20341;4408
2015.04.29;08:00:00;1.20375;1.20121;1.20207;1.20371;11746
2015.04.29;12:00:00;1.20726;1.19889;1.20178;1.2021;21004
2015.04.29;16:00:00;1.20287;1.19438;1.19728;1.20177;32542
2015.04.29;20:00:00;1.20363;1.19646;1.2018;1.19727;22147
2015.04.30;00:00:00;1.2025;1.20017;1.20135;1.2018;5927
2015.04.30;04:00:00;1.20363;1.2009;1.20253;1.20134;5757
2015.04.30;08:00:00;1.20559;1.1996;1.20246;1.20252;18441
2015.04.30;12:00:00;1.20516;1.20008;1.2038;1.20247;21702
2015.04.30;16:00:00;1.21316;1.20358;1.20905;1.20382;29317
2015.04.30;20:00:00;1.21098;1.2056;1.20742;1.20905;14577
2015.05.01;00:00:00;1.20923;1.20618;1.2086;1.20742;5258
2015.05.01;04:00:00;1.21007;1.20827;1.20858;1.20859;4331
2015.05.01;08:00:00;1.20995;1.20744;1.20942;1.20858;10456
2015.05.01;12:00:00;1.21483;1.20776;1.21269;1.20943;12947
2015.05.01;16:00:00;1.22042;1.21122;1.21796;1.21269;25619
2015.05.01;20:00:00;1.21806;1.21518;1.21653;1.21791;9377
2015.05.04;00:00:00;1.21781;1.21523;1.21703;1.21534;4768
2015.05.04;04:00:00;1.21797;1.21659;1.21687;1.21703;4088
2015.05.04;08:00:00;1.21735;1.21396;1.21429;1.21685;9875
2015.05.04;12:00:00;1.21432;1.20893;1.20916;1.2143;11892
2015.05.04;16:00:00;1.21255;1.20907;1.21098;1.20916;15837
2015.05.04;20:00:00;1.21158;1.2087;1.20939;1.21098;7322
2015.05.05;00:00:00;1.21059;1.2088;1.21045;1.2094;3679
2015.05.05;04:00:00;1.21213;1.21013;1.21153;1.21047;4871
2015.05.05;08:00:00;1.21306;1.2106;1.21139;1.21155;12117
2015.05.05;12:00:00;1.2119;1.20463;1.20534;1.21138;16921
2015.05.05;16:00:00;1.20631;1.20015;1.20366;1.20533;26519
2015.05.05;20:00:00;1.20763;1.20308;1.20675;1.20365;9304
2015.05.06;00:00:00;1.20869;1.20599;1.20831;1.20675;5428
2015.05.06;04:00:00;1.20859;1.20295;1.20327;1.2083;7069
2015.05.06;08:00:00;1.20516;1.20255;1.20256;1.20328;14156
2015.05.06;12:00:00;1.20383;1.19834;1.20051;1.20256;18921
2015.05.06;16:00:00;1.20442;1.19394;1.20316;1.20051;28537
2015.05.06;20:00:00;1.20515;1.20274;1.20459;1.20317;9885
2015.05.07;00:00:00;1.20486;1.2033;1.20482;1.20465;7944
2015.05.07;04:00:00;1.20553;1.20376;1.20421;1.20482;6536
2015.05.07;08:00:00;1.20824;1.2034;1.20687;1.20422;13728
2015.05.07;12:00:00;1.20954;1.20529;1.20758;1.20685;20003
2015.05.07;16:00:00;1.2157;1.20693;1.21505;1.2076;21171
2015.05.07;20:00:00;1.21624;1.21123;1.21262;1.21504;10156
2015.05.08;00:00:00;1.21306;1.20976;1.2106;1.21262;7728
2015.05.08;04:00:00;1.21171;1.20935;1.21042;1.21062;7555
2015.05.08;08:00:00;1.21208;1.20942;1.20942;1.21043;13615
2015.05.08;12:00:00;1.21438;1.20446;1.20888;1.20943;20531
2015.05.08;16:00:00;1.21448;1.20664;1.20935;1.20887;25759
2015.05.08;20:00:00;1.21008;1.20635;1.20732;1.20937;9379
2015.05.11;00:00:00;1.21006;1.2075;1.20971;1.2075;3213
