DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;6.283;6.2777;6.2777;6.2799;285
2015.04.27;16:00:00;6.2763;6.2723;6.2737;6.2738;1586
2015.04.27;20:00:00;6.28;6.2722;6.28;6.2737;2316
2015.04.28;00:00:00;6.2801;6.2737;6.2763;6.2799;1911
2015.04.28;04:00:00;6.2784;6.2738;6.2774;6.2762;1409
2015.04.28;08:00:00;6.2786;6.2758;6.277;6.2773;482
2015.04.28;12:00:00;6.2795;6.2756;6.2764;6.2769;1883
2015.04.28;16:00:00;6.2764;6.2707;6.2732;6.2763;3138
2015.04.28;20:00:00;6.2734;6.2667;6.2695;6.2731;2161
2015.04.29;00:00:00;6.2754;6.2688;6.2743;6.2695;1165
2015.04.29;04:00:00;6.2751;6.2716;6.2733;6.2743;229
2015.04.29;08:00:00;6.2733;6.2689;6.2724;6.269;1553
2015.04.29;12:00:00;6.2888;6.2706;6.2834;6.2723;4410
2015.04.29;16:00:00;6.2873;6.2812;6.2841;6.2834;2039
2015.04.29;20:00:00;6.2857;6.2811;6.283;6.284;1284
2015.04.30;00:00:00;6.2857;6.283;6.2836;6.283;193
2015.04.30;04:00:00;6.2759;6.2741;6.2749;6.2755;1073
2015.04.30;08:00:00;6.2771;6.2732;6.2761;6.2749;2246
2015.04.30;12:00:00;6.276;6.2628;6.267;6.276;2399
2015.04.30;16:00:00;6.2705;6.2657;6.267;6.2669;1010
2015.04.30;20:00:00;6.2694;6.2662;6.2663;6.2669;220
2015.05.01;00:00:00;6.2604;6.2572;6.2576;6.2604;1137
2015.05.01;04:00:00;6.2579;6.2421;6.2431;6.2577;3633
2015.05.01;08:00:00;6.2472;6.2426;6.2432;6.2429;1762
2015.05.01;12:00:00;6.2482;6.2431;6.2455;6.2433;1013
2015.05.01;16:00:00;6.2467;6.2418;6.2418;6.2453;427
2015.05.01;20:00:00;6.2412;6.2373;6.2388;6.2379;1718
2015.05.04;00:00:00;6.2401;6.2336;6.2359;6.2389;2820
2015.05.04;04:00:00;6.241;6.2341;6.2358;6.2361;1569
2015.05.04;08:00:00;6.2379;6.2268;6.2277;6.2359;2093
2015.05.04;12:00:00;6.2311;6.22;6.2214;6.2281;1625
2015.05.04;16:00:00;6.2113;6.2002;6.2062;6.2063;4753
2015.05.04;20:00:00;6.2137;6.2047;6.2126;6.2061;4975
2015.05.05;00:00:00;6.2132;6.2075;6.2088;6.2126;1997
2015.05.05;04:00:00;6.2133;6.2085;6.2131;6.2087;1545
2015.05.05;08:00:00;6.2156;6.213;6.2154;6.213;321
2015.05.05;12:00:00;6.2061;6.1994;6.2036;6.1994;3080
2015.05.05;16:00:00;6.2221;6.2021;6.2132;6.2038;5431
2015.05.05;20:00:00;6.2158;6.2031;6.2059;6.2134;2105
2015.05.06;00:00:00;6.207;6.1992;6.2031;6.2059;1674
2015.05.06;04:00:00;6.2032;6.1998;6.2011;6.2032;180
2015.05.06;08:00:00;6.2111;6.2024;6.2063;6.2025;3945
2015.05.06;12:00:00;6.2151;6.2061;6.2093;6.2064;3932
2015.05.06;16:00:00;6.2096;6.2039;6.2062;6.2095;1350
2015.05.06;20:00:00;6.2097;6.2034;6.2045;6.2063;1254
2015.05.07;00:00:00;6.2048;6.2017;6.2033;6.2046;233
2015.05.07;04:00:00;6.2159;6.2073;6.2098;6.2102;3533
2015.05.07;08:00:00;6.2115;6.2058;6.2072;6.2099;3274
2015.05.07;12:00:00;6.2115;6.206;6.2112;6.2073;1615
2015.05.07;16:00:00;6.2117;6.207;6.2075;6.2112;1122
2015.05.07;20:00:00;6.2094;6.2068;6.2068;6.2074;153
2015.05.08;00:00:00;6.2129;6.2079;6.2102;6.2096;1629
2015.05.08;04:00:00;6.2162;6.2103;6.2143;6.2103;2611
2015.05.08;08:00:00;6.2146;6.2092;6.2104;6.2143;1442
2015.05.08;12:00:00;6.2121;6.2091;6.2116;6.2104;980
2015.05.08;16:00:00;6.2126;6.2097;6.2101;6.2116;315
2015.05.08;20:00:00;6.2159;6.2116;6.2157;6.2124;1785
2015.05.11;00:00:00;6.2158;6.2093;6.2119;6.2157;2303
2015.05.11;04:00:00;6.2141;6.2099;6.214;6.2118;1064
2015.05.11;08:00:00;6.2166;6.2122;6.2142;6.2141;1095
2015.05.11;12:00:00;6.215;6.2132;6.2144;6.2142;211
2015.05.11;16:00:00;6.2238;6.2165;6.2171;6.2184;3398
2015.05.11;20:00:00;6.2226;6.2157;6.2191;6.2171;3683
2015.05.12;00:00:00;6.2191;6.214;6.215;6.2191;1214
2015.05.12;04:00:00;6.2179;6.2094;6.2108;6.215;1624
2015.05.12;08:00:00;6.2117;6.2086;6.209;6.211;305
2015.05.12;12:00:00;6.2149;6.2116;6.2142;6.2136;1275
2015.05.12;16:00:00;6.2159;6.2047;6.2095;6.2141;3607
2015.05.12;20:00:00;6.2103;6.2067;6.2072;6.2094;1275
2015.05.13;00:00:00;6.2089;6.2055;6.2057;6.2072;982
2015.05.13;04:00:00;6.2072;6.2054;6.2061;6.2058;411
2015.05.13;08:00:00;6.2083;6.2038;6.2062;6.2082;2432
2015.05.13;12:00:00;6.2067;6.201;6.2043;6.2062;3130
2015.05.13;16:00:00;6.2053;6.2031;6.2053;6.2043;1149
2015.05.13;20:00:00;6.2061;6.2031;6.2053;6.2053;1702
2015.05.14;00:00:00;6.2055;6.2038;6.2039;6.2051;603
2015.05.14;04:00:00;6.2053;6.1988;6.2022;6.2018;2577
2015.05.14;08:00:00;6.2097;6.2019;6.2058;6.2023;2432
2015.05.14;12:00:00;6.2066;6.2015;6.202;6.2058;1718
2015.05.14;16:00:00;6.203;6.2008;6.2013;6.202;1103
2015.05.14;20:00:00;6.2044;6.201;6.2011;6.2014;822
2015.05.15;00:00:00;6.2052;6.1997;6.2031;6.2004;1583
2015.05.15;04:00:00;6.2061;6.2007;6.205;6.2032;2765
2015.05.15;08:00:00;6.2052;6.1995;6.1996;6.2051;1227
2015.05.15;12:00:00;6.2031;6.1975;6.1997;6.1997;1712
2015.05.15;16:00:00;6.2001;6.1975;6.1975;6.2001;472
2015.05.15;20:00:00;6.2016;6.1991;6.2003;6.1999;750
2015.05.18;00:00:00;6.2036;6.1971;6.2023;6.2004;2112
2015.05.18;04:00:00;6.2032;6.1927;6.1942;6.2024;1428
2015.05.18;08:00:00;6.196;6.1938;6.1954;6.1943;272
2015.05.18;12:00:00;6.1954;6.194;6.194;6.1954;29
2015.05.18;16:00:00;6.1974;6.1952;6.1972;6.1952;386
2015.05.18;20:00:00;6.1975;6.1944;6.1956;6.1974;521
2015.05.19;00:00:00;6.1956;6.1919;6.1927;6.1956;581
2015.05.19;04:00:00;6.1946;6.1918;6.1936;6.1926;803
2015.05.19;08:00:00;6.1955;6.1916;6.1946;6.1937;243
2015.05.19;12:00:00;6.1972;6.1927;6.196;6.1934;1864
2015.05.19;16:00:00;6.1996;6.1926;6.1972;6.1959;2668
2015.05.19;20:00:00;6.2004;6.1972;6.1988;6.1973;1189
2015.05.20;00:00:00;6.2003;6.1969;6.1991;6.1987;1841
2015.05.20;04:00:00;6.2002;6.1982;6.1985;6.1992;372
2015.05.20;08:00:00;6.2074;6.1979;6.2052;6.198;1863
2015.05.20;12:00:00;6.2083;6.2041;6.2053;6.2051;2788
2015.05.20;16:00:00;6.2061;6.2041;6.2056;6.2053;1092
2015.05.20;20:00:00;6.2091;6.2056;6.2071;6.2057;1349
2015.05.21;00:00:00;6.2075;6.2051;6.2052;6.2069;622
2015.05.21;04:00:00;6.211;6.2074;6.2104;6.2082;1885
2015.05.21;08:00:00;6.2172;6.2102;6.2132;6.2105;3257
2015.05.21;12:00:00;6.215;6.2121;6.2126;6.2133;1232
2015.05.21;16:00:00;6.2166;6.2121;6.2164;6.2125;1972
2015.05.21;20:00:00;6.2182;6.215;6.2159;6.2165;444
2015.05.22;00:00:00;6.2209;6.2146;6.2163;6.2185;1588
2015.05.22;04:00:00;6.2208;6.216;6.2184;6.2164;2662
2015.05.22;08:00:00;6.2202;6.2151;6.2153;6.2183;1340
2015.05.22;12:00:00;6.2177;6.2147;6.217;6.2152;1582
2015.05.22;16:00:00;6.2175;6.2155;6.2155;6.217;178
2015.05.22;20:00:00;6.2282;6.2176;6.2262;6.2177;2171
2015.05.25;00:00:00;6.2276;6.2218;6.2257;6.2263;2691
2015.05.25;04:00:00;6.2283;6.2241;6.2247;6.2257;1321
2015.05.25;08:00:00;6.2256;6.2217;6.2245;6.2247;1500
2015.05.25;12:00:00;6.2256;6.2225;6.2238;6.2244;595
2015.05.25;16:00:00;6.222;6.2184;6.2196;6.2205;1443
2015.05.25;20:00:00;6.2203;6.2145;6.216;6.2195;2771
2015.05.26;00:00:00;6.2162;6.2119;6.2129;6.2159;2348
2015.05.26;04:00:00;6.2157;6.211;6.2146;6.2128;1654
2015.05.26;08:00:00;6.2156;6.2127;6.2127;6.2144;483
2015.05.26;12:00:00;6.2148;6.2102;6.2109;6.2108;1677
2015.05.26;16:00:00;6.2109;6.205;6.2052;6.2109;2916
2015.05.26;20:00:00;6.2077;6.2037;6.2046;6.2052;2067
2015.05.27;00:00:00;6.2052;6.1978;6.1982;6.2042;2451
2015.05.27;04:00:00;6.2009;6.1974;6.199;6.1981;718
2015.05.27;08:00:00;6.1973;6.1919;6.1964;6.1955;2033
2015.05.27;12:00:00;6.1986;6.1926;6.195;6.1965;3040
2015.05.27;16:00:00;6.1954;6.1896;6.1926;6.1949;2157
2015.05.27;20:00:00;6.194;6.191;6.1916;6.1925;1122
2015.05.28;00:00:00;6.1915;6.186;6.1866;6.1915;1035
2015.05.28;04:00:00;6.1914;6.1863;6.1905;6.1863;1344
2015.05.28;08:00:00;6.1932;6.1872;6.1917;6.1905;2872
2015.05.28;12:00:00;6.1975;6.1894;6.1956;6.1916;3120
2015.05.28;16:00:00;6.1973;6.1924;6.1932;6.1956;1525
2015.05.28;20:00:00;6.1948;6.1898;6.1898;6.1932;383
2015.05.29;00:00:00;6.2028;6.1955;6.1985;6.1957;2028
2015.05.29;04:00:00;6.2006;6.1978;6.1997;6.1985;2391
2015.05.29;08:00:00;6.1998;6.1946;6.1978;6.1997;1971
2015.05.29;12:00:00;6.1985;6.196;6.1973;6.1978;1274
2015.05.29;16:00:00;6.1978;6.1945;6.1945;6.1974;934
2015.05.29;20:00:00;6.2009;6.1962;6.1971;6.1984;1379
2015.06.01;00:00:00;6.2;6.1961;6.1974;6.1971;2289
2015.06.01;04:00:00;6.1988;6.1968;6.1982;6.1975;1303
2015.06.01;08:00:00;6.1998;6.1956;6.1966;6.1983;1029
2015.06.01;12:00:00;6.1975;6.1956;6.1956;6.1965;368
2015.06.01;16:00:00;6.1963;6.1913;6.1917;6.1962;1270
2015.06.01;20:00:00;6.1937;6.1892;6.19;6.1916;2580
2015.06.02;00:00:00;6.1909;6.1891;6.1907;6.19;1381
2015.06.02;04:00:00;6.1933;6.19;6.1926;6.1907;1347
