DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;7.7499;7.7494;7.7495;7.7499;161
2015.04.27;16:00:00;7.7502;7.7494;7.7501;7.7495;230
2015.04.27;20:00:00;7.7503;7.7493;7.7494;7.7501;253
2015.04.28;00:00:00;7.7494;7.7493;7.7494;7.7494;38
2015.04.28;04:00:00;7.75;7.7493;7.7497;7.7494;137
2015.04.28;08:00:00;7.7498;7.7494;7.7497;7.7498;175
2015.04.28;12:00:00;7.7499;7.7496;7.7499;7.7497;254
2015.04.28;16:00:00;7.7509;7.7499;7.7505;7.7499;268
2015.04.28;20:00:00;7.7505;7.7497;7.7497;7.7504;259
2015.04.29;00:00:00;7.7497;7.7494;7.7495;7.7497;77
2015.04.29;04:00:00;7.7497;7.7496;7.7497;7.7496;13
2015.04.29;08:00:00;7.7501;7.7495;7.7497;7.7498;146
2015.04.29;12:00:00;7.7497;7.7495;7.7496;7.7496;89
2015.04.29;16:00:00;7.7498;7.7495;7.7498;7.7496;118
2015.04.29;20:00:00;7.7502;7.7496;7.7498;7.7498;238
2015.04.30;00:00:00;7.75;7.7495;7.7499;7.7497;119
2015.04.30;04:00:00;7.7501;7.7496;7.7499;7.7499;46
2015.04.30;08:00:00;7.75;7.7497;7.7499;7.7499;167
2015.04.30;12:00:00;7.7499;7.7495;7.7496;7.7499;166
2015.04.30;16:00:00;7.7502;7.7496;7.7501;7.7497;150
2015.04.30;20:00:00;7.7511;7.7499;7.7507;7.7501;339
2015.05.01;00:00:00;7.7507;7.7495;7.7498;7.7507;265
2015.05.01;04:00:00;7.7507;7.7497;7.7507;7.7498;80
2015.05.01;08:00:00;7.7511;7.75;7.7503;7.7507;146
2015.05.01;12:00:00;7.7509;7.7495;7.7497;7.7504;133
2015.05.01;16:00:00;7.7502;7.7495;7.75;7.7498;2730
2015.05.01;20:00:00;7.7509;7.7499;7.7508;7.75;289
2015.05.04;00:00:00;7.7516;7.7508;7.7514;7.7508;109
