DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;279.058;277.219;277.281;278.93;8809
2015.04.27;16:00:00;277.46;274.07;274.884;277.28;13239
2015.04.27;20:00:00;275.773;274.76;275.31;274.879;5329
2015.04.28;00:00:00;276.02;275.25;275.769;275.32;2616
2015.04.28;04:00:00;275.94;275.608;275.94;275.77;2469
2015.04.28;08:00:00;277.32;275.228;276.247;275.94;10428
2015.04.28;12:00:00;276.385;275.18;276.03;276.245;12381
2015.04.28;16:00:00;276.27;273.71;273.938;276.06;14394
2015.04.28;20:00:00;274.317;273.471;273.68;273.95;5578
2015.04.29;00:00:00;274.264;273.531;273.85;273.68;8178
2015.04.29;04:00:00;274.46;273.85;274.383;273.85;2855
2015.04.29;08:00:00;274.6;273.5;273.85;274.383;8273
2015.04.29;12:00:00;275.27;273.42;274.71;273.85;14084
2015.04.29;16:00:00;274.9;269.683;270.91;274.7;22571
2015.04.29;20:00:00;272.29;269.82;271.27;270.92;12878
2015.04.30;00:00:00;271.77;271.19;271.7;271.25;2596
2015.04.30;04:00:00;272.02;271.35;271.89;271.7;3278
2015.04.30;08:00:00;273.56;269.82;270.16;271.9;12732
2015.04.30;12:00:00;271.24;269.12;270.747;270.16;16413
2015.04.30;16:00:00;272.08;270.118;270.749;270.73;19655
2015.04.30;20:00:00;271.299;269.502;270.14;270.754;8906
2015.05.01;00:00:00;270.63;270.05;270.29;270.13;2511
2015.05.01;04:00:00;270.42;270.09;270.29;270.29;2300
2015.05.01;08:00:00;270.73;269.46;269.96;270.31;7513
2015.05.01;12:00:00;270.57;269.06;269.85;269.96;8008
2015.05.01;16:00:00;271.97;269.16;271.58;269.86;10468
2015.05.01;20:00:00;271.58;270.42;270.69;271.58;4798
2015.05.04;00:00:00;271.37;270.08;271.3;270.44;892
2015.05.04;04:00:00;271.36;270.94;271.1;271.28;3648
2015.05.04;08:00:00;272.51;269.95;272.47;271.11;6688
2015.05.04;12:00:00;272.65;271.04;271.17;272.47;7137
2015.05.04;16:00:00;272.33;270.94;271.68;271.17;9159
2015.05.04;20:00:00;272.459;271.39;271.87;271.7;6436
2015.05.05;00:00:00;272.288;271.65;272.218;271.79;5050
2015.05.05;04:00:00;272.656;272.11;272.586;272.214;1187
2015.05.05;08:00:00;273.52;271.297;271.5;272.581;9270
2015.05.05;12:00:00;271.78;269.94;270.392;271.55;13351
2015.05.05;16:00:00;272.243;270.267;271.14;270.392;17927
2015.05.05;20:00:00;271.5;270.61;271.14;271.14;5479
2015.05.06;00:00:00;271.497;270.95;271.305;271.061;15065
2015.05.06;04:00:00;271.407;269.96;270.08;271.305;4013
2015.05.06;08:00:00;271.876;269.662;271.19;270.07;13203
2015.05.06;12:00:00;271.97;269.82;270.121;271.19;17543
2015.05.06;16:00:00;270.677;268.27;269.89;270.121;20384
2015.05.06;20:00:00;269.89;268.39;268.99;269.89;6986
2015.05.07;00:00:00;269.59;268.9;269.524;268.98;1294
2015.05.07;04:00:00;269.652;269.13;269.269;269.504;2161
2015.05.07;08:00:00;270.68;268.85;269.99;269.269;13294
2015.05.07;12:00:00;270.35;268.767;269.25;270;15495
2015.05.07;16:00:00;270.146;268.87;269.33;269.25;13864
2015.05.07;20:00:00;269.536;268.84;268.89;269.33;4152
2015.05.08;00:00:00;269.96;268.57;269.572;268.87;4089
2015.05.08;04:00:00;270.69;269.34;270.21;269.573;6570
2015.05.08;08:00:00;270.937;269.38;269.88;270.21;10988
2015.05.08;12:00:00;271.45;268.86;269.17;269.89;13837
2015.05.08;16:00:00;270.84;268.373;269.69;269.15;13773
2015.05.08;20:00:00;270.14;269.25;269.51;269.69;4167
2015.05.11;00:00:00;270.76;269.68;270.73;269.88;1690
2015.05.11;04:00:00;271.55;270.65;271.14;270.76;3491
2015.05.11;08:00:00;272.73;270.078;272.64;271.15;9091
2015.05.11;12:00:00;273.72;272.154;273.49;272.71;8810
2015.05.11;16:00:00;273.811;272.288;273.207;273.48;11835
2015.05.11;20:00:00;273.5;272.819;273.16;273.202;3480
2015.05.12;00:00:00;273.756;273.08;273.609;273.12;1991
2015.05.12;04:00:00;273.699;272.795;272.85;273.609;3224
2015.05.12;08:00:00;274.417;272.056;272.71;272.85;13125
2015.05.12;12:00:00;273.17;271.452;272.98;272.7;11456
2015.05.12;16:00:00;273.61;272.042;272.72;272.98;13395
2015.05.12;20:00:00;273.6;272.623;273.39;272.72;5045
2015.05.13;00:00:00;273.51;273.206;273.333;273.39;2260
2015.05.13;04:00:00;273.695;272.7;272.91;273.333;3490
2015.05.13;08:00:00;273.38;271.15;271.94;272.9;10942
2015.05.13;12:00:00;273.5;270.21;270.687;271.95;14568
2015.05.13;16:00:00;271.54;270.148;270.52;270.67;14588
2015.05.13;20:00:00;271.28;270.303;270.8;270.52;4828
2015.05.14;00:00:00;271.302;270.69;271.117;270.81;2641
2015.05.14;04:00:00;271.131;270.432;270.744;271.122;2217
2015.05.14;08:00:00;270.902;269.097;269.87;270.744;12007
2015.05.14;12:00:00;269.98;268.51;268.84;269.873;11733
2015.05.14;16:00:00;270.033;267.95;269.114;268.853;18530
2015.05.14;20:00:00;269.51;268.23;268.23;269.105;4969
2015.05.15;00:00:00;268.709;268.09;268.553;268.24;2330
2015.05.15;04:00:00;268.898;268.211;268.694;268.555;2902
2015.05.15;08:00:00;270.02;267.737;269.75;268.697;9312
2015.05.15;12:00:00;270.94;269.51;270.57;269.76;11527
2015.05.15;16:00:00;270.774;267.85;268.225;270.57;18065
2015.05.15;20:00:00;268.497;267.036;267.2;268.225;5756
2015.05.18;00:00:00;268.319;266.55;268.026;266.65;1398
2015.05.18;04:00:00;268.364;267.7;267.77;268.026;2274
2015.05.18;08:00:00;269.21;267.456;268.76;267.774;10113
2015.05.18;12:00:00;270.544;268.44;270.039;268.76;8623
2015.05.18;16:00:00;272.92;269.92;272.5;270.055;13413
2015.05.18;20:00:00;273.531;272.34;272.73;272.5;5539
2015.05.19;00:00:00;273.005;272.58;272.938;272.72;3282
2015.05.19;04:00:00;273.466;272.871;272.948;272.931;2748
2015.05.19;08:00:00;274.224;272.326;273.2;272.948;11731
2015.05.19;12:00:00;274.677;272.08;274.456;273.29;15245
2015.05.19;16:00:00;274.936;273.58;273.878;274.456;12243
2015.05.19;20:00:00;274.316;273.69;274.14;273.91;1890
2015.05.20;00:00:00;274.83;274.03;274.54;274.13;2339
2015.05.20;04:00:00;274.763;274.2;274.656;274.54;2476
2015.05.20;08:00:00;276.572;274.322;276.18;274.686;12806
2015.05.20;12:00:00;276.27;274.82;274.93;276.192;10369
2015.05.20;16:00:00;277.247;274.413;276.685;274.93;16300
2015.05.20;20:00:00;277.424;275.536;276.38;276.698;7582
2015.05.21;00:00:00;276.704;276.093;276.292;276.317;3833
2015.05.21;04:00:00;276.5;275.995;276.144;276.302;3412
2015.05.21;08:00:00;276.81;274.08;274.642;276.142;14425
2015.05.21;12:00:00;276.36;274.289;276.28;274.66;13233
2015.05.21;16:00:00;276.75;275.622;275.942;276.29;13553
2015.05.21;20:00:00;276.86;275.965;276.69;275.965;5255
2015.05.22;00:00:00;277.03;276.257;276.524;276.319;1708
2015.05.22;04:00:00;276.551;275.693;275.988;276.518;1599
2015.05.22;08:00:00;275.959;274.47;274.8;275.82;9809
2015.05.22;12:00:00;277.19;274.12;276.79;274.8;13554
2015.05.22;16:00:00;279.667;276.8;278.623;276.8;11984
2015.05.22;20:00:00;279.52;278.25;278.39;278.648;5864
2015.05.25;00:00:00;280.12;278.041;279.97;278.999;2964
2015.05.25;04:00:00;280.1;279.328;279.781;279.96;2269
2015.05.25;08:00:00;280.42;279.033;280.25;279.781;4217
2015.05.25;12:00:00;280.574;279.757;279.898;280.234;2348
2015.05.25;16:00:00;280.96;279.805;280.13;279.9;2190
2015.05.25;20:00:00;280.426;280.129;280.31;280.14;1125
2015.05.26;00:00:00;281.462;280.106;281.277;280.32;2021
2015.05.26;04:00:00;281.596;280.973;281.455;281.271;2445
2015.05.26;08:00:00;283.631;281.35;283.148;281.455;9652
2015.05.26;12:00:00;284.05;281.993;283.24;283.127;8791
2015.05.26;16:00:00;284.5;282.414;283.8;283.28;9910
2015.05.26;20:00:00;284.58;283.648;284.048;283.8;5535
2015.05.27;00:00:00;284.12;283.36;283.741;283.99;1691
2015.05.27;04:00:00;284.177;283.333;283.4;283.748;1843
2015.05.27;08:00:00;283.471;282.13;283.113;283.412;8662
2015.05.27;12:00:00;285.444;282.59;285.34;283.113;14095
2015.05.27;16:00:00;285.74;282.986;283.95;285.34;18186
2015.05.27;20:00:00;284.1;283.06;283.13;283.94;9718
2015.05.28;00:00:00;283.863;283.071;283.326;283.16;2951
2015.05.28;04:00:00;283.644;282.991;283.127;283.318;2756
2015.05.28;08:00:00;283.318;281.71;282.46;283.127;13775
2015.05.28;12:00:00;283.686;281.892;282.931;282.49;15599
2015.05.28;16:00:00;284.139;282.55;282.839;282.931;15517
2015.05.28;20:00:00;282.919;282.011;282.21;282.839;5257
2015.05.29;00:00:00;282.22;281.559;282.163;282.175;2540
2015.05.29;04:00:00;282.236;281.77;282.203;282.03;1760
2015.05.29;08:00:00;282.955;281.68;282.13;282.195;10129
2015.05.29;12:00:00;282.27;280.63;281.32;282.14;11691
2015.05.29;16:00:00;282.34;280.68;281.46;281.32;14661
2015.05.29;20:00:00;281.49;281.002;281.04;281.46;3914
2015.06.01;00:00:00;282.617;280.97;282.24;281.11;1705
2015.06.01;04:00:00;282.746;281.928;282.081;282.25;1482
2015.06.01;08:00:00;284.266;281.881;284.025;282.094;11476
2015.06.01;12:00:00;284.19;281.735;281.747;284.01;14990
2015.06.01;16:00:00;283.446;281.272;282.51;281.73;16785
2015.06.01;20:00:00;282.8;282.01;282.13;282.5;6970
2015.06.02;00:00:00;282.46;281.65;282.09;282.11;2956
2015.06.02;04:00:00;282.48;281.9;281.94;282.1;3152
2015.06.02;08:00:00;282.521;280.92;281.597;281.93;11008
2015.06.02;12:00:00;282.37;279.63;280.17;281.574;15940
2015.06.02;16:00:00;280.17;276.43;279.377;280.17;18801
2015.06.02;20:00:00;280.13;278.85;279.543;279.377;7147
2015.06.03;00:00:00;280.003;279.338;279.828;279.472;2634
2015.06.03;04:00:00;279.871;279.136;279.556;279.793;4756
2015.06.03;08:00:00;280.62;278.45;280.104;279.556;12344
2015.06.03;12:00:00;280.896;279.39;280.122;280.104;14518
