DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;119.423;119.1;119.364;119.177;14648
2015.04.27;16:00:00;119.425;118.894;118.928;119.366;18779
2015.04.27;20:00:00;119.126;118.905;119.024;118.926;8311
2015.04.28;00:00:00;119.18;118.959;119.136;119.032;8168
2015.04.28;04:00:00;119.189;119.021;119.097;119.137;7186
2015.04.28;08:00:00;119.119;118.951;119.024;119.097;14756
2015.04.28;12:00:00;119.123;118.813;119.028;119.023;17394
2015.04.28;16:00:00;119.096;118.766;118.926;119.029;20529
2015.04.28;20:00:00;118.958;118.825;118.842;118.926;8343
2015.04.29;00:00:00;118.891;118.75;118.777;118.842;5882
2015.04.29;04:00:00;118.876;118.772;118.846;118.778;4648
2015.04.29;08:00:00;119.186;118.807;119.17;118.846;13423
2015.04.29;12:00:00;119.351;118.883;119.196;119.17;21081
2015.04.29;16:00:00;119.242;118.613;118.704;119.197;30992
2015.04.29;20:00:00;119.107;118.601;119.004;118.703;21281
2015.04.30;00:00:00;119.152;118.896;118.986;119.003;9922
2015.04.30;04:00:00;118.989;118.536;118.629;118.984;14236
2015.04.30;08:00:00;119.055;118.486;118.88;118.63;23432
2015.04.30;12:00:00;119.31;118.802;119.298;118.881;20937
2015.04.30;16:00:00;119.886;119.285;119.64;119.298;27901
2015.04.30;20:00:00;119.665;119.252;119.366;119.639;14582
2015.05.01;00:00:00;119.699;119.361;119.66;119.361;7506
2015.05.01;04:00:00;119.742;119.551;119.631;119.659;6494
2015.05.01;08:00:00;119.848;119.605;119.783;119.632;11555
2015.05.01;12:00:00;119.926;119.691;119.91;119.783;12400
2015.05.01;16:00:00;120.279;119.765;120.264;119.908;22194
2015.05.01;20:00:00;120.28;120.077;120.186;120.263;7730
2015.05.04;00:00:00;120.231;120.092;120.154;120.208;4850
2015.05.04;04:00:00;120.155;119.991;120.075;120.155;4844
2015.05.04;08:00:00;120.194;119.988;120.104;120.073;12131
2015.05.04;12:00:00;120.268;120.089;120.091;120.104;13311
2015.05.04;16:00:00;120.261;120.036;120.143;120.092;14332
2015.05.04;20:00:00;120.177;120.054;120.127;120.144;7012
2015.05.05;00:00:00;120.158;120.074;120.137;120.134;4245
2015.05.05;04:00:00;120.191;120.055;120.063;120.137;5401
2015.05.05;08:00:00;120.304;120.022;120.27;120.064;14723
2015.05.05;12:00:00;120.497;120.053;120.103;120.271;16315
2015.05.05;16:00:00;120.404;119.716;119.848;120.105;24922
